nu,[0]1-Ethoxy-1-1-2-3-3-3-hexafluoropropane-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
665.803119,1.0
666.285235,1.0
666.767352,1.0
667.249469,1.0
667.731585,1.0
668.213702,1.0
668.695819,1.0
669.177935,1.0
669.660052,1.0
670.142169,1.0
670.624286,1.0
671.106402,1.0
671.588519,1.0
672.070636,1.0
672.552752,1.0
673.034869,1.0
673.516986,1.0
673.999103,1.0
674.481219,1.0
674.963336,1.0
675.445453,0.9999975429030187
675.927569,0.9999979537020937
676.409686,0.9999979269021488
676.891803,0.9999975697029532
677.373919,0.9999972562037642
677.856036,0.9999973631034766
678.338153,0.9999977860024509
678.82027,0.9999978151023869
679.302386,0.9999976134028479
679.784503,0.999997756802516
680.26662,0.9999979245021539
680.748736,0.999997761702505
681.230853,0.9999975065031088
681.71297,0.999997287803678
682.195086,0.9999970569043309
682.677203,0.9999970544043383
683.15932,0.9999974700032005
683.641437,0.9999976377027903
684.123553,0.9999973850034191
684.60567,0.9999973582034896
685.087787,0.9999973728034511
685.569903,0.9999970034044898
686.05202,0.999996500306124
686.534137,0.9999961285074942
687.016253,0.9999957591089926
687.49837,0.9999953022110346
687.980487,0.9999948258133862
688.462604,0.9999942353166158
688.94472,0.999993127023619
689.426837,0.9999916202351105
689.908954,0.9999902836472041
690.39107,0.9999889470610842
690.873187,0.9999869950845647
691.355304,0.9999844311211963
691.83742,0.999981369173556
692.319537,0.9999778792446675
692.801654,0.9999746033225011
693.283771,0.99997171140013
693.765887,0.9999685034960253
694.248004,0.9999648826166297
694.730121,0.9999617957298017
695.212237,0.9999598518059604
695.694354,0.9999586368554785
696.176471,0.9999567899335818
696.658587,0.9999532170943543
697.140704,0.999947166395744
697.622821,0.999939680819275
698.104938,0.999934407151305
698.587054,0.9999329982447178
699.069171,0.9999324392823281
699.551288,0.999930276430801
700.033404,0.9999266556898254
700.515521,0.9999223540146056
700.997638,0.9999180773558431
701.479754,0.9999143586674283
701.961871,0.9999113459300043
702.443988,0.9999090131395555
702.926105,0.9999079922329742
703.408221,0.9999094261020632
703.890338,0.9999128767954468
704.372455,0.9999165214845251
704.854571,0.9999193652511561
705.336688,0.9999212361020386
705.818805,0.9999219410467587
706.300921,0.999921844054335
706.783038,0.9999219650448855
707.265155,0.9999234479302592
707.747272,0.9999266556898254
708.229388,0.9999304954155556
708.711505,0.9999338481881276
709.193622,0.9999366920040358
709.675738,0.9999398508090351
710.157855,0.9999434725977339
710.639972,0.9999472393918899
711.122088,0.9999513221848033
711.604205,0.9999557449792823
712.086322,0.9999602647894644
712.568439,0.9999648336183516
713.050555,0.9999691834748389
713.532672,0.9999730723625554
714.014789,0.9999766182733568
714.496905,0.9999800011999787
714.979022,0.9999830631434302
715.461139,0.9999854721055309
715.943255,0.9999873600798844
716.425372,0.9999890150603349
716.907489,0.9999905266448725
717.389606,0.9999919021327879
717.871722,0.999992947224871
718.353839,0.9999934843212271
718.835956,0.9999938245190684
719.318072,0.9999943859157591
719.800189,0.9999950883120624
720.282306,0.9999956667093888
720.764422,0.9999960434078273
721.246539,0.9999963108068051
721.728656,0.9999964590062693
722.210773,0.9999965198060559
722.692889,0.9999965222060475
723.175006,0.9999965830058379
723.657123,0.9999966802055106
724.139239,0.9999966899054784
724.621356,0.9999969038047932
725.103473,0.9999973923034
725.585589,0.9999975721029474
726.067706,0.9999971881039534
726.549823,0.999996500306124
727.03194,0.9999959900080401
727.514056,0.9999959462082166
727.996173,0.9999962160071593
728.47829,0.9999965319060139
728.960406,0.9999967725052084
729.442523,0.9999967263053585
729.92464,0.999996048307808
730.406756,0.9999949182129123
730.888873,0.9999940457177268
731.37099,0.9999940676175967
731.853107,0.9999946581142679
732.335223,0.9999948550132355
732.81734,0.999994412715609
733.299457,0.9999936180203649
733.781573,0.9999926580269524
734.26369,0.999991938632493
734.745807,0.9999915765354775
735.227923,0.9999908279420636
735.71004,0.9999893990561904
736.192157,0.9999880160718079
736.674274,0.9999868980858309
737.15639,0.9999857631013456
737.638507,0.9999850021124694
738.120624,0.9999847931156258
738.60274,0.9999844221213364
739.084857,0.9999835691349881
739.566974,0.99998245815386
740.04909,0.9999811701772834
740.531207,0.9999799692006192
741.013324,0.9999794522111087
741.495441,0.9999794812105133
741.977557,0.9999794592109649
742.459674,0.9999793112140158
742.941791,0.9999790752189263
743.423907,0.9999786762273549
743.906024,0.9999782152372914
744.388141,0.9999781442388407
744.870257,0.9999786472279737
745.352374,0.9999792772147199
745.834491,0.9999799252015015
746.316608,0.9999810361798155
746.798724,0.9999817261669686
747.280841,0.9999818651644381
747.762958,0.9999817091672794
748.245074,0.9999814401722358
748.727191,0.9999803801924709
749.209308,0.9999801811963951
749.691424,0.9999823341560429
750.173541,0.9999839821282874
750.655658,0.999984869114473
751.137775,0.9999863340933793
751.619891,0.9999870150843048
752.102008,0.9999869420852553
752.584125,0.999987418079153
753.066241,0.9999881890697496
753.548358,0.9999889150614384
754.030475,0.9999894380557778
754.512591,0.9999896130539447
754.994708,0.9999893530566791
755.476825,0.9999892120581902
