nu,[0]HCFC-121-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
571.52383,0.9926208605308634
571.642633,0.9890177500977545
571.761435,0.9879175856969555
571.880238,0.9944241033405528
571.99904,0.9846874478416395
572.117842,0.9927794940188543
572.236645,0.9815414842348722
572.355447,0.984756378375529
572.474249,0.9814992788584722
572.593052,0.9891641355570258
572.711854,0.9861271276329381
572.830657,0.982019611352198
572.949459,0.9820304136273352
573.068261,0.9832213560539764
573.187064,0.9862434974996859
573.305866,0.98993697450122
573.424668,0.9912113479838924
573.543471,0.9926969974706805
573.662273,0.992884436357477
573.781076,0.989429267071391
573.899878,0.9879699467165522
574.01868,0.9885549980831263
574.137483,0.9845929223839412
574.256285,0.9908043410678666
574.375088,0.983710138520317
574.49389,0.9924860717703673
574.612692,0.9871848227370459
574.731495,0.986908449680713
574.850297,0.9885283074585031
574.969099,0.9865009406474027
575.087902,0.9883602719296598
575.206704,0.9904395940635298
575.325507,0.9900703279928413
575.444309,0.9850479094079924
575.563111,0.9806182881300972
575.681914,0.9846657849560796
575.800716,0.9858037309750258
575.919518,0.9866627400688588
576.038321,0.9840613857336659
576.157123,0.986968652932324
576.275926,0.9828704086776991
576.394728,0.9866410337273479
576.51353,0.9831839943523232
576.632333,0.9843310554964272
576.751135,0.9725575770979392
576.869937,0.987529410367225
576.98874,0.9901965700074179
577.107542,0.979887019684196
577.226345,0.9802584672495237
577.345147,0.9796430581907611
577.463949,0.9779018224786334
577.582752,0.9816219739366122
577.701554,0.9806879145002614
577.820356,0.9878089207392111
577.939159,0.9824439354717128
578.057961,0.9835409549266977
578.176764,0.9685627570900177
578.295566,0.9804319883543916
578.414368,0.9790662183255036
578.533171,0.9768589577013483
578.651973,0.9745748055246418
578.770775,0.984927740893473
578.889578,0.9851385379845085
579.00838,0.979973253536162
579.127183,0.9818467911092275
579.245985,0.979945814669209
579.364787,0.9741217335874621
579.48359,0.979002581089545
579.602392,0.9796195470394995
579.721194,0.9745445941739489
579.839997,0.9692225729694033
579.958799,0.9766899757190289
580.077602,0.9765307882271198
580.196404,0.9745611615728724
580.315206,0.9745270525291291
580.434009,0.9689163470225927
580.552811,0.9724875554731969
580.671613,0.9713863510229671
580.790416,0.9738441484511505
580.909218,0.972900950524499
581.028021,0.9712746480156456
581.146823,0.9686286215968677
581.265625,0.9731120929388862
581.384428,0.9762798520612239
581.50323,0.971285332095536
581.622032,0.9636000079414331
581.740835,0.9610248614029636
581.859637,0.9697616105585377
581.97844,0.9783038227330656
582.097242,0.9645804876389275
582.216044,0.9637985299901379
582.334847,0.9682112326147463
582.453649,0.963117365249544
582.572451,0.9650628984754057
582.691254,0.9607942431115288
582.810056,0.9633225310977294
582.928859,0.9595239528102121
583.047661,0.9598348889398556
583.166463,0.9602611502535539
583.285266,0.9635951899534383
583.404068,0.9617545561568973
583.52287,0.955990789874149
583.641673,0.9637667251634309
583.760475,0.9516528157921923
583.879278,0.9529860627894358
583.99808,0.9520449775320698
584.116882,0.9499090840188272
584.235685,0.9561628837043064
584.354487,0.9496241540352561
584.473289,0.9503499441054425
584.592092,0.9494285516072666
584.710894,0.9456365314371775
584.829697,0.9464151106439477
584.948499,0.9512836461232121
585.067301,0.9444202800468676
585.186104,0.9388486451872106
585.304906,0.9448718208503846
585.423708,0.9430660088669677
585.542511,0.9414396808604791
585.661313,0.9359951351568966
585.780116,0.9426426672762858
585.898918,0.9354084501521225
586.01772,0.9348408295131724
586.136523,0.9337990628810917
586.255325,0.9361252475232834
586.374127,0.9338616295142635
586.49293,0.9311526981084529
586.611732,0.9295348307098643
586.730535,0.9282613116537539
586.849337,0.921753909950014
586.968139,0.9239900276363927
587.086942,0.9265817517189107
587.205744,0.9253502171411572
