nu,[0]Methylfluoride-PNNL(x-sec)-X=0.01-T=278.2K-P=1.0atm-L=15cm
661.00722,0.9997002349385269
661.125223,0.9998329239587566
661.243225,1.0000155651211353
661.361227,0.9999645366288402
661.47923,0.9999880300716402
661.597232,0.999758169245772
661.715234,0.9998253052609033
661.833237,0.9995068516376455
661.951239,1.0001673640037925
662.069241,0.9998217358909348
662.187244,0.9998331339236927
662.305246,0.9997872426360587
662.423248,0.9999404627724111
662.541251,0.9997965606965822
662.659253,0.999855090500396
662.777256,0.9997892322146511
662.895258,0.9999550740092026
663.01326,0.9998158669545705
663.131263,0.9997113416698349
663.249265,0.9999559799689101
663.367267,0.9997496613399529
663.48527,0.9998204261253187
663.603272,0.9998165868222538
663.721274,0.9998624394623186
663.839277,0.9998249853168568
663.957279,0.9997788344607045
664.075282,0.9998780774331604
664.193284,0.9997159103611057
664.311286,1.000055335530954
664.429289,0.9998215959159016
664.547291,0.9998674687830378
664.665293,0.9999366300079627
664.783296,0.9999162475074358
664.901298,0.9996111256312453
665.0193,0.999844172142422
665.137303,0.9997505211250314
665.255305,0.9997305263145576
665.373307,0.999886916394433
665.49131,0.9998957754317578
665.609312,0.999885656537712
665.727315,0.9996748828620345
665.845317,0.9998889361680441
665.963319,1.000011264063439
666.081322,0.9997207489978214
666.199324,0.9997947610643926
666.317326,0.9997885123666631
666.435329,0.9996673953252028
666.553331,0.9998211359980733
666.671333,0.9997042837326773
666.789336,0.9999200871931985
666.907338,0.9999159695307577
667.025341,0.999758539156363
667.143343,0.9995155373899258
667.261345,0.9995102699569235
667.379348,0.9984823527930254
667.49735,0.999030560210671
667.615352,0.9989459558951471
667.733355,1.0003532123648025
667.851357,1.00111812463578
667.969359,1.0014027829808805
668.087362,1.0010010006670835
668.205364,1.0014294206491872
668.323366,1.0010929968862063
668.441369,1.0009315636361185
668.559371,1.000743266085442
668.677374,1.0006241747160178
668.795376,1.000390396184763
668.913378,1.0004039615705085
669.031381,1.0003565235394154
669.149383,1.0003695782772295
669.267385,1.0002713968214554
669.385388,0.9998355835178715
669.50339,1.0002142629510278
669.621392,1.0001476008919399
669.739395,1.0002635747297166
669.857397,1.000000551330152
669.9754,0.9999853221077213
670.093402,0.9998954554651608
670.211404,0.9999075802709663
670.329407,0.9998885762080919
670.447409,1.0000178771597945
670.565411,1.0000752778332338
670.683414,0.9997398238516858
670.801416,0.9997751752768668
670.919418,0.9998004099207506
671.037421,0.9999528461117796
671.155423,0.9996990652899364
671.273425,0.9999688984836622
671.391428,0.9999225410001032
671.50943,0.9997157803980459
671.627433,0.9997270972447332
671.745435,0.9998587399781366
671.863437,0.999794781060288
671.98144,0.9998359834521849
672.099442,0.999630198393476
672.217444,0.9999090251384637
672.335447,0.9997141008769456
672.453449,0.9996265497499106
672.571451,0.9997734756605134
672.689454,0.9996398848570293
672.807456,0.9998085083368695
672.925459,0.9999430216233294
673.043461,0.999962179715205
673.161463,0.9996017693148971
673.279466,0.9997897721009823
673.397468,0.9995252627234184
673.51547,0.9996602577254814
673.633473,0.9996230310706483
673.751475,0.9996105858413833
673.869477,0.9997697965008926
673.98748,0.9997753852296756
674.105482,0.999875347769735
674.223484,0.9996281391573882
674.341487,0.9997472419486999
674.459489,0.9999471063989158
674.577492,0.9997780946246407
674.695494,0.9997634279875727
674.813496,1.0000017512015333
674.931499,0.999820956030285
675.049501,0.9997311961342347
675.167503,0.9997570295221087
675.285506,0.9999152495915188
675.403508,0.9998787173553346
675.52151,0.9997455523772887
675.639513,0.9999656755890961
675.757515,0.9999490712969105
675.875518,0.9997144607740867
675.99352,0.9997524106553018
676.111522,0.9997536403515233
676.229525,0.9998455819236987
676.347527,0.9997987702494229
676.465529,0.9996738531974355
676.583532,0.9998385730307355
676.701534,0.9999706814297977
676.819536,0.9998173866758433
676.937539,0.9996862992143841
677.055541,0.9999307054009816
677.173543,0.999705923249047
677.291546,0.9998717182288102
677.409548,0.9994773166465614
677.527551,0.9997950510049153
677.645553,0.9999504612270855
677.763555,0.9996604976439721
677.881558,0.9998612496267235
677.99956,0.9998097980906772
678.117562,0.9999247228334681
678.235565,0.9997914917408692
678.353567,0.9997762050458275
678.471569,0.9997407236179322
678.589572,0.999861889538128
678.707574,0.9996961261790048
678.825577,0.9995681532726519
678.943579,0.9997653775281581
679.061581,0.999775035308352
679.179584,1.000202220443798
679.297586,0.9999383519003222
679.415588,0.9998376031877901
679.533591,0.999773165730784
679.651593,0.9998303543914439
679.769595,0.9996837600144088
679.887598,0.9997651475821476
680.0056,0.9997052934345138
680.123602,0.9998337238254157
680.241605,0.9996656359121353
680.359607,0.9999343891524858
680.47761,0.9996721837434946
680.595612,0.9998119576821733
680.713614,0.9997397438725031
680.831617,1.000040049801972
680.949619,0.9997706862964075
681.067621,0.9998033393402432
681.185624,0.9999850801113026
681.303626,0.9998605397254883
681.421628,0.9996821005407446
681.539631,0.9998909259490069
681.657633,0.9998852865800876
681.775636,0.9997545301326591
681.893638,0.9997898720799645
682.01164,0.9997928914499374
682.129643,0.999841232604877
682.247645,0.9998100780374598
682.365647,1.0000603718223051
682.48365,1.0000185761725349
682.601652,0.9999301174418997
682.719654,0.9996090564383568
682.837657,1.0000724896272462
682.955659,0.9998358534735156
683.073661,0.9997379843321023
683.191664,0.9996231710178826
683.309666,0.9997871026658545
683.427669,0.9998964553611162
683.545671,0.9996625969332213
