nu,[0]Dichloromethanol-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
881.309336,1.0
881.791452,1.0
882.273569,1.0
882.755686,1.0
883.237802,1.0
883.719919,1.0
884.202036,1.0
884.684152,1.0
885.166269,1.0
885.648386,1.0
886.130502,1.0
886.612619,1.0
887.094735,1.0
887.576852,1.0
888.058969,1.0
888.541085,1.0
889.023202,1.0
889.505319,1.0
889.987435,1.0
890.469552,1.0
890.951669,1.0
891.433785,1.0
891.915902,1.0
892.398018,1.0
892.880135,1.0
893.362252,1.0
893.844368,1.0
894.326485,1.0
894.808602,1.0
895.290718,1.0
895.772835,1.0
896.254952,1.0
896.737068,1.0
897.219185,1.0
897.701301,1.0
898.183418,1.0
898.665535,1.0
899.147651,1.0
899.629768,1.0
900.111885,1.0
900.594001,1.0
901.076118,1.0
901.558235,1.0
902.040351,1.0
902.522468,1.0
903.004584,1.0
903.486701,1.0
903.968818,1.0
904.450934,1.0
904.933051,1.0
905.415168,1.0
905.897284,1.0
906.379401,1.0
906.861518,1.0
907.343634,1.0
907.825751,1.0
908.307867,1.0
908.789984,1.0
909.272101,1.0
909.754217,1.0
910.236334,1.0
910.718451,1.0
911.200567,1.0
911.682684,1.0
912.164801,1.0
912.646917,1.0
913.129034,1.0
913.61115,1.0
914.093267,1.0
914.575384,1.0
915.0575,1.0
915.539617,1.0
916.021734,1.0
916.50385,1.0
916.985967,1.0
917.468084,1.0
917.9502,1.0
918.432317,1.0
918.914433,1.0
919.39655,1.0
919.878667,1.0
920.360783,1.0
920.8429,1.0
921.325017,1.0
921.807133,1.0
922.28925,1.0
922.771367,1.0
923.253483,1.0
923.7356,1.0
924.217716,1.0
924.699833,1.0
925.18195,1.0
925.664066,1.0
926.146183,1.0
926.6283,1.0
927.110416,1.0
927.592533,1.0
928.07465,1.0
928.556766,1.0
929.038883,1.0
929.520999,1.0
930.003116,1.0
930.485233,1.0
930.967349,1.0
931.449466,1.0
931.931583,1.0
932.413699,1.0
932.895816,1.0
933.377933,1.0
933.860049,1.0
934.342166,1.0
934.824282,1.0
935.306399,1.0
935.788516,1.0
936.270632,1.0
936.752749,1.0
937.234866,1.0
937.716982,1.0
938.199099,1.0
938.681216,1.0
939.163332,1.0
939.645449,1.0
940.127565,1.0
940.609682,1.0
941.091799,1.0
941.573915,1.0
942.056032,1.0
942.538149,1.0
943.020265,1.0
943.502382,1.0
943.984499,1.0
944.466615,1.0
944.948732,1.0
945.430848,1.0
945.912965,1.0
946.395082,1.0
946.877198,1.0
947.359315,1.0
947.841432,1.0
948.323548,1.0
948.805665,1.0
949.287782,1.0
949.769898,1.0
950.252015,1.0
950.734131,1.0
951.216248,1.0
951.698365,1.0
952.180481,1.0
952.662598,1.0
953.144715,1.0
953.626831,1.0
954.108948,1.0
954.591065,1.0
955.073181,1.0
955.555298,1.0
956.037414,1.0
956.519531,1.0
957.001648,1.0
957.483764,1.0
957.965881,1.0
958.447998,1.0
958.930114,1.0
959.412231,1.0
959.894348,1.0
960.376464,1.0
960.858581,1.0
961.340697,1.0
961.822814,1.0
962.304931,1.0
962.787047,1.0
963.269164,1.0
963.751281,0.9968486758783467
964.233397,0.9924635425922452
964.715514,0.9964900742410688
965.19763,0.9999562819556616
965.679747,1.0
966.161864,1.0
966.64398,0.9999473113880937
967.126097,1.0
967.608214,1.0
968.09033,0.9998782674100131
968.572447,1.0
969.054564,1.0
969.53668,0.9996603776847196
970.018797,0.9931186854246049
970.500913,0.9920304267903044
970.98303,1.0
971.465147,1.0
971.947263,1.0
972.42938,1.0
972.911497,1.0
973.393613,1.0
973.87573,1.0
974.357847,1.0
974.839963,1.0
975.32208,1.0
975.804196,1.0
976.286313,1.0
976.76843,1.0
977.250546,1.0
977.732663,1.0
978.21478,1.0
978.696896,1.0
979.179013,1.0
979.66113,1.0
980.143246,1.0
980.625363,1.0
981.107479,1.0
981.589596,1.0
982.071713,1.0
982.553829,1.0
983.035946,1.0
983.518063,1.0
984.000179,1.0
984.482296,1.0
984.964413,1.0
985.446529,1.0
985.928646,1.0
986.410762,1.0
986.892879,1.0
987.374996,1.0
987.857112,1.0
988.339229,1.0
988.821346,1.0
989.303462,1.0
989.785579,1.0
990.267696,1.0
990.749812,1.0
991.231929,1.0
991.714045,1.0
992.196162,1.0
992.678279,1.0
993.160395,1.0
993.642512,1.0
994.124629,1.0
994.606745,1.0
995.088862,1.0
995.570979,1.0
996.053095,1.0
996.535212,1.0
997.017328,1.0
997.499445,1.0
997.981562,1.0
998.463678,1.0
998.945795,1.0
999.427912,1.0
999.910028,1.0
1000.392145,1.0
1000.874262,1.0
1001.356378,1.0
1001.838495,1.0
1002.320611,1.0
1002.802728,1.0
1003.284845,1.0
1003.766961,1.0
1004.249078,1.0
1004.731195,1.0
1005.213311,1.0
1005.695428,1.0
1006.177545,1.0
