nu,[0]Propylenimine-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
617.446349,1.0005720335488233
617.568351,0.9993611341617389
617.690354,1.0000842895521647
617.812356,0.9997527105810701
617.934359,1.0003030759182285
618.056361,1.0005903541904824
618.178364,0.9996482318849166
618.300366,0.9999614357436201
618.422368,0.9996147742185125
618.544371,1.0002895219033785
618.666373,1.0013802516717416
618.788376,0.9995531198806781
618.910378,1.0002245752132384
619.032381,1.0005582857835296
619.154383,0.9999592698294959
619.276386,1.0004088335496646
619.398388,1.000791743263359
619.52039,1.0002922526975009
619.642393,0.9994957171933373
619.764395,0.9999359820492365
619.886398,0.9991448258699995
620.0084,1.0004891996191234
620.130403,1.0000003055700466
620.252405,1.0000120250723006
620.374407,0.9999436325887022
620.49641,1.0013725410734897
620.618412,0.9993885869891572
620.740415,0.9999051754961275
620.862417,1.0002963639071079
620.98442,1.0002406989633479
621.106422,0.9999325432753072
621.228425,1.0003067670433887
621.350427,1.000259543675633
621.472429,0.9999484103307927
621.594432,1.000059858791466
621.716434,0.999758639132222
621.838437,0.9998450820010326
621.960439,0.9995839565700799
622.082442,1.000209671978097
622.204444,1.0005917950416299
622.326447,1.000440697078437
622.448449,0.9995855958891129
622.570451,1.0002662154290396
622.692454,0.9998999950008334
622.814456,0.999588424720352
622.936459,0.9996039784372484
623.058461,1.0002013202622047
623.180464,1.0000450420143612
623.302466,1.000211982465108
623.424468,0.9997515708636296
623.546471,1.000549861118231
623.668473,0.9999572919120163
623.790476,1.0004506515128961
623.912478,1.0006098658926277
624.034481,1.000565850032763
624.156483,1.000388255351606
624.278486,1.0002637747824517
624.400488,0.9993865582323848
624.52249,1.0001606829081158
624.644493,0.9998398228297329
624.766495,0.9997826636209733
624.888498,1.0000496672333763
625.0105,1.000063450012867
625.132503,1.000485747937339
625.254505,1.0008917974150564
625.376508,1.0002426394321862
625.49851,1.0003664971436734
625.620512,1.0004067927177258
625.742515,0.9997034039932946
625.864517,0.9994913693964239
625.98652,1.0001214773777791
626.108522,1.0004155062988378
626.230525,0.9999351631020025
626.352527,0.9996135247008258
626.474529,1.0003837836260987
626.596532,1.0002844604512031
626.718534,0.9995776692067668
626.840537,0.9994630142284942
626.962539,1.0003360364476017
627.084542,0.9992814382892047
627.206544,0.9997941511897743
627.328547,1.000218963969111
627.450549,1.0000302004560246
627.572551,1.0001587826046234
627.694554,0.9999104760075118
627.816556,1.00004808215591
627.938559,1.0000311244843567
628.060561,1.000266375471647
628.182564,0.9998926257650258
628.304566,0.999605747737856
628.426569,0.9998345936811338
628.548571,0.9997828935710125
628.670573,1.0000612218739824
628.792576,1.0002686560815828
628.914578,1.0005443180873548
629.036581,1.0008403629072082
629.158583,1.000135379162932
629.280586,0.9995787287596578
629.402588,1.000903307736911
629.52459,1.000326683349387
629.646593,0.9999902317477097
629.768595,1.000075514851103
629.890598,1.0003969787752267
630.0126,0.9994196984401174
630.134603,0.999458716546773
630.256605,0.9994171998939945
