nu,[0]HFC-1345zfc-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
759.838846,1.0
759.957848,1.0
760.07685,1.0
760.195852,1.0
760.314854,1.0
760.433856,1.0
760.552858,1.0
760.67186,1.0
760.790862,1.0
760.909864,1.0
761.028866,1.0
761.147868,1.0
761.26687,1.0
761.385872,1.0
761.504874,1.0
761.623876,1.0
761.742878,1.0
761.86188,1.0
761.980882,1.0
762.099884,1.0
762.218886,1.0
762.337888,1.0
762.45689,1.0
762.575892,1.0
762.694894,1.0
762.813896,1.0
762.932898,1.0
763.0519,1.0
763.170902,1.0
763.289904,1.0
763.408906,1.0
763.527908,1.0
763.64691,1.0
763.765912,1.0
763.884914,1.0
764.003916,1.0
764.122918,1.0
764.24192,1.0
764.360922,1.0
764.479924,1.0
764.598926,1.0
764.717928,1.0
764.83693,1.0
764.955932,1.0
765.074934,1.0
765.193936,1.0
765.312938,1.0
765.43194,1.0
765.550942,1.0
765.669944,1.0
765.788946,1.0
765.907948,1.0
766.02695,1.0
766.145952,1.0
766.264954,1.0
766.383956,1.0
766.502958,1.0
766.62196,1.0
766.740962,1.0
766.859964,1.0
766.978966,1.0
767.097968,1.0
767.21697,1.0
767.335972,1.0
767.454974,1.0
767.573976,1.0
767.692978,1.0
767.81198,1.0
767.930982,1.0
768.049984,1.0
768.168986,1.0
768.287988,1.0
768.40699,1.0
768.525992,1.0
768.644994,1.0
768.763996,1.0
768.882998,1.0
769.002,1.0
769.121002,1.0
769.240004,1.0
769.359006,1.0
769.478008,1.0
769.59701,1.0
769.716012,1.0
769.835014,1.0
769.954016,1.0
770.073018,1.0
770.19202,1.0
770.311022,1.0
770.430024,1.0
770.549026,1.0
770.668028,1.0
770.78703,1.0
770.906032,1.0
771.025034,1.0
771.144036,1.0
771.263038,1.0
771.38204,1.0
771.501042,1.0
771.620044,1.0
771.739046,1.0
771.858048,1.0
771.97705,1.0
772.096052,1.0
772.215054,1.0
772.334056,1.0
772.453058,1.0
772.57206,1.0
772.691062,1.0
772.810064,1.0
772.929066,1.0
773.048068,1.0
773.16707,1.0
773.286072,1.0
773.405074,1.0
773.524076,1.0
773.643078,1.0
773.76208,1.0
773.881082,1.0
774.000084,1.0
774.119086,1.0
774.238088,1.0
774.35709,1.0
774.476092,1.0
774.595094,1.0
774.714096,1.0
774.833098,1.0
774.9521,1.0
775.071102,1.0
775.190104,1.0
775.309106,1.0
775.428108,1.0
775.54711,1.0
775.666112,1.0
775.785114,1.0
775.904116,1.0
776.023118,1.0
776.14212,1.0
776.261122,1.0
776.380124,1.0
776.499126,1.0
776.618128,1.0
776.73713,1.0
776.856132,1.0
776.975134,1.0
777.094136,1.0
777.213138,1.0
777.33214,1.0
777.451142,1.0
777.570144,1.0
