nu,[0]CFC-113a-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.0036atm-L=15cm
739.230426,1.0
739.349628,1.0
739.46883,1.0
739.588032,1.0
739.707234,1.0
739.826436,1.0
739.945638,1.0
740.06484,1.0
740.184042,1.0
740.303244,1.0
740.422446,1.0
740.541648,1.0
740.66085,1.0
740.780052,1.0
740.899254,1.0
741.018456,1.0
741.137658,1.0
741.25686,1.0
741.376062,1.0
741.495264,1.0
741.614466,1.0
741.733668,1.0
741.85287,1.0
741.972072,1.0
742.091274,1.0
742.210476,1.0
742.329678,1.0
742.44888,1.0
742.568082,1.0
742.687284,1.0
742.806486,1.0
742.925688,1.0
743.04489,1.0
743.164092,1.0
743.283294,1.0
743.402496,1.0
743.521698,1.0
743.6409,1.0
743.760102,1.0
743.879304,1.0
743.998506,1.0
744.117708,1.0
744.23691,1.0
744.356112,1.0
744.475314,1.0
744.594516,1.0
744.713718,1.0
744.83292,1.0
744.952122,1.0
745.071324,1.0
745.190526,1.0
745.309728,1.0
745.42893,1.0
745.548132,1.0
745.667334,1.0
745.786536,1.0
745.905738,1.0
746.02494,1.0
746.144142,1.0
746.263344,1.0
746.382546,1.0
746.501748,1.0
746.62095,1.0
746.740152,1.0
746.859354,1.0
746.978556,1.0
747.097758,1.0
747.21696,1.0
747.336162,1.0
747.455364,1.0
747.574566,1.0
747.693768,1.0
747.81297,1.0
747.932172,1.0
748.051374,1.0
748.170576,1.0
748.289778,1.0
748.40898,1.0
748.528182,1.0
748.647384,1.0
748.766586,1.0
748.885788,1.0
749.00499,1.0
749.124192,1.0
749.243394,1.0
749.362596,1.0
749.481798,1.0
749.601,1.0
749.720202,1.0
749.839404,1.0
749.958606,1.0
750.077808,1.0
750.19701,1.0
750.316212,1.0
750.435414,1.0
750.554616,1.0
750.673818,1.0
750.79302,1.0
750.912222,1.0
751.031424,1.0
751.150626,1.0
751.269828,1.0
751.38903,1.0
751.508232,1.0
751.627434,1.0
751.746636,1.0
751.865838,1.0
751.98504,1.0
752.104242,1.0
752.223444,1.0
752.342646,1.0
752.461848,1.0
752.58105,1.0
752.700252,1.0
752.819454,1.0
752.938656,1.0
753.057858,1.0
753.17706,1.0
753.296262,1.0
753.415464,1.0
753.534666,1.0
753.653868,1.0
753.77307,1.0
753.892272,1.0
754.011474,1.0
754.130676,1.0
754.249878,1.0
754.36908,1.0
754.488282,1.0
754.607484,1.0
754.726686,1.0
754.845888,1.0
754.96509,1.0
755.084292,1.0
755.203494,1.0
755.322696,1.0
755.441898,1.0
755.5611,1.0
755.680302,1.0
755.799504,1.0
755.918706,1.0
