nu,[0]m-Cresol-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
699.204944,0.8465381588867191
699.445998,0.8500585920924473
699.687052,0.8582841990638554
699.928106,0.8630263977603099
700.16916,0.8684372039022156
700.410214,0.8749574695801117
700.651268,0.879527893612897
700.892322,0.8837951269925569
701.133376,0.8847059049434836
701.37443,0.891865448739724
701.615484,0.89701741714933
701.856538,0.8992447811336026
702.097592,0.9052854234300747
702.338646,0.9077874624242596
702.5797,0.9108746383751282
702.820754,0.9161693971676316
703.061808,0.9209698310455396
703.302862,0.9264900246660545
703.543916,0.9322977882882111
703.78497,0.9359286818614204
704.026024,0.9411572913167705
704.267078,0.9410311846890668
704.508132,0.9490014048742664
704.749186,0.9492481773185613
704.99024,0.954311634475607
705.231294,0.9559305643515108
705.472348,0.9593282298882556
705.713402,0.9637137194512173
705.954456,0.968729364212039
706.19551,0.9703882789510561
706.436564,0.9724292079703111
706.677618,0.9749305902554217
706.918672,0.9750388135572222
707.159726,0.9773093934983226
707.40078,0.9769429711842386
707.641834,0.9780201557581725
707.882888,0.9794951432568328
708.123942,0.9817653012074431
708.364996,0.9807340079154296
708.60605,0.9842651075249906
708.847104,0.9840771308417982
709.088158,0.9843113690721822
709.329212,0.9885352271808743
709.570266,0.9858796407848011
709.81132,0.9905736096065536
710.052374,0.9875886639094356
710.293428,0.9899488538161898
710.534482,0.9869341096339828
710.775536,0.9895113931087414
711.01659,0.984913952001623
711.257644,0.988814033424772
711.498698,0.9895094140879341
711.739752,0.9917128294976862
711.980806,0.9914077264025682
712.22186,0.993249189793819
712.462914,0.9920546326280281
712.703968,0.9900885454544766
712.945022,0.9926559006656949
713.186076,0.990182014224824
713.42713,0.9929847227499268
713.668184,0.9907744192285884
713.909238,0.9922471098964493
714.150292,0.9906043178644269
714.391346,0.9889050085006365
714.6324,0.9922074208058406
714.873454,0.9895420684373929
715.114508,0.9917842353919915
715.355562,0.9902764820950268
715.596616,0.9930837282621277
715.83767,0.9894262987880422
716.078724,0.9926718825543495
716.319778,0.9873398229214118
716.560832,0.9891216024136659
716.801886,0.9875847135626806
717.04294,0.9865808504598989
717.283994,0.989617276492464
717.525048,0.9879590791069103
717.766102,0.9868670003962675
718.007156,0.9856923414470524
718.24821,0.9884373670375405
718.489264,0.9879254890692546
718.730318,0.9844354001184771
718.971372,0.9832400374372141
719.212426,0.9822847924450996
719.45348,0.9780260238967114
719.694534,0.9761070658194425
719.935588,0.976674348804433
720.176642,0.9775596167302653
720.417696,0.9726149596877577
720.65875,0.9726052335867914
720.899804,0.9701728766636675
721.140858,0.9692942980935998
721.381912,0.9673499079640434
721.622966,0.9618411179621742
721.86402,0.9629122430970306
722.105074,0.9570754983433276
722.346128,0.9541102959626927
722.587182,0.9510211280660404
722.828236,0.9482548345825736
723.06929,0.9463375077866356
723.310344,0.9421064561651337
723.551398,0.9397832644851646
723.792452,0.9336991517267056
724.033506,0.9327743142000277
724.27456,0.9290766829810189
724.515614,0.9269051851861176
724.756668,0.920590469628967
724.997722,0.9170841906320154
725.238776,0.9121635261426925
725.47983,0.9100242786426989
725.720884,0.9066507170535417
725.961938,0.901441617449951
726.202992,0.9009009147065251
726.444046,0.8985436436834716
726.6851,0.8963986886173886
726.926154,0.8930702801737568
727.167208,0.8885272164045684
727.408262,0.8892383225822376
727.649316,0.8889271436288272
727.89037,0.8876746395791741
728.131424,0.8864504934316687
728.372478,0.8850598580913711
728.613532,0.884927109069083
728.854586,0.8851306657122855
729.09564,0.8864770873453783
729.336694,0.8860605410103827
729.577748,0.8858744878330378
729.818802,0.888367295898893
730.059856,0.8891938617776378
730.30091,0.8924007285768605
730.541964,0.8905642752723268
730.783018,0.8953057490459748
731.024072,0.8929184711302615
731.265126,0.8905731809596079
731.50618,0.8862643583729133
731.747234,0.8789388072901312
731.988288,0.8695234291564417
732.229342,0.857212014070254
732.470396,0.8424592381027144
732.71145,0.8682461687319962
732.952504,0.895386330189486
733.193558,0.9043760686068654
733.434612,0.9065056645433234
733.675666,0.903417937873144
733.91672,0.9025149714937077
734.157774,0.8925881524086752
734.398828,0.8818176415186768
734.639882,0.8606046976647364
734.880936,0.8374196166572897
735.12199,0.80381993204923
735.363044,0.8267772229448384
735.604098,0.8771651429035405
735.845152,0.8917584313070496
736.086206,0.8963717970601054
736.32726,0.8940442575003572
736.568314,0.8935258621801823
736.809368,0.890038997322149
737.050422,0.8905642752723268
737.291476,0.8855202088984153
737.53253,0.878921228689772
737.773584,0.8754213199484788
738.014638,0.8740392463885899
738.255692,0.8725459164382601
738.496746,0.8701236073602278
738.7378,0.868941043579861
738.978854,0.8662081858033139
739.219908,0.8642181963411014
739.460962,0.8627416460356677
739.702016,0.8642009121500172
739.94307,0.8653510640446446
740.184124,0.8644429222852569
740.425178,0.8650136429310612
740.666232,0.8689062866332614
740.907286,0.8670314745800779
741.14834,0.8703759797985972
741.389394,0.873087062644441
741.630448,0.8751412299428863
741.871502,0.8771563712959696
742.112556,0.8805311271460794
742.35361,0.884086827512403
742.594664,0.8851926270275061
742.835718,0.8874882474767183
743.076772,0.8901458084103647
743.317826,0.8924364253199336
743.55888,0.8970712398090226
743.799934,0.900846862273232
744.040988,0.901504720571756
744.282042,0.9024427731839592
744.523096,0.9057762211237339
744.76415,0.9064675921049394
745.005204,0.9105185560101623
745.246258,0.9095739280957267
745.487312,0.91224471230925
745.728366,0.9128113922114924
745.96942,0.9131300189845121
746.210474,0.9144001522490174
746.451528,0.9142895165241915
746.692582,0.911905420388481
746.933636,0.9112654874261181
747.17469,0.9093874845515832
747.415744,0.9061141386719179
747.656798,0.9060407463991127
747.897852,0.9019104889870594
748.138906,0.9003425292567835
748.37996,0.8977083865496145
748.621014,0.8948761054091547
748.862068,0.8920081586280089
749.103122,0.8894517653917698
749.344176,0.8842725052416598
749.58523,0.8803726458069415
749.826284,0.8760430897878156
750.067338,0.8719440674177081
750.308392,0.86495309409529
750.549446,0.8619655278598027
750.7905,0.8556789770425418
751.031554,0.8478767463834117
751.272608,0.8455398329873525
751.513662,0.8378300528180991
751.754716,0.8346356472155375
751.99577,0.8256370572724328
752.236824,0.8190501203442512
752.477878,0.8102843852768273
752.718932,0.8078894896904686
752.959986,0.8034502599115975
753.20104,0.798955523477418
753.442094,0.7953683009259465
753.683148,0.792216948345155
753.924202,0.7893937762002613
754.165256,0.7840597890469622
754.40631,0.7792292413173111
754.647364,0.7737472570482145
754.888418,0.7712597978390932
755.129472,0.7653745171893704
755.370526,0.7619152118687234
755.61158,0.7560180707347384
755.852634,0.7505567608917464
756.093688,0.7461415137893257
756.334742,0.7414481838657214
756.575796,0.7339605488300865
756.81685,0.7304605889747706
757.057904,0.7260764258006077
757.298958,0.7200173284283865
757.540012,0.7163617515622279
757.781066,0.7104618695148727
758.02212,0.7073992941642415
758.263174,0.7026193492735084
758.504228,0.7011664315091989
758.745282,0.6968953660051048
758.986336,0.6939329062652954
759.22739,0.6883622867945228
759.468444,0.6852167961929021
759.709498,0.6791386329670936
759.950552,0.6744956854628026
760.191606,0.6709034782318957
760.43266,0.6661835805192124
760.673714,0.6609811215348219
760.914768,0.65470534468824
761.155822,0.6508279222861046
761.396876,0.6465466018974806
761.63793,0.640190173931377
761.878984,0.6342830329190445
762.120038,0.6270054789688972
762.361092,0.6199044039552593
762.602146,0.6131780061273225
762.8432,0.6043269013846788
763.084254,0.5941461179828034
763.325308,0.5862024917687692
763.566362,0.5766729409254892
763.807416,0.5625079565645258
764.04847,0.5455559022724735
764.289524,0.5314851613650109
764.530578,0.5198681797625347
764.771632,0.5028416347030674
765.012686,0.487063877111918
765.25374,0.49018618042156126
765.494794,0.4881170721276145
765.735848,0.47484350138658354
765.976902,0.4507465819300535
766.217956,0.42121158262109265
766.45901,0.4089673315869339
766.700064,0.38688801296965303
766.941118,0.3536314534889593
767.182172,0.31276599120219134
767.423226,0.26753630559633385
767.66428,0.20858680363369514
767.905334,0.15163180989215086
768.146388,0.28453471834899874
768.387442,0.4074406504400934
768.628496,0.455140097878352
768.86955,0.4803213115333416
769.110604,0.49730090173573377
769.351658,0.5087543458756995
769.592712,0.5162727850452362
769.833766,0.516530985982614
770.07482,0.5280575526420884
770.315874,0.5378368594653271
770.556928,0.5427155203091878
770.797982,0.5435845601881905
771.039036,0.5462218866411065
771.28009,0.545632285445489
771.521144,0.5446673705018907
771.762198,0.5434595501160566
772.003252,0.5417449284666894
772.244306,0.5407382194293803
772.48536,0.5400681195850534
772.726414,0.5386119024399715
772.967468,0.5362472161940026
773.208522,0.5322510513057881
773.449576,0.5259600603609713
773.69063,0.5199201691799386
773.931684,0.5145410194828738
774.172738,0.5095435265688435
774.413792,0.5057716480473099
774.654846,0.4971666486172517
774.8959,0.4908778304346258
775.136954,0.4798604243355207
775.378008,0.46584607992866833
775.619062,0.4452630713125711
775.860116,0.4198952515003561
776.10117,0.38343698008859134
776.342224,0.3438671115076803
776.583278,0.2987345179024321
776.824332,0.27731534242415656
777.065386,0.24019600534778515
777.30644,0.2107042052288033
777.547494,0.21470291437849215
777.788548,0.36041468776984786
778.029602,0.4634346019721176
778.270656,0.4985008422564632
778.51171,0.5179792994359688
778.752764,0.5317350181025863
778.993818,0.5451850503628676
779.234872,0.5581151365401423
779.475926,0.5744914869458908
779.71698,0.5891820852891008
779.958034,0.5984035020396543
780.199088,0.6080367224946631
780.440142,0.615217140197209
780.681196,0.6214747477445252
780.92225,0.6235851222030337
781.163304,0.6272563313276118
781.404358,0.6364178083239365
781.645412,0.6399789460285006
781.886466,0.6411768263265802
782.12752,0.6485604918049761
782.368574,0.6524178813777429
782.609628,0.6585465956589944
782.850682,0.6657240723971872
783.091736,0.6704474189444293
783.33279,0.6753798538145858
783.573844,0.6812540418714307
783.814898,0.6851688326959107
784.055952,0.6921725532780996
784.297006,0.6946480253818711
784.53806,0.7004025764754752
784.779114,0.7020083362688371
785.020168,0.7076044697085652
785.261222,0.7108740569219844
785.502276,0.7152522509324258
785.74333,0.7208458246500995
785.984384,0.7256626801666092
786.225438,0.7299932437642462
786.466492,0.7346434496401552
786.707546,0.7407441425636173
786.9486,0.7454777432637515
787.189654,0.7514654842391787
787.430708,0.756449123873531
787.671762,0.758312279460042
787.912816,0.7663088439237618
788.15387,0.7722708102428036
788.394924,0.7764290594002153
788.635978,0.7798606726979638
788.877032,0.7876196368590346
789.118086,0.7909820533742505
789.35914,0.7985801026121978
789.600194,0.8031450068145928
789.841248,0.8091265066863857
790.082302,0.8159354765498738
790.323356,0.8219629154236983
790.56441,0.8287970225222183
790.805464,0.8334763095922192
791.046518,0.8387773358919214
791.287572,0.8454214656966379
791.528626,0.8506793614179112
791.76968,0.8567321097281321
792.010734,0.8624914872330969
792.251788,0.8686543403441154
792.492842,0.8747387575528592
792.733896,0.8807160580998505
792.97495,0.8860871232253442
793.216004,0.8897453329103256
793.457058,0.8981393900077129
793.698112,0.9007928130829874
793.939166,0.905510867567139
794.18022,0.9089638087079208
794.421274,0.9130624498631955
794.662328,0.9194873431123831
794.903382,0.9198312956938306
795.144436,0.9259046679626676
795.38549,0.9303764405026463
795.626544,0.9351484427456842
795.867598,0.9386505690208465
796.108652,0.9412429405272602
796.349706,0.9445392844992766
796.59076,0.9501902987254202
796.831814,0.9509184233303649
797.072868,0.9537001167302839
797.313922,0.9561657521972602
797.554976,0.9577140806442451
797.79603,0.9583195472505067
798.037084,0.9619690513382442
798.278138,0.9651208039864623
798.519192,0.9661849533510629
798.760246,0.9680050255840278
799.0013,0.9704824111794536
799.242354,0.9701709363198545
799.483408,0.9735588539133451
799.724462,0.975324541786736
799.965516,0.974786311204977
800.20657,0.9780064635718374
800.447624,0.9777512371933363
800.688678,0.9789467795327823
800.929732,0.9766860689669395
801.170786,0.9802310203966985
801.41184,0.9779350717058314
801.652894,0.97833512895629
801.893948,0.9803613997924489
802.135002,0.9809723552373799
802.376056,0.9811077387636511
802.61711,0.9802604277684187
802.858164,0.9818183179651478
803.099218,0.9830404599674128
803.340272,0.9838203202258916
803.581326,0.9828006273559493
803.82238,0.9876647111643383
804.063434,0.9879027670443102
804.304488,0.9845387712623797
804.545542,0.9869331227003666
804.786596,0.9863667856422218
805.02765,0.9859111894380819
805.268704,0.9877950915111255
805.509758,0.9858835843112512
805.750812,0.9887191118338725
805.991866,0.9882051115473756
806.23292,0.9899280651085418
806.473974,0.990178548593839
806.715028,0.9891483090574692
806.956082,0.9862878794556599
807.197136,0.9892106273639458
807.43819,0.9875728626172237
807.679244,0.9891136894724984
807.920298,0.987404989500198
808.161352,0.9896677482605842
808.402406,0.9876449580676466
808.64346,0.988603438464812
808.884514,0.9883464349827117
809.125568,0.9880262626085027
809.366622,0.9874504111744055
809.607676,0.9900776545403767
809.84873,0.9889920359705371
810.089784,0.987675575535915
810.330838,0.9868640397997073
