nu,[0]Ethane-PNNL(x-sec)-X=0.01-T=278.24K-P=1.0atm-L=15cm
649.00581,0.9999699804505957
649.126812,1.0004309228205739
649.247814,1.0000853776444636
649.368816,0.9999296054778106
649.489818,1.0003145494603098
649.61082,0.999997330903562
649.731822,0.9995280214169504
649.852824,1.0001226175169133
649.973826,0.9998297744900065
650.094828,0.9998841967057192
650.21583,0.9999697714568916
650.336832,1.0003020556096114
650.457834,1.0000779570384921
650.578836,0.9998765776171691
650.699838,0.9997921516034716
650.82084,0.9999125528237273
650.941842,1.0000875328307748
651.062844,0.9998347636530291
651.183846,1.0000849076044467
651.304848,0.9996816706775338
651.42585,0.9999149386179246
651.546852,0.9999396108234997
651.667854,0.9999032186836138
651.788856,1.000149761213091
651.909858,1.0000989098912607
652.03086,0.9998449220258323
652.151862,1.00020931190268
652.272864,1.0003672774298453
652.393866,0.9996332172812337
652.514868,0.9998728680819473
652.63587,0.9999941528170948
652.756872,0.9997901120295626
652.877874,1.000252101772312
652.998876,0.9997250078172835
653.119878,1.0000478591452124
653.24088,1.0002148130690236
653.361882,1.0001509613935244
653.482884,1.000055078516766
653.603886,0.9999241588760834
653.724888,0.999544763651525
653.84589,0.9998552804728812
653.966892,0.9996211617773281
654.087894,0.9998377631618194
654.208896,0.9997843832486336
654.329898,1.000001888301783
654.4509,0.9997723459171243
654.571902,1.000253552138911
654.692904,1.0000581156886512
654.813906,1.0000702064643585
654.934908,0.999993012024416
655.05591,0.9998266350294436
655.176912,0.9998720881814144
655.297914,0.9998294145513525
655.418916,1.0000549275084603
655.539918,1.0002238550518034
655.66092,0.9998774575089445
655.781922,0.9998697784795584
655.902924,0.9995912735514221
656.023926,0.9998686186312881
656.144928,1.0003029258727785
656.26593,0.9996580084924319
656.386932,1.0002966639960622
656.507934,0.9999286145480626
656.628936,0.9999244668527718
656.749938,1.0001819565520855
656.87094,0.9998717682223973
656.991942,1.000246740435415
657.112944,0.9999748603160071
657.233946,0.9997235182281315
657.354948,1.0000560815725126
657.47595,1.0001706045513015
657.596952,0.9996940967979285
657.717954,0.9999171204347009
657.838956,1.0003664671326788
657.959958,0.9999666945546387
658.08096,0.9998290446145376
658.201962,0.9997540402530594
658.322964,0.9997696765285242
658.443966,0.9997012546332866
658.564968,0.999927278644326
658.68597,1.0001060456224395
658.806972,0.9996631767376958
658.927974,0.9999161105189193
659.048976,0.9999105230033053
659.169978,1.000052367371123
659.29098,1.0001502612880966
659.411982,1.0000242762946645
