nu,[0]Furfurylalcohol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
569.575392,1.0
569.710394,0.9993236488286383
569.845397,0.9994915692947178
569.9804,1.0
570.115402,0.9998325340239923
570.250405,0.9982097044942975
570.385408,1.0
570.52041,1.0
570.655413,0.9995373370615208
570.790416,0.998764264151135
570.925419,1.0
571.060421,0.9992558470192677
571.195424,1.0
571.330427,0.9966503227286398
571.465429,1.0
571.600432,0.9997872126424419
571.735435,0.9982863699435182
571.870437,0.9997112616929308
572.00544,0.9994892504769669
572.140443,0.9992140989821018
572.275446,0.9999885040660788
572.410448,0.996751487870441
572.545451,0.9967558735866362
572.680454,0.9981809564687816
572.815456,0.9953333229332059
572.950459,0.9950437230750554
573.085462,0.9967898635414509
573.220464,0.9968965257631769
573.355467,0.9995248629133932
573.49047,0.9976048729051323
573.625473,0.999111025372279
573.760475,0.9957051493635848
573.895478,0.9928443246365104
574.030481,0.9994018889397743
574.165483,0.9926242354475265
574.300486,0.9937330199523298
574.435489,0.9916883344933122
574.570491,0.9934687221221923
574.705494,0.9933049126363775
574.840497,0.9942072430930838
574.9755,0.9925337122451745
575.110502,0.991306508840947
575.245505,0.9912534753613822
575.380508,0.9913089871103169
575.51551,0.9895727447169943
575.650513,0.9902141956632319
575.785516,0.9907849214930942
575.920518,0.9882861476889588
576.055521,0.9913224690042183
576.190524,0.9882041233427581
576.325527,0.9884195753250596
576.460529,0.9893916694736012
576.595532,0.9867140478653335
576.730535,0.9880124303376523
576.865537,0.9867614112763438
577.00054,0.9863342360753664
577.135543,0.9871611305856072
577.270545,0.9817034519417394
577.405548,0.9853868241788272
577.540551,0.9873408102617283
577.675554,0.9826168608213403
577.810556,0.9846451071917128
577.945559,0.9820795163755751
578.080562,0.9818477729565095
578.215564,0.983275434715709
578.350567,0.9806182881300972
578.48557,0.9817299582927759
578.620572,0.9788948967283736
578.755575,0.9779037782842342
578.890578,0.9778216378168063
579.025581,0.9762124910754124
579.160583,0.9777923036076871
579.295586,0.9782226268854531
579.430589,0.974491970186724
579.565591,0.9759645645906757
579.700594,0.9736386890125603
579.835597,0.9755098710553984
579.970599,0.9747219774314754
580.105602,0.9721793257751001
580.240605,0.9756630381284548
580.375608,0.9697266997689555
580.51061,0.9699487926118626
580.645613,0.9709842803080244
580.780616,0.965844916097551
580.915618,0.969992441289618
581.050621,0.9675046963320568
581.185624,0.9671487201074492
581.320626,0.9688049280493989
581.455629,0.9634843828781227
581.590632,0.9649731517991327
581.725635,0.9650686888701678
581.860637,0.9632252404353496
581.99564,0.9667793398524888
582.130643,0.96123534889515
582.265645,0.9611065519879836
582.400648,0.9617093547549992
582.535651,0.960263070777775
582.670653,0.960646292190603
582.805656,0.95834446388265
582.940659,0.9560892619967333
583.075662,0.9586924060707259
583.210664,0.9567922459192449
583.345667,0.9570429583295673
583.48067,0.9519326428525975
583.615672,0.9532386375607541
583.750675,0.9543335838956173
583.885678,0.9512541567872693
584.02068,0.9528621826536565
584.155683,0.9520802038479214
584.290686,0.9490203850921655
584.425689,0.9514805822201424
584.560691,0.9468420401242095
584.695694,0.9498178971238024
584.830697,0.9489131518474424
584.965699,0.9480500336576
585.100702,0.9458360817971334
585.235705,0.9439349727575815
585.370707,0.9454436412602314
585.50571,0.9458039239170394
585.640713,0.9418229247954398
585.775716,0.9422298801949888
585.910718,0.9415950312238737
586.045721,0.942010366207276
586.180724,0.9407724366927575
586.315726,0.9406943558209129
586.450729,0.9404262961298244
586.585732,0.938567032837619
586.720734,0.937553927617447
586.855737,0.9367573453743864
586.99074,0.9343679197097091
587.125743,0.9364501393496458
587.260745,0.9356788222611044
587.395748,0.931954765822126
587.530751,0.9335889817269596
587.665753,0.9338392171041052
587.800756,0.9334162837403964
587.935759,0.9340446843324345
588.070761,0.9302992224626776
588.205764,0.9317879608485343
588.340767,0.927837193152787
588.47577,0.9300676067936319
588.610772,0.9277165821575617
588.745775,0.9247406122349394
588.880778,0.9283058692660875
589.01578,0.9269311388946532
589.150783,0.9244854190442429
589.285786,0.9277638969097677
589.420788,0.9240463927471969
589.555791,0.9256454509477137
589.690794,0.923887470435355
589.825797,0.9232022001989901
589.960799,0.9234967486788384
590.095802,0.9203106526605339
590.230805,0.9204569936881103
590.365807,0.9204082107602038
590.50081,0.9175465175606934
590.635813,0.9195553876933918
590.770815,0.9197632306963852
590.905818,0.9168329439861446
591.040821,0.9177392225626982
591.175824,0.9156830403568966
591.310826,0.9156647268792248
591.445829,0.91493797764371
591.580832,0.912673568097251
591.715834,0.9139558617463615
591.850837,0.9095157172270962
591.98584,0.9120859955380677
592.120842,0.9120714022788855
592.255845,0.9078028949422968
592.390848,0.9109338471508869
592.525851,0.910578652218012
592.660853,0.9082469191129854
592.795856,0.9083441067327753
592.930859,0.9075469306185889
593.065861,0.9079136536516237
593.200864,0.905605951200037
593.335867,0.9065074775564655
593.470869,0.9086139249985041
593.605872,0.9045479163849226
593.740875,0.9061748503530276
593.875878,0.9064322405582069
594.01088,0.904950529782551
594.145883,0.9066307709571744
594.280886,0.9027857666023912
594.415888,0.9034992491465049
594.550891,0.9021901245799229
594.685894,0.9013604913551095
594.820896,0.9022171906896499
594.955899,0.8995595718921687
595.090902,0.8993706842159714
595.225905,0.8991638527451328
595.360907,0.895207270829981
595.49591,0.8966676485659488
595.630913,0.8926684889574824
595.765915,0.8923739569565795
595.900918,0.8893361441778107
596.035921,0.8890427116692589
596.170923,0.8877722891601564
596.305926,0.883362173462608
596.440929,0.8817735517388545
596.575932,0.8790706579997807
596.710934,0.8677861201862019
596.845937,0.8644947904166225
596.98094,0.8590140507760943
597.115942,0.847775007278314
597.250945,0.8400532468891796
597.385948,0.831619728279375
597.52095,0.816523161634232
597.655953,0.7988756319197148
597.790956,0.7887546261322622
597.925959,0.7795331999895132
598.060961,0.7585322219111994
598.195964,0.7278283802439309
598.330967,0.6650254289731558
598.465969,0.6839024421278838
598.600972,0.7451423537475836
598.735975,0.7600508044313479
598.870977,0.7575013192620981
599.00598,0.7777656665350015
599.140983,0.7976622633529215
599.275986,0.8138819077324265
599.410988,0.8303732337915396
599.545991,0.8451847808236714
599.680994,0.8542768136084795
599.815996,0.8523483280192677
599.950999,0.8545331350988632
600.086002,0.8573491789654043
600.221004,0.847368172922877
600.356007,0.8655154963673891
600.49101,0.8868406174697729
600.626013,0.8937760844510758
600.761015,0.8958341352965282
600.896018,0.8961925406269342
601.031021,0.898903133034022
601.166023,0.8959864400450654
601.301026,0.8976006680064703
601.436029,0.8975019373632745
601.571031,0.8959864400450654
601.706034,0.8974750127090255
601.841037,0.8965959180233235
601.97604,0.894938748929031
602.111042,0.8968918435012896
602.246045,0.8944466679517933
602.381048,0.8949029520950152
602.51605,0.894196257943804
602.651053,0.8930434884672291
602.786056,0.8938475893979917
602.921058,0.8903861802273706
603.056061,0.8932757099617167
603.191064,0.8952609848776361
603.326067,0.8912324490126131
603.461069,0.8944466679517933
603.596072,0.8944198349542517
603.731075,0.8932131828504938
603.866077,0.8937582091081409
604.00108,0.8928648976292148
604.136083,0.8943393407913975
604.271085,0.8926417093045105
604.406088,0.8939012218623134
604.541091,0.8945629535770289
604.676094,0.8940800199859023
604.811096,0.8955564697549689
604.946099,0.8960850039743872
605.081102,0.8946255751755097
605.216104,0.8955475142350491
605.351107,0.8948761054091547
605.48611,0.8972506719996054
605.621112,0.8960760431691516
605.756115,0.8961835787463374
605.891118,0.8972147826905164
606.026121,0.8952162229474497
606.161123,0.8978699886029419
606.296126,0.8982202261903873
606.431129,0.896282164362109
606.566131,0.8988941440476367
606.701134,0.8994876100049312
606.836137,0.8976904325614239
606.971139,0.9000994695884159
607.106142,0.9005406264031071
607.241145,0.9011712255255326
607.376148,0.8998114838383251
607.51115,0.9009099237607174
607.646153,0.9026413324347764
607.781156,0.8989390898784755
607.916158,0.9013154244572236
608.051161,0.902894107394701
608.186164,0.9003695399378193
608.321166,0.9020457857074078
608.456169,0.9017571772357996
608.591172,0.9027947945051966
608.726175,0.9038336057208409
608.861177,0.90356249630757
608.99618,0.9049993984306008
609.131183,0.9028399353734342
609.266185,0.9044303327988913
609.401188,0.906730505827297
609.536191,0.9036076755618574
609.671193,0.905497285005995
609.806196,0.905200330599698
609.941199,0.9069998447823827
610.076202,0.9077057652290703
610.211204,0.9068819424663775
610.346207,0.9084631076051443
610.48121,0.9072638201437666
610.616212,0.9074471059466785
610.751215,0.910444806994001
610.886218,0.9079345359058026
611.02122,0.9101089148361347
611.156223,0.9109156286561294
611.291226,0.9098450215172128
