nu,[0]3-Methoxyphenol-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
640.877358,1.0
641.118412,1.0
641.359466,1.0
641.60052,1.0
641.841574,1.0
642.082628,1.0
642.323682,1.0
642.564736,1.0
642.80579,1.0
643.046844,1.0
643.287898,1.0
643.528952,1.0
643.770006,1.0
644.01106,1.0
644.252114,1.0
644.493168,1.0
644.734222,1.0
644.975276,1.0
645.21633,1.0
645.457384,1.0
645.698438,1.0
645.939492,1.0
646.180546,1.0
646.4216,1.0
646.662654,1.0
646.903708,1.0
647.144762,1.0
647.385816,1.0
647.62687,1.0
647.867924,1.0
648.108978,1.0
648.350032,1.0
648.591086,1.0
648.83214,1.0
649.073194,1.0
649.314248,1.0
649.555302,1.0
649.796356,1.0
650.03741,1.0
650.278464,1.0
650.519518,1.0
650.760572,1.0
651.001626,1.0
651.24268,1.0
651.483734,1.0
651.724788,1.0
651.965842,1.0
652.206896,1.0
652.44795,1.0
652.689004,1.0
652.930058,1.0
653.171112,1.0
653.412166,1.0
653.65322,1.0
653.894274,1.0
654.135328,1.0
654.376382,1.0
654.617436,1.0
654.85849,1.0
655.099544,1.0
655.340598,1.0
655.581652,1.0
655.822706,1.0
656.06376,1.0
656.304814,1.0
656.545868,1.0
656.786922,1.0
657.027976,1.0
657.26903,1.0
657.510084,1.0
657.751138,1.0
657.992192,1.0
658.233246,1.0
658.4743,1.0
658.715354,1.0
658.956408,1.0
659.197462,1.0
659.438516,1.0
659.67957,1.0
659.920624,1.0
660.161678,1.0
660.402732,1.0
660.643786,0.9970020029952499
660.88484,1.0
661.125894,0.9913978123748745
661.366948,0.9973968939716888
661.608002,0.9865177113059439
661.849056,0.9908608185248998
662.09011,0.9932780937657928
662.331164,0.9954677020021849
662.572218,0.9897063460554185
662.813272,0.9842050691846197
663.054326,0.9934750803423601
663.29538,0.9674901838704556
663.536434,0.9731004156638348
663.777488,0.9757879309903079
664.018542,0.9702592258921742
664.259596,0.9484663189903206
664.50065,0.9577887852559774
664.741704,0.9439897225737308
664.982758,0.9409973081761989
665.223812,0.9380988047208639
665.464866,0.9463517029557158
665.70592,0.946881808325021
665.946974,0.9265131872062017
666.188028,0.9343660509757384
666.429082,0.9154614718719982
666.670136,0.9119683440333285
666.91119,0.8930345580769965
667.152244,0.9106733573224228
667.393298,0.8891671863619177
667.634352,0.8798269839391996
667.875406,0.8834063426755022
668.11646,0.8807689026486571
