nu,[0]Valeraldehyde-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
674.223484,0.9275681593785555
674.341487,0.92771379901199
674.459489,0.9282687377739516
674.577492,0.928876952965924
674.695494,0.9297216859891635
674.813496,0.9292495073162182
674.931499,0.9298090839352856
675.049501,0.9296575374059818
675.167503,0.9301587578854282
675.285506,0.9309134226132573
675.403508,0.9310577253769375
675.52151,0.9317273965994386
675.639513,0.9323555925429984
675.757515,0.9320973658099176
675.875518,0.93102606995242
675.99352,0.9324693468641612
676.111522,0.93237796934574
676.229525,0.9338252096209051
676.347527,0.9335226992623123
676.465529,0.9338485555429684
676.583532,0.9327183494201358
676.701534,0.9335945832776547
676.819536,0.9339363414330616
676.937539,0.9340045212745202
677.055541,0.9333173468580673
677.173543,0.93378692357218
677.291546,0.933564708728985
677.409548,0.9323248253161065
677.527551,0.9321775296303721
677.645553,0.9320759278170418
677.763555,0.9321943089769191
677.881558,0.9315168500004689
677.99956,0.9322306652639123
678.117562,0.9312448867888301
678.235565,0.9308938736366473
678.353567,0.9289317583228911
678.471569,0.9283754948172079
678.589572,0.9273631894653425
678.707574,0.9286874813942764
678.825577,0.9311741148668012
678.943579,0.9330439249337059
679.061581,0.9347408068957199
679.179584,0.935618940732709
679.297586,0.9359324255836353
679.415588,0.9372024108081116
679.533591,0.9373392523492791
679.651593,0.935906219842601
679.769595,0.9371424317731695
679.887598,0.9372099084573886
680.0056,0.9375773667586256
680.123602,0.9370037449563446
680.241605,0.937543614580965
680.359607,0.9381682266009911
680.47761,0.9385895587167166
680.595612,0.9373926822093994
680.713614,0.9368154261302845
680.831617,0.9369906269957412
680.949619,0.9365072645504471
681.067621,0.9362478879634825
681.185624,0.9361392895073108
681.303626,0.9364679320713238
681.421628,0.9359998151442723
681.539631,0.9358014042157633
681.657633,0.9355665475390511
681.775636,0.9369091123571307
681.893638,0.9363780354649511
682.01164,0.935458028113785
682.129643,0.9348744843888189
682.247645,0.9363499445452531
682.365647,0.9362535054676627
682.48365,0.9350689585061789
682.601652,0.9356348463898992
682.719654,0.9362141836461971
682.837657,0.9369222291765212
682.955659,0.9374142424890326
683.073661,0.937260519158922
683.191664,0.937331753665255
683.309666,0.9371161921524362
683.427669,0.9376598771973064
683.545671,0.9383399270965753
683.663673,0.939192326681226
683.781676,0.9401037852240341
683.899678,0.9406332126749584
684.01768,0.9412005855479307
684.135683,0.9405090572853212
684.253685,0.9420065981733472
684.371687,0.9431339120640919
684.48969,0.943346141069174
684.607692,0.9443324530448421
684.725695,0.945353828380491
684.843697,0.9463034402495746
684.961699,0.9467634554961863
685.079702,0.9462400400430085
685.197704,0.9473402100445178
685.315706,0.948602907974426
685.433709,0.9488780427103471
685.551711,0.949578573169812
685.669713,0.9509754801474521
685.787716,0.9514824851832099
685.905718,0.9517917672465074
686.02372,0.9525906556260395
686.141723,0.9536047514869525
686.259725,0.9548681603700414
686.377728,0.9552673786918926
686.49573,0.9555482685900197
686.613732,0.9564985557834902
686.731735,0.9562049557967686
686.849737,0.9579870680560871
686.967739,0.9586914473787992
687.085742,0.959807054131683
687.203744,0.9610411989644764
687.321746,0.9612084346821816
687.439749,0.9617564796679331
687.557751,0.9629719455068583
687.675754,0.9628679501525937
687.793756,0.9631674486546943
687.911758,0.9648525376936964
688.029761,0.9648998166263678
688.147763,0.9660844753408615
688.265765,0.966422664086809
688.383768,0.9668315473464304
688.50177,0.9664642211548353
688.619772,0.9678656428961381
688.737775,0.9686373392936917
688.855777,0.9683080585792253
688.973779,0.9699138750838479
689.091782,0.9697422155202775
689.209784,0.9703999236802717
689.327787,0.9704843521462169
689.445789,0.971002729184614
689.563791,0.9715825908854326
689.681794,0.9729894885394152
689.799796,0.972608151406869
689.917798,0.9733476145623444
690.035801,0.9738577823646659
