nu,[0]Diethylamine-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
660.767815,0.9190387427563338
660.896018,0.9177502354994465
661.02422,0.9174933014059583
661.152423,0.9167238473571884
661.280626,0.916414047055982
661.408828,0.9167981049962182
661.537031,0.9156372573494634
661.665233,0.9153680995639359
661.793436,0.9133747706248548
661.921638,0.9129401076920224
662.049841,0.9120741384971967
662.178044,0.9119829356435657
662.306246,0.9126635287432185
662.434449,0.910879192759706
662.562651,0.9107307315512033
662.690854,0.9088620104621536
662.819056,0.9082342037451255
662.947259,0.9081070598568811
663.075462,0.9072683564742082
663.203664,0.9074906644531597
663.331867,0.9058459685780029
663.460069,0.9048953294838604
663.588272,0.9032101756410057
663.716474,0.9033276005962958
663.844677,0.9028218787552935
663.972879,0.9024247245089828
664.101082,0.9019375467075927
664.229285,0.8999374662646266
664.357487,0.8992537736263764
664.48569,0.8980406001083562
664.613892,0.8983190358496999
664.742095,0.8982741210207874
664.870297,0.8974480888625039
664.9985,0.8964435096723364
665.126703,0.8943751150805102
665.254905,0.8938922828947897
665.383108,0.8937492715707376
665.51131,0.8933471748770722
665.639513,0.8928559690248816
665.767715,0.8918119384181252
665.895918,0.8904485094414836
666.02412,0.8885983014252438
666.152323,0.8881807583538819
666.280526,0.8877190244207649
666.408728,0.8869736535398492
666.536931,0.887222040935453
666.665133,0.8853608296053802
666.793336,0.8848474692131141
666.921538,0.8824704280746375
667.049741,0.8821351530182643
667.177944,0.8817823695184608
667.306146,0.8806279908974741
667.434349,0.8805663490955995
667.562551,0.8786400188925584
667.690754,0.8781129930048
667.818956,0.8765688733609869
667.947159,0.8761394598279474
668.075362,0.8754388285499632
668.203564,0.8748174875838373
668.331767,0.8738295021397733
668.459969,0.8718655959829081
668.588172,0.8712032298609693
668.716374,0.8692104570603028
668.844577,0.8691409230051371
668.972779,0.8692017649991924
669.100982,0.868272216507773
669.229185,0.8672309147539721
669.357387,0.8651174507965602
669.48559,0.8640108088614726
669.613792,0.8630954426338888
669.741995,0.8626036184148062
669.870197,0.8623362527369187
669.9984,0.8604325939361499
670.126603,0.8591944626693431
670.254805,0.8577264956077231
670.383008,0.8576493036968065
670.51121,0.8564494347758541
670.639413,0.855405203575979
670.767615,0.8549092124092476
670.895818,0.8527916644073089
671.02402,0.851564528160709
671.152223,0.849965090789983
671.280426,0.8493278559648203
671.408628,0.8487929479292857
671.536831,0.8477580519477224
671.665033,0.8466990164178891
671.793236,0.8450918156109613
671.921438,0.843791375810577
672.049641,0.842492937146215
672.177844,0.8417939581248046
672.306046,0.8411460262628286
672.434249,0.8388024995894517
672.562451,0.8390541780892159
672.690654,0.8364236800132995
672.818856,0.8355291853156908
672.947059,0.8348109391064571
673.075262,0.833743064689828
673.203464,0.833301297944071
673.331667,0.8313952212625507
673.459869,0.8303649301007201
673.588072,0.828200503438642
673.716274,0.8269260562395631
673.844477,0.8263308837668721
673.972679,0.8259838976678716
674.100882,0.8250758149175147
674.229085,0.8227770616458523
674.357287,0.8218889420901602
674.48549,0.8193941936451311
674.613692,0.819607263833403
674.741895,0.8185342812748025
674.870097,0.8174054830165818
674.9983,0.8157804635360318
675.126503,0.8138900465921981
675.254705,0.8128001643139736
675.382908,0.8110626317852477
675.51111,0.8102195651188461
675.639313,0.8096040321814996
675.767515,0.8083501179661792
675.895718,0.8061302089157216
676.02392,0.8046402466692552
676.152123,0.8033056518799268
676.280326,0.8018369468120025
676.408528,0.8017647847341316
676.536731,0.8005070016401868
676.664933,0.798731847246978
676.793136,0.7969845385029374
676.921338,0.7955353458082397
677.049541,0.7945097668527954
677.177744,0.7934220337395202
677.305946,0.7930016314780785
677.434149,0.7917338433686626
677.562351,0.78936220108072
677.690554,0.7874778780830726
677.818756,0.7858573433780427
677.946959,0.7855587743192729
678.075162,0.7839735472135548
678.203364,0.7835659869438576
678.331567,0.7825871413661177
678.459769,0.7802897140435022
678.587972,0.7788163592428274
678.716174,0.7771903328414865
678.844377,0.7767396931465829
678.972579,0.7755444346044376
679.100782,0.7737008336055087
679.228985,0.7728038609832277
679.357187,0.7702578115341137
679.48539,0.7695956745758961
679.613592,0.7681041062562943
679.741795,0.7676894420083392
679.869997,0.765588852059665
679.9982,0.7647930535404809
680.126403,0.7630589422698779
680.254605,0.7605754204581205
680.382808,0.7598684141259964
680.51101,0.7582895304328954
680.639213,0.7579938551764492
680.767415,0.7569485450861587
680.895618,0.7548169571406221
681.02382,0.7536931173430514
681.152023,0.7515406345450553
681.280226,0.7513227193602663
681.408428,0.7503166211526684
681.536631,0.7492219581842011
681.664833,0.7471494850604636
681.793036,0.7453137561994719
681.921238,0.7441519731661763
682.049441,0.7428879895023175
682.177644,0.7423978451946597
682.305846,0.7411071961343343
682.434049,0.7404701179285524
682.562251,0.7388280975837115
682.690454,0.736629667141183
682.818656,0.7356653140664026
682.946859,0.7341367205015608
683.075062,0.7336890336604234
683.203264,0.7324501463481816
683.331467,0.7308770701963582
683.459669,0.7289355205954074
683.587872,0.7278647725727437
683.716074,0.7269991286536672
683.844277,0.7259239657600541
683.972479,0.7247706637725476
684.100682,0.7236481394248083
684.228885,0.7222384004950975
684.357087,0.7201469432124843
684.48529,0.7187655876072497
684.613492,0.7188662218337463
684.741695,0.7173725340661345
684.869897,0.71671285483377
684.9981,0.7155956544231178
685.126303,0.713544839222433
685.254505,0.7123755847368551
685.382708,0.7112224705642474
685.51091,0.7106537201183076
685.639113,0.7091274559419725
685.767315,0.7081353721243664
685.895518,0.7070739653202966
686.02372,0.705922373559082
686.151923,0.7049347737172965
686.280126,0.7034559639861704
686.408328,0.7037374026557462
686.536531,0.7029285698107182
686.664733,0.701860929996421
686.792936,0.699989460836452
686.921138,0.6978926392589249
687.049341,0.6971672082036299
687.177544,0.6967350985023929
687.305746,0.6960526325687881
687.433949,0.694592455762655
687.562151,0.6938496393126606
687.690354,0.6924702514765348
687.818556,0.6904235701149295
687.946759,0.6899059465704361
688.074961,0.6890234318887148
688.203164,0.6888856409818871
688.331367,0.6871999369920722
688.459569,0.685209944059201
688.587772,0.6843608103003004
688.715974,0.6834580499835938
688.844177,0.6838545706324567
688.972379,0.6827885891839809
689.100582,0.6822630443310439
689.228785,0.6802193223138678
689.356987,0.6785548248162289
689.48519,0.6786023253164641
689.613392,0.6766575287607877
689.741595,0.6767319651828795
689.869797,0.6757852033195656
689.998,0.6751772702474959
