nu,[0]Hexafluorobenzene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
634.14591,0.999028871850451
634.264912,0.9998777074783401
634.383914,0.9996523704371634
634.502916,1.0001049655084935
634.621918,0.9994975962470519
634.74092,0.9997090823247557
634.859922,0.9994619647928802
634.978924,1.0001674440171848
635.097926,0.9990574844470712
635.216928,0.9992702264143658
635.33593,0.9997220786273018
635.454932,0.9996268796267265
635.573934,0.9995097202264261
635.692936,0.9995089406091484
635.811938,1.0003497311416807
635.93094,0.999650241179882
636.049942,0.9996661457417396
636.168944,0.999000879453637
636.287946,1.0006379634121492
636.406948,0.9999085551813324
636.52595,1.0003697783511651
636.644952,0.9986993465838089
636.763954,1.0001031753222074
636.882956,0.9998029194229289
637.001958,0.9999385658871524
637.12096,1.000241799228722
637.239962,0.999435399446911
637.358964,0.9997868427212416
637.477966,0.999821125999862
637.596968,1.0004127951764894
637.71597,0.9995991503616923
637.834972,0.9997331556092993
637.953974,0.999161981333939
638.072976,1.0005001150158348
638.191978,1.0000978167837495
638.31098,1.0000275803803318
638.429982,0.9997647676714637
638.548984,1.0004311129024672
638.667986,0.999965190605861
638.786988,0.9997473319259557
638.90599,1.0006326200196916
639.024992,0.9996461626152183
639.143994,0.9994310419180688
639.262996,0.9988324820799922
639.381998,0.9997585691491196
639.501,0.9996005997815112
639.620002,0.9998980851936667
639.739004,0.9999114479209669
639.858006,1.0005871623123437
639.977008,0.9998859964988931
640.09601,1.0001293683673655
640.215012,0.9999626596971665
640.334014,0.9997106618663537
640.453016,0.9995919532737192
640.572018,0.9997809240006521
640.69102,1.0003110083530726
640.810022,0.9999211631077911
640.929024,0.9997559097948626
641.048026,0.999335071163223
641.167028,1.0009134969844469
641.28603,0.9993566370467537
641.405032,0.9997308262337605
641.524034,0.9987340020524043
641.643036,0.9998976752355359
641.762038,0.9999326922652673
641.88104,0.9995180261867125
642.000042,1.00031694021494
642.119044,1.0002540322607314
642.238046,0.9997455323823778
642.357048,0.9993784932154023
642.47605,0.9999948487132679
642.595052,0.9999980756018516
642.714054,1.000093885406959
642.833056,0.9988458665249277
642.952058,0.9997160903099859
643.07106,1.0001053755516134
643.190062,1.000204120829822
643.309064,0.9999011168892571
643.428066,1.0007216502643463
643.547068,0.9998401027849225
643.66607,0.9998691285644136
643.785072,0.9993085491623828
643.904074,0.9998474616351596
644.023076,1.0003822230286137
644.142078,0.9993844795105056
644.26108,1.0004805254153655
644.380082,0.9994313417474263
644.499084,0.9997610085630044
644.618086,0.9997887723117101
644.737088,1.001130438464443
644.85609,0.9995343284586643
644.975092,0.9996754926638991
645.094094,0.9999308033941956
645.213096,1.0002084317188729
645.332098,0.9996479719764101
645.4511,0.9997988902252825
645.570102,1.0000555375421523
645.689104,1.0003267633755246
645.808106,0.9998809570861701
645.927108,0.9990775257412228
646.04611,1.0001959191896581
646.165112,0.9994660625953363
646.284114,1.000405862339841
646.403116,0.9994631741425892
646.522118,1.0005366939686988
646.64112,0.999573071160064
646.760122,0.9997885423603189
646.879124,0.9999990856204181
646.998126,1.0008608303019082
647.117128,0.9994361890011884
647.23613,0.9998242254501567
647.355132,0.9999066813544557
647.474134,0.9993186921956326
647.593136,1.0001692643235893
647.712138,0.9998260951232064
647.83114,0.9999971147041625
647.950142,0.9999822651572642
648.069144,1.0000334705601266
648.188146,0.9990210694654302
648.307148,0.9999754153022087
648.42615,0.9990787745889105
648.545152,0.9996901680078482
648.664154,0.9999847071169373
648.783156,0.9998305943507577
648.902158,1.000296433927856
649.02116,0.9993604446027943
649.140162,1.0002381383504362
649.259164,0.999919327254221
649.378166,0.9997834134582523
649.497168,0.9995407254988369
649.61617,0.9997138709427288
649.735172,0.9996135147046905
649.854174,1.0001217274081797
649.973176,0.9990693433297939
650.092178,1.0005362837487384
650.21118,0.999687508835538
650.330182,0.9999562029591184
