nu,[0]Methylbutylether-PNNL(x-sec)-X=0.01-T=278.12K-P=1.0atm-L=15cm
609.322186,1.000364706489246
609.440189,1.0002141029167586
609.558191,1.0000964026464365
609.676194,1.0003747802125615
609.794196,1.000033010544836
609.912198,1.0001169868424271
610.030201,0.9998727680946655
610.148203,1.0003360964677657
610.266205,0.9998107679066516
610.384208,1.0004600858070227
610.50221,0.9999898870511362
610.620212,0.9998639092611848
610.738215,1.0001467807712434
610.856217,1.0000554785388773
610.974219,1.0003575739143165
611.092222,1.0010804833019553
611.210224,0.9997531204797654
611.328227,1.0007053186202806
611.446229,0.9998116277442818
611.564231,1.0006648008822168
611.682234,1.0006309589709208
611.800236,0.9996663556716523
611.918238,1.0003687679781992
612.036241,1.0006169802540656
612.154243,1.0001758154537255
612.272245,1.0003153497122697
612.390248,1.000124377734269
612.50825,1.000187847641159
612.626253,0.9999935280209433
612.744255,1.000391946791079
612.862257,1.0001810263832986
612.98026,0.999991284637979
613.098262,1.0002760480942647
613.216264,1.0002199841929746
613.334267,1.0005029464351667
613.452269,1.000226175573839
613.570271,1.0008073257121106
613.688274,0.9998298444780932
613.806276,1.0001301884737839
613.924278,1.0000474941278104
614.042281,1.0000901710651662
614.160283,0.9998347036629451
614.278286,1.0000356036337943
614.396288,0.9997504611400019
614.51429,1.0002815496276585
614.632293,1.0005459089540854
614.750295,1.0003982792921444
614.868297,1.0003290041099842
614.9863,1.000471230994457
615.104302,1.0001829167272247
615.222304,0.999858949948494
615.340307,1.0001554920876417
615.458309,0.9997984103219303
615.576312,1.0008125299237354
615.694314,1.0004312129455837
615.812316,1.0000422258914878
615.930319,0.9998654790487547
616.048321,1.0007640117083756
616.166323,1.0003929171717378
616.284326,0.9992845460593104
616.402328,1.000110626118618
616.52033,1.000166243816972
616.638333,1.0004669689960912
616.756335,1.0001636733930284
616.874337,1.0002636047376243
616.99234,1.0005938162390973
617.110342,0.9996406345872241
617.228345,1.0001570723345676
617.346347,1.0002534921236998
617.464349,1.0002290262225015
617.582352,1.0000704674827163
617.700354,1.000413775581509
617.818356,1.0002404889128231
617.936359,0.9997485816109016
618.054361,1.0004621167430583
618.172363,1.0002795190581737
618.290366,1.0004043317200426
618.408368,0.999705873263752
618.526371,1.0003917167009575
618.644373,0.9997525206280731
618.762375,0.9996128649561171
618.880378,0.999928893528185
618.99838,1.0002187839297136
619.116382,1.0011597720160246
619.234385,1.0007119533185371
619.352387,0.9997679669238391
619.470389,0.9999898810511969
619.588392,0.9995182660710675
619.706394,1.0001565522530251
619.824396,1.0001333588915065
619.942399,1.00018945794489
620.060401,1.0003574138571174
620.178404,1.000278858873909
620.296406,1.0004481503893938
620.414408,1.0002665455169453
620.532411,1.0001756154185826
620.650413,1.0004396766294466
620.768415,1.0003630758961035
620.886418,1.0000392117687613
621.00442,1.0003156197974505
621.122422,1.0001125463328633
621.240425,1.0000720565959518
621.358427,0.9999339491814514
621.47643,1.0004262208062864
621.594432,1.0001521915799636
621.712434,1.0002639648325868
621.830437,1.0005674709507528
621.948439,1.00022696575283
622.066441,0.9999022987730758
622.184444,1.0000291814257696
622.302446,1.0003829032887566
622.420448,1.0005958074227728
622.538451,1.000342748724926
622.656453,0.9999742563313739
622.774455,1.000498124022587
622.892458,0.999413831863706
623.01046,1.0000276423820436
623.128463,1.0007780425181756
623.246465,0.9999517611635301
623.364467,1.000343829095678
623.48247,0.9999584648626078
623.600472,1.0007703465646196
623.718474,1.000295343605337
623.836477,1.0002226847905777
623.954479,1.0003425286495455
624.072481,0.9997210589113016
624.190484,1.0000776670159266
624.308486,0.9999470784003972
624.426489,1.0007217703509517
624.544491,1.000105045516894
624.662493,1.0001953190722865
624.780496,1.0000538664507452
624.898498,1.0006996146162208
625.0165,0.9999777802468623
625.134503,0.9995033633648204
625.252505,1.0000545254864603
625.370507,1.0000186071731112
625.48851,1.0002874613090857
625.606512,1.000820806677582
625.724514,0.9997799442158267
625.842517,0.9994317315257256
625.960519,0.9999078762436538
626.078522,1.0004006602428823
626.196524,1.0001801462243827
626.314526,0.9999950336123326
626.432529,1.0002735474072704
626.550531,1.0004234996506667
626.668533,1.0003091277701446
626.786536,1.000452342275926
626.904538,1.000389195717008
627.02254,1.0004371755333812
627.140543,0.9997897121135978
627.258545,1.000245350093412
627.376548,1.0006952115476033
627.49455,0.9999063173884899
627.612552,0.9999737053457105
627.730555,1.0002540822734343
627.848557,1.0000935163723834
627.966559,1.000404191663446
628.084562,1.0003737798382815
628.202564,1.0001549920100206
628.320566,0.9991834135882987
628.438569,0.9997381542875741
628.556571,1.000883870383412
628.674573,1.0007554151824372
628.792576,0.9997634079923043
628.910578,1.000047057107151
629.028581,1.000427531365494
629.146583,1.000033015545001
629.264585,0.9998749778159247
629.382588,1.000534042549973
629.50059,1.0003950480109207
629.618592,1.0004760632821728
629.736595,1.0004242399643302
629.854597,1.0000550855171513
