nu,[0]Propene-HITRAN(x-sec)-X=0.01-T=150.0K-P=0.5189atm-L=15cm
809.053099,0.9929525505661019
809.083232,0.997550704431221
809.113364,1.0
809.143496,0.9968734977194067
809.173629,0.9949171615629631
809.203761,0.9941899440375562
809.233893,0.9945761624105732
809.264026,0.9964032837353838
809.294158,0.9942959303345599
809.32429,0.9939362591354082
809.354423,0.9980074876934205
809.384555,0.998246239638071
809.414687,0.9943034870123458
809.44482,0.9911993543991432
809.474952,0.9944814832667105
809.505084,1.0
809.535217,0.9965174780949118
809.565349,0.9896489447520013
809.595481,0.9931188840483619
809.625614,0.9932248554867655
809.655746,0.9902560826096111
809.685878,0.9955956278209501
809.716011,0.995804226954975
809.746143,0.9907389501392806
809.776275,0.9938643007551716
809.806408,0.9954781544679313
809.83654,0.9935767180417588
809.866672,0.996413447100711
809.896805,0.9963941168673411
809.926937,0.9948148893356369
809.957069,0.9971879612088729
809.987202,0.9967448096578443
810.017334,0.9958345994470752
810.047466,0.9955653621739045
810.077599,0.991811113108962
810.107731,0.9937356036615405
810.137863,0.9991818848388454
810.167996,0.9968917406713375
810.198128,0.9951103932379269
810.22826,0.9964176320459772
810.258393,0.9935615164342654
810.288525,0.9923703546408387
810.318657,0.9946406130340751
810.34879,0.9958004429061021
810.378922,0.9963907291331029
810.409054,0.9947883281326853
810.439187,0.9944209211885136
810.469319,0.9971921494071052
810.499451,0.9953681602091573
810.529584,0.9932777957824094
810.559716,0.9946898489629995
810.589848,0.992884436357477
810.619981,0.9958686575727669
810.650113,1.0
810.680245,0.9965865391490816
810.710378,0.9899508337158773
810.74051,0.9937772420556521
810.770642,0.9936334528921236
810.800775,0.9916939871329288
810.830907,0.9948034490301915
810.861039,0.9953757250359212
810.891172,0.9962757522772532
810.921304,0.9973618859551048
810.951436,0.9938340877396687
810.981569,0.9949929771392109
811.011701,0.9974777861399231
811.041833,0.9929941561496014
811.071966,0.9933269642502102
811.102098,0.9972881836350669
811.13223,0.9941293003006227
811.162363,0.9917695570939273
811.192495,0.9926878647003146
811.222627,0.9928806634037876
811.25276,0.9956563610065905
811.282892,0.9954249973537903
811.313024,0.9907842279438919
811.343157,0.9919848936387086
811.373289,0.9952241408564265
811.403421,0.9939249283266398
811.433554,0.9935615164342654
811.463686,0.9954326621557794
811.493818,0.9966335791438645
811.523951,0.9954060844585136
811.554083,0.9923098218954731
811.584215,0.9930773725466051
811.614348,0.9954060844585136
811.64448,0.9933459369764163
811.674612,0.9930697258802762
811.704745,0.9947656472173673
811.734877,0.992404294287332
811.765009,0.9922343099912913
811.795142,0.994401927930305
811.825274,0.9923022803694845
811.855406,0.9934329578919558
811.885539,0.9987466860547736
811.915671,0.9976343026829702
811.945803,0.9949475069991562
811.975936,0.9969885435590609
812.006068,0.9967084291362402
812.0362,0.9936145740358683
812.066333,0.9922343099912913
812.096465,0.9918602089741735
812.126597,0.9933420629348164
812.15673,0.9949815347857675
812.186862,0.9936637591746053
812.216994,0.994356484800582
812.247127,0.9975555924416483
812.277259,0.9970277259787522
812.307391,0.995906600891436
812.337524,0.9976897726922512
812.367656,0.9972791083538884
812.397788,0.9944511520440243
812.427921,0.9931416267312093
812.458053,0.992763411121323
812.488185,0.9923400878065937
812.518318,0.9929184928777101
812.54845,0.9948072292904803
812.578582,0.9952430502947419
812.608715,0.9928239715364754
812.638847,0.9926462719501578
812.668979,0.9952658416215534
812.699112,0.9948072292904803
812.729244,0.9941445105952758
812.759376,0.9971761944603545
812.789509,0.9990308199586505
812.819641,0.9974284122115239
812.849773,0.9935464144139912
812.879906,0.9906106577523489
812.910038,0.9930205701454596
812.94017,0.9959028164535431
812.970303,0.9955767116837253
813.000435,0.995553913238071
813.030567,0.9932740213339568
813.0607,0.9923325460505851
813.090832,0.997912781276729
813.120964,0.9974303073273075
813.151097,0.9911125291386997
813.181229,0.9927104982416511
813.211361,0.9947883281326853
813.241494,0.9940119999640432
813.271626,0.9972585646158576
813.301758,0.9947353073278128
813.331891,0.9886508925687477
813.362023,0.9913919631450366
813.392155,0.9931378528001983
813.422288,0.9912748866676913
813.45242,0.9944663672630468
813.482552,0.996160788688967
813.512685,0.9965223610425176
813.542817,1.0
813.572949,0.997785156393789
813.603082,0.9919130765322197
813.633214,0.9926878647003146
813.663346,0.9961304062482466
813.693479,0.9974614276383704
813.723611,0.9976931648432451
813.753743,0.9969312183659212
813.783876,0.9949133808849324
813.814008,0.9937091706460437
813.84414,0.9967835837850918
813.874273,0.9981655846004156
813.904405,0.9933913339230485
813.934537,0.9932626980746563
813.96467,0.995129400027952
813.994802,0.9902145917489893
814.024934,0.9926273125874261
814.055067,1.0
814.085199,0.9968632299752592
814.115331,0.9927332315723565
814.145464,0.9961835014138731
814.175596,0.992929812213049
814.205728,0.989306585448692
814.235861,0.9937847947913921
814.265993,0.9967615551113079
814.296125,0.997541926023647
814.326258,0.9982663045891398
814.35639,0.9953909544010187
814.386522,0.9933005421043771
814.416655,0.9943451492012684
814.446787,0.9939172751341565
814.476919,0.9927142705487118
814.507052,0.9945344905424
814.537184,0.9970326114265788
814.567316,0.9953226729236282
814.597449,0.9937999998150706
814.627581,0.9969981146950203
814.657713,0.9962825269754025
814.687846,0.9902033033669873
814.717978,0.9893511052467251
814.74811,0.9933988837258755
814.778243,0.9964749277070543
814.808375,0.9966829137270531
814.838507,0.9933269642502102
814.868639,0.9908332729770297
814.898772,0.9903239174745875
814.928904,0.9897053563495674
814.959036,0.9928352897942648
814.989169,0.9960052005255257
815.019301,0.9946557316862947
815.049433,0.995360595439886
815.079566,0.9956790622304144
815.109698,0.9925857223743497
815.13983,0.9933345135638257
815.169963,0.994678509563356
815.200095,0.9938718541525602
815.230227,0.9956714950982966
815.26036,0.9958345994470752
815.290492,0.9950686989859509
815.320624,0.9965315290904121
815.350757,0.9944511520440243
