nu,[0]Benzene-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
671.5212,0.3134861808826053
671.640402,0.15158632717193238
671.759604,0.072897568094197
671.878806,0.09031063964265688
671.998008,0.1859458084759678
672.11721,0.2291221526405945
672.236412,0.16176671701478237
672.355614,0.10283803542350979
672.474816,0.044108622239725254
672.594018,0.014144916180211988
672.71322,0.0013492586304587075
672.832422,1.947430006552756e-06
672.951624,2.5317872214037816e-05
673.070826,0.002868976307846793
673.190028,0.019553519171070188
673.30923,0.00785346848146395
673.428432,0.0008515945710204245
673.547634,0.00028352790763831715
673.666836,5.8458117517827224e-05
673.786038,5.1535239558822104e-08
673.90524,1.0645281761352357e-18
674.024442,1.360859883032187e-19
674.143644,2.2593917750028207e-07
674.262846,0.006157404115969254
674.382048,0.09200613678251027
674.50125,0.22953494391604184
674.620452,0.40019233897769646
674.739654,0.5000335914083048
674.858856,0.5697315465842484
674.978058,0.6205990858369255
675.09726,0.616140658372977
675.216462,0.5184301375126047
675.335664,0.6219161514952126
675.454866,0.710362411815342
675.574068,0.7329703706098479
675.69327,0.7505642664968832
675.812472,0.7273699927715922
675.931674,0.6597396443805179
676.050876,0.66717693391869
676.170078,0.7211991256558554
676.28928,0.74688802849826
676.408482,0.7755056583521217
676.527684,0.7699112734958298
676.646886,0.7494617475750764
676.766088,0.7705428596550317
676.88529,0.7648542394321671
677.004492,0.7333516143173383
677.123694,0.7468581535746225
677.242896,0.7466863959521841
677.362098,0.7054566185086065
677.4813,0.7159821804291353
677.600502,0.7269555100145203
677.719704,0.6835879193502898
677.838906,0.6827066594691601
677.958108,0.7014329253838018
678.07731,0.6586387986364445
678.196512,0.6431096760533446
678.315714,0.6747925288651656
678.434916,0.6396398470562709
678.554118,0.6094977631761687
678.67332,0.6439913401115179
678.792522,0.6165782735754352
678.911724,0.5713061776441078
679.030926,0.6109867535478343
679.150128,0.6001353895325682
679.26933,0.5428783593899213
679.388532,0.5770594412590626
679.507734,0.5782320617319109
679.626936,0.5098289508550631
679.746138,0.5373798923733089
679.86534,0.5596016990549572
679.984542,0.49187040581572994
680.103744,0.5018771050092471
680.222946,0.5357005228944659
680.342148,0.47219653138770773
680.46135,0.46285104209356126
680.580552,0.5131382381674134
680.699754,0.46156148745134784
680.818956,0.4308910521787765
680.938158,0.4909072839880496
681.05736,0.44660533224650945
681.176562,0.39516179118762473
681.295764,0.4647619220967907
681.414966,0.44292713645195714
681.534168,0.3728794880054054
681.65337,0.43919577877545524
681.772572,0.43267431212131635
681.891774,0.3511295623925985
682.010976,0.40671605116698145
682.130178,0.4242891918478077
682.24938,0.34263141549362935
682.368582,0.37781901285338076
682.487784,0.41217799344619027
682.606986,0.3324053902423845
682.726188,0.3525721488798844
682.84539,0.398534982164977
682.964592,0.33137652909136334
683.083794,0.3286046245448707
683.202996,0.38434295999739737
683.322198,0.32791527889958855
683.4414,0.30592968225173184
683.560602,0.3707082180746867
683.679804,0.3306152388937825
683.799006,0.2919128442101094
683.918208,0.3552974333061378
684.03741,0.3305821790229142
684.156612,0.2775095311219683
684.275814,0.3399012991954776
684.395016,0.3340381737071345
684.514218,0.2708202397915706
684.63342,0.323550523335709
684.752622,0.33317080252664966
684.871824,0.265431095311584
684.991026,0.3083252643980769
685.110228,0.3353099335806306
685.22943,0.2681255333815543
685.348632,0.2936695862312104
685.467834,0.3326381554738806
685.587036,0.2702791405915539
685.706238,0.2798784156330354
685.82544,0.3309460194954121
685.944642,0.27756503857875336
686.063844,0.27095568376963913
686.183046,0.3273910339611389
686.302248,0.2829740731066203
686.42145,0.26392244181544905
