nu,[0]Methylbromide-PNNL(x-sec)-X=0.01-T=278.18K-P=1.0atm-L=15cm
609.9772,0.8735062450302347
610.096202,0.8854759339948521
610.215204,0.8796070546855169
610.334207,0.8706632512691163
610.453209,0.8557987804853731
610.572211,0.8414993817933262
610.691214,0.8216259797049168
610.810216,0.8136947364191742
610.929219,0.8320522829925588
611.048221,0.8733315612501888
611.167223,0.9276534995748071
611.286226,0.9494323493290685
611.405228,0.9618084159201014
611.52423,0.9693757222344057
611.643233,0.9692002811065823
611.762235,0.9626070482919012
611.881238,0.9603696658945508
612.00024,0.9681734731129894
612.119242,0.9711279966162545
612.238245,0.965420037814545
612.357247,0.9522173132689169
612.47625,0.9522106477710532
612.595252,0.9636212073748007
612.714254,0.9663414879924694
612.833257,0.9580934105225392
612.952259,0.9401366894323372
613.071261,0.9400520809377277
613.190264,0.9558684308841875
613.309266,0.9596189503838426
613.428269,0.9489254877986
613.547271,0.9258694842537798
613.666273,0.9248858079086224
613.785276,0.9446970357316492
613.904278,0.9490953606640838
614.02328,0.9368510257928667
614.142283,0.9128752912453874
614.261285,0.9082787083114621
614.380288,0.931829892250222
614.49929,0.9373889326461697
614.618292,0.925249359464332
614.737295,0.8996855190483288
614.856297,0.8913304899741585
614.9753,0.9177364693491603
615.094302,0.9261111677274914
615.213304,0.9140957076911506
615.332307,0.8846351313020715
615.451309,0.8745113550395033
615.570311,0.9043127644977326
615.689314,0.9161584032008294
615.808316,0.9036528570751639
615.927319,0.8703585724530751
616.046321,0.8589281536659438
616.165323,0.8940084964452831
616.284326,0.908048034816325
616.403328,0.8921419698873967
616.52233,0.8523142347680166
616.641333,0.8460303883377849
616.760335,0.8864948170644218
616.879338,0.8993616905540978
616.99834,0.8791409864655217
617.117342,0.834844332211879
617.236345,0.8390038363487978
617.355347,0.8831678551602432
617.474349,0.8912591863871421
617.593352,0.8635961831913408
617.712354,0.8214041706359683
617.831357,0.8357548086535059
617.950359,0.8790970305151065
618.069361,0.8796950197891673
618.188364,0.8477326195876512
618.307366,0.8111356307070107
618.426369,0.8393982608343752
618.545371,0.8746600346072652
618.664373,0.86803781465499
618.783376,0.8308965337510072
618.902378,0.8067188988139001
619.02138,0.8441289598732126
619.140383,0.870027899027473
619.259385,0.8548408224078914
619.378388,0.813784247763214
