nu,[0]HCFE-235ca2-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
655.93094,0.9999953520108019
656.049942,0.9999953608107611
656.168944,0.99999552341002
656.287946,0.9999954310104379
656.406948,0.9999954867101849
656.52595,0.9999955282099985
656.644952,0.9999955861097413
656.763954,0.9999957747089265
656.882956,0.9999957425090631
657.001958,0.9999956259095664
657.12096,0.9999956739093575
657.239962,0.9999956262095651
657.358964,0.9999957199091596
657.477966,0.9999956314095423
657.596968,0.9999955742097938
657.71597,0.9999956465094765
657.834972,0.9999957150091806
657.953974,0.9999957911088574
658.072976,0.9999957571090011
658.191978,0.9999957040092278
658.31098,0.999995764908968
658.429982,0.9999957191091631
658.548984,0.999995683309317
658.667986,0.9999957065092171
658.786988,0.9999956099096364
658.90599,0.9999956254095685
659.024992,0.9999955725098013
659.143994,0.9999955176100459
659.262996,0.9999955899097245
659.381998,0.9999955276100012
659.501,0.9999954671102735
659.620002,0.9999955394099485
659.739004,0.9999955525098901
659.858006,0.9999955868097381
659.977008,0.9999956011096751
660.09601,0.9999956099096364
660.215012,0.9999956660093917
660.334014,0.9999957469090445
660.453016,0.9999957469090445
660.572018,0.9999958018088124
660.69102,0.9999958085087843
660.810022,0.9999957469090445
660.929024,0.9999957469090445
661.048026,0.9999957751089249
661.167028,0.9999957859088793
661.28603,0.9999956176096026
661.405032,0.9999955828097559
661.524034,0.9999957469090445
661.643036,0.9999957219091511
661.762038,0.9999957228091472
661.88104,0.9999957469090445
662.000042,0.9999957933088481
662.119044,0.999995868408535
662.238046,0.999995822208727
662.357048,0.9999958898084469
662.47605,0.999995868408535
662.595052,0.999995864308552
662.714054,0.999995951308196
662.833056,0.9999960952076237
662.952058,0.9999961784073023
663.07106,0.9999960828076723
663.190062,0.9999959900080401
663.309064,0.9999959735081063
663.428066,0.9999958769085
663.547068,0.999995828908699
663.66607,0.9999957178091686
663.785072,0.9999957645089698
663.904074,0.9999959461082171
664.023076,0.9999960883076507
664.142078,0.999996135807466
664.26108,0.9999961486074166
664.380082,0.9999961115075602
664.499084,0.999996087207655
664.618086,0.9999960436078266
664.737088,0.9999959386082474
664.85609,0.9999958189087408
664.975092,0.9999957391090776
665.094094,0.9999956983092523
665.213096,0.999995742309064
665.332098,0.9999958079087868
665.4511,0.9999957469090445
665.570102,0.9999957759089215
665.689104,0.9999958523086017
665.808106,0.999995917108335
665.927108,0.9999959142083469
666.04611,0.9999958639085537
666.165112,0.9999958215087299
666.284114,0.9999958948084263
666.403116,0.9999959414082361
666.522118,0.9999959414082361
666.64112,0.9999960839076679
666.760122,0.9999963001068446
666.879124,0.9999965831058376
666.998126,0.9999968056051021
667.117128,0.9999969522046446
667.23613,0.9999971409040872
667.355132,0.9999971610040299
667.474134,0.999997026104422
667.593136,0.999996943504671
667.712138,0.9999968111050845
667.83114,0.9999966844054966
667.950142,0.9999965718058763
668.069144,0.9999964278063803
668.188146,0.9999963634066125
668.307148,0.9999963302067337
668.42615,0.9999963059068232
668.545152,0.9999962816069132
668.664154,0.9999962686069617
668.783156,0.9999962697069575
668.902158,0.9999963302067337
669.02116,0.9999963414066927
669.140162,0.9999962986068501
669.259164,0.9999961060075816
669.378166,0.9999960293078832
669.497168,0.9999959483082081
669.61617,0.9999959008084017
669.735172,0.9999959265082967
669.854174,0.9999958548085913
669.973176,0.999995838508659
670.092178,0.9999959414082361
670.21118,0.9999959756080979
670.330182,0.9999960386078464
670.449184,0.9999960143079429
670.568186,0.9999960660077382
670.687188,0.9999960603077606
670.80619,0.9999960143079429
670.925192,0.9999960399078411
671.044194,0.9999960629077503
671.163196,0.9999960143079429
671.282198,0.9999960380078488
671.4012,0.9999961334074753
671.520202,0.9999962312071019
671.639204,0.9999963254067513
671.758206,0.9999963332067227
671.877208,0.9999962366070816
671.99621,0.9999963417066916
672.115212,0.9999963205067693
672.234214,0.9999962385070744
672.353216,0.9999961905072562
672.472218,0.9999960763076977
672.59122,0.9999960555077795
672.710222,0.9999960624077523
672.829224,0.9999958784084938
672.948226,0.9999958593085727
673.067228,0.999995868408535
673.18623,0.9999959309082788
673.305232,0.9999959789080846
673.424234,0.9999960639077464
673.543236,0.9999960749077031
673.662238,0.999996230107106
673.78124,0.9999962708069534
673.900242,0.9999962573070039
674.019244,0.9999961800072962
674.138246,0.9999961025075953
674.257248,0.9999960052079792
674.37625,0.9999959248083036
674.495252,0.9999957802089033
674.614254,0.9999954002105791
674.733256,0.9999956053096567
674.852258,0.9999959624081511
674.97126,0.9999961590073766
675.090262,0.9999963505066595
675.209264,0.9999962952068627
675.328266,0.9999967039054322
675.447268,0.9999969469046607
675.56627,0.999996594405799
675.685272,0.9999964713062258
675.804274,0.9999962826069095
675.923276,0.9999964746062142
676.042278,0.9999963347067172
676.16128,0.9999961874072679
676.280282,0.9999962309071031
676.399284,0.9999962330070952
676.518286,0.9999962749069382
676.637288,0.9999962613069889
676.75629,0.9999962921068742
676.875292,0.9999964413063321
676.994294,0.9999963905065142
677.113296,0.9999964324063638
677.232298,0.9999964831061843
677.3513,0.9999964274063817
677.470302,0.9999964517062953
677.589304,0.999996301906838
677.708306,0.9999961844072794
677.827308,0.9999962188071487
677.94631,0.9999961465074247
678.065312,0.999996135807466
678.184314,0.9999960746077043
678.303316,0.9999959900080401
678.422318,0.9999960364078551
678.54132,0.9999961219075199
678.660322,0.9999962185071498
678.779324,0.9999962573070039
678.898326,0.9999963403066967
679.017328,0.9999964840061811
679.13633,0.9999965320060135
679.255332,0.9999966286056832
679.374334,0.9999965548059347
679.493336,0.9999964219064014
679.612338,0.9999963982064864
679.73134,0.9999963173067812
679.850342,0.999996212407173
679.969344,0.9999962573070039
680.088346,0.9999962306071042
680.207348,0.9999962348070883
680.32635,0.9999962051072007
680.445352,0.9999961121075579
680.564354,0.9999962086071873
680.683356,0.9999961857072744
680.802358,0.9999960884076503
680.92136,0.9999961339074733
681.040362,0.9999961115075602
681.159364,0.999996178207303
681.278366,0.9999961844072794
681.397368,0.9999962044072033
681.51637,0.9999961893072608
681.635372,0.9999961788073007
681.754374,0.9999962511070272
681.873376,0.9999961980072276
681.992378,0.9999961844072794
682.11138,0.9999961518074043
682.230382,0.999996087207655
682.349384,0.9999961508074081
682.468386,0.9999961700073344
682.587388,0.9999961739073195
682.70639,0.9999961844072794
682.825392,0.9999961844072794
682.944394,0.9999961844072794
683.063396,0.999996208707187
683.182398,0.9999961386074552
683.3014,0.9999960629077503
683.420402,0.999996072407713
683.539404,0.999996087207655
683.658406,0.9999960464078155
683.777408,0.9999960462078162
683.89641,0.9999960558077784
684.015412,0.9999959900080401
684.134414,0.9999959599081611
684.253416,0.9999959067083776
684.372418,0.999995819808737
684.49142,0.9999958481086191
684.610422,0.9999958165087508
684.729424,0.999995825308714
684.848426,0.9999958886084518
684.967428,0.9999957712089413
685.08643,0.9999958216087295
685.205432,0.9999958682085359
685.324434,0.9999958202087353
685.443436,0.999995819808737
685.562438,0.9999957728089346
685.68144,0.9999958154087554
685.800442,0.9999958927084349
685.919444,0.9999958233087224
686.038446,0.9999957955088389
686.157448,0.9999957563090045
686.27645,0.9999956846093113
686.395452,0.9999956313095427
686.514454,0.9999955590098613
686.633456,0.9999956111096312
686.752458,0.9999956332095344
686.87146,0.9999955927097122
686.990462,0.9999956650093961
687.109464,0.9999956887092937
687.228466,0.9999956983092523
687.347468,0.9999956363095209
687.46647,0.9999956383095122
687.585472,0.9999956375095157
687.704474,0.9999954934101547
687.823476,0.9999954530103375
687.942478,0.9999955143100607
688.06148,0.9999955720098036
688.180482,0.9999955828097559
688.299484,0.999995438210405
688.418486,0.9999954790102197
688.537488,0.9999955452099226
688.65649,0.9999954043105602
688.775492,0.9999952791111434
688.894494,0.9999952311113712
689.013496,0.9999951685116717
689.132498,0.999995212311461
689.2515,0.999995184411595
689.370502,0.9999951636116954
689.489504,0.9999951636116954
689.608506,0.9999952158114442
689.727508,0.9999953117109901
689.84651,0.999995357610776
689.965512,0.9999953096109999
690.084514,0.9999953095110004
690.203516,0.9999953095110004
690.322518,0.9999953338108867
690.44152,0.9999952200114242
690.560522,0.9999950760121229
690.679524,0.9999950869120693
690.798526,0.9999950952120286
690.917528,0.999995003612482
691.03653,0.9999949935125325
691.155532,0.9999949331128367
691.274534,0.9999949555127234
691.393536,0.9999950346123275
691.512538,0.9999950259123708
691.63154,0.9999949935125325
691.750542,0.9999949692126544
691.869544,0.9999950366123177
691.988546,0.9999951531117462
692.107548,0.9999951262118769
692.22655,0.9999951518117525
692.345552,0.9999951518117525
692.464554,0.9999951974115324
692.583556,0.9999952639112153
692.702558,0.9999950992120089
692.82156,0.9999950272123643
692.940562,0.9999950157124216
693.059564,0.9999949124129418
693.178566,0.9999949282128615
693.297568,0.9999949137129353
693.41657,0.9999949090129591
693.535572,0.9999949749126258
693.654574,0.9999949935125325
693.773576,0.9999950268123663
693.892578,0.9999951150119316
694.01158,0.9999950356123226
694.130582,0.9999949935125325
694.249584,0.9999949915125426
694.368586,0.9999949192129073
694.487588,0.9999948963130239
694.60659,0.999994847513274
694.725592,0.9999948234133986
694.844594,0.9999948709131539
694.963596,0.9999948494132643
695.082598,0.9999948720131482
695.2016,0.9999948720131482
695.320602,0.9999948963130239
695.439604,0.9999948720131482
695.558606,0.9999948916130479
695.677608,0.9999948963130239
695.79661,0.9999949572127149
695.915612,0.999995011212444
696.034614,0.9999950008124959
696.153616,0.9999949528127371
696.272618,0.9999948889130617
696.39162,0.9999948325133515
696.510622,0.999994769913677
696.629624,0.9999946739141836
696.748626,0.9999946156144959
696.867628,0.999994556114818
