nu,[0]HFC-161-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
411.24644,1.0
411.366967,1.0
411.487493,1.0
411.60802,1.0
411.728547,1.0
411.849073,1.0
411.9696,1.0
412.090127,1.0
412.210653,1.0
412.33118,1.0
412.451707,1.0
412.572233,1.0
412.69276,1.0
412.813287,1.0
412.933813,1.0
413.05434,1.0
413.174867,1.0
413.295393,1.0
413.41592,1.0
413.536447,1.0
413.656973,1.0
413.7775,1.0
413.898027,1.0
414.018553,1.0
414.13908,1.0
414.259606,1.0
414.380133,1.0
414.50066,1.0
414.621186,1.0
414.741713,1.0
414.86224,1.0
414.982766,1.0
415.103293,1.0
415.22382,1.0
415.344346,1.0
415.464873,1.0
415.5854,1.0
415.705926,1.0
415.826453,1.0
415.94698,1.0
416.067506,1.0
416.188033,1.0
416.30856,1.0
416.429086,1.0
416.549613,1.0
416.67014,1.0
416.790666,1.0
416.911193,1.0
417.03172,1.0
417.152246,1.0
417.272773,1.0
417.393299,1.0
417.513826,1.0
417.634353,1.0
417.754879,1.0
417.875406,1.0
417.995933,1.0
418.116459,1.0
418.236986,1.0
418.357513,1.0
418.478039,1.0
418.598566,1.0
418.719093,1.0
418.839619,1.0
418.960146,1.0
419.080673,1.0
419.201199,1.0
419.321726,1.0
419.442253,1.0
419.562779,1.0
419.683306,1.0
419.803833,1.0
419.924359,1.0
420.044886,1.0
420.165413,1.0
420.285939,1.0
420.406466,1.0
420.526992,1.0
420.647519,1.0
420.768046,1.0
420.888572,1.0
421.009099,1.0
421.129626,1.0
421.250152,1.0
421.370679,1.0
421.491206,1.0
421.611732,1.0
421.732259,1.0
421.852786,1.0
421.973312,1.0
422.093839,1.0
422.214366,1.0
422.334892,1.0
422.455419,1.0
422.575946,1.0
422.696472,1.0
422.816999,1.0
422.937526,1.0
423.058052,1.0
423.178579,1.0
423.299106,1.0
423.419632,1.0
423.540159,1.0
423.660685,1.0
423.781212,1.0
423.901739,1.0
424.022265,1.0
424.142792,1.0
424.263319,1.0
424.383845,1.0
424.504372,1.0
424.624899,1.0
424.745425,1.0
424.865952,1.0
424.986479,1.0
425.107005,1.0
425.227532,1.0
425.348059,1.0
425.468585,1.0
425.589112,1.0
425.709639,1.0
425.830165,1.0
425.950692,1.0
426.071219,1.0
426.191745,1.0
426.312272,1.0
426.432799,1.0
426.553325,1.0
426.673852,1.0
426.794378,1.0
426.914905,1.0
427.035432,1.0
427.155958,1.0
427.276485,1.0
427.397012,1.0
427.517538,1.0
427.638065,1.0
427.758592,1.0
427.879118,1.0
427.999645,1.0
428.120172,1.0
428.240698,1.0
428.361225,1.0
428.481752,1.0
428.602278,1.0
428.722805,1.0
428.843332,1.0
428.963858,1.0
429.084385,1.0
429.204912,1.0
429.325438,1.0
429.445965,1.0
429.566492,1.0
429.687018,1.0
429.807545,1.0
429.928071,1.0
430.048598,1.0
430.169125,1.0
430.289651,1.0
430.410178,1.0
430.530705,1.0
430.651231,1.0
430.771758,1.0
430.892285,1.0
431.012811,1.0
431.133338,1.0
431.253865,1.0
431.374391,1.0
431.494918,1.0
431.615445,1.0
431.735971,1.0
431.856498,1.0
431.977025,1.0
432.097551,1.0
432.218078,1.0
432.338605,1.0
432.459131,1.0
432.579658,1.0
432.700185,1.0
432.820711,1.0
432.941238,1.0
433.061764,1.0
433.182291,1.0
433.302818,1.0
433.423344,1.0
433.543871,1.0
433.664398,1.0
433.784924,1.0
433.905451,1.0
434.025978,1.0
434.146504,1.0
434.267031,1.0
434.387558,1.0
434.508084,1.0
434.628611,1.0
434.749138,1.0
434.869664,1.0
434.990191,1.0
435.110718,1.0
435.231244,1.0
435.351771,1.0
435.472298,1.0
435.592824,1.0
435.713351,1.0
435.833878,1.0
435.954404,1.0
436.074931,1.0
436.195457,1.0
436.315984,1.0
436.436511,1.0
436.557037,1.0
436.677564,1.0
436.798091,1.0
436.918617,1.0
437.039144,1.0
437.159671,1.0
437.280197,1.0
437.400724,1.0
437.521251,1.0
437.641777,1.0
437.762304,1.0
437.882831,1.0
438.003357,1.0
438.123884,1.0
438.244411,1.0
438.364937,1.0
438.485464,1.0
438.605991,1.0
438.726517,1.0
438.847044,1.0
438.967571,1.0
439.088097,1.0
439.208624,1.0
439.32915,1.0
439.449677,1.0
439.570204,1.0
439.69073,1.0
439.811257,1.0
439.931784,1.0
440.05231,1.0
440.172837,1.0
440.293364,1.0
440.41389,1.0
440.534417,1.0
440.654944,1.0
440.77547,1.0
440.895997,1.0
441.016524,1.0
441.13705,1.0
441.257577,1.0
441.378104,1.0
441.49863,1.0
441.619157,1.0
441.739684,1.0
441.86021,1.0
441.980737,1.0
442.101264,1.0
442.22179,1.0
442.342317,1.0
442.462843,1.0
442.58337,1.0
442.703897,1.0
442.824423,1.0
442.94495,1.0
443.065477,1.0
443.186003,1.0
443.30653,1.0
443.427057,1.0
443.547583,1.0
443.66811,1.0
443.788637,1.0
443.909163,1.0
444.02969,1.0
444.150217,1.0
444.270743,1.0
444.39127,1.0
444.511797,1.0
444.632323,1.0
444.75285,1.0
444.873377,1.0
444.993903,1.0
445.11443,1.0
445.234957,1.0
445.355483,1.0
445.47601,1.0
445.596536,1.0
445.717063,1.0
445.83759,1.0
445.958116,1.0
446.078643,1.0
446.19917,1.0
446.319696,1.0
446.440223,1.0
446.56075,1.0
446.681276,1.0
446.801803,1.0
446.92233,1.0
447.042856,1.0
447.163383,1.0
447.28391,1.0
447.404436,1.0
447.524963,1.0
447.64549,1.0
447.766016,1.0
447.886543,1.0
448.00707,1.0
448.127596,1.0
448.248123,1.0
448.36865,1.0
448.489176,1.0
448.609703,1.0
448.730229,1.0
448.850756,1.0
448.971283,1.0
449.091809,1.0
449.212336,1.0
449.332863,1.0
449.453389,1.0
449.573916,1.0
449.694443,1.0
449.814969,1.0
449.935496,1.0
450.056023,0.9814374463516485
450.176549,0.9816789096622206
450.297076,0.9885431354943249
450.417603,0.9882209229556512
450.538129,0.9859052739886917
450.658656,0.9883869580172625
450.779183,0.9862464562346165
450.899709,0.9880687486512383
451.020236,0.9903664032819611
451.140763,0.9882080761671571
451.261289,0.984586030257607
451.381816,0.9847475156080061
451.502343,0.9886172790098341
451.622869,0.9903630360419143
451.743396,0.991503501014778
451.863922,0.989613318031275
451.984449,0.989240304127916
452.104976,0.9920130664097393
452.225502,0.9918228165491468
452.346029,0.9912352364652339
452.466556,0.9912352364652339
452.587082,0.9896004531417625
452.707609,0.9862602637816564
452.828136,0.9850784463665044
