nu,[0]alpha-Pinene(1S)(-)-PNNL(x-sec)-X=0.01-T=298.17K-P=1.0atm-L=15cm
638.859852,1.0047146792905193
638.979054,0.9972236611769097
639.098256,0.9986837669955233
639.217458,0.9943939727467024
639.33666,1.0001755354045365
639.455862,0.9999640146474883
639.575064,1.0017668590593125
639.694266,0.9983418762087469
639.813468,0.9981163762500906
639.93267,0.998728209411991
640.051872,1.0031879708047324
640.171074,0.9990099104624074
640.290276,1.003421640492912
640.409478,0.9959013226004388
640.52868,0.9966857044431184
640.647882,1.002991766427057
640.767084,0.9963922237203175
640.886286,1.001085989259755
641.005488,0.9983117267393447
641.12469,1.0033237113198212
641.243892,1.0014036842437908
641.363094,1.0020878765852166
641.482296,1.000873741489896
641.601498,0.9971086879171118
641.7207,0.9992973869482298
641.839902,0.9984771606982904
641.959104,0.9985747166824228
642.078306,0.9980247533723053
642.197508,0.9977539262071488
642.31671,1.0027133745552763
642.435912,0.9990715113126212
642.555114,1.0001903581158071
642.674316,0.9953478549058039
642.793518,0.9977392593322353
642.91272,1.0034532487724153
643.031922,1.0029710047123763
643.151124,1.0018448997372782
643.270326,0.9984964314934545
643.389528,1.0023292084010829
643.50873,0.9993685594425507
643.627932,0.9978905280698307
643.747134,1.0015618183698936
643.866336,0.9978768570632427
643.985538,1.0026221317898005
644.10474,0.9973438338683408
644.223942,1.0030779271203416
644.343144,0.9985548452432823
644.462346,1.0028105421889664
644.581548,0.9972862887893181
644.70075,1.0009241968069202
644.819952,1.004448565620287
644.939154,1.0010876911073832
645.058356,1.0014164021513392
645.177558,1.0041527990714738
645.29676,0.9982844732012172
645.415962,1.0002403688839718
645.535164,1.000958859412035
645.654366,1.000652943074584
645.773568,1.0004286818578167
645.89277,1.000046040059811
646.011972,1.0025866395945506
646.131174,1.0027338301167632
646.250376,1.0020161296618235
646.369578,1.0022271764811803
646.48878,1.0036840695630063
646.607982,1.0030466315772286
646.727184,1.0015933680640774
646.846386,1.0011752901127557
646.965588,1.0008107985195562
647.08479,1.001894592476675
647.203992,0.9979243571321317
647.323194,0.9977012461906097
647.442396,1.0004882491548353
647.561598,1.0001646735572018
647.6808,1.0006175105812056
647.800002,1.0012469768298815
647.919204,1.0017791808674579
648.038406,1.0010649666747184
648.157608,1.0028068317968246
648.27681,0.9996102059894328
648.396012,1.0010892928489703
648.515214,0.9985914928785827
648.634416,1.0045112451663634
648.753618,1.0027274126407864
648.87282,0.9983353870076415
648.992022,0.9981391335629015
649.111224,1.0019007040523293
649.230426,0.9987468858041307
649.349628,0.9994106737209871
649.46883,1.005836365602089
649.588032,0.998720019874251
649.707234,0.9963193901108645
649.826436,1.0019941857488708
649.945638,1.0002433195974123
650.06484,1.0003094378660224
650.184042,1.0044319923556841
650.303244,1.0019620222517351
650.422446,1.0007769917017826
650.541648,1.0016462535900768
650.66085,1.0005841405436764
650.780052,0.9986344332359876
650.899254,0.9989457561059759
651.018456,0.9991616316273068
651.137658,1.0011867035761195
651.25686,1.0015004245121686
651.376062,1.00058769262368
651.495264,1.0017601472438413
651.614466,1.0007553751522213
651.733668,0.9983749218717521
651.85287,1.0004377557871114
651.972072,0.9984782590237712
652.091274,0.9995715718015818
652.210476,0.9977751785921141
652.329678,1.001548497686292
652.44888,1.0014719823039937
652.568082,1.0002835401899228
652.687284,1.0020701397867722
652.806486,0.999832753987174
652.925688,1.0020701397867722
653.04489,1.0030544553714675
653.164092,1.0018115388575786
653.283294,1.0044663445172413
653.402496,0.9983052377342102
653.521698,1.00054196681097
653.6409,0.9983783163522572
653.760102,1.0004855278304987
653.879304,0.9974388852648356
653.998506,1.0006566655104558
654.117708,1.0065149304333938
654.23691,0.998895510398134
654.356112,0.9974641207878608
654.475314,0.9999590678377438
654.594516,0.9968264464007343
654.713718,0.9995305302354327
654.83292,1.0029492404777167
654.952122,1.0009762862574778
655.071324,0.9971053974638711
655.190526,0.999952164144171
655.309728,1.001108213615406
655.42893,0.9986023775851767
655.548132,1.0004788145951298
655.667334,1.0021163362850374
655.786536,0.9974732974999849
655.905738,0.994848514647161
656.02494,0.9988041156403065
656.144142,1.0032765562135428
656.263344,1.0017123644244472
656.382546,1.0011990182483086
656.501748,1.0001610129611955
656.62095,1.0015901629704276
656.740152,0.9998320641028117
656.859354,0.9985672274001326
656.978556,1.0008262211327923
657.097758,1.0003776612960773
657.21696,1.0008313253595358
657.336162,0.999831034276316
657.455364,0.9974425757955385
657.574566,1.0015492989254107
657.693768,0.9994671620086099
657.81297,0.9989977026358915
657.932172,1.0009573179365785
658.051374,0.999844312120616
658.170576,0.997996010673305
658.289778,0.9974215299792234
658.40898,1.0011455556481983
