nu,[0]Methylnitrite-PNNL(x-sec)-X=0.01-T=278.04K-P=1.0atm-L=15cm
554.445489,0.6519287514133743
554.565091,0.6582963954936861
554.684694,0.645216086798638
554.804296,0.6586783181499362
554.923898,0.6501839214760412
555.043501,0.6548952367712209
555.163103,0.6559045524094156
555.282706,0.6602808527540174
555.402308,0.6564294859967815
555.52191,0.6542144997695768
555.641513,0.6592779882279559
555.761115,0.646611259790511
555.880718,0.651980907799715
556.00032,0.6454096806623052
556.119922,0.6482816707443242
556.239525,0.6488783643183662
556.359127,0.6457195516721159
556.47873,0.6501449116110602
556.598332,0.6469864031022334
556.717934,0.6544631485197596
556.837537,0.644255430695834
556.957139,0.6496509891925291
557.076742,0.6448806616515992
557.196344,0.6439076266787945
557.315946,0.6453128764707017
557.435549,0.6508474474166488
557.555151,0.6503790059136865
557.674753,0.656409793407592
557.794356,0.6527050084088637
557.913958,0.652124359378526
558.033561,0.6556291303400869
558.153163,0.6480224099316457
558.272765,0.6484567304274188
558.392368,0.6502489431192168
558.51197,0.6565410884953446
558.631573,0.6492028846238409
558.751175,0.6481585089276258
558.870777,0.6497094604127218
558.99038,0.6548690414856593
559.109982,0.6533580398785881
559.229585,0.6598782042541154
559.349187,0.6566921103125417
559.468789,0.6524244055891777
559.588392,0.6613976708406428
559.707994,0.6600431944280912
559.827597,0.6559242298411478
559.947199,0.655445579881855
560.066801,0.6547904619155495
560.186404,0.6550262289173531
560.306006,0.6587441892752526
560.425609,0.6602148279700362
560.545211,0.6557996160761606
560.664813,0.654364986409824
560.784416,0.6589945596345326
560.904018,0.6650786331356117
561.02362,0.6604987813916736
561.143223,0.668211860026797
561.262825,0.667817731308786
561.382428,0.6721121920087596
561.50203,0.6652715339084811
561.621632,0.6679446287326082
561.741235,0.6679646673720483
561.860837,0.6646132409986683
561.98044,0.6664301140498952
562.100042,0.6637099813466958
562.219644,0.6626754009583108
562.339247,0.6536848005818957
562.458849,0.6639157633354735
562.578452,0.6555307933459947
562.698054,0.6582963954936861
562.817656,0.6504505515392742
562.937259,0.6486642697856819
563.056861,0.6429553482511688
563.176464,0.6458551670170799
563.296066,0.6402413911939547
563.415668,0.6407922356195341
563.535271,0.6438689933802043
563.654873,0.6453774109850208
563.774475,0.647523624732944
563.894078,0.6406704966603338
564.01368,0.6327246142988769
564.133283,0.6211827232442184
564.252885,0.6204873880545768
564.372487,0.6140677591512574
564.49209,0.6307220530081565
564.611692,0.6320479610356313
564.731295,0.62809741821395
564.850897,0.6377875785872191
564.970499,0.6451644715763305
565.090102,0.6548690414856593
565.209704,0.6498069241413805
565.329307,0.662046158265004
565.448909,0.6604393391762883
565.568511,0.6649655793778203
565.688114,0.6608092887824487
565.807716,0.6605119914994022
565.927319,0.6573031180496919
566.046921,0.6597990236205379
566.166523,0.6501514130926838
566.286126,0.6482427750109632
566.405728,0.6537632474646844
566.525331,0.6500148956307694
566.644933,0.6571059566899596
566.764535,0.6610472229519911
566.884138,0.6705815218380604
567.00374,0.6648126548815546
567.123342,0.6697371212046578
567.242945,0.665244923579335
567.362547,0.6623176528424779
567.48215,0.6601356069440364
567.601752,0.6635440745905677
567.721354,0.6643142323222168
567.840957,0.6638029072487457
567.960559,0.6678778376093467
568.080162,0.6619137622733915
568.199764,0.6585861096401415
568.319366,0.6491509504704649
568.438969,0.6462944978862182
568.558571,0.6420686818111399
568.678174,0.639000526922558
568.797776,0.6301672617454674
568.917378,0.6308860620621918
569.036981,0.6239406670433426
569.156583,0.6163686725966051
569.276186,0.6160975300364002
569.395788,0.608906836991421
569.51539,0.6105347905971252
569.634993,0.6005976717383169
569.754595,0.5995955106639216
569.874197,0.5934573080729296
569.9938,0.5892527913816161
570.113402,0.5882989746597224
570.233005,0.5845049671430287
570.352607,0.576332804240532
570.472209,0.5785675336051542
570.591812,0.5711176777096851
570.711414,0.5686842043888434
570.831017,0.5691279511069888
570.950619,0.5598199862808309
571.070221,0.5575405739000618
571.189824,0.5523408176242549
571.309426,0.5548153074435717
571.429029,0.5484495399190862
571.548631,0.5454631656519232
571.668233,0.5452831925044607
571.787836,0.5408788296449678
571.907438,0.5348226940533193
572.027041,0.5398521355369088
572.146643,0.54122510289156
572.266245,0.5353417237552602
572.385848,0.5335566651053129
572.50545,0.5327888964336751
572.625053,0.5406841483110383
572.744655,0.5290406536905498
572.864257,0.5363115697210803
572.98386,0.5331353217924016
573.103462,0.5352400184900529
573.223064,0.5352079050523563
573.342667,0.5312885482309786
573.462269,0.5373583976075121
573.581872,0.531633998046356
573.701474,0.5404354907984278
573.821076,0.5415499353933005
573.940679,0.5392100935863468
574.060281,0.5407544418192978
574.179884,0.5363705672385536
574.299486,0.5356523120169274
574.419088,0.5376862862259141
574.538691,0.5378798881352082
574.658293,0.5467410439941133
574.777896,0.5453868061540216
574.897498,0.5444332138798565
575.0171,0.5462765115609711
575.136703,0.5471731400743477
575.256305,0.5492179070064341
575.375908,0.5504495340254055
575.49551,0.5547820195237726
575.615112,0.5518604900856977
575.734715,0.5561929569853723
575.854317,0.5565323381898771
575.973919,0.5601111683744798
576.093522,0.5678091047137832
576.213124,0.5652483991148156
576.332727,0.5698056164997446
576.452329,0.5694980045295417
576.571931,0.5723526251566332
576.691534,0.5750317628335049
576.811136,0.5821949044161308
576.930739,0.5776194604824971
577.050341,0.5830571908092015
577.169943,0.5840901159059735
577.289546,0.5873290817332426
577.409148,0.5947940903321804
577.528751,0.5955023166107348
