nu,[0]1-1-2-Trifluoro-2-(trifluoromethoxy)-ethane-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
684.123565,0.9999634486680162
684.605681,0.9999616257363109
685.087798,0.9999604597817351
685.569915,0.9999600947962338
686.052032,0.9999604837807864
686.534148,0.9999612127522447
687.016265,0.9999620387205476
687.498382,0.9999626226985487
687.980498,0.9999625737003814
688.462615,0.9999617227325933
688.944732,0.9999603137875186
689.426848,0.9999589528424576
689.908965,0.9999584908615281
690.391082,0.9999600457981904
690.873198,0.9999630356831972
691.355315,0.9999650036123878
691.837432,0.9999650036123878
692.319549,0.9999642506390236
692.801665,0.9999638376538734
693.283782,0.999964177641636
693.765899,0.9999655385938079
694.248015,0.9999677255208322
694.730132,0.9999702284431816
695.212249,0.999972975365172
695.694365,0.9999760612865356
696.176482,0.9999791482174014
696.658599,0.9999818941639126
697.140716,0.9999844221213364
697.622832,0.9999868520864346
698.104949,0.9999890390600715
698.587066,0.9999908620417514
699.069182,0.9999923688291176
699.551299,0.9999934867212115
700.033416,0.9999941672170107
700.515532,0.9999946290144238
700.997649,0.9999951150119316
701.479766,0.9999956497094625
701.961883,0.999996135807466
702.443999,0.9999964517062953
702.926116,0.9999966705055428
703.408233,0.9999969378046886
703.890349,0.9999972051039058
704.372466,0.9999973266035735
704.854583,0.9999973752034448
705.336699,0.9999975454030126
705.818816,0.9999976183028363
706.300933,0.9999975454030126
706.783049,0.9999976183028363
707.265166,0.9999976912026652
707.747283,0.9999974482032559
708.2294,0.9999972780037046
708.711516,0.9999974482032559
709.193633,0.9999977398025542
709.67575,0.9999978370023392
710.157866,0.9999978127023922
710.639983,0.9999977884024456
711.1221,0.9999976426027787
711.604216,0.9999973752034448
712.086333,0.9999973995033813
712.56845,0.9999978613022871
713.050567,0.9999982502015309
713.532683,0.9999982745014887
714.0148,0.9999982016016171
714.496917,0.9999982988014471
714.979033,0.9999984446012097
715.46115,0.9999984203012477
715.943267,0.9999983474013655
716.425383,0.9999985418010632
716.9075,0.9999990035704964
717.389617,0.9999992952102483
717.871733,0.9999992709002657
718.35385,0.9999991493903617
718.835967,0.9999991979903217
719.318084,0.9999992223003024
719.8002,0.9999991250803827
720.282317,0.9999991493903617
720.764434,0.9999993681101996
721.24655,0.9999995139301181
721.728667,0.9999996111500756
722.210784,0.9999997569700295
722.6929,0.9999997812700239
723.175017,0.9999995868400854
723.657134,0.9999993681101996
724.139251,0.9999994167201701
724.621367,0.9999998298800145
725.103484,0.9999997569700295
725.585601,0.9999997569700295
726.067717,0.9999998541800106
726.549834,0.9999997569700295
727.031951,0.9999996354500664
727.514067,0.9999996840600499
727.996184,0.9999999027870047
728.478301,0.9999998055700189
728.960417,0.9999996840600499
729.442534,0.9999998784800074
729.924651,0.9999997812700239
730.406768,0.9999997083600425
730.888884,0.9999998784800074
731.371001,0.9999999027870047
731.853118,0.9999997569700295
732.335234,0.9999997083600425
732.817351,0.9999999513930011
733.299468,0.9999997083600425
733.781584,0.9999996354500664
734.263701,0.9999998055700189
734.745818,0.9999998784800074
735.227935,0.9999997812700239
735.710051,0.9999997569700295
736.192168,0.9999999270900026
736.674285,0.9999996597500579
737.156401,0.9999999270900026
737.638518,0.9999995382401066
738.120635,0.9999994167201701
738.602751,0.9999996354500664
739.084868,0.9999996354500664
739.566985,0.9999993924201845
740.049101,0.9999993195102316
740.531218,0.9999993681101996
741.013335,0.9999992952102483
741.495452,0.9999991493903617
741.977568,0.9999991250803827
742.459685,0.9999993924201845
742.941802,0.9999999027870047
743.423918,0.9999999756970003
743.906035,0.9999994167201701
744.388152,0.9999993195102316
744.870268,0.9999995868400854
745.352385,0.9999995868400854
745.834502,0.9999996354500664
746.316619,0.9999995625400957
746.798735,0.999999465330143
747.280852,0.9999993681101996
747.762969,0.9999992952102483
748.245085,0.9999991979903217
748.727202,0.9999991007804043
749.209319,0.9999990278704726
749.691435,0.9999989307005717
750.173552,0.9999987848007383
750.655669,0.9999987605007682
751.137785,0.9999985418010632
751.619902,0.9999983717013257
752.102019,0.9999983474013655
752.584136,0.9999984689011722
753.066252,0.9999987119008296
753.548369,0.9999989307005717
754.030486,0.9999990764804264
754.512602,0.9999989307005717
754.994719,0.9999984203012477
755.476836,0.9999980071019858
755.958952,0.9999978370023392
756.441069,0.9999977641024996
756.923186,0.9999977884024456
757.405303,0.9999978613022871
757.887419,0.9999981043017968
758.369536,0.9999984446012097
758.851653,0.9999985418010632
759.333769,0.9999983474013655
759.815886,0.9999981773016611
760.298003,0.9999981530017057
760.780119,0.9999978856022353
761.262236,0.9999971565040428
761.744353,0.9999963788065566
762.226469,0.9999960629077503
762.708586,0.999996087207655
763.190703,0.9999962330070952
763.67282,0.9999964274063817
764.154936,0.9999964274063817
764.637053,0.9999959900080401
765.11917,0.999995479610217
765.601286,0.9999955039101075
766.083403,0.9999959414082361
766.56552,0.9999962573070039
767.047636,0.999996208707187
767.529753,0.9999959414082361
768.01187,0.9999957955088389
768.493987,0.9999956740093571
768.976103,0.9999956011096751
769.45822,0.9999957712089413
769.940337,0.999996087207655
770.422453,0.9999962816069132
770.90457,0.9999964031064689
771.386687,0.9999963545066448
771.868803,0.9999960386078464
772.35092,0.9999957469090445
772.833037,0.9999956254095685
773.315153,0.9999956011096751
773.79727,0.999995819808737
774.279387,0.999996208707187
774.761504,0.9999964760062093
775.24362,0.999996500306124
775.725737,0.9999963545066448
776.207854,0.9999962573070039
776.68997,0.9999962816069132
777.172087,0.9999964274063817
777.654204,0.999996500306124
778.13632,0.9999964517062953
778.618437,0.9999962330070952
779.100554,0.9999960143079429
779.582671,0.999995917108335
780.064787,0.9999960386078464
780.546904,0.9999960629077503
781.029021,0.9999957469090445
781.511137,0.9999954310104379
781.993254,0.9999954067105492
782.475371,0.9999953581107736
782.957487,0.9999950421122904
783.439604,0.9999947262139065
783.921721,0.9999946290144238
784.403837,0.9999945318149506
784.885954,0.999994337316033
785.368071,0.9999941672170107
785.850188,0.9999942158167284
786.332304,0.9999942644164486
786.814421,0.9999940943174386
787.296538,0.9999938270190529
787.778654,0.9999936325202725
788.260771,0.9999936325202725
788.742888,0.9999936325202725
789.225004,0.9999935353208961
789.707121,0.9999935353208961
790.189238,0.9999936811199642
790.671355,0.9999939971180174
791.153471,0.9999943859157591
791.635588,0.999994701914035
792.117705,0.9999949692126544
792.599821,0.9999951880115776
793.081938,0.9999953824106611
793.564055,0.9999955282099985
794.046171,0.9999956497094625
794.528288,0.9999958927084349
795.010405,0.9999964274063817
795.492521,0.9999969864045409
795.974638,0.9999971565040428
796.456755,0.9999971565040428
796.938872,0.9999973752034448
797.420988,0.9999976912026652
797.903105,0.9999979585020838
798.385222,0.9999982259015737
798.867338,0.9999984446012097
799.349455,0.999998566101028
799.831572,0.9999986633008934
800.313688,0.9999989307005717
800.795805,0.9999992466002838
801.277922,0.9999993195102316
801.760039,0.9999992709002657
802.242155,0.9999992466002838
802.724272,0.9999991493903617
803.206389,0.9999990278704726
803.688505,0.9999991493903617
804.170622,0.9999993438102153
804.652739,0.9999994167201701
805.134855,0.9999994410201563
805.616972,0.9999994896301302
806.099089,0.9999997083600425
806.581205,0.9999999756970003
