nu,[0]Menthol-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
606.51594,0.9597811396910679
606.756994,0.9759509011824156
606.998048,0.9696879114767358
607.239102,0.9705552000898421
607.480156,0.968258676127501
607.72121,0.9845879994316368
607.962264,0.9697296089534186
608.203318,0.9759138157527982
608.444372,0.9683748741403777
608.685426,0.9705940230743002
608.92648,0.9657589597251336
609.167534,0.9670259000192363
609.408588,0.9804957185048422
609.649642,0.9809900128986926
609.890696,0.9779135573709125
610.13175,0.9797390679148634
610.372804,0.9816151026068443
610.613858,0.9764487630860128
610.854912,0.9777316823641414
611.095966,0.9798017732217584
611.33702,0.9868758822392394
611.578074,0.9763403832885004
611.819128,0.9808291437282097
612.060182,0.9874543609839498
612.301236,0.9793962192431107
612.54229,0.9821649610102875
612.783344,0.9865808504598989
613.024398,0.9986850652852642
613.265452,0.9709493255031236
613.506506,0.9883691672121359
613.74756,0.9846057221751308
613.988614,0.9905623171317713
614.229668,0.9769742338595166
614.470722,0.9775693923753107
614.711776,0.9907602512556948
614.95283,0.9800487143818897
615.193884,0.9862464562346165
615.434938,0.9865216573846812
615.675992,0.9924845830423762
615.917046,0.9912051033720707
616.1581,0.9971381030572766
616.399154,0.9930394377155337
616.640208,0.9911990570393815
616.881262,0.9797282908443904
617.122316,0.99474754264734
617.36337,0.9938080496276708
617.604424,0.9880756651566865
617.845478,0.995424201014111
618.086532,0.9906394849419231
618.327586,0.9978362443016355
618.56864,0.9852262192161461
618.809694,0.9931196785437869
619.050748,0.9960706402168705
619.291802,0.9827760576473881
619.532856,0.9915212490862909
619.77391,0.9993211005565829
620.014964,0.9939693577639265
620.256018,0.9840417047027621
620.497072,0.9942146002539042
620.738126,0.9945988390055884
620.97918,0.9998757577187115
621.220234,0.9894708239732969
621.461288,1.0
621.702342,0.9908250490949931
621.943396,0.9903546179918847
622.18445,0.9995281413603202
622.425504,0.9978525091649759
622.666558,0.9977117221086932
622.907612,0.9878563367053806
623.148666,1.0
623.38972,0.9963365269517508
623.630774,0.9905268556355825
623.871828,0.9969116787055305
624.112882,0.9998197562458576
624.353936,0.9885490667709318
624.59499,0.9965284398474603
624.836044,0.9951352713087325
625.077098,0.9982965525164227
625.318152,0.9902094426464999
625.559206,0.9950239219019885
625.80026,1.0
626.041314,0.9962068123805435
626.282368,0.9998761376715717
626.523422,1.0
626.764476,1.0
627.00553,0.9952391688544145
627.246584,1.0
627.487638,0.9997564196705067
627.728692,0.9999678755160023
627.969746,0.9923295690574124
628.2108,0.9997818038082523
628.451854,0.9979458127364569
628.692908,0.9961317012186164
628.933962,0.9989250781428423
629.175016,0.9953482530450255
629.41607,1.0
629.657124,0.9998244854044891
629.898178,1.0
630.139232,0.999294109258176
630.380286,0.9999270406616619
630.62134,0.9943909895692589
630.862394,0.9972972589988308
631.103448,0.9951092986170964
631.344502,0.998541464698006
631.585556,1.0
631.82661,0.9992167069343035
632.067664,0.9998148171484613
632.308718,0.9997034939666051
632.549772,1.0
632.790826,0.9976883759275472
633.03188,0.9997662873150656
633.272934,1.0
633.513988,1.0
633.755042,0.9918811374453774
633.996096,0.9995428545228496
634.23715,1.0
634.478204,0.9962542329534135
634.719258,1.0
634.960312,1.0
635.201366,1.0
635.44242,0.9993793926564509
635.683474,1.0
635.924528,0.9983334901722082
636.165582,1.0
636.406636,0.9970293212243899
636.64769,1.0
636.888744,1.0
637.129798,0.9998186364483577
637.370852,1.0
637.611906,1.0
637.85296,1.0
638.094014,0.992063461953549
638.335068,1.0
638.576122,0.9997356649426691
638.817176,0.9963735913599471
639.05823,1.0
639.299284,1.0
639.540338,1.0
639.781392,0.998894511503123
640.022446,1.0
640.2635,1.0
640.504554,0.9995430644268711
640.745608,0.999662656912979
640.986662,1.0
641.227716,0.9997810039831292
641.46877,1.0
641.709824,1.0
641.950878,1.0
642.191932,1.0
642.432986,0.9999918211334471
642.67404,1.0
642.915094,1.0
643.156148,1.0
643.397202,0.9948170779308009
643.638256,1.0
643.87931,0.9996568388932462
644.120364,1.0
644.361418,1.0
644.602472,1.0
644.843526,0.9989544469718593
645.08458,1.0
645.325634,1.0
