nu,[0]PFC-31-10-PNNL(x-sec)-X=0.01-T=278.16K-P=1.0atm-L=15cm
555.561111,0.9677524092402172
555.681114,0.9698062206186469
555.801116,0.9692419576147084
555.921118,0.97048338166235
556.041121,0.9712659065831499
556.161123,0.9716904425386769
556.281126,0.9716729522681241
556.401128,0.9705406418710276
556.52113,0.971886743833833
556.641133,0.9725925898009397
556.761135,0.9721103034932902
556.881138,0.9732707231380452
557.00114,0.9723591955878133
557.121142,0.9739532251039555
557.241145,0.9716097955788413
557.361147,0.9757645123609888
557.48115,0.974179208465236
557.601152,0.9743243719817107
557.721154,0.9751665520084841
557.841157,0.9742249959640316
557.961159,0.975497189509505
558.081162,0.9763735794258632
558.201164,0.9760934004161791
558.321166,0.9750641648959407
558.441169,0.9755557210968057
558.561171,0.9756854786363967
558.681174,0.977626093044372
558.801176,0.9768208609448895
558.921178,0.9763901779178003
559.041181,0.9778363052513791
559.161183,0.9760455730113397
559.281186,0.9773113481190642
559.401188,0.9768159768527951
559.52119,0.978153175544496
559.641193,0.9778529286098665
559.761195,0.9778108818379483
559.881198,0.977912579457844
560.0012,0.9771334936389552
560.121202,0.978302844429732
560.241205,0.9781512192401012
560.361207,0.9776808416385289
560.48121,0.9786580328250536
560.601212,0.9775390881938644
560.721214,0.9782529522569273
560.841217,0.9777698146433282
560.961219,0.9788107153871045
561.081222,0.9781786078576789
561.201224,0.9783282806343565
561.321226,0.977343599925704
561.441229,0.9789330743738052
561.561231,0.9789203483265578
561.681234,0.9784603638676598
561.801236,0.9776583552377658
561.921238,0.9781062253188842
562.041241,0.9777013731517834
562.161243,0.9794765330259088
562.281246,0.9791807757745278
562.401248,0.9785934435263575
562.52125,0.978237300334907
562.641253,0.9779243144792075
562.761255,0.9779996175505534
562.881258,0.9779174690329653
563.00126,0.9777776368331341
563.121262,0.9781453503503925
563.241265,0.9778275047642341
563.361267,0.9773572828318831
563.48127,0.9757362156004353
563.601272,0.9774520910864438
563.721274,0.9783644794504139
563.841277,0.9756513302422447
563.961279,0.9773631469931725
564.081282,0.9772556429598336
564.201284,0.9775175825704868
564.321286,0.9767681140425777
564.441289,0.9757732942811186
564.561291,0.9769224555972582
564.681294,0.9754220791177
564.801296,0.9772360980424242
564.921298,0.9766089138151598
565.041301,0.9756610868043298
565.161303,0.9749101169279971
565.281306,0.976020196156342
565.401308,0.9745202308636373
565.52131,0.9751090188791596
565.641313,0.9751148695508249
565.761315,0.9761334210660139
565.881318,0.9744179116112514
566.00132,0.9744023210493904
566.121322,0.9748331020708867
566.241325,0.9748750207955218
566.361327,0.9737759817466214
566.48133,0.9741548542894528
566.601332,0.9730060295013182
566.721334,0.9736591356397184
566.841337,0.9734322994885523
566.961339,0.972163771030326
567.081342,0.9725935623940157
567.201344,0.9719489465759049
567.321346,0.9713902365761423
567.441349,0.9717788703923542
567.561351,0.9728036652937891
567.681354,0.9710940077311818
567.801356,0.9721569659077468
567.921358,0.971751660964917
568.041361,0.9704358291416948
568.161363,0.9705173491751362
568.281366,0.9704775587795287
568.401368,0.9717147351033962
568.52137,0.9700826547815203
568.641373,0.9688417433361508
568.761375,0.9694910848092887
568.881378,0.9688310861355888
569.00138,0.969096582224493
569.121382,0.9693398559962125
569.241385,0.9694484281400106
569.361387,0.9690820458847825
569.48139,0.9688398056546018
569.601392,0.9684697795283315
569.721394,0.9671922427791069
569.841397,0.9669485410416352
569.961399,0.9666266007834963
570.081402,0.9672734903398501
570.201404,0.9669185661014769
570.321406,0.966885691429102
570.441409,0.9669988236731064
570.561411,0.9664796847060819
570.681414,0.965768617363019
570.801416,0.9657464049402634
570.921418,0.9652607566493632
571.041421,0.9649721868264634
571.161423,0.9661936490547737
571.281426,0.9656256941842254
571.401428,0.9652443473559795
571.52143,0.9635922991722047
571.641433,0.9645534797633856
571.761435,0.9639643175946215
571.881438,0.9643114072213399
572.00144,0.9632907419787264
572.121442,0.9635605011510022
572.241445,0.9626879106801305
572.361447,0.962708127338529
572.48145,0.9624183957989842
572.601452,0.9614545355410262
572.721454,0.9626474786369608
572.841457,0.9619459643580569
572.961459,0.961925763704913
573.081462,0.9613516654093736
573.201464,0.9611152019858764
573.321466,0.9610229393551629
573.441469,0.961315134740175
573.561471,0.9603888734799438
573.681474,0.959743708956524
573.801476,0.9597053199759505
573.921478,0.9588592330629097
574.041481,0.9590414336256969
574.161483,0.9593627663261838
574.281486,0.9587096626893443
574.401488,0.9587892388937144
574.52149,0.9580991591002479
574.641493,0.9580244302803
574.761495,0.9585965416234211
574.881498,0.9570467865090571
575.0015,0.956873576716658
575.121502,0.9572420439690886
575.241505,0.9559927018576407
575.361507,0.9564660353854435
575.48151,0.9560443268574035
575.601512,0.955424055389136
575.721514,0.9556409612675951
575.841517,0.955018086440108
575.961519,0.9551928707422024
576.081522,0.9538469978578169
576.201524,0.9544834260305887
576.321526,0.9536324064257403
576.441529,0.953885152500819
576.561531,0.9540034415935013
576.681534,0.9529879687634674
576.801536,0.9518384061857471
576.921538,0.9518231768930828
577.041541,0.9507082935790017
577.161543,0.9508214345976946
577.281546,0.9511428665615305
577.401548,0.9497276687094932
577.52155,0.947848120504945
577.641553,0.9480234886282897
577.761555,0.948211215863421
577.881558,0.9473837886964812
578.00156,0.9467871248784397
578.121562,0.9458710783795927
578.241565,0.9458521611471981
578.361567,0.9443135665846465
578.48157,0.9447367138403845
578.601572,0.9438349209533086
578.721574,0.9439415803255173
578.841577,0.944017098672637
578.961579,0.9435716277414736
579.081582,0.9426059049291323
579.201584,0.9407837260297336
579.321586,0.9407084663420788
579.441589,0.9402551541183242
579.561591,0.9395981454168879
579.681594,0.939217685216385
579.801596,0.9379158932883876
579.921598,0.9379140174584768
580.041601,0.9383305437442212
580.161603,0.9350717637172622
580.281606,0.935061477984433
580.401608,0.9350399718177612
580.52161,0.9335609744776187
580.641613,0.9324292515443016
580.761615,0.9320610147215018
580.881618,0.9311815642895178
581.00162,0.9301448056087023
581.121622,0.928600188873838
581.241625,0.9272491308077895
581.361627,0.9272342949403838
581.48163,0.9258111563136212
581.601632,0.9245214746786659
581.721634,0.9243458322850326
