nu,[0]1-Butene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
578.059061,0.9880440472412909
578.178564,0.9896499344014408
578.298066,0.9889346760959032
578.417568,0.9882476052807808
578.537071,0.989454003112267
578.656573,0.9894965505491642
578.776076,0.988136927747047
578.895578,0.9900750803418213
579.01508,0.9888654530914099
579.134583,0.989231401005243
579.254085,0.9904170122982182
579.373587,0.9893639668946939
579.49309,0.989839965431241
579.612592,0.9897578121235197
579.732095,0.9908587377193657
579.851597,0.9903259971569978
579.971099,0.99071527176133
580.090602,0.9898449146434412
580.210104,0.9897607814014099
580.329607,0.9905455767700683
580.449109,0.9908318858114186
580.568611,0.9906960520714895
580.688114,0.9910574248139941
580.807616,0.9910648577725537
580.927119,0.9909189837620802
581.046621,0.9902050857345375
581.166123,0.9905978789572872
581.285626,0.9905274499518743
581.405128,0.9898498638803874
581.52463,0.9905658831625318
581.644133,0.9913706484469629
581.763635,0.991660369276591
581.883138,0.9917434738975712
582.00264,0.9915692398761144
582.122142,0.9911736826683146
582.241645,0.990269154076173
582.361147,0.9914961639160178
582.48065,0.9914153602714519
582.600152,0.9914574963196481
582.719654,0.9911059878175938
582.839157,0.9915557546261521
582.958659,0.9915164897957176
583.078162,0.9916357764043857
583.197664,0.9919132749148549
583.317166,0.9914022736750681
583.436669,0.9918507863469458
583.556171,0.9921034429166766
583.675674,0.9918648707281108
583.795176,0.9917122344701671
583.914678,0.9923566600244377
584.034181,0.992023780208711
584.153683,0.9913391233615938
584.273185,0.9928176174833906
584.392688,0.9911428576461152
584.51219,0.9911064833707116
584.631693,0.9919610862869506
584.751195,0.9910787327776874
584.870697,0.9918489018322421
584.9902,0.9912923332592262
585.109702,0.992510387976998
585.229205,0.9923203404353333
585.348707,0.9922340123210429
585.468209,0.9917093585088572
585.587712,0.9924870642569353
585.707214,0.9923264928405164
585.826717,0.9921052287044811
585.946219,0.9912340469836639
586.065721,0.9923263936078721
586.185224,0.9909265147749746
586.304726,0.9917610279124118
586.424228,0.9920576087963903
586.543731,0.9926091476738151
586.663233,0.9913951356043946
586.782736,0.9926218531522203
586.902238,0.9924648327956893
587.02174,0.9923173634787774
587.141243,0.991987472802785
587.260745,0.9920274507034882
587.380248,0.9918469181364221
587.49975,0.991388493279238
587.619252,0.9918540594599414
587.738755,0.9914251753321031
587.858257,0.991508359393836
587.97776,0.9914188302312853
588.097262,0.9916904170410014
588.216764,0.9921142569031406
588.336267,0.9917013256955862
588.455769,0.9920467954273874
588.575272,0.9920142568261333
588.694774,0.9926490513636105
588.814276,0.9915825269929524
588.933779,0.9917567633491606
589.053281,0.99165749346569
589.172783,0.9915874849179821
589.292286,0.9911363161248418
589.411788,0.9915499044644578
589.531291,0.992031022008739
589.650793,0.9913301022166174
589.770295,0.9912507989806119
589.889798,0.9914969571132662
590.0093,0.9913564719480523
590.128803,0.9911562381650117
590.248305,0.9905171485199623
590.367807,0.9913170167456326
