nu,[0]Ethanol-PNNL(x-sec)-X=0.01-T=278.08K-P=1.0atm-L=15cm
626.078522,0.9984069702211175
626.196524,0.9961183531432524
626.314526,0.9982731926504053
626.432529,0.9966475321116431
626.550531,0.9985632331392115
626.668533,0.9978597935148807
626.786536,0.9960389656741395
626.904538,0.9977732828210758
627.02254,0.9982962530275018
627.140543,0.9983617434097615
627.258545,0.9977961320908755
627.376548,0.9988046150424892
627.49455,0.9982057116634652
627.612552,0.9987430905731757
627.730555,0.9974975363956156
627.848557,0.9997369845946178
627.966559,0.9971091864715804
628.084562,0.999942790636518
628.202564,0.9992007495709136
628.320566,0.9982130984130624
628.438569,0.99841395909437
628.556571,0.9983811118154565
628.674573,0.9980309411449583
628.792576,0.9979043988445725
628.910578,0.9968950304195098
629.028581,0.9970092811364369
629.146583,0.9977208013266747
629.264585,0.9968512676882734
629.382588,0.9967685324666145
629.50059,0.9989341684024139
629.618592,0.998184749563623
629.736595,0.9985790105629364
629.854597,0.9978001232833862
629.972599,0.9970859540981939
630.090602,0.9971327185260583
630.208604,0.9978148908344905
630.326607,0.9988102083639947
630.444609,0.9971089870497631
630.562611,0.9975705558877604
630.680614,0.9971812800719146
630.798616,0.9976860812469215
630.916618,0.9979055963305696
631.034621,0.9950460116782504
631.152623,0.998699845933607
631.270625,0.9959605804920383
631.388628,0.9986929549284441
631.50663,0.998192435615786
631.624632,0.9950217328517682
631.742635,0.9964842946153991
631.860637,0.999410983538344
631.97864,0.9979916195005187
632.096642,0.9958265332194879
632.214644,0.9985677266838711
632.332647,0.9980019986673331
632.450649,1.0007158761170827
632.568651,0.9968349194615391
632.686654,0.9969990119937274
632.804656,0.9970505581751048
632.922658,0.9964444360407914
633.040661,0.9975862178684342
633.158663,0.998866942395061
633.276666,0.9986757775573452
633.394668,0.9953620884818989
633.51267,0.9989127914399445
633.630673,0.9977455451093693
633.748675,0.9979664704285869
633.866677,0.9989597414444585
633.98468,0.9968979214192899
634.102682,0.9988065127730605
634.220684,0.9955793997444757
634.338687,0.9995478522496165
634.456689,0.9969851538037753
634.574691,0.9964912700298754
634.692694,0.9974850677543398
634.810696,0.9967954455803164
634.928699,0.9967692302048313
635.046701,0.9977213001872002
635.164703,0.9973066336371261
635.282706,0.9986799720044192
635.400708,0.99687559115595
635.51871,0.9967480989211434
635.636713,0.9971139726071623
635.754715,0.9975284592985463
635.872717,0.9982083070016894
635.99072,0.9968356172462269
636.108722,0.9961597925286764
636.226725,0.997175097567144
636.344727,0.9951849297977398
636.462729,0.9969639182461588
636.580732,0.9961287128279953
636.698734,0.9980023978682123
636.816736,0.9961204449939904
636.934739,0.9979070931900867
637.052741,0.996054902425084
637.170743,0.9994380879317515
637.288746,1.0005112106236353
637.406748,0.9974948431559031
637.52475,0.9980185656380164
637.642753,0.9970434791412723
637.760755,0.9978622881674828
637.878758,0.9971720063291329
637.99676,0.998160394152871
638.114762,0.9973391463633373
638.232765,0.9965420923806059
638.350767,0.9975543953756556
638.468769,0.9975971913771849
638.586772,0.9974737962367584
638.704774,0.9963426046231021
638.822776,0.9978204786135249
638.940779,0.9993938637748272
639.058781,0.9960529103172712
639.176784,0.9978952181663343
639.294786,0.9972952644063074
639.412788,0.9959240294094507
639.530791,0.99916401962646
639.648793,0.9963959103783656
639.766795,0.9989169868824789
639.884798,0.9961478386828893
640.0028,0.9981422277990116
640.120802,0.9964110557113076
640.238805,0.9974373891076298
640.356807,0.9964757248873154
640.474809,0.9980839379949871
640.592812,0.9973727572589102
640.710814,0.9975674634238305
640.828817,0.9982309665874437
640.946819,0.9970464702761964
641.064821,0.9981921361581002
641.182824,0.9975714537016648
641.300826,0.9968471806064544
641.418828,0.9963478852529002
641.536831,0.9975550936639768
641.654833,0.9972369243398033
641.772835,0.9972943668409734
641.890838,0.997117562223925
642.00884,0.997689672923279
642.126843,0.997178089096924
642.244845,0.9963537637227646
642.362847,0.9971133743389582
642.48085,0.9996412643610222
642.598852,0.998463881040363
642.716854,0.9979523992005562
642.834857,0.998893912166596
642.952859,0.9988882184875235
643.070861,0.9997944211342316
643.188864,0.9985032212922739
643.306866,0.997053349920576
643.424868,0.9967128146629767
643.542871,0.9988564543472281
643.660873,0.9979972082692364
643.778876,0.9985850020549742
643.896878,0.9984686736784943
644.01488,0.9982223818380455
644.132883,0.9971099841592487
644.250885,0.998688960164614
644.368887,0.9982988486011339
644.48689,0.9976599422140157
644.604892,0.9982915610461388
644.722894,0.9978295588211952
644.840897,0.9988133046804399
644.958899,0.9965188732203576
645.076902,0.9974587344961515
645.194904,0.9988787290945226
645.312906,0.9982091055686545
645.430909,0.9974765891672979
645.548911,0.9983643391536688
645.666913,0.9991619413674605
645.784916,0.9973804370587083
645.902918,0.9975180850565157
646.02092,0.9990250555674496
646.138923,0.9970785756894337
646.256925,0.9982705971434785
646.374927,0.9986452185461071
646.49293,0.9987482840507497
646.610932,0.9990893648800495
646.728935,0.9986993465838089
646.846937,0.9994732088032315
