nu,[0]HFE-356mmz1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
847.561167,0.9999969451046662
848.043284,0.9999969159047558
848.5254,0.9999968697048994
849.007517,0.9999967312053425
849.489634,0.9999965951057966
849.97175,0.9999964250063903
850.453867,0.9999961212075226
850.935984,0.9999958320086861
851.4181,0.9999957396090755
851.900217,0.9999957421090648
852.382334,0.9999956400095048
852.86445,0.9999954115105272
853.346567,0.9999951588117186
853.828684,0.999994862313198
854.3108,0.9999945293149642
854.792917,0.9999942790163648
855.275034,0.9999940360177846
855.757151,0.9999937395195969
856.239267,0.9999935645207078
856.721384,0.9999934211216409
857.203501,0.9999931125237188
857.685617,0.9999927844260323
858.167734,0.999992563227653
858.649851,0.9999924490285087
859.131967,0.9999923809290253
859.614084,0.9999921816305636
860.096201,0.9999917733338392
860.578317,0.9999912581382103
861.060434,0.9999907599426896
861.542551,0.9999902422476071
862.024667,0.9999895110550093
862.506784,0.99998863606457
862.988901,0.9999880700711622
863.471018,0.9999878050743587
863.953134,0.9999872430813702
864.435251,0.9999862270948473
864.917368,0.9999852751084123
865.399484,0.9999845891187489
865.881601,0.9999838991296204
866.363718,0.9999830481436843
866.845834,0.9999819861622511
867.327951,0.9999807621850492
867.810068,0.999979617207732
868.292184,0.9999786452280164
868.774301,0.9999776772491563
869.256418,0.9999766642722824
869.738534,0.9999756972953155
870.220651,0.9999747003200423
870.702768,0.9999735583495866
871.184885,0.9999722943838076
871.667001,0.9999711034175143
872.149118,0.9999701314460742
872.631235,0.9999691114770602
873.113351,0.9999678225177063
873.595468,0.9999664135640369
874.077585,0.999965101608963
874.559701,0.9999639836486044
875.041818,0.9999630836814241
875.523935,0.9999621607159238
876.006051,0.999961188753176
876.488168,0.9999603617856148
876.970285,0.9999596818127999
877.452401,0.9999590738374983
877.934518,0.999958417864561
878.416635,0.9999578588879616
878.898752,0.9999576158982314
879.380868,0.9999576398972145
879.862985,0.9999577128941248
880.345102,0.999957761892054
880.827218,0.9999578108899856
881.309335,0.9999580288808121
881.791452,0.9999584418635633
882.273568,0.9999589768414728
882.755685,0.9999596088157459
883.237802,0.9999602407904183
883.719918,0.9999608477664687
884.202035,0.9999615047409615
884.684152,0.999962184715016
885.166268,0.9999627436940334
885.648385,0.9999631816778111
886.130502,0.9999636426609441
886.612619,0.999964177641636
887.094735,0.9999645666277768
887.576852,0.9999647126226141
888.058969,0.9999646636243444
888.541085,0.9999645176295142
889.023202,0.9999643716347053
889.505319,0.9999639836486044
889.987435,0.9999632296760449
890.469552,0.9999621367168322
890.951669,0.9999608477664687
891.433785,0.9999593898246155
891.915902,0.999957737893068
892.398019,0.9999559389707157
892.880135,0.9999538730638798
893.362252,0.999951589171842
893.844369,0.9999491832912127
894.326486,0.9999466074254343
894.808602,0.9999439825690348
895.290719,0.9999414547138421
895.772836,0.9999390488575963
896.254952,0.9999367889978996
896.737069,0.9999348941194798
897.219186,0.9999338971848873
897.701302,0.999933119236618
898.183419,0.9999311023735505
898.665536,0.9999283565665134
899.147652,0.9999260967309811
899.629769,0.999924200872899
900.111886,0.9999224510070787
900.594002,0.9999210901135489
901.076119,0.9999201181907217
901.558236,0.9999196082315914
902.040353,0.9999196812257255
902.522469,0.9999203371732515
903.004586,0.9999213820905498
903.486703,0.9999226209939097
903.968819,0.9999239578913477
904.450936,0.9999253187887805
904.933053,0.9999267766809581
905.415169,0.999928405563004
