nu,[0]HCFC-123a-PNNL(x-sec)-X=0.01-T=278.18K-P=1.0atm-L=15cm
528.970179,0.9994639137456117
529.089782,1.000355823290094
529.209384,1.000998227898152
529.328987,0.9990738191704779
529.448589,0.999298566119842
529.568191,1.0003458097784206
529.687794,0.9974338980828772
529.807396,0.9982689999118008
529.926999,0.9998675787684653
530.046601,1.001105310405796
530.166203,0.9979638757191369
530.285806,0.9967841818554215
530.405408,0.9984834511242177
530.525011,1.0006026315094496
530.644613,0.9989363660600018
530.764215,0.9992680380149662
530.883818,0.9967471021735429
531.00342,0.998719920002254
531.123022,0.9952326002975764
531.242625,0.9947066593634944
531.362227,0.9996130049019281
531.48183,0.9981727714184973
531.601432,1.0002769183348053
531.721034,0.9996176631093845
531.840637,0.9939600144958769
531.960239,1.0009949746591977
532.079842,1.0016462535900768
532.199444,0.9986275426821707
532.319046,1.0000936333833317
532.438649,0.9955565016816104
532.558251,1.001702147010439
532.677854,1.0008759133882716
532.797456,0.999693676926496
532.917058,0.995144625624248
533.036661,0.9980981108875339
533.156263,0.9965915220942346
533.275866,1.0004391564009498
533.395468,1.001190007497693
533.51507,0.9995706422004523
533.634673,0.9977967307687343
533.754275,0.998159096545202
533.873877,0.9985500521915285
533.99348,0.9988986069790159
534.113082,0.9982977504730044
534.232685,0.9968272438622103
534.352287,0.9987444888144812
534.471889,0.9991371824413178
534.591492,0.9997438028241029
534.711094,0.9990342965919533
534.830697,0.999438847504987
534.950299,0.9994513605576892
535.069901,0.9979891245245887
535.189504,0.9966980634224791
535.309106,0.9999617917299546
535.428709,0.9981376363553242
535.548311,0.9996176231246787
535.667913,0.9977725843800223
535.787516,0.9971862659907798
535.907118,0.997630611442879
536.026721,0.9986347328263625
536.146323,0.998056391258445
536.265925,0.9975969918577665
536.385528,0.9985733186787981
536.50513,0.9985716211055993
536.624732,0.9984903406837993
536.744335,0.9991192580810468
536.863937,0.9987130288585805
536.98354,0.998276686612694
537.103142,0.9984523987717542
537.222744,0.9985839036120762
537.342347,0.9988093094352116
537.461949,0.999331263703855
537.581552,0.9987471854282415
537.701154,0.9981086907835827
537.820756,0.9982637091001221
537.940359,0.9990454258960074
538.059961,1.00031141848067
538.179564,0.9996899780667343
538.299166,0.9970380951210218
538.418768,1.0001293283621917
538.538371,0.999783283486417
538.657973,0.999322849370039
538.777576,0.9983630412808715
538.897178,0.9991992008109521
539.01678,0.9967227818409591
539.136383,0.9969583352638489
539.255985,0.9995668338435604
539.375588,1.0004535028013162
539.49519,0.9947343125930028
539.614792,0.9979325401454104
539.734395,0.9984245423384276
539.853997,0.9992354923849766
539.973599,0.9977663982091762
540.093202,0.9989205829901047
540.212804,0.9991771187526218
540.332407,0.9978150903974886
540.452009,0.9992757024302108
540.571611,0.9992668488867086
540.691214,0.9997806240664199
540.810816,0.99738103548715
540.930419,0.9964680520537742
541.050021,0.9991544177063687
541.169623,0.9991965529365784
541.289226,0.9983808123011679
541.408828,0.9975956949825201
541.528431,0.9977623073753298
541.648033,0.997045572934777
541.767635,0.9989961042408461
541.887238,0.9983987833175281
542.00684,0.9980597846559441
542.126443,0.9977155134204407
542.246045,0.9975522007583999
542.365647,0.9967223831519261
542.48525,0.9993748155093142
542.604852,0.9983136235334275
542.724454,0.9976697193293571
542.844057,0.9990516100063336
542.963659,0.9972561711981746
543.083262,0.9971437867606626
543.202864,0.9985144045909787
543.322466,0.9981015044268798
543.442069,0.9990940406292184
543.561671,0.9990452260869422
543.681274,0.9987240147623203
543.800876,0.9992269589503094
543.920478,0.9965640165478031
544.040081,0.9961637771758157
544.159683,0.9990654070043358
544.279286,0.997916972519212
544.398888,0.997470305084581
544.51849,0.9983855047020129
544.638093,0.9979355339475215
544.757695,0.9969166632763855
544.877298,0.9980978114581455
544.9969,0.997952698586321
545.116502,0.9988816258470373
545.236105,0.9988092095542858
545.355707,0.9987361992696258
545.47531,0.9965081108746436
545.594912,0.9977899457740341
545.714514,0.9976150485267316
545.834117,0.9971964373425667
545.953719,0.997228148693482
546.073321,0.9978427302583028
546.192924,0.9965973023418255
546.312526,0.9974386857770785
546.432129,0.9982490347314551
546.551731,0.9965441851211972
546.671333,0.9974205325581922
546.790936,0.9971179610710296
546.910538,0.9976589445545723
547.030141,0.9972655454502428
547.149743,0.996847878399725
547.269345,0.9972788091702008
547.388948,0.9978478192692042
547.50855,0.9978398365185811
547.628153,0.9968959276254409
547.747755,0.9962271352068082
547.867357,0.9973794396787699
547.98696,0.9990339669106898
548.106562,0.9961296093442403
548.226165,0.9960646638109585
548.345767,0.9965773705950969
548.465369,0.9982704973164238
548.584972,0.9965551471675247
548.704574,0.9966356720765783
548.824176,0.9959336899193894
548.943779,0.9961722446039083
549.063381,0.9961693557085878
549.182984,0.9965278419305758
549.302586,0.9971439861894399
549.422188,0.9963946150645241
549.541791,0.9965009360420748
549.661393,0.9966386619880795
549.780996,0.996266686209158
549.900598,0.9966514190445979
550.0202,0.9963879392429672
550.139803,0.9961628806288197
550.259405,0.9964148420805135
550.379008,0.9968335238936288
550.49861,0.995866765424115
550.618212,0.9949887981774828
550.737815,0.9954489873853053
550.857417,0.9956001080113557
550.97702,0.9957533426590823
551.096622,0.9963321430806767
551.216224,0.9962290280401632
551.335827,0.9963451951172417
551.455429,0.9953715444666553
551.575032,0.996175830830444
551.694634,0.9963423057203655
551.814236,0.9966054744732105
551.933839,0.995948828226527
552.053441,0.9948743810448035
552.173043,0.9956183276600415
552.292646,0.9956293790848139
552.412248,0.9955819882542801
552.531851,0.9963446969447687
552.651453,0.9950599424199288
552.771055,0.9958857866609869
552.890658,0.9960651618434149
553.01026,0.9945574645544804
553.129863,0.9957658892302431
553.249465,0.9953041600940816
553.369067,0.995306747888262
553.48867,0.9945608460556083
553.608272,0.9954973673817166
553.727875,0.9939437136853062
553.847477,0.9945308107715926
553.967079,0.993490081929335
554.086682,0.996331943814268
554.206284,0.9952882353549184
554.325887,0.9945998336049247
554.445489,0.9953872714613008
554.565091,0.994793998442316
554.684694,0.9944623894055334
554.804296,0.9937646211648209
554.923898,0.9943283449102436
555.043501,0.9936770743581897
555.163103,0.9948237432275517
555.282706,0.9934380244129607
555.402308,0.993997487494785
555.52191,0.9957867009548097
555.641513,0.994904128233515
555.761115,0.9941385457461068
555.880718,0.994206646568917
556.00032,0.99466826442747
556.119922,0.9941718499452316
556.239525,0.9932475012716316
556.359127,0.9940170694381701
556.47873,0.9937520004342739
