nu,[0]HFC-32-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
564.9893,0.9769781417642679
565.109102,0.9775899215481062
565.228905,0.9787647123645608
565.348707,0.9779262703297923
565.468509,0.9784241615039445
565.588312,0.9767505323747604
565.708114,0.9769605563159857
565.827917,0.9804261057801092
565.947719,0.9789986650870526
566.067521,0.9812127229082503
566.187324,0.9829175875896006
566.307126,0.9831987422228473
566.426929,0.9854833968195787
566.546731,0.9850173733961113
566.666533,0.9845358176504962
566.786336,0.9845436939685427
566.906138,0.9844206336982237
567.025941,0.9866923403950635
567.145743,0.9844629646955827
567.265545,0.9837012851689105
567.385348,0.9843310554964272
567.50515,0.9845328640474738
567.624952,0.9850291936755137
567.744755,0.9838508191285492
567.864557,0.9818487548047734
567.98436,0.9821217467027248
568.104162,0.9809164414066907
568.223964,0.9792757609164827
568.343767,0.980559452797887
568.463569,0.9790084551226536
568.583372,0.979585260955363
568.703174,0.9807595073311264
568.822976,0.9809998228478712
568.942779,0.9825628183801758
569.062581,0.9844107895411076
569.182384,0.9836373466633984
569.302186,0.9856568571614813
569.421988,0.9845476321511949
569.541791,0.9854883242488814
569.661593,0.9850272236190963
569.781396,0.9847041876705409
569.901198,0.9866558334538514
570.021,0.9856952985285125
570.140803,0.9839688883108538
570.260605,0.984383226424886
570.380408,0.9848410710658028
570.50021,0.9858126032485297
570.620012,0.9854380656259505
570.739815,0.983242987161751
570.859617,0.9837465364688002
570.97942,0.9852370567641638
571.099222,0.985251835430855
571.219024,0.9840161199510431
571.338827,0.9812411784898186
571.458629,0.9809939368665921
571.578432,0.9828006273559493
571.698234,0.9814089850783948
571.818036,0.9835271854497153
571.937839,0.9843901171315883
572.057641,0.9845102200520076
572.177444,0.9875659496313808
572.297246,0.9865473072812204
572.417048,0.9848991784031452
572.536851,0.9852902610017306
572.656653,0.9864397794850982
572.776456,0.9881230939268955
572.896258,0.9872391193954408
573.01606,0.9856450293501624
573.135863,0.9859456969335899
573.255665,0.9866676733948924
573.375468,0.9881092603004161
573.49527,0.9873111904817193
573.615072,0.9851533151734069
573.734875,0.9859309078590542
573.854677,0.9861083913955079
573.974479,0.9878681910525471
574.094282,0.9865680249922085
574.214084,0.9849178916653103
574.333887,0.9841597967927102
574.453689,0.9860709199885961
574.573491,0.9874741102686616
574.693294,0.9876281682460734
574.813096,0.9875847135626806
574.932899,0.9864220237288697
575.052701,0.9885006290533938
575.172503,0.9871769252900539
575.292306,0.9857110697794585
575.412108,0.9874879350029784
575.531911,0.9880667725157171
575.651713,0.9893847437561549
575.771515,0.9882327816778789
575.891318,0.9867554907256378
576.01112,0.9872381321568151
576.130923,0.9886301311179998
576.250725,0.9894243199374235
576.370527,0.9887537176083843
576.49033,0.9864220237288697
576.610132,0.9869795096472181
576.729935,0.9873230382870919
576.849737,0.9895747238644629
576.969539,0.9888525979240785
577.089342,0.9876597728531282
577.209144,0.9870071454603879
577.328947,0.9880104543147676
577.448749,0.9889267646501403
577.568551,0.9887655827241861
577.688354,0.9887754704294518
577.808156,0.9877782991373054
577.927959,0.9900161726270629
578.047761,0.9898092808679257
578.167563,0.9904109707728699
578.287366,0.9897597916411234
578.407168,0.9891166568180179
578.526971,0.9902827208565161
578.646773,0.9897459351010364
578.766575,0.9883256799255059
578.886378,0.9877881769696859
579.00618,0.9895292044741192
579.125983,0.9901560717958986
579.245785,0.989918165877387
579.365587,0.9894144257436952
579.48539,0.9884146332395383
579.605192,0.9896044115514919
579.724994,0.9902002337415048
579.844797,0.9904179036739305
579.964599,0.9894490558546196
580.084402,0.9879324045718823
580.204204,0.9897805768149914
580.324006,0.9901907278648892
580.443809,0.9901856779050544
580.563611,0.9908518017324777
580.683414,0.9899785527272857
580.803216,0.9907289437264166
580.923018,0.9919570192548343
581.042821,0.9921374726483753
581.162623,0.9914383613746219
581.282426,0.9910735791816763
581.402228,0.991497948610719
581.52203,0.9927654959266755
581.641833,0.9926852837152216
581.761635,0.9919797353306733
581.881438,0.9917350441138698
582.00124,0.9918531667916896
582.121042,0.9922190297005758
582.240845,0.9915262067049304
582.360647,0.9897459351010364
582.48045,0.9910823006675475
582.600252,0.9919797353306733
582.720054,0.9918832203979532
582.839857,0.9912267118788561
582.959659,0.9905969874195975
583.079462,0.990676139280967
583.199264,0.9913177106677871
583.319066,0.9915811387783863
583.438869,0.9920259626634281
583.558671,0.9917677719103312
583.678474,0.9918576301409827
583.798276,0.9928973439390488
583.918078,0.9922330200875267
584.037881,0.9926334668958424
584.157683,0.9925374838804472
584.277486,0.9930871047525438
584.397288,0.9931456986202263
584.51709,0.993369380217158
584.636893,0.9930826358706274
584.756695,0.9934927643561775
584.876498,0.9940945063840093
584.9963,0.9937011216343601
585.116102,0.9932417404528306
585.235905,0.9937768445448348
585.355707,0.9938864641761996
585.47551,0.9933361029003189
585.595312,0.9932476999211517
585.715114,0.9927499096307422
585.834917,0.9925147550323127
585.954719,0.9918188492658152
586.074521,0.9931139184663557
586.194324,0.9933154417242556
586.314126,0.9929909785733859
586.433929,0.9930489709398952
586.553731,0.9927614255964864
586.673533,0.9938825880265478
586.793336,0.9941277096950147
586.913138,0.9940025568948982
587.032941,0.993373155027975
587.152743,0.9947160096500387
587.272545,0.9938722517013814
587.392348,0.993887259285689
587.51215,0.9942203667153084
587.631953,0.9942814137199486
587.751755,0.9948648302965892
587.871557,0.9947394852248772
587.99136,0.9947108371402371
588.111162,0.9948630395415063
588.230965,0.9948388646633715
588.350767,0.9950872074358801
588.470569,0.9946585167262425
588.590372,0.994818470675685
588.710174,0.9941644931007623
588.829977,0.9948248375342712
588.949779,0.9951747789632251
589.069581,0.994653941307589
589.189384,0.9943677210923453
589.309186,0.9944814832667105
589.428989,0.9943037853034367
589.548791,0.9950025291176409
589.668593,0.9945950595371812
589.788396,0.9946076909746467
589.908198,0.994425694420391
590.028001,0.9949809377970257
590.147803,0.9952333964839751
590.267605,0.9949925791420996
590.387408,0.9947338152259709
590.50721,0.9948609503313169
590.627013,0.9952427517218716
590.746815,0.9955909485324956
590.866617,0.9954128532429019
590.98642,0.9951635335517596
591.106222,0.994936960611478
591.226025,0.9958779191943488
591.345827,0.9968751924057934
591.465629,0.9953524335164673
591.585432,0.9952604672005195
591.705234,0.9948892047835177
591.825037,0.9957758469389238
591.944839,0.9962236484179369
592.064641,0.99554455507527
592.184444,0.9953047572767568
592.304246,0.9956039908593485
592.424048,0.9962171729852672
592.543851,0.9972325365069894
592.663653,0.9964106571469651
592.783456,0.9955245448308166
592.903258,0.995302269017974
593.02306,0.996558336149098
593.142863,0.9960336866816107
593.262665,0.9955517230218711
593.382468,0.995556003903484
593.50227,0.9956309720930948
593.622072,0.996896725142502
593.741875,0.9962319171085338
593.861677,0.9956047873428597
593.98148,0.995382593152119
594.101282,0.9959822926693549
594.221084,0.9972561711981746
594.340887,0.9967119176218471
594.460689,0.9960303001728331
594.580492,0.9958482424745422
594.700294,0.9959495253909508
594.820096,0.9968965257631769
594.939899,0.9970081844268308
595.059701,0.9955525194635682
595.179504,0.9959269175933239
595.299306,0.9960775131279995
595.419108,0.9973895132619821
595.538911,0.9967096251870728
595.658713,0.9969597310064954
595.778516,0.996606271757909
595.898318,0.9968611365646743
596.01812,0.9977628062566082
596.137923,0.9973520121213093
596.257725,0.9967411217088712
596.377528,0.9965724873779448
596.49733,0.9966713522723104
596.617132,0.9972905771295798
596.736935,0.996452407628166
596.856737,0.9965021318439155
596.97654,0.9967591628864463
597.096342,0.9974083641019227
597.216144,0.9975847214902296
597.335947,0.9973117199139278
597.455749,0.9966544090033399
597.575552,0.9966397582912105
597.695354,0.9971041012276969
597.815156,0.9974948431559031
597.934959,0.9974915514283521
598.054761,0.9970298197391751
598.174563,0.9964887788048143
598.294366,0.9972359271033775
598.414168,0.9977715866079367
598.533971,0.9978235718618031
598.653773,0.9968485761934841
598.773575,0.9968034199757786
598.893378,0.9976011817739312
599.01318,0.9981615919460626
599.132983,0.9982486354319211
599.252785,0.997504518902809
599.372587,0.9967726192259754
599.49239,0.9978389384631323
599.612192,0.9982326635815293
599.731995,0.9983332905055301
599.851797,0.9975998848932378
599.971599,0.9969438794727924
600.091402,0.9979187687713791
600.211204,0.9979265525681323
