nu,[0]trans-1-3-Dichloropropene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
641.890838,0.9890919292106938
642.00884,0.9928685503335839
642.126843,0.9908056291143473
642.244845,0.9907005102137546
642.362847,0.9901256744710958
642.48085,0.9935117402491959
642.598852,0.991925078753059
642.716854,0.9947060625396779
642.834857,0.994398745849227
642.952859,0.9898696610756363
643.070861,0.9948770672092587
643.188864,0.9901415166086242
643.306866,0.9919615822676178
643.424868,0.9924334714024855
643.542871,0.9887804143191636
643.660873,0.991623480196995
643.778876,0.9902037984687627
643.896878,0.9933349108977106
644.01488,0.9938999811240274
644.132883,0.9940967928040034
644.250885,0.9899617232349405
644.368887,0.9929129325497189
644.48689,0.9913657907426868
644.604892,0.9897360376911725
644.722894,0.9899755827960824
644.840897,0.9917705488639803
644.958899,0.9896321208629439
645.076902,0.9911382983994563
645.194904,0.9884541706156101
645.312906,0.987251953587415
645.430909,0.9891305045481472
645.548911,0.9916353797501545
645.666913,0.9920461009948736
645.784916,0.9912999662395793
645.902918,0.9887804143191636
646.02092,0.9910553435955872
646.138923,0.9935190922632762
646.256925,0.9887596501484875
646.374927,0.9929813466076088
646.49293,0.9916353797501545
646.610932,0.9925839357216574
646.728935,0.9907467770079028
646.846937,0.9901507249675474
646.964939,0.9900984463894357
647.082942,0.9912604141599956
647.200944,0.9897736483752032
647.318946,0.9905972845987382
647.436949,0.9913022462321236
647.554951,0.9882683586984018
647.672953,0.9875017599308427
647.790956,0.99003597314852
647.908958,0.9892610783924317
648.026961,0.9912697320516827
648.144963,0.9898785699426759
648.262965,0.9898300670810785
648.380968,0.9872628134186335
648.49897,0.9877822502584043
648.616972,0.989393648258919
648.734975,0.9883019603938232
648.852977,0.9885668608142796
648.970979,0.9873032920237894
649.088982,0.989358030728701
649.206984,0.9888021677275654
649.324986,0.9911840900466213
649.442989,0.9884245174352916
649.560991,0.9874553484388046
649.678994,0.9881645959683771
649.796996,0.9870663676657638
649.914998,0.9869992494348083
650.033001,0.9872944063341469
650.151003,0.9905300253265921
650.269005,0.9887408638936047
650.387008,0.9917723340525749
650.50501,0.9883839928608361
650.623012,0.9868887117090999
650.741015,0.9863963770896605
650.859017,0.9873052666323481
650.97702,0.9875679247652552
651.095022,0.9874948474427169
651.213024,0.9864772649089372
651.331027,0.98734772167159
651.449029,0.9870653805998898
651.567031,0.9888624864995005
651.685034,0.9875540989110897
651.803036,0.9854104737464011
651.921038,0.9882574878062462
652.039041,0.9856410867779302
652.157043,0.9837199756708879
652.275046,0.9840043118284525
652.393048,0.9845377867241006
652.51105,0.9856016619229614
652.629053,0.9862119382127172
652.747055,0.9847583478902552
652.865057,0.9856716421252257
652.98306,0.9836570196070605
653.101062,0.986921279573953
653.219064,0.9839275624853933
653.337067,0.9839354339373789
653.455069,0.9861813661165025
653.573071,0.9818899933184779
653.691074,0.984644122547098
653.809076,0.9854055467063499
653.927079,0.9829067755556034
654.045081,0.9859437250441679
654.163083,0.9837494877128364
654.281086,0.9831879270961661
654.399088,0.9844885610654162
654.51709,0.9845387712623797
654.635093,0.9806584943041315
654.753095,0.9808360095562463
654.871097,0.9814786675900353
654.9891,0.9830257144711049
655.107102,0.9820490723824518
655.225105,0.98142370632358
655.343107,0.9817927910207325
655.461109,0.9846214759927158
655.579112,0.9832361044849303
655.697114,0.9814482422229356
655.815116,0.9818134088858307
655.933119,0.9789262218662684
656.051121,0.9839875838973393
656.169123,0.9798821202613462
656.287126,0.9821993373855059
656.405128,0.9808830908146461
656.52313,0.9790955907526375
656.641133,0.9828831860760648
656.759135,0.9775312679124399
656.877138,0.9818202816037475
656.99514,0.980963526525912
657.113142,0.9835950511668516
657.231145,0.9795098357941755
657.349147,0.9796126897266708
657.467149,0.9803212057990399
657.585152,0.978943842696849
657.703154,0.9784740624086434
657.821156,0.9785709361359923
657.939159,0.9823840082194488
658.057161,0.980822277948234
658.175164,0.9803839483639517
658.293166,0.978434924228916
658.411168,0.9800643952867667
658.529171,0.9794980817466704
658.647173,0.977720927374788
658.765175,0.9783899172575696
658.883178,0.9764809864268769
659.00118,0.9778881319489527
659.119182,0.9782705609685459
659.237185,0.979123984936483
659.355187,0.9756610868043298
659.473189,0.9791044026526078
659.591192,0.9750787909681095
659.709194,0.9766069605992853
659.827197,0.9769742338595166
659.945199,0.975795737324981
660.063201,0.9788674880549884
660.181204,0.9764917277768049
660.299206,0.9766606754592634
660.417208,0.9780084195867205
660.535211,0.9749656883884336
660.653213,0.9739152416688582
660.771215,0.9737195043775396
660.889218,0.9727063897911159
661.00722,0.9750417386780506
661.125223,0.9770523949246264
661.243225,0.974921815919594
661.361227,0.9737662440354926
661.47923,0.9719606100332444
661.597232,0.973540356470847
661.715234,0.975140222867025
661.833237,0.9754308579559168
661.951239,0.9722959942941644
662.069241,0.9745007406539227
662.187244,0.9727666994568633
662.305246,0.9731315553753687
662.423248,0.9717370847993241
662.541251,0.9757010897289432
662.659253,0.9734887601992673
662.777256,0.9697742175414201
662.895258,0.9694503670388058
663.01326,0.9721764092414976
663.131263,0.9716486607479627
663.249265,0.9697228208699142
663.367267,0.9709376741811256
663.48527,0.9721579380651988
663.603272,0.9710085552184672
663.721274,0.9719052098573926
663.839277,0.9679885696384688
663.957279,0.9700545227924474
664.075282,0.9719197885448803
664.193284,0.9696656089112523
664.311286,0.9673392671735802
664.429289,0.9723251636115308
664.547291,0.9707007942891475
664.665293,0.9704397108927749
664.783296,0.9691237173086847
664.901298,0.9706085820938386
665.0193,0.9665840701487426
665.137303,0.9699352134238206
665.255305,0.9688766222667279
665.373307,0.9660931701402662
665.49131,0.9671187389618361
665.609312,0.9680621395653831
665.727315,0.9654461045074648
665.845317,0.9666700999592556
665.963319,0.9689211916164393
666.081322,0.9650165765680137
666.199324,0.9666836334353891
666.317326,0.9657155015497623
666.435329,0.9662545211721157
666.553331,0.962008492877895
666.671333,0.9647618458177382
666.789336,0.9656005882425552
666.907338,0.9657782750974813
667.025341,0.9645689127425252
667.143343,0.9635749546669206
667.261345,0.9604580239682221
667.379348,0.962717754467938
667.49735,0.9615266473353503
667.615352,0.9638399742179721
667.733355,0.9620133029323845
667.851357,0.9561724453809517
667.969359,0.964004804946189
668.087362,0.9615583782382694
668.205364,0.9617709061233263
668.323366,0.9621605022281922
668.441369,0.9586895299978219
668.559371,0.960666465974563
668.677374,0.95917474965022
668.795376,0.9616074189660875
668.913378,0.958077123073004
669.031381,0.9593992228039728
669.149383,0.9570553999688961
669.267385,0.9593752381232126
669.385388,0.9595364267026788
669.50339,0.9577629253078863
669.621392,0.957650873600778
669.739395,0.9562307736791149
669.857397,0.957750474470788
669.9754,0.9559831419784216
670.093402,0.955890416110927
670.211404,0.9547841356690698
670.329407,0.958130776894189
670.447409,0.9523953945565796
670.565411,0.9529155444300009
670.683414,0.9511362085847674
670.801416,0.9528335972169606
670.919418,0.9508879944276833
671.037421,0.9541751776687711
671.155423,0.9501380396961268
671.273425,0.9488457814053403
671.391428,0.9492092589411234
671.50943,0.9460110776588839
671.627433,0.947530644564765
671.745435,0.9491067498767469
671.863437,0.9465324733940077
671.98144,0.9493706382319945
672.099442,0.9481002816409436
672.217444,0.9447027039308682
672.335447,0.9437528108870253
672.453449,0.9451921866965958
672.571451,0.9440104905760747
672.689454,0.9443513398827709
672.807456,0.9436339055240487
672.925459,0.94154889419771
673.043461,0.9448652067707879
673.161463,0.9423552051029763
673.279466,0.9384703654116946
673.397468,0.9406238063898631
673.51547,0.938345557153028
673.633473,0.9378765016480998
673.751475,0.9384572269185485
673.869477,0.9381822992299346
673.98748,0.9366187155461313
674.105482,0.9343567073619469
674.223484,0.9360054311600112
674.341487,0.9337841222156112
674.459489,0.9367339267334863
674.577492,0.9319631534527626
674.695494,0.9332688156178539
674.813496,0.9305820764179291
674.931499,0.9308920118507619
675.049501,0.9313110075230504
675.167503,0.9311480423566019
675.285506,0.9284117021675445
675.403508,0.9257806050495614
675.52151,0.9275932040569603
675.639513,0.9255019870215583
675.757515,0.9251226089846915
675.875518,0.921730866390311
675.99352,0.9250430518613242
676.111522,0.9208943146156099
676.229525,0.9231763508992764
676.347527,0.921435959700653
676.465529,0.9178438507977664
676.583532,0.9148876574387579
676.701534,0.9201394907976858
676.819536,0.9159385515673126
676.937539,0.9161849721797706
677.055541,0.9129848428533018
677.173543,0.9126498388929615
677.291546,0.9100998137924915
677.409548,0.9106742679962354
677.527551,0.9104174940594872
677.645553,0.9120194156905874
677.763555,0.907945431185605
677.881558,0.9082205803342452
677.99956,0.9094566006267868
678.117562,0.903408903738936
678.235565,0.9033637344229913
678.353567,0.9030476124405173
678.471569,0.9014055605063966
678.589572,0.8985256729903055
678.707574,0.8982112440330362
678.825577,0.8969994769803893
678.943579,0.8967035159892351
679.061581,0.8951983188020328
679.179584,0.893829712624972
679.297586,0.8885005609879095
679.415588,0.8912324490126131
679.533591,0.8917049274063041
679.651593,0.8874971224035676
