nu,[0]Isophorone-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
751.140858,0.9991108854967452
751.381912,0.9989070976532606
751.622966,0.9991830638741651
751.86402,0.9987268111934766
752.105074,0.9994970964983787
752.346128,0.9990728200971583
752.587182,0.9989911092728123
752.828236,0.999368099733119
753.06929,0.9994327509466117
753.310344,0.9991590338104417
753.551398,0.9998430323207155
753.792452,0.9992253501962005
754.033506,0.9991186086537401
754.27456,1.000310708259815
754.515614,0.9985066162089976
754.756668,0.999786772736165
754.997722,1.000605483231013
755.238776,0.9985049187491929
755.47983,0.9994168800805416
755.720884,0.9993802621169007
755.961938,0.9991346046707125
756.202992,0.9993169633757906
756.444046,0.9996952764376588
756.6851,0.9998850866030503
756.926154,0.999050760812826
757.167208,0.9998998150188504
757.408262,0.9996481219236171
757.649316,0.9986389271010484
757.89037,0.9991559663969163
758.131424,0.9991516600439814
758.372478,0.9993121666658784
758.613532,0.9997209389447818
758.854586,0.9991423380024805
759.09564,0.9988889177095213
759.336694,0.9994350496445824
759.577748,0.999230576158448
759.818802,0.9993726168871385
760.059856,0.9986021778647212
760.30091,0.9982896642939747
760.541964,1.0001558221390086
760.783018,1.0000840895353267
761.024072,0.9984545953694478
761.265126,0.9989644365662769
761.50618,0.9972017224976902
761.747234,0.998758471335202
761.988288,0.9988768312267403
762.229342,0.9983625420994757
762.470396,0.9984875449147594
762.71145,0.9983592475085228
762.952504,0.9989898105852143
763.193558,0.998089028236051
763.434612,0.9984487045047131
763.675666,0.9976023788960676
763.91672,0.9986000808023495
764.157774,0.9989896107872722
764.398828,0.997682290047016
764.639882,0.9971804823272097
764.880936,0.9975855195583261
765.12199,0.9965956081278516
765.363044,0.9976077659634587
765.604098,0.9971753967197181
765.845152,0.9973390466294276
766.086206,0.9983737238225647
766.32726,0.9983193139372992
766.568314,0.9976667263246887
766.809368,0.998019064647424
767.050422,0.9975916048485555
767.291476,0.9969575376974997
767.53253,0.9965263471399339
767.773584,0.996605374812668
768.014638,0.99567956007007
768.255692,0.9957605121089594
768.496746,0.9977908437853894
768.7378,0.9970000089932378
768.978854,0.9966041788869358
769.219908,0.9956227083903209
769.460962,0.9965709925203349
769.702016,0.9964752266495774
769.94307,0.9967352409536014
770.184124,0.9960032085171167
770.425178,0.9968440903849843
770.666232,0.9963003605922458
770.907286,0.9944704445835111
771.14834,0.9951605480656371
771.389394,0.9969134731481673
771.630448,0.9963026520857104
771.871502,0.9960513166338897
772.112556,0.9948839318847056
772.35361,0.995622608828055
772.594664,0.9946489680503156
772.835718,0.9956399328121669
773.076772,0.9947838515952809
773.317826,0.9953161038156649
773.55888,0.9951280068477671
773.799934,0.9947676367506513
774.040988,0.9958260353063458
774.282042,0.994529816241279
774.523096,0.9949325828984823
774.76415,0.9942358766740065
775.005204,0.993552276355129
775.246258,0.9946847760577057
775.487312,0.9947697257648819
775.728366,0.9955754174348415
775.96942,0.9940810861987596
776.210474,0.9947241663547602
776.451528,0.9938520762994528
776.692582,0.9939527586142551
776.933636,0.9938525732256153
777.17469,0.9940703501810032
777.415744,0.9931544383408288
777.656798,0.9930531417543318
777.897852,0.9941902422945842
778.138906,0.9933935193863871
778.37996,0.9936992336040226
778.621014,0.9946953197722135
778.862068,0.9924522285723497
779.103122,0.9935579396192444
779.344176,0.9945704933426044
779.58523,0.9933782212439844
779.826284,0.9924860717703673
780.067338,0.992595251243023
780.308392,0.9935274378587026
780.549446,0.9931500684709139
780.7905,0.9925221989208899
781.031554,0.9928476010281878
781.272608,0.9922348061085703
781.513662,0.9926677133411981
781.754716,0.9925375831342005
781.99577,0.9918576301409827
782.236824,0.9924245395414364
782.477878,0.9913438818008061
782.718932,0.9923724386207716
782.959986,0.9923455456920858
783.20104,0.9923583470321937
783.442094,0.9921607881529386
783.683148,0.991812104920571
783.924202,0.9905627133567774
784.165256,0.9904531631789166
784.40631,0.990011222558575
784.647364,0.989357041371165
784.888418,0.9897865155162684
785.129472,0.9893728712104652
785.370526,0.9891819406717113
785.61158,0.988633097012842
785.852634,0.9891918325405773
786.093688,0.9895193092315507
786.334742,0.9887082359834597
786.575796,0.9873773425475512
786.81685,0.9876103910990398
787.057904,0.9884324248630607
787.298958,0.9877970671032842
787.540012,0.9866153813939528
787.781066,0.9866775401209599
788.02212,0.985870767907962
788.263174,0.9873575951981743
788.504228,0.9864989676474943
788.745282,0.9859811916175799
788.986336,0.986190241788738
789.22739,0.9852281896705549
789.468444,0.985216367003215
789.709498,0.984778043254166
789.950552,0.9850479094079924
790.191606,0.9845141581007639
790.43266,0.9833777006786573
790.673714,0.9845456630578997
790.914768,0.9842011323722165
791.155822,0.983814417321679
791.396876,0.9831938262414261
791.63793,0.9841046853872235
791.878984,0.983439655425354
792.120038,0.9827790059799835
792.361092,0.9824596547004338
