nu,[0]Isoprene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
673.039362,0.9966604886137777
673.280416,0.9967265693947265
673.52147,0.9974686093865037
673.762524,0.9972005258563412
674.003578,0.9971787871218306
674.244632,0.9977402570719935
674.485686,0.9974813770664168
674.72674,0.998178860290974
674.967794,0.9976413859116646
675.208848,0.9973668727770015
675.449902,0.9974677116651592
675.690956,0.9973328631465074
675.93201,0.9973115204516037
676.173064,0.997235129314955
676.414118,0.9972169798007625
676.655172,0.9971629321051632
676.896226,0.9975392326640828
677.13728,0.9973990882472693
677.378334,0.99665102038411
677.619388,0.996742317798935
677.860442,0.996688495166998
678.101496,0.9964992419919234
678.34255,0.9964484218265071
678.583604,0.997203118581079
678.824658,0.9971582454503959
679.065712,0.9971850693679786
679.306766,0.9975897094263069
679.54782,0.9972157831411048
679.788874,0.9974798808454733
680.029928,0.9966556049893484
680.270982,0.9960483284844219
680.512036,0.9945909817057966
680.75309,0.996765342812414
680.994144,0.997430107841266
681.235198,0.9972539772370114
681.476252,0.9976859814783183
681.717306,0.9971432881888939
681.95836,0.9973619856912983
682.199414,0.9975296563334157
682.440468,0.9975849210071939
682.681522,0.9972759170658477
682.922576,0.9974988331432557
683.16363,0.9967760082586421
683.404684,0.9974459671060615
683.645738,0.9974926486696621
683.886792,0.9974165428840412
684.127846,0.9976349012637313
684.3689,0.9977300801732737
684.609954,0.9976716149036247
684.851008,0.9979541955164914
685.092062,0.9973368524859386
685.333116,0.997416443142392
685.57417,0.9973623846361724
685.815224,0.9972285475848213
686.056278,0.997301347925975
686.297332,0.9975631738929603
686.538386,0.9972976579178142
686.77944,0.9973083290598445
687.020494,0.9970703996786348
687.261548,0.9976140509121818
687.502602,0.9972341320803243
687.743656,0.9970246351975923
687.98471,0.9977722850482919
688.225764,0.9975051174056999
688.466818,0.9969410880338379
688.707872,0.9969956222028492
688.948926,0.9974525502711689
689.18998,0.9973725577843786
689.431034,0.9971375047745943
689.672088,0.9973537076211711
689.913142,0.997363082790086
690.154196,0.9969819634563877
690.39525,0.9973615867465838
690.636304,0.9975694585607525
690.877358,0.9973227901354584
691.118412,0.9970976200721027
691.359466,0.997398489807996
691.60052,0.9975562907308074
691.841574,0.9973590933457337
692.082628,0.9971412939043117
692.323682,0.9976953597706222
692.564736,0.9973408418413273
692.80579,0.9975500061459722
693.046844,0.9974423763070434
693.287898,0.9973285746244162
693.528952,0.9974360924398669
693.770006,0.9970600302003995
694.01106,0.997601082013818
694.252114,0.9973443325403825
694.493168,0.9976953597706222
694.734222,0.9973436343995941
694.975276,0.9974768884103196
695.21633,0.9977251913078585
695.457384,0.9973628833174893
695.698438,0.9974741952263566
695.939492,0.9977706886139129
696.180546,0.997356799422457
696.4216,0.9975935002744053
696.662654,0.9978513117426834
696.903708,0.9975569890204553
697.144762,0.9971913516537048
697.385816,0.9972051129893106
697.62687,0.9974335988527527
697.867924,0.9978846405330833
698.108978,0.997723295631796
698.350032,0.9978554029414485
698.591086,0.9972788091702008
698.83214,0.9979327397319384
699.073194,0.9976503647245424
699.314248,0.9975802323690834
699.555302,0.9978633858166035
699.796356,0.9979191679389665
700.03741,0.9971749978496391
700.278464,0.9979020038768892
700.519518,0.9975649695082894
700.760572,0.9979802424609057
701.001626,0.9973802375826408
701.24268,0.9976238275777863
701.483734,0.9977427514257542
701.724788,0.9978677764251604
701.965842,0.9978495156119388
702.206896,0.997464619520046
