nu,[0]Perfluoro-2-methyl-3-pentanone-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
593.967794,0.9999940603176399
594.449911,0.9999937055198104
594.932028,0.9999941308172238
595.414144,0.9999953095110004
595.896261,0.9999959729081087
596.378378,0.9999921573307539
596.860494,0.9999798112037965
597.342611,0.9999687954868709
597.824728,0.999973631347659
598.306845,0.9999867640875955
598.788961,0.9999936253203183
599.271078,0.9999941235172666
599.753195,0.999993255822742
600.235311,0.9999932996224477
600.717428,0.9999939412183545
601.199545,0.999993970418178
601.681661,0.999993265622676
602.163778,0.9999925243279429
602.645895,0.9999926653268989
603.128012,0.999993209723054
603.610128,0.9999931416235188
604.092245,0.999992650727006
604.574362,0.999992526727925
605.056478,0.9999925924274362
605.538595,0.9999925365278518
606.020712,0.9999928087258574
606.502828,0.9999932145230215
606.984945,0.9999927916259804
607.467062,0.9999915133360119
607.949179,0.9999904731453808
608.431295,0.9999903467465929
608.913412,0.9999906165440249
609.395529,0.9999909300411324
609.877645,0.9999913772371762
610.359762,0.9999915182359703
610.841879,0.9999907210430498
611.323995,0.9999894400557566
611.806112,0.9999884190670595
612.288229,0.9999875710772397
612.770346,0.9999869270854513
613.252462,0.9999864270921127
613.734579,0.9999856831024878
614.216696,0.9999847211167233
614.698812,0.9999840451272803
615.180929,0.9999837341322907
615.663046,0.9999828031478676
616.145163,0.9999808001843188
616.627279,0.9999788902228145
617.109396,0.9999778232459079
617.591513,0.9999771062620656
618.073629,0.999976350279659
618.555746,0.9999755272994614
619.037863,0.9999745303243577
619.519979,0.9999735093508835
620.002096,0.9999727323717685
620.484213,0.9999725623764185
620.96633,0.9999732423579921
621.448446,0.999974214332456
621.930563,0.9999749193145256
622.41268,0.9999754053024545
622.894796,0.9999759642888624
623.376913,0.9999767542701862
623.85903,0.9999779012441811
624.341146,0.999979362212962
624.823263,0.9999808951824993
625.30538,0.9999827201492983
625.787497,0.9999850731114072
626.269613,0.9999869520851248
626.75173,0.9999876930757308
627.233847,0.9999882400691485
627.715963,0.9999889880606319
628.19808,0.9999895250548626
628.680197,0.9999903151468985
629.162313,0.9999915327358475
629.64443,0.9999922813297891
630.126547,0.9999922132303171
630.608664,0.9999920164318689
631.09078,0.9999921500308112
631.572897,0.9999924077288215
632.055014,0.9999922278302035
632.53713,0.9999918754330045
633.019247,0.999992055331559
633.501364,0.999992565627635
633.983481,0.999993209723054
634.465597,0.9999940530176834
634.947714,0.9999944832152176
635.429831,0.9999943033162262
635.911947,0.9999938367189931
636.394064,0.9999931173236857
636.876181,0.9999927212264904
637.358297,0.9999929691247167
637.840414,0.9999930833239203
638.322531,0.9999928767253706
638.804648,0.9999926920267034
639.286764,0.9999923712290992
639.768881,0.9999917588339586
640.250998,0.999991156039108
640.733114,0.9999909227411986
641.215231,0.9999910467400807
641.697348,0.9999914963361564
642.179464,0.999992184130544
642.661581,0.9999924004288769
643.143698,0.9999917904336987
643.625815,0.9999911755389358
644.107931,0.9999907113431399
644.590048,0.9999902592474414
645.072165,0.999990215547868
645.554281,0.999990249547536
646.036398,0.9999897440525926
646.518515,0.9999888520621387
647.000632,0.999988186069785
647.482748,0.9999881180705907
647.964865,0.999988150070211
648.446982,0.9999875640773267
648.929098,0.9999867330880062
649.411215,0.9999862200949438
649.893332,0.9999860500973008
650.375448,0.9999860010979855
650.857565,0.9999859020993763
651.339682,0.9999858431002099
651.821799,0.9999859670984621
652.303915,0.9999858291004081
652.786032,0.9999854161063461
653.268149,0.9999854471058944
653.750265,0.9999860430973985
654.232382,0.9999865120909627
654.714499,0.9999864610916519
655.196615,0.9999860690970359
655.678732,0.999985719101973
656.160849,0.999985734101759
656.642966,0.9999860820968549
657.125082,0.9999865170908953
657.607199,0.9999864950911921
658.089316,0.9999861280962158
658.571432,0.9999863100937076
659.053549,0.9999869180855689
659.535666,0.9999873040805939
660.017782,0.9999877880745661
660.499899,0.9999887230635851
660.982016,0.9999894430557249
661.464133,0.9999894500556511
661.946249,0.9999890100603899
662.428366,0.9999883560677911
662.910483,0.9999877150754602
663.392599,0.9999875030780871
663.874716,0.9999877710747739
664.356833,0.9999879990720117
664.83895,0.9999876490762732
665.321066,0.9999868520864346
665.803183,0.9999860790968966
666.2853,0.9999856081035643
666.767416,0.9999850221121697
667.249533,0.999984188125009
667.73165,0.9999834181374806
668.213766,0.9999822511575126
668.695883,0.9999801351973078
669.178,0.9999775192526957
669.660117,0.9999750163120975
670.142233,0.9999726353744182
670.62435,0.9999701564453277
671.106467,0.9999675555263333
671.588583,0.9999652716030447
672.0707,0.9999633756706872
672.552817,0.9999607507702711
673.034933,0.9999573239106502
673.51705,0.9999543110437722
673.999167,0.9999519781530858
674.481284,0.99995020423985
674.9634,0.9999492802862882
675.445517,0.9999489163048164
675.927634,0.9999481863423739
676.40975,0.999946728418981
676.891867,0.9999454894857521
677.373984,0.999945416489734
677.8561,0.9999460234567861
678.338217,0.9999466804215392
678.820334,0.9999477253663662
679.302451,0.9999492802862882
679.784567,0.9999508112098082
680.266684,0.9999521721437884
680.748801,0.999954019057156
681.230917,0.9999567899335818
681.713034,0.9999596328147767
682.195151,0.9999616497353901
682.677268,0.9999629136877143
683.159384,0.9999641046442537
683.641501,0.9999659755788437
684.123618,0.9999683814998753
684.605734,0.9999701564453277
685.087851,0.9999706664302376
685.569968,0.9999706664302376
686.052084,0.9999708854238375
686.534201,0.9999714684070337
687.016318,0.9999723433824513
687.498435,0.9999728533684765
687.980551,0.9999729263664975
688.462668,0.9999732913566821
688.944785,0.999973923340002
689.426901,0.9999744573262197
689.909018,0.9999751623084606
690.391135,0.999975779293326
690.873251,0.9999758502916088
691.355368,0.9999759452893192
691.837485,0.99997681526877
692.319602,0.9999780232414925
692.801718,0.9999788932227511
693.283835,0.9999792672149271
693.765952,0.9999795322094681
694.248068,0.9999801101978048
694.730185,0.9999807641850107
695.212302,0.9999810561794364
695.694419,0.9999811141783393
696.176535,0.9999811431777921
696.658652,0.9999812721753679
697.140769,0.9999812861751058
697.622885,0.9999809271818885
698.105002,0.9999804941902408
698.587119,0.9999800541989201
699.069235,0.9999792862145335
699.551352,0.999978394233408
700.033469,0.9999779692426807
700.515586,0.9999782412367253
700.997702,0.9999785552299424
701.479819,0.9999782532364643
701.961936,0.9999776992486654
702.444052,0.9999775802513263
702.926169,0.9999777752469735
703.408286,0.9999777922465958
703.890402,0.9999774952532356
704.372519,0.9999772892578928
704.854636,0.9999770552632345
705.336753,0.9999764212779825
705.818869,0.9999757332944412
706.300986,0.9999753813030451
706.783103,0.9999753813030451
707.265219,0.9999752843054378
707.747336,0.9999745543237467
708.229453,0.999973364354735
708.711569,0.9999722213858329
