nu,[0]Tribromomethane-PNNL(x-sec)-X=0.01-T=278.25K-P=1.0atm-L=15cm
615.694314,1.0094382621088487
615.812316,1.00000709792519
615.930319,0.9963371247538463
616.048321,0.9921909502993608
616.166323,1.0052698369998017
616.284326,1.0014570604826252
616.402328,1.0040753818751367
616.52033,1.005517767110132
616.638333,1.0088886716983565
616.756335,0.9923874235577307
616.874337,1.004123177000829
616.99234,0.9950309865969136
617.110342,1.0202798985544024
617.228345,1.0075284977030379
617.346347,1.0015803474349267
617.464349,1.0031425274189556
617.582352,0.9982847726866041
617.700354,0.9905877749104527
617.818356,1.0032601026129409
617.936359,0.999049312190273
618.054361,1.0024011782219315
618.172363,0.9911782420777415
618.290366,1.0032279988033208
618.408368,1.007250458208887
618.526371,1.0061327286475286
618.644373,1.0040589151739012
618.762375,1.003220073333436
618.880378,0.9992764518872687
618.99838,0.9879818024270469
619.116382,0.9997455723722
619.234385,0.9991831238251507
619.352387,0.9918546545725556
619.470389,1.0041781040408517
619.588392,1.0065990785989223
619.706394,1.00014751087866
619.824396,0.9843162906413315
619.942399,1.0041936689220918
620.060401,1.0092234765006711
620.178404,1.0157212994895823
620.296406,0.9984901409857512
620.414408,0.9933613339577657
620.532411,1.0043047388839303
620.650413,1.0089230753886411
620.768415,1.0032359243358173
620.886418,1.007148428905342
621.00442,1.0019654289284021
621.122422,1.0135438987674872
621.240425,1.0043123716289504
621.358427,1.0007968272983283
621.47643,1.0030191484760436
621.594432,0.9917711439264881
621.712434,0.9978303570851615
621.830437,1.0012230473130943
621.948439,1.000382383089782
622.066441,1.0043716278069164
622.184444,1.0118405508469432
622.302446,1.0074709694682658
622.420448,1.0075215457803879
622.538451,0.9921576132434964
622.656453,0.9975527992898999
622.774455,0.9949556656021639
622.892458,0.9984755631361113
623.01046,0.9913264343020249
623.128463,1.003197200176519
623.246465,0.9978934219565583
623.364467,0.9987875356296013
623.48247,1.0026224325764852
623.600472,1.0069834715030674
623.718474,0.9990433279028159
623.836477,1.008664118073782
623.954479,0.9974241232785727
624.072481,0.9988197969880203
624.190484,0.9951711963404696
624.308486,1.0050237770626693
624.426489,1.0049434788708376
624.544491,1.0088864521457204
624.662493,1.0039416479411487
624.780496,0.9957196867648883
624.898498,1.0157345039523045
625.0165,0.9975782372106139
625.134503,0.9968948310405237
625.252505,0.9952043360930816
625.370507,0.99773097813075
625.48851,0.9995561185445357
625.606512,0.9848499346753286
625.724514,1.0013010456264748
625.842517,0.9955195672205365
625.960519,0.9995592571556756
626.078522,1.0095324470923646
626.196524,1.0065841810428013
626.314526,1.0054286821824867
626.432529,0.9977871519660972
626.550531,0.9975825268062565
626.668533,0.9963470881749108
626.786536,1.005156649988704
626.904538,1.0027837675049336
627.02254,1.0115522173794227
627.140543,1.0058996346992777
627.258545,1.0006660116873585
627.376548,0.9891453416169932
627.49455,1.0031456371656107
627.612552,1.001970839556327
627.730555,1.0105078234612004
627.848557,1.008012328269019
627.966559,0.9913729286020765
628.084562,0.9927925987946667
628.202564,1.0032594003311148
628.320566,1.0013327873727251
628.438569,0.9985609364464165
628.556571,1.0101552177640856
628.674573,0.9987067369863181
628.792576,0.9910599024606532
628.910578,0.9949238275302764
629.028581,0.9989117925276525
629.146583,0.9950924814120555
629.264585,0.9926231435614682
629.382588,0.9979948130788108
629.50059,1.0018887815048902
629.618592,0.9980265498184782
629.736595,1.0018748553476144
629.854597,0.9949000491349514
629.972599,0.9903880925436895
630.090602,0.9938936201845033
630.208604,0.9994684513220804
630.326607,1.0066409539915941
630.444609,0.9982322642885437
630.562611,0.9947102403139139
630.680614,0.9924331736724888
630.798616,0.9895895675966486
630.916618,0.9962504471945212
631.034621,0.9900795356897074
631.152623,1.000662149124008
631.270625,1.0104148610177799
631.388628,0.9807447960488513
631.50663,0.9877397765348347
631.624632,0.9937088725333373
631.742635,0.9872746606434777
631.860637,1.0036156206435967
631.97864,0.9964214184401731
632.096642,0.9965921200493273
632.214644,0.9893036175333875
632.332647,0.9911896406930674
632.450649,0.9830296465818269
632.568651,0.9952662397279697
632.686654,0.9917403003235326
632.804656,0.9804868940830855
632.922658,0.9915778665660274
633.040661,0.9931307022334002
633.158663,0.9910781381306261
633.276666,0.9772947339673669
633.394668,1.0005993795561816
633.51267,0.9961845972163273
633.630673,0.9920272522980179
633.748675,1.0010621636967358
633.866677,0.980724200624387
633.98468,0.9876163167791634
634.102682,0.978863572592867
634.220684,0.9970263301409129
634.338687,0.9829500244051955
634.456689,0.9887566838739865
634.574691,0.9933583538782339
634.692694,0.9783830685521193
634.810696,0.9811018521348784
634.928699,0.9746712932064502
635.046701,0.9775175825704868
635.164703,0.977479460128159
635.282706,0.9857840150975657
635.400708,0.980143783717973
635.51871,0.9808781864114531
635.636713,0.9799908932134823
635.754715,0.9774022423009532
635.872717,0.9745231544287152
635.99072,0.9783175190824581
636.108722,0.976794487137692
636.226725,0.981364822667728
636.344727,0.9778969329817448
636.462729,0.9630855829009024
636.580732,0.9640192651267142
636.698734,0.9680524589923905
636.816736,0.9820392519408302
636.934739,0.9771256766022742
637.052741,0.9777962147847239
637.170743,0.9759099121053425
637.288746,0.9603514190442444
637.406748,0.9621691617116799
637.52475,0.9679546906314175
637.642753,0.9707056478052527
637.760755,0.9655542405266737
637.878758,0.9573559625503422
637.99676,0.9591862598162767
638.114762,0.9598915208689285
638.232765,0.9638621427923167
638.350767,0.9540940762255294
638.468769,0.9541331948845817
638.586772,0.9576805612380156
638.704774,0.9575809676386038
638.822776,0.9524725417079561
638.940779,0.9503622987350208
639.058781,0.9617555179119344
639.176784,0.9508252378910396
639.294786,0.9546867526538498
639.412788,0.9438679557536476
639.530791,0.9457377199595307
639.648793,0.9432904852887126
639.766795,0.9355815167235649
639.884798,0.931129419581983
640.0028,0.9443551172956852
640.120802,0.9415790242444025
640.238805,0.9375164262103755
640.356807,0.9392975221126485
640.474809,0.9214765037748429
640.592812,0.9253409636852531
640.710814,0.915142031563891
640.828817,0.9228717529649031
640.946819,0.9167605170444716
641.064821,0.9225672555312645
641.182824,0.921049958906352
641.300826,0.9172217635783232
641.418828,0.9141743233024349
641.536831,0.9091392556530871
641.654833,0.9071867059964521
641.772835,0.9023435099384874
641.890838,0.9083877082963276
642.00884,0.9042042534767843
642.126843,0.8946434678659395
642.244845,0.8925345987261573
642.362847,0.8945003363619066
642.48085,0.8829824093831478
642.598852,0.8905998985557987
642.716854,0.8841663989075382
642.834857,0.8860871232253442
642.952859,0.8834946877269487
643.070861,0.8772090022571604
643.188864,0.8773405934765937
643.306866,0.8703237588064546
643.424868,0.8766565346313134
643.542871,0.8705326615758978
643.660873,0.8634925578670016
643.778876,0.8589195644273534
643.896878,0.8542084741970037
644.01488,0.8543195285170238
644.132883,0.8480208976828102
644.250885,0.8562353491789748
644.368887,0.8492684050957074
644.48689,0.8391296963635153
644.604892,0.8416508653151569
644.722894,0.8318442959212778
644.840897,0.8365240568773925
644.958899,0.8236414312752219
645.076902,0.8260251978952521
645.194904,0.8313453390457565
645.312906,0.8319358038266718
645.430909,0.8184196944966857
645.548911,0.8181251164338997
645.666913,0.8121664273753453
645.784916,0.81547868059781
645.902918,0.8141098265737403
646.02092,0.8094178446664828
646.138923,0.8029522751416831
646.256925,0.7971200373915621
646.374927,0.7949786659268635
646.49293,0.7970243887261098
646.610932,0.7893227339573522
646.728935,0.7822428787672424
646.846937,0.7864312286813591
646.964939,0.788297281091988
647.082942,0.7757073160376564
647.200944,0.7734146172503656
647.318946,0.7763824750541957
647.436949,0.7717535620974191
647.554951,0.7678967461424802
647.672953,0.75984561841551
647.790956,0.7593822539288132
