nu,[0]Triethylamine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
672.48545,0.9963872417716538
672.615952,0.9982940567781611
672.746455,0.9967577674245951
672.876958,0.9965667072742803
673.00746,0.997717508853463
673.137963,0.9982155939489279
673.268465,0.9980783487405842
673.398968,0.9965561437231701
673.529471,0.9963165007888226
673.659973,0.9968935350780856
673.790476,0.9962007355375223
673.920978,0.9981139807736622
674.051481,0.9976934641512394
674.181984,0.9971943432322471
674.312486,0.9960896653477881
674.442989,0.9971605389169979
674.573491,0.9975441206182983
674.703994,0.996954148047634
674.834497,0.9981953303780466
674.964999,0.9967649441063566
675.095502,0.9961854937828684
675.226005,0.9968087030479046
675.356507,0.9963687091413109
675.48701,0.9968161791412128
675.617512,0.9963521695580181
675.748015,0.9979706618965648
675.878518,0.9976282171322847
676.00902,0.9950378523344079
676.139523,0.9969135728395195
676.270025,0.9964881809117264
676.400528,0.9977193047465952
676.531031,0.996322578338014
676.661533,0.9976227301921796
676.792036,0.9963825587626226
676.922538,0.9949800423145846
677.053041,0.9971112804030707
677.183544,0.996946870308917
677.314046,0.9964843942638336
677.444549,0.9968776845968896
677.575052,0.9963165007888226
677.705554,0.9961876853933654
677.836057,0.9950119816865671
677.966559,0.9963383203591134
678.097062,0.9968741955310993
678.227565,0.9965882333476382
678.358067,0.996849672727521
678.48857,0.9958868821359548
678.619072,0.9953490493239464
678.749575,0.9952492208207824
678.880078,0.9971563508515294
679.01058,0.9966277986858689
679.141083,0.9950676044109841
679.271585,0.9967685324666145
679.402088,0.9946691596293109
679.532591,0.9956084710873878
679.663093,0.9959586881687331
679.793596,0.9954106633370337
679.924098,0.996730755655109
680.054601,0.9945003785943977
680.185104,0.995887778434552
680.315606,0.9958534208988669
680.446109,0.9954072789465317
680.576612,0.9964144435146564
680.707114,0.9962910950419772
680.837617,0.995765988806837
680.968119,0.9944653727971767
681.098622,0.9954319653531598
681.229125,0.9953540260816349
681.359627,0.9959075967985349
681.49013,0.997202121378459
681.620632,0.995102929937965
681.751135,0.9944221144943349
681.881638,0.9942655053445963
682.01214,0.9948666210548954
682.142643,0.9960860794314474
682.273145,0.9944972956480026
682.403648,0.9964020880521608
682.534151,0.9952989845259057
682.664653,0.9941168737620351
682.795156,0.995631868161373
682.925659,0.9941325809327267
683.056161,0.995965261517767
683.186664,0.9949325828984823
683.317166,0.9954023019225796
683.447669,0.9951728881329414
683.578172,0.9935944038647433
683.708674,0.9944861573406659
683.839177,0.9957040540885229
683.969679,0.9958187658028218
684.100182,0.9943953648992387
684.230685,0.9942379645715398
684.361187,0.9945778531914865
684.49169,0.993344148955339
684.622192,0.9950205388264053
684.752695,0.9946480728666471
684.883198,0.9945120143168961
685.0137,0.9942897657189022
685.144203,0.994599933064913
685.274705,0.9944252966501927
685.405208,0.9931757913907977
685.535711,0.9961079935662496
685.666213,0.9957667854199467
685.796716,0.9940951028408921
685.927219,0.9945059478121115
686.057721,0.9936041411376137
686.188224,0.9943242681723867
686.318726,0.9944558259754227
686.449229,0.9952318041118147
686.579732,0.9947637571644331
686.710234,0.9928711317951706
686.840737,0.9941320838665606
686.971239,0.9938522750698879
687.101742,0.9936968487287238
687.232245,0.9937581617157765
687.362747,0.9947077535414215
687.49325,0.9943099500060161
687.623752,0.9927676800131691
687.754255,0.9935869519346591
687.884758,0.9940144849971494
688.01526,0.993622920433345
688.145763,0.994804244873269
688.276266,0.9940239281796119
688.406768,0.9936897935061438
688.537271,0.9924245395414364
688.667773,0.993858536358944
688.798276,0.9944942127111646
688.928779,0.9938615179390254
689.059281,0.9941829847323056
689.189784,0.9942415438346549
689.320286,0.9932477992459267
689.450789,0.99263168015721
689.581292,0.9941314873874892
689.711794,0.9938376655488247
689.842297,0.9934098111736973
689.972799,0.9945993363051322
690.103302,0.9934353421339158
690.233805,0.9922513765681952
690.364307,0.9929287199908563
690.49481,0.9937828072237901
690.625313,0.9956112587950097
690.755815,0.9929998162324227
690.886318,0.9936003654490513
691.01682,0.9931088535982868
691.147323,0.9919553329293349
691.277826,0.9941571363107334
691.408328,0.9937701862622816
691.538831,0.9942214603583133
691.669333,0.9921438223485193
691.799836,0.9929961421398997
691.930339,0.9927232050173518
692.060841,0.9921171340386574
692.191344,0.9936895947682051
692.321846,0.993740969848289
692.452349,0.9932173070065481
692.582852,0.9930068665561466
692.713354,0.9927714525375209
692.843857,0.9924489534853994
692.974359,0.9917516062273998
693.104862,0.9945790466856265
693.235365,0.9927856492707986
693.365867,0.9915360228629667
693.49637,0.9928357862120338
693.626873,0.9922566355144272
693.757375,0.9929888932945204
693.887878,0.9928535581316652
694.01838,0.9932941850012504
694.148883,0.9924755514737642
694.279386,0.9914238864802128
694.409888,0.992743158954309
694.540391,0.9920214985566405
694.670893,0.9921814253119579
694.801396,0.9925678559921448
694.931899,0.9935485008636522
695.062401,0.9920275499062382
695.192904,0.9913167193505721
695.323406,0.9923465380381277
695.453909,0.9920394543082633
695.584412,0.993123948967586
695.714914,0.9922890828369194
695.845417,0.9922674511706996
695.97592,0.9919911431632245
696.106422,0.9908514053918362
696.236925,0.9925100902239263
696.367427,0.9929230603132825
696.49793,0.9918447360756024
696.628433,0.9929080672882693
696.758935,0.9915651744505651
696.889438,0.9918200394491484
697.01994,0.9907229002982924
697.150443,0.9925897919841541
697.280946,0.992495301933755
697.411448,0.9919366843443731
697.541951,0.992427913790607
697.672453,0.9914944783739719
697.802956,0.990751136303312
697.933459,0.9916177287974889
698.063961,0.9921166379802144
698.194464,0.9920636603662611
698.324966,0.9908297059836676
698.455469,0.991331985745601
698.585972,0.9916340906249987
698.716474,0.9911143131428578
698.846977,0.9916090025998708
698.97748,0.9918108155656726
699.107982,0.9919620782485329
699.238485,0.9908712226181157
699.368987,0.9907782832563583
699.49949,0.9907671866017272
699.629993,0.9897588018818266
699.760495,0.9921043358101771
699.890998,0.9918511830873397
700.0215,0.9903758118074828
700.152003,0.9902139976204125
700.282506,0.9907527215063983
700.413008,0.9913006601497985
700.543511,0.9910213509802787
700.674013,0.9915272973843576
700.804516,0.9914801018082658
700.935019,0.9905815342271289
701.065521,0.9900824069245242
701.196024,0.9912115462261819
701.326527,0.9911953896096553
701.457029,0.9907218105037014
701.587532,0.9914458963348012
701.718034,0.9900250828127123
701.848537,0.9906876311908356
701.97904,0.989977562749228
702.109542,0.9900438934679864
702.240045,0.9909900352003795
702.370547,0.9908723125770601
702.50105,0.9903921531431932
