nu,[0]Halon-2402-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
633.777676,0.9976535572108175
633.896678,0.9978764579125797
634.01568,0.9981158771920273
634.134683,0.9977736819304687
634.253685,0.9982812786960141
634.372687,0.998159096545202
634.49169,0.9981942323637871
634.610692,0.9974718012911608
634.729695,0.9975886120782301
634.848697,0.9972252567360441
634.967699,0.9969642173353791
635.086702,0.9968281410071336
635.205704,0.9974086633244768
635.324706,0.9974076659163121
635.443709,0.9961938617761616
635.562711,0.9967158048059058
635.681714,0.9965673052144841
635.800716,0.9962547310806545
635.919718,0.9954851228394019
636.038721,0.9958092059885573
636.157723,0.9956678111205801
636.276726,0.9954137491148729
636.395728,0.9954874124578175
636.51473,0.994519174829177
636.633733,0.9945002791443648
636.752735,0.994850802801376
636.871737,0.9938367710953282
636.99074,0.9933983870265578
637.109742,0.9928653731593063
637.228745,0.9932868346514777
637.347747,0.9929991211327946
637.466749,0.9924287077332556
637.585752,0.9921340993867028
637.704754,0.9917322672596338
637.823756,0.9907151726898078
637.942759,0.9904483099703074
638.061761,0.9895410788958192
638.180764,0.9892976817294897
638.299766,0.9881102484101705
638.418768,0.9882396993315624
638.537771,0.9877773113595002
638.656773,0.9863993362832306
638.775776,0.9863815812549732
638.894778,0.9854794548938753
639.01378,0.9848203896204663
639.132783,0.9840643379222513
639.251785,0.9841932587946519
639.370787,0.9837780168616508
639.48979,0.9822121060598881
639.608792,0.9813265501859622
639.727795,0.9809870699330684
639.846797,0.9799242560984315
639.965799,0.9794158073633761
640.084802,0.978130678280178
640.203804,0.9768159768527951
640.322806,0.9764223993253219
640.441809,0.9757010897289432
640.560811,0.974101277245849
640.679814,0.9731889718309046
640.798816,0.9718294042074824
640.917818,0.971330983578946
641.036821,0.9703174431922292
641.155823,0.9682673904948008
641.274825,0.9677117644925748
641.393828,0.9669765829559311
641.51283,0.9651613399114781
641.631833,0.9639016619503084
641.750835,0.9629055027349203
641.869837,0.9619757851451718
641.98884,0.9608787967252271
642.107842,0.9581355675600501
642.226845,0.958002395971799
642.345847,0.9565415991869698
642.464849,0.954888212811959
642.583852,0.9537382654979234
642.702854,0.952254450468305
642.821856,0.9504734976289811
642.940859,0.9482624206515946
643.059861,0.9467435736723808
643.178864,0.9458502694447675
643.297866,0.9444816693602017
643.416868,0.9425644311817446
643.535871,0.9405965286950063
643.654873,0.9392223813165514
643.773875,0.9371339975292377
643.892878,0.9361392895073108
644.01188,0.9342492625187971
644.130883,0.932080588208332
644.249885,0.9307626268535802
644.368887,0.9294614003587753
644.48789,0.9270905847624945
644.606892,0.9261445083296568
644.725895,0.9240565573134222
644.844897,0.9229317415784546
644.963899,0.9207681607362456
645.082902,0.9191738513817597
645.201904,0.9182395267595049
645.320906,0.9160328980968868
645.439909,0.9148894872159026
645.558911,0.9130779720567814
645.677914,0.9124947016073925
645.796916,0.9103437532290124
645.915918,0.9086702608082461
646.034921,0.9064304276955387
646.153923,0.9054891355671025
646.272925,0.9037703395827812
646.391928,0.9022442576113723
646.51093,0.8999554651939405
646.629933,0.8991368782341701
646.748935,0.8979238624184563
646.867937,0.8962642388980769
646.98694,0.895386330189486
647.105942,0.8936330917172874
647.224944,0.8927666878921101
647.343947,0.8913215767138252
647.462949,0.8899055014849887
647.581952,0.88882936702084
647.700954,0.8882873464400417
647.819956,0.8874261254736904
647.938959,0.8852722979490762
648.057961,0.8850952611937521
648.176964,0.8840072632783711
648.295966,0.8834681832838857
648.414968,0.8827440363144267
648.533971,0.8814737996919989
648.652973,0.8807953261120866
648.771975,0.8799413688819718
648.890978,0.8796334432929847
649.00998,0.8786136600873757
649.128983,0.8779725061651661
649.247985,0.8776477164276918
649.366987,0.8774283319227906
649.48599,0.877665269557551
649.604992,0.8775248543479381
649.723994,0.876875726162771
649.842997,0.8781129930048
649.961999,0.8785521592837228
650.081002,0.8788421293387141
650.200004,0.8805399325013775
650.319006,0.8806720233978222
650.438009,0.8805751548031189
650.557011,0.8812270215786333
650.676014,0.8799941669480309
650.795016,0.8810772257179739
650.914018,0.8799061719311603
651.033021,0.8773405934765937
651.152023,0.8754913564554976
651.271025,0.8736809637505303
651.390028,0.8711074027762709
651.50903,0.8687585851195181
651.628033,0.8660609429277264
651.747035,0.8643824133985327
651.866037,0.8629228408061201
651.98504,0.8616552761184374
652.104042,0.8616897430188155
652.223044,0.8606563354957156
652.342047,0.8614485036658558
652.461049,0.8615691148989583
652.580052,0.8610953821742052
652.699054,0.8625346128855909
652.818056,0.8629314700776746
652.937059,0.8630695501589989
653.056061,0.8627330186623443
653.175064,0.8631990203015407
653.294066,0.8634148470338335
653.413068,0.8632508137965481
653.532071,0.8629228408061201
653.651073,0.8630695501589989
653.770075,0.8618276244079155
653.889078,0.8623879944643192
654.00808,0.8619827673427541
654.127083,0.8618448611327704
654.246085,0.8629142116208581
654.365087,0.8634839229845974
654.48409,0.8634752881885416
654.603092,0.8639330513878138
654.722094,0.8644602113165923
654.841097,0.8646677066657542
654.960099,0.8658964069799802
655.079102,0.8665200768872298
655.198104,0.8684285195735982
655.317106,0.8689236649327765
655.436109,0.8690627038419818
655.555111,0.8707677371282948
655.674113,0.8712990674872269
655.793116,0.8720661481325973
655.912118,0.873252964946563
656.031121,0.8740392463885899
656.150123,0.8747824955841785
656.269125,0.8763760494202586
656.388128,0.8764899857123818
656.50713,0.8773581404639325
656.626133,0.8785521592837228
656.745135,0.8800293674187135
656.864137,0.8803374316053979
656.98314,0.8812975225603613
657.102142,0.8815883987347353
657.221144,0.8825322031667058
657.340147,0.884077986688332
657.459149,0.8845732090101859
657.578152,0.8861580130307566
657.697154,0.8869647838476624
