nu,[0]Formicacid-dimer-PNNL(x-sec)-X=0.01-T=278.24K-P=1.0atm-L=15cm
563.710074,1.0068907325960341
563.843277,0.9914642382535457
563.97648,0.9902050857345375
564.109682,0.990666727902348
564.242885,0.9930289115532827
564.376088,0.9990021681656027
564.50929,1.0013689361388307
564.642493,1.002534105431043
564.775696,0.9967542787785143
564.908898,0.9935498918325272
565.042101,0.9909141282709557
565.175304,0.9946009276653434
565.308506,0.9939611078524943
565.441709,0.990925127478825
565.574911,0.9750475889460335
565.708114,0.9915564487154233
565.841317,0.9964379591730069
565.974519,0.9958037290529859
566.107722,0.9922006738183189
566.240925,0.994496798399479
566.374127,0.992020704939759
566.50733,1.0072586169706415
566.640533,0.9903642244782707
566.773735,0.9917022182271811
566.906938,0.9968079056012611
567.040141,1.0014740853973647
567.173343,0.9815778019416623
567.306546,0.9918424548353328
567.439749,0.9872716988239385
567.572951,0.9985482548030522
567.706154,1.0066714556745984
567.839357,1.0036888872581027
567.972559,0.9911417673895715
568.105762,1.000690298146177
568.238965,0.9935755257504125
568.372167,0.9924822010822353
568.50537,0.989400574038697
568.638573,0.9997970206031058
568.771775,0.9965166808812481
568.904978,0.9839777440706995
569.038181,0.9956014022923374
569.171383,0.9972164811923973
569.304586,0.9940381428234194
569.437789,0.9899508337158773
569.570991,1.0021957070419116
569.704194,0.9903037150727362
569.837397,0.9998527708392768
569.970599,0.9984589885793325
570.103802,1.0022115418591777
570.237005,0.9991988311073162
570.370207,0.9993834001758505
570.50341,0.9951481086365329
570.636613,1.0001921884658374
570.769815,0.9949990466148834
570.903018,1.00118239848255
571.036221,0.9962703724027165
571.169423,0.9963790714297698
571.302626,1.0054073673203627
571.435829,0.9947986739850961
571.569031,1.0068082716218576
571.702234,1.0124336631746789
571.835437,1.0000339725770548
571.968639,0.997440780400518
572.101842,0.9903122317213073
572.235045,0.9984914390237781
572.368247,1.007352598583779
572.50145,1.0109697310743726
572.634653,0.9848233440860669
572.767855,0.9911504894755016
572.901058,0.9999692204736993
573.034261,0.9986081694957631
573.167463,1.000808216431027
573.300666,1.0124508746932503
573.433869,0.9956931014041678
573.567071,0.9925350025398392
573.700274,0.998297251324254
573.833477,0.9898637218754875
573.966679,1.007451928446881
574.099882,0.9977112232529568
574.233085,0.998469172912956
574.366287,0.9926812137139018
574.49949,0.9945307113185164
574.632693,1.0043605797797748
574.765895,1.0075692026765801
574.899098,1.0061452047707158
575.032301,1.0032973242532048
575.165503,0.9992725747021571
575.298706,0.9936757825788327
575.431909,0.9948574683240843
575.565111,1.009524068007827
575.698314,1.0079309849563747
575.831517,0.9867732524843262
575.964719,0.999106759177309
576.097922,0.9900280528924159
576.231125,0.9906271020257547
576.364327,1.0094720788570568
576.49753,1.0210586691802117
576.630733,0.9977735821531055
576.763935,0.9864200508867951
576.897138,1.000617720710905
577.030341,1.0003083175200793
577.163543,0.998567027686707
577.296746,1.0223460139602747
577.429949,1.0051843926950912
577.563151,1.004220179984896
577.696354,0.9947540085273813
577.829557,1.0005753554534889
577.962759,1.0082449035396768
578.095962,1.0193814277982571
578.229165,1.0118921560309575
578.362367,1.0052798897484354
578.49557,1.0044094933310455
578.628773,1.0157710710526506
578.761975,1.0244685599125407
578.895178,1.0269918549503245
579.028381,1.0105159075561243
579.161583,1.0006819524238921
579.294786,1.000895390623059
579.427989,1.001480795296215
579.561191,1.0215305072715795
579.694394,1.017221611085208
579.827597,1.012799217705708
579.960799,1.0143418717770099
580.094002,1.013261159463698
580.227205,1.0183859784994629
580.360407,1.0184012544037093
580.49361,1.0214814749840149
580.626813,1.025965376420179
580.760015,1.008897751737262
580.893218,1.0060855421290875
581.026421,1.0187893392070977
581.159623,1.02025235136903
581.292826,1.0257622553852939
581.426029,1.0231079455249419
581.559231,1.01526026668198
581.692434,1.0105118655005783
581.825637,1.0023662952678964
581.958839,1.0174566164194396
582.092042,1.016315670286291
582.225245,1.0055129406364336
582.358447,1.0034896747864739
582.49165,0.9993063906582478
582.624852,0.999008052305702
582.758055,1.004446456280514
582.891258,1.0156156699672656
583.02446,1.014844095293605
583.157663,1.0077359691791705
583.290866,1.0062933202458895
583.424068,1.012520736213799
583.557271,1.011386336418383
583.690474,1.013650326464214
583.823676,1.0136026860184295
583.956879,1.0114520786668502
584.090082,1.015264327731169
584.223284,1.009261524942944
584.356487,1.0140548536422787
584.48969,1.0100009788387745
584.622892,1.0084381017709945
584.756095,0.9994961969513967
584.889298,1.0134648454265036
585.0225,0.9998319841162497
585.155703,1.0057713906715842
585.288906,1.0095841364768927
585.422108,1.0011674809759485
585.555311,1.009342975634498
585.688514,1.0089097576919428
585.821716,0.9989199836379347
585.954919,1.0100602676363415
586.088122,1.0052367641662157
586.221324,1.0037025375197908
586.354527,1.0106371767410367
586.48773,1.0129430454061472
586.620932,1.002996179600538
586.754135,1.010298669989875
586.887338,1.0179776875898832
