nu,[0](E)-HFC-1225ye-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
708.365776,1.0
708.485378,1.0
708.60498,1.0
708.724582,1.0
708.844184,1.0
708.963786,1.0
709.083388,1.0
709.20299,1.0
709.322592,1.0
709.442194,1.0
709.561796,1.0
709.681398,1.0
709.801,1.0
709.920602,1.0
710.040204,1.0
710.159806,1.0
710.279408,1.0
710.39901,1.0
710.518612,1.0
710.638214,1.0
710.757816,1.0
710.877418,1.0
710.99702,1.0
711.116622,1.0
711.236224,1.0
711.355826,1.0
711.475428,1.0
711.59503,1.0
711.714632,1.0
711.834234,1.0
711.953836,1.0
712.073438,1.0
712.19304,1.0
712.312642,1.0
712.432244,1.0
712.551846,1.0
712.671448,1.0
712.79105,1.0
712.910652,1.0
713.030254,1.0
713.149856,1.0
713.269458,1.0
713.38906,1.0
713.508662,1.0
713.628264,1.0
713.747866,1.0
713.867468,1.0
713.98707,1.0
714.106672,1.0
714.226274,1.0
714.345876,1.0
714.465478,1.0
714.58508,1.0
714.704682,1.0
714.824284,1.0
714.943886,1.0
715.063488,1.0
715.18309,1.0
715.302692,1.0
715.422294,1.0
715.541896,1.0
715.661498,1.0
715.7811,1.0
715.900702,1.0
716.020304,1.0
716.139906,1.0
716.259508,1.0
716.37911,1.0
716.498712,1.0
716.618314,1.0
716.737916,1.0
716.857518,1.0
716.97712,1.0
717.096722,1.0
717.216324,1.0
717.335926,1.0
717.455528,1.0
717.57513,1.0
717.694732,1.0
717.814334,1.0
717.933936,1.0
718.053538,1.0
718.17314,1.0
718.292742,1.0
718.412344,1.0
718.531946,1.0
718.651548,1.0
718.77115,1.0
718.890752,1.0
719.010354,1.0
719.129956,1.0
719.249558,1.0
719.36916,1.0
719.488762,1.0
719.608364,1.0
719.727966,1.0
719.847568,1.0
719.96717,1.0
720.086772,1.0
720.206374,1.0
720.325976,1.0
720.445578,1.0
720.56518,1.0
720.684782,1.0
720.804384,1.0
720.923986,1.0
721.043588,1.0
721.16319,1.0
721.282792,1.0
721.402394,1.0
721.521996,1.0
721.641598,1.0
721.7612,1.0
721.880802,1.0
722.000404,1.0
722.120006,1.0
722.239608,1.0
722.35921,1.0
722.478812,1.0
722.598414,1.0
722.718016,1.0
722.837618,1.0
722.95722,1.0
723.076822,1.0
723.196424,1.0
723.316026,1.0
723.435628,1.0
723.55523,1.0
723.674832,1.0
723.794434,1.0
723.914036,1.0
724.033638,1.0
724.15324,1.0
724.272842,1.0
724.392444,1.0
724.512046,1.0
724.631648,1.0
724.75125,1.0
724.870852,1.0
724.990454,1.0
725.110056,1.0
725.229658,1.0
725.34926,1.0
725.468862,1.0
725.588464,1.0
725.708066,1.0
725.827668,1.0
725.94727,1.0
726.066872,1.0
726.186474,1.0
726.306076,1.0
726.425678,1.0
726.54528,1.0
726.664882,1.0
726.784484,1.0
726.904086,1.0
727.023688,1.0
727.14329,1.0
727.262892,1.0
727.382494,1.0
727.502096,1.0
727.621698,1.0
727.7413,1.0
727.860902,1.0
727.980504,1.0
728.100106,1.0
728.219708,1.0
728.33931,1.0
728.458912,1.0
728.578514,1.0
728.698116,1.0
728.817718,1.0
728.93732,1.0
729.056922,1.0
729.176524,1.0
729.296126,1.0
729.415728,1.0
729.53533,1.0
729.654932,1.0
729.774534,1.0
729.894136,1.0
730.013738,1.0
730.13334,1.0
730.252942,1.0
730.372544,1.0
730.492146,1.0
730.611748,1.0
730.73135,1.0
730.850952,1.0
730.970554,1.0
731.090156,1.0
731.209758,1.0
731.32936,1.0
731.448962,1.0
731.568564,1.0
731.688166,1.0
731.807768,1.0
731.92737,1.0
732.046972,1.0
732.166574,1.0
732.286176,1.0
732.405778,1.0
732.52538,1.0
732.644982,1.0
732.764584,1.0
732.884186,1.0
733.003788,1.0
733.12339,1.0
733.242992,1.0
733.362594,1.0
733.482196,1.0
733.601798,1.0
733.7214,1.0
733.841002,1.0
733.960604,1.0
734.080206,1.0
734.199808,1.0
734.31941,1.0
734.439012,1.0
734.558614,1.0
734.678216,1.0
734.797818,1.0
734.91742,1.0
735.037022,1.0
735.156624,1.0
735.276226,1.0
735.395828,1.0
735.51543,1.0
735.635032,1.0
735.754634,1.0
735.874236,1.0
735.993838,1.0
736.11344,1.0
736.233042,1.0
736.352644,1.0
736.472246,1.0
736.591848,1.0
736.71145,1.0
736.831052,1.0
736.950654,1.0
737.070256,1.0
737.189858,1.0
737.30946,1.0
737.429062,1.0
737.548664,1.0
737.668266,1.0
737.787868,1.0
737.90747,1.0
738.027072,1.0
738.146674,1.0
738.266276,1.0
738.385878,1.0
738.50548,1.0
738.625082,1.0
738.744684,1.0
738.864286,1.0
738.983888,1.0
739.10349,1.0
739.223092,1.0
739.342694,1.0
739.462296,1.0
739.581898,1.0
739.7015,1.0
739.821102,1.0
739.940704,1.0
740.060306,1.0
740.179908,1.0
740.29951,1.0
740.419112,1.0
740.538714,1.0
740.658316,1.0
740.777918,1.0
740.89752,1.0
741.017122,1.0
741.136724,1.0
741.256326,1.0
741.375928,1.0
741.49553,1.0
741.615132,1.0
741.734734,1.0
741.854336,1.0
741.973938,1.0
742.09354,1.0
742.213142,1.0
742.332744,1.0
742.452346,1.0
742.571948,1.0
742.69155,1.0
742.811152,1.0
742.930754,1.0
743.050356,1.0
743.169958,1.0
743.28956,1.0
743.409162,1.0
743.528764,1.0
743.648366,1.0
743.767968,1.0
743.88757,1.0
744.007172,1.0
744.126774,1.0
744.246376,1.0
744.365978,1.0
744.48558,1.0
744.605182,1.0
744.724784,1.0
744.844386,1.0
744.963988,1.0
745.08359,1.0
745.203192,1.0
745.322794,1.0
745.442396,1.0
745.561998,1.0
745.6816,1.0
745.801202,1.0
745.920804,1.0
746.040406,1.0
746.160008,1.0
746.27961,1.0
746.399212,1.0
746.518814,1.0
746.638416,1.0
746.758018,1.0
746.87762,1.0
746.997222,1.0
747.116824,1.0
747.236426,1.0
747.356028,1.0
747.47563,1.0
747.595232,1.0
747.714834,1.0
747.834436,1.0
747.954038,1.0
748.07364,1.0
748.193242,1.0
748.312844,1.0
748.432446,1.0
748.552048,1.0
748.67165,1.0
748.791252,1.0
748.910854,1.0
749.030456,1.0
749.150058,1.0
749.26966,1.0
749.389262,1.0
749.508864,1.0
749.628466,1.0
749.748068,1.0
749.86767,1.0
749.987272,1.0
750.106874,1.0
750.226476,1.0
750.346078,1.0
750.46568,1.0
750.585282,1.0
750.704884,1.0
750.824486,1.0
750.944088,1.0
751.06369,1.0
751.183292,1.0
751.302894,1.0
751.422496,1.0
751.542098,1.0
751.6617,1.0
751.781302,1.0
751.900904,1.0
752.020506,1.0
752.140108,1.0
752.25971,1.0
752.379312,1.0
752.498914,1.0
752.618516,1.0
752.738118,1.0
752.85772,1.0
752.977322,1.0
753.096924,1.0
753.216526,1.0
753.336128,1.0
753.45573,1.0
753.575332,1.0
753.694934,1.0
753.814536,1.0
753.934138,1.0
754.05374,1.0
754.173342,1.0
754.292944,1.0
754.412546,1.0
754.532148,1.0
754.65175,1.0
754.771352,1.0
754.890954,1.0
755.010556,1.0
755.130158,1.0
755.24976,1.0
755.369362,1.0
755.488964,1.0
755.608566,1.0
755.728168,1.0
755.84777,1.0
755.967372,1.0
756.086974,1.0
756.206576,1.0
756.326178,1.0
756.44578,1.0
756.565382,1.0
756.684984,1.0
756.804586,1.0
756.924188,1.0
757.04379,1.0
757.163392,1.0
757.282994,1.0
757.402596,1.0
757.522198,1.0
757.6418,1.0
757.761402,1.0
757.881004,1.0
758.000606,1.0
758.120208,1.0
758.23981,1.0
758.359412,1.0
758.479014,1.0
758.598616,1.0
758.718218,1.0
758.83782,1.0
758.957422,1.0
759.077024,1.0
759.196626,1.0
759.316228,1.0
759.43583,1.0
759.555432,1.0
759.675034,1.0
759.794636,1.0
759.914238,1.0
760.03384,1.0
760.153442,1.0
760.273044,1.0
760.392646,1.0
760.512248,1.0
760.63185,1.0
760.751452,1.0
760.871054,1.0
760.990656,1.0
761.110258,1.0
761.22986,1.0
761.349462,1.0
761.469064,1.0
761.588666,1.0
761.708268,1.0
761.82787,1.0
761.947472,1.0
762.067074,1.0
762.186676,1.0
762.306278,1.0
762.42588,1.0
762.545482,1.0
762.665084,1.0
762.784686,1.0
762.904288,1.0
763.02389,1.0
763.143492,1.0
763.263094,1.0
763.382696,1.0
763.502298,1.0
763.6219,1.0
763.741502,1.0
763.861104,1.0
