nu,[0]Ethylformate-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
676.066872,0.9967649441063566
676.186474,0.9965705938920176
676.306076,0.9965156843650655
676.425678,0.9964584860063915
676.54528,0.9963856475533424
676.664882,0.9967060370388809
676.784484,0.9964513115311204
676.904086,0.996159394064839
677.023688,0.996102514987351
677.14329,0.9967560729378308
677.262892,0.9962604097488058
677.382494,0.9966179321195014
677.502096,0.9969811658711359
677.621698,0.99655046336934
677.7413,0.996348283792134
677.860902,0.9968014263709323
677.980504,0.9966169355020676
678.100106,0.9966338781339832
678.219708,0.9967406233384349
678.33931,0.9965118976126598
678.458912,0.9958423669872443
678.578514,0.9963182941601381
678.698116,0.9965737829230205
678.817718,0.9960394636937469
678.93732,0.9963506750308846
679.056922,0.9964586852981087
679.176524,0.9966870001353765
679.296126,0.9965228593038227
679.415728,0.9963634284011464
679.53533,0.9958825998315685
679.654932,0.9969411877279517
679.774534,0.9963790714297698
679.894136,0.9967248749609987
680.013738,0.9966647742630929
680.13334,0.9964665573528171
680.252942,0.9965102035438738
680.372544,0.9962305223848261
680.492146,0.9962772466920023
680.611748,0.9964793122063821
680.73135,0.9964233116426667
680.850952,0.9962416802291606
680.970554,0.9964113546346691
681.090156,0.9966171348254746
681.209758,0.9962277329432686
681.32936,0.9964033833757172
681.448962,0.9968135874225162
681.568564,0.9963753848340257
681.688166,0.9964183295385638
681.807768,0.9967075320990577
681.92737,0.9967671369916458
682.046972,0.9965079115730414
682.166574,0.9963782743268315
682.286176,0.996526646097883
682.405778,0.996757269045836
682.52538,0.9966553059927117
682.644982,0.9960360771653274
682.764584,0.9963339364801483
682.884186,0.9963861457462907
683.003788,0.9964730344064903
683.12339,0.9965997938381957
683.242992,0.9961097865622517
683.362594,0.9966186297522981
683.482196,0.9962351050557692
683.601798,0.9964870847753303
683.7214,0.9963206853269135
683.841002,0.9964648633611095
683.960604,0.9960439458814184
684.080206,0.9963780750511965
684.199808,0.9962247442645528
684.31941,0.9960826927445348
684.439012,0.9961292108924762
684.558614,0.9963913269677197
684.678216,0.9963263643710051
684.797818,0.9961950572095131
684.91742,0.9962074101048102
685.037022,0.9966585949606482
685.156624,0.996227533697742
685.276226,0.9962627011503834
685.395828,0.9962201616412693
685.51543,0.9966274996975741
685.635032,0.9964525072734117
685.754634,0.9964587849439822
685.874236,0.9963526677342274
685.993838,0.9960147622213468
686.11344,0.9962527385731849
686.233042,0.9959306025297361
686.352644,0.9965134920329715
686.472246,0.9966562029828907
686.591848,0.9962540337025868
686.71145,0.9961480379124769
686.831052,0.9961116791726441
686.950654,0.9965292370705311
687.070256,0.9961294101183383
687.189858,0.9963810641899054
687.30946,0.9963157037359408
687.429062,0.9964067711529798
687.548664,0.9965880340300115
687.668266,0.9961001243441838
687.787868,0.9959442468724543
687.90747,0.9960146626198755
688.027072,0.9966396586272398
688.146674,0.9959785079438338
688.266276,0.9962702727756843
