nu,[0]Dichloromethane-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
633.018954,0.9999999490600013
633.138156,0.9998786373650405
633.257358,0.9995397059678168
633.37656,0.9995736808998233
633.495762,1.0
633.614964,1.0
633.734166,0.9999365900104984
633.853368,1.0
633.97257,0.9993600048842953
634.091772,1.0
634.210974,0.9999760132876858
634.330176,0.9991427376594957
634.449378,1.0
634.56858,0.9995231637225706
634.687782,0.9999404437735425
634.806984,1.0
634.926186,0.9994498513872743
635.045388,0.9999067863446628
635.16459,0.999475937368816
635.283792,0.9997392739949339
635.402994,0.9999810551794553
635.522196,1.0
635.641398,0.9997745654141958
635.7606,0.99994859232142
635.879802,0.9992687974589637
635.999004,0.9999345141442922
636.118206,0.9993511106198314
636.237408,0.9999156135607359
636.35661,0.9998312942324188
636.475812,0.9999897620524082
636.595014,0.9998403627433831
636.714216,0.9997577993353177
636.833418,1.0
636.95262,0.9995607065176493
637.071822,0.9997134210715881
637.191024,1.0
637.310226,0.9994625045024869
637.429428,0.9996014694344112
637.54863,0.9992437061344824
637.667832,0.9993809317019007
637.787034,1.0
637.906236,0.9999691034773074
638.025438,0.9999874890782622
638.14464,0.9996912876614633
638.263842,0.9996509209422771
638.383044,0.9999482263403022
638.502246,0.9992494218248283
638.621448,0.9999358890551945
638.74065,0.9993859685944894
638.859852,0.9999075192766058
638.979054,0.9996202121376755
639.098256,0.9996073970887005
639.217458,0.9992781306731181
639.33666,0.9995469926388333
639.455862,0.9998643691986889
639.575064,0.9996106158297012
639.694266,0.9998739279477492
639.813468,0.9996496313934209
639.93267,0.9995136682976186
640.051872,0.9995278714877585
640.171074,0.9994708700386593
640.290276,0.9999640496462294
640.409478,0.9997190894627555
640.52868,0.9994810546987157
640.647882,0.9998569102383166
640.767084,0.9997233882640826
640.886286,0.9995918333226921
641.005488,0.9992466039454321
641.12469,0.9999312793613713
641.243892,0.999960356785813
641.363094,0.9995314198180005
641.482296,0.9993804819805826
641.601498,0.9996633266871835
641.7207,0.9990769662579649
641.839902,0.9996204520465551
641.959104,0.9997340353748634
642.078306,0.9998324340407438
642.197508,0.9995098201774032
642.31671,0.9997927814727254
642.435912,0.9996322176485162
642.555114,0.999772535873888
642.674316,0.9995834967615657
642.793518,0.999846281815851
642.91272,0.9991015438536381
643.031922,0.998946854946912
643.151124,0.9992365415827944
643.270326,0.999412042914548
643.389528,0.9995122689794624
643.50873,0.9990686539721849
643.627932,0.9993651815825283
643.747134,0.9999924801282744
643.866336,0.9994167001855194
643.985538,0.99900000033325
644.10474,0.9990796437878224
644.223942,0.9997466221056021
644.343144,0.9997137009913852
644.462346,0.9995555587932661
644.581548,0.9989122919836736
644.70075,0.9994369085955035
644.819952,0.9989917086676576
644.939154,0.9991119645370843
645.058356,0.9993319532426649
645.177558,0.999489650272747
645.29676,0.9992944490182308
645.415962,0.9989650359451187
645.535164,0.9985729192495505
645.654366,0.9987677598321769
645.773568,0.9994663224565463
645.89277,0.999035335588162
646.011972,0.9993458040795229
646.131174,0.9988343798635111
646.250376,0.999046305056369
646.369578,0.9986984477548014
646.48878,0.9991124241286937
646.607982,0.9986960508814031
646.727184,0.999045026277917
646.846386,0.9988748334750757
646.965588,0.9988719367422588
647.08479,0.9992955882145521
647.203992,0.9994545787962517
647.323194,0.9988158017168228
647.442396,0.9987179225644114
647.561598,0.9988764316760878
647.6808,0.9992566963870987
647.800002,0.9991273309972666
647.919204,0.9991853619978549
648.038406,0.9988984071993144
648.157608,0.9982507317562567
648.27681,0.9988944116136769
648.396012,0.9987029419079282
648.515214,0.9987256127220222
648.634416,0.9985502519015589
648.753618,0.9984361241302929
648.87282,0.9982552238946568
648.992022,0.9985909935829611
649.111224,0.9990900742337504
649.230426,0.9983230077255943
649.349628,0.9985601375979869
649.46883,0.9983951890883777
649.588032,0.9981968276721652
649.707234,0.9979033011503375
649.826436,0.9979141783556007
649.945638,0.9981891415861835
650.06484,0.9987974236751498
650.184042,0.99832919734743
650.303244,0.9980554930080971
650.422446,0.9981285533441611
650.541648,0.998327400356492
650.66085,0.9978735640750479
650.780052,0.9980241545576329
650.899254,0.9982285708359988
651.018456,0.9988404727718115
651.137658,0.9981452222301866
651.25686,0.998341277203801
651.376062,0.9978195805754982
651.495264,0.9976873782396701
651.614466,0.9976656288918933
651.733668,0.9977123207359061
651.85287,0.9982163925217225
651.972072,0.9980297435085476
652.091274,0.997962977552053
652.210476,0.9975070126672235
652.329678,0.997725789943153
652.44888,0.9975633734056151
652.568082,0.9975902082212863
652.687284,0.997706733562554
