nu,[0]Pentadecane-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
650.056601,0.8585417229502261
650.175204,0.8832561763617458
650.293806,0.828291610504817
650.412408,0.887949861374618
650.531011,0.87251101529963
650.649613,0.8152422260680006
650.768215,0.8553196673325049
650.886818,0.939582172384187
651.00542,0.9023976521733346
651.124022,0.8091912393961945
651.242625,0.8471055295011046
651.361227,0.8897809234354478
651.47983,0.92101864374011
651.598432,0.8134262614569611
651.717034,0.8542084741970037
651.835637,0.8655328068504207
651.954239,0.887372881503497
652.072841,0.8773844616029616
652.191444,0.8829559203082044
652.310046,0.9013965464958618
652.428649,0.8328347798544791
652.547251,0.8907245912698828
652.665853,0.9386655875500988
652.784456,0.8850067560929615
652.903058,0.7903811353914437
653.02166,0.8811389032824637
653.140263,0.8814385414451809
653.258865,0.916414047055982
653.377468,0.7651372878614874
653.49607,0.8373442522832383
653.614672,0.8962373513742249
653.733275,0.8864948170644218
653.851877,0.8317943867608124
653.970479,0.8466990164178891
654.089082,0.8628538097401351
654.207684,0.8595038283583869
654.326287,0.8726244491046565
654.444889,0.9084095098629446
654.563491,0.8735324506106673
654.682094,0.8083097014707017
654.800696,0.9206005961798287
654.919298,0.9293796113543127
655.037901,0.8660263011828488
655.156503,0.7734919625792926
655.275106,0.8525870189662863
655.393708,0.899019998037377
655.51231,0.8960312404870695
655.630913,0.7913934710013175
655.749515,0.9232345128414651
655.868117,0.9397672883054662
655.98672,0.8692104570603028
656.105322,0.8157641480899162
656.223924,0.8957624714322974
656.342527,0.8516922724205132
656.461129,0.8407844112243408
656.579732,0.9366037297665691
656.698334,0.9232022001989901
656.816936,0.8698713080992544
656.935539,0.8149161943882565
657.054141,0.9093283762861268
657.172743,0.91815413445432
657.291346,0.8633371431943258
657.409948,0.8307802163786882
657.528551,0.8937403341227091
657.647153,0.9600047947514186
657.765755,0.8799677675190158
657.884358,0.8168743420921221
658.00296,0.8486571519215874
658.121562,0.9209108908624587
658.240165,0.860363762081946
658.358767,0.9006306849686005
658.47737,0.909458419541807
658.595972,0.8777530404729794
658.714574,0.8330180236621268
658.833177,0.9516537674454839
658.951779,0.9230563457741617
659.070381,0.8633544101098581
659.188984,0.8219957945978944
659.307586,0.9090892543690741
659.426189,0.9695182309397075
659.544791,0.846919186783065
659.663393,0.8144355356418407
659.781996,0.8767354372699957
659.900598,0.9791396510455705
660.0192,0.8836183856418826
660.137803,0.8982381907745564
660.256405,0.891499858856788
660.375008,0.9100552199941727
660.49361,0.8498631010985921
660.612212,0.93641830058617
660.730815,0.8895496104673435
660.849417,0.8555335239803051
660.968019,0.856389485413672
661.086622,0.95710133973064
661.205224,0.91475409359117
661.323826,0.8180760303995094
661.442429,0.8610178870771412
661.561031,0.9109976147520275
661.679634,0.9409229723251578
661.798236,0.820837597248527
661.916838,0.8518029996130394
662.035441,0.8838481562910394
662.154043,0.9254936575411579
662.272645,0.8426951597168678
662.391248,0.8838923498036826
662.50985,0.8816324792566759
662.628453,0.8936599011121779
662.747055,0.8689149757395732
662.865657,0.9051985202008471
662.98426,0.8687498975771047
663.102862,0.8077521601505628
663.221464,0.8809891224006413
