nu,[0]Propylenecarbonate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
671.98144,1.0
672.099442,0.9997466520980012
672.217444,1.0
672.335447,0.9989625385356505
672.453449,1.0
672.571451,1.0
672.689454,1.0
672.807456,1.0
672.925459,1.0
673.043461,1.0
673.161463,0.9992423671488133
673.279466,0.9987483839255831
673.397468,0.9995777691645388
673.51547,1.0
673.633473,0.9983600461962403
673.751475,0.999253878487188
673.869477,0.9994742782401371
673.98748,1.0
674.105482,0.99926829782469
674.223484,0.9997273971629074
674.341487,0.9994435548730446
674.459489,1.0
674.577492,0.9992539684200412
674.695494,0.9986951520553617
674.813496,0.9976428823748659
674.931499,0.9973638806808713
675.049501,0.9987236152727943
675.167503,0.999755829814393
675.285506,0.9997335854946486
675.403508,0.9983449710733602
675.52151,0.999974778318072
675.639513,0.9999908121422086
675.757515,0.9999672185373238
675.875518,0.9998978352191767
675.99352,1.0
676.111522,0.9983534570416797
676.229525,1.0
676.347527,0.9988271882818658
676.465529,1.0
676.583532,0.999908835155767
676.701534,0.9986900587230743
676.819536,0.998865943528618
676.937539,1.0
677.055541,0.9985334763982416
677.173543,0.9972688364319728
677.291546,0.9999827451488666
677.409548,0.9979762505479196
677.527551,0.9995351880585563
677.645553,0.994996061622221
677.763555,0.9999728763678524
677.881558,0.9992699566114411
677.99956,0.9992230819572301
678.117562,0.9997105119097657
678.235565,1.0
678.353567,0.9982701978353196
678.471569,0.9994610252990748
678.589572,0.9987396948524404
678.707574,1.0
678.825577,0.9999673705323526
678.943579,0.9971070925444875
679.061581,1.0
679.179584,0.9998237355364062
679.297586,0.995358903328312
679.415588,0.9988778301040709
679.533591,0.997962977552053
679.651593,0.999292110671956
679.769595,0.9977983272447808
679.887598,0.9987447884378728
680.0056,0.9984789579587972
680.123602,0.9989838166643327
680.241605,0.9983815111679811
680.359607,0.9969425834465915
680.47761,1.0
680.595612,1.0
680.713614,0.9997903819729294
680.831617,0.999232714514169
680.949619,0.993745839190971
681.067621,1.0
681.185624,0.9953533293340605
681.303626,0.9997274371520041
681.421628,0.9995428345319928
681.539631,0.9994687311732859
681.657633,0.9951492033000545
681.775636,0.9999889150614384
681.893638,0.996075222152354
682.01164,0.9979468106827686
682.129643,0.9989028023619755
682.247645,0.9981349413873442
682.365647,0.9988411719603872
682.48365,0.9974200338480506
682.601652,0.9973310679489694
682.719654,0.9985437613460159
682.837657,0.9989286742795965
682.955659,0.9992336138240168
683.073661,0.9996147342339224
683.191664,0.9997068129877146
683.309666,0.9978107000207497
683.427669,0.9965511609549085
683.545671,0.9986578015551336
683.663673,0.9975814294660805
683.781676,1.0
683.899678,0.9984119622684487
684.01768,0.9956964867664677
684.135683,0.9990245660452923
684.253685,0.9986320365162239
684.371687,0.9961343907778406
684.48969,0.9984687735253667
684.607692,0.999697745688041
684.725695,0.9987988219925218
684.843697,0.9977824623775036
684.961699,0.9977385609149982
685.079702,0.999813477397504
685.197704,0.9989433586390383
685.315706,0.9980282464650551
685.433709,0.9993571367251971
685.551711,0.9981271559651645
685.669713,0.9966925815982053
685.787716,0.9994484421639773
685.905718,0.996833922627118
686.02372,0.9972010244567288
686.141723,0.997639390630888
686.259725,0.9983751215467564
686.377728,0.9954953763889728
686.49573,0.9976776009512722
686.613732,0.9988586518338449
686.731735,0.9961941606343651
686.849737,0.997946311709488
686.967739,0.9959980293138982
687.085742,0.9990453160010166
687.203744,0.9970468690948643
687.321746,0.9947060625396779
687.439749,0.9956892182086445
687.557751,0.9976201363764531
687.675754,0.9984511007844795
687.793756,0.9979746537871962
687.911758,0.9968315302285746
688.029761,0.9985061169558144
688.147763,0.998324904541111
688.265765,0.9970373971945995
688.383768,0.9980511015735891
688.50177,0.9977914424600753
688.619772,0.9974583355127375
688.737775,0.9966764353091687
688.855777,0.9975253669651156
688.973779,0.996881672115603
689.091782,0.997412254002128
689.209784,0.9967347425861055
689.327787,0.9969226447943097
