nu,[0]Methylsalicylate-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
613.190264,0.972031565747629
613.309266,0.9743389869569025
613.428269,0.9734176981135705
613.547271,0.973528674056664
613.666273,0.9788156094529166
613.785276,0.9713047579964363
613.904278,0.9698168885457472
614.02328,0.9751948322485539
614.142283,0.9701166082686202
614.261285,0.9702058631022403
614.380288,0.9712785331220078
614.49929,0.9711483905183187
614.618292,0.9696675482444095
614.737295,0.9693408253365532
614.856297,0.9696074307200808
614.9753,0.9705086145582994
615.094302,0.9717710961924879
615.213304,0.9719188166255778
615.332307,0.9676217714832168
615.451309,0.9687710204703033
615.570311,0.9697490037395449
615.689314,0.9683961786219571
615.808316,0.969146007410518
615.927319,0.9687874897176394
616.046321,0.9672222262033737
616.165323,0.9671883740178733
616.284326,0.9677059582394066
616.403328,0.9691857432114003
616.52233,0.96975870127807
616.641333,0.9707590380841012
616.760335,0.9663646804664898
616.879338,0.965500171003165
616.99834,0.96312121772671
617.117342,0.9680853733355368
617.236345,0.9668537847277483
617.355347,0.9656469381831806
617.474349,0.9613853133064976
617.593352,0.9667348690256924
617.712354,0.9674050484802871
617.831357,0.9677156353473745
617.950359,0.9674853464316299
618.069361,0.9662313313418867
618.188364,0.9648525376936964
618.307366,0.9684659056569611
618.426369,0.962866987285125
618.545371,0.9658980390288036
618.664373,0.9646933501583098
618.783376,0.9617939889020655
618.902378,0.9650667587347201
619.02138,0.9647734230293511
619.140383,0.9668624864509685
619.259385,0.9640722876444021
619.378388,0.9635277406508947
619.49739,0.9665802038201946
619.616392,0.9662786778371021
619.735395,0.9634901638017627
619.854397,0.9675075988504996
619.973399,0.9625011673401482
620.092402,0.9636905905994978
620.211404,0.9624155085481277
620.330407,0.9653997642066245
620.449409,0.9646547631960478
620.568411,0.9667551706711084
620.687414,0.9626282258799163
620.806416,0.9641455599225743
620.925419,0.9658487794849422
621.044421,0.9657261244787053
621.163423,0.9637137194512173
621.282426,0.9625406306970025
621.401428,0.9666633332922393
621.52043,0.9619632795412515
621.639433,0.9637570875443674
621.758435,0.9681647595909423
621.877438,0.9610969409705189
621.99644,0.966418798403884
622.115442,0.964038545704822
622.234445,0.9621749347439692
622.353447,0.9657917960879793
622.472449,0.9630875090739944
622.591452,0.9616497306233716
622.710454,0.9630191322882548
622.829457,0.9650937809822745
622.948459,0.9639816691085014
623.067461,0.9638033489948354
623.186464,0.9637667251634309
623.305466,0.9623125355978642
623.424468,0.9654856886092181
623.543471,0.9605223768116242
623.662473,0.9605848127952644
623.781476,0.9639797411470912
623.900478,0.9640693954318774
624.01948,0.959285061089216
624.138483,0.9647039618435257
624.257485,0.9638438295855797
624.376488,0.9612574575624233
624.49549,0.9617987978840324
624.614492,0.9620354294928065
624.733495,0.9633215677756799
624.852497,0.9613507040581888
624.971499,0.9617064696312626
625.090502,0.9650098214756205
625.209504,0.962749524678041
625.328507,0.9671506544068238
625.447509,0.96523083402971
625.566511,0.9638100956418917
625.685514,0.9624588182204727
625.804516,0.9620335054238716
625.923518,0.964574700173364
626.042521,0.9641455599225743
626.161523,0.9639681734596036
626.280526,0.963764797631908
626.399528,0.9654441736171867
626.51853,0.9653099862032952
626.637533,0.966191716669408
626.756535,0.9626561425032558
626.875538,0.9652173208926258
626.99454,0.9662120069085048
627.113542,0.9657521994360766
627.232545,0.9679885696384688
627.351547,0.9666913669353906
627.470549,0.9660883396864915
627.589552,0.9654760338006062
627.708554,0.9657705489021853
627.827557,0.9667445364227195
627.946559,0.9668992279235372
628.065561,0.9664419927333766
628.184564,0.9651922255685232
628.303566,0.9662100744864234
628.422568,0.971342639620685
628.541571,0.9677156353473745
628.660573,0.9655494127675405
628.779576,0.9690500667049277
628.898578,0.9679885696384688
629.01758,0.968834961467684
629.136583,0.9682606126467898
629.255585,0.9648843783528083
629.374587,0.9713436109638104
629.49359,0.9663637141022925
629.612592,0.9671835380880931
