nu,[0]1-2-Dibromoethane-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
610.171074,0.8222999893144478
610.290276,0.8488948091945909
610.409478,0.8893361441778107
610.52868,0.9243541514349594
610.647882,0.9406623727565302
610.767084,0.952508736352235
610.886286,0.96070297199388
611.005488,0.9696665785773461
611.12469,0.9825706789141649
611.243892,0.9794912252840958
611.363094,0.9846923712911874
611.482296,0.9926583823085486
611.601498,0.9882782414314024
611.7207,0.9892462395875471
611.839902,0.995777938070398
611.959104,0.992746236462872
612.078306,0.9907942349151293
612.197508,0.9967549765067536
612.31671,0.9901158722754395
612.435912,0.9911849821127038
612.555114,0.9970597310824353
612.674316,0.9979519002244814
612.793518,0.997088446816195
612.91272,0.9920123720008359
613.031922,0.9922687411192246
613.151124,0.9953184925771806
613.270326,0.9884739398967145
613.389528,0.9947919093771128
613.50873,0.9924280130334033
613.627932,0.9922080161304716
613.747134,1.0
613.866336,0.9988018183934824
613.985538,0.9940376458044722
614.10474,0.9911501921303993
614.223942,0.9953304364707548
614.343144,0.9956024974544823
614.462346,0.9972752189729501
614.581548,0.9919274593761048
614.70075,0.9997775547446155
614.819952,0.9906953585844956
614.939154,0.9912470322347325
615.058356,0.995739900079694
615.177558,0.9990754276806216
615.29676,0.9978778549405988
615.415962,0.9978981120666632
615.535164,0.9962087051752851
615.654366,1.0
615.773568,0.9940647834026292
615.89277,0.9929850206453883
616.011972,0.9932213792058548
616.131174,0.9925594192012254
616.250376,0.9941089208588566
616.369578,0.9955312148676115
616.48878,0.9985129068204952
616.607982,0.9895113931087414
616.727184,1.0
616.846386,1.0
616.965588,0.9977653006667419
617.08479,0.994748835819986
617.203992,0.9946413092827479
617.323194,0.9967537804014994
617.442396,0.9967046416514058
617.561598,0.9975853200412421
617.6808,0.9977918415767321
617.800002,0.9991821346343478
617.919204,0.9946716463053182
618.038406,0.9960269136755696
618.157608,0.9927753243537358
618.27681,0.9975989870537455
618.396012,0.9954627246761183
618.515214,0.998264407884963
618.634416,0.9892175518625731
618.753618,0.9988192975782466
618.87282,0.9996813707730776
618.992022,0.9959077959800742
619.111224,0.9996634266535211
619.230426,0.9985187980640245
619.349628,0.9911182776080393
619.46883,0.999653260128169
619.588032,0.9996551994573748
619.707234,0.9914489698218437
619.826436,0.9998861364829423
619.945638,0.9956097653792415
620.06484,0.9893431904695423
620.184042,0.9988032167170069
620.303244,0.9910780390228172
620.422446,0.9997224785162132
620.541648,0.9998811070683249
620.66085,0.997770588836849
620.780052,0.9993515803149637
620.899254,0.991638156333105
621.018456,0.9909202719575965
621.137658,0.9892778959737134
621.25686,0.9988144033756793
621.376062,0.9985440609091892
621.495264,0.9972243592337169
621.614466,0.9924902402206225
621.733668,0.9986212513484696
621.85287,0.9997293766251134
621.972072,0.9938377649325962
622.091274,0.9993057910745933
622.210476,0.9953837876119475
622.329678,0.9926062691114608
622.44888,0.9943910890083628
622.568082,0.9972771137976663
622.687284,0.9921352899483364
622.806486,0.9988605496670864
622.925688,0.9975798333370703
623.04489,0.9947191927463626
623.164092,0.9956712959640175
623.283294,0.9965285395003093
623.402496,0.9937164247494669
623.521698,0.9972435061252238
623.6409,0.9973642796265034
623.760102,0.9986553049137505
623.879304,0.994305575051861
623.998506,0.9975821277733256
624.117708,0.9979800428648771
624.23691,0.9981027021494039
624.356112,0.993163575403692
624.475314,0.997362284899939
624.594516,0.9987178226926242
624.713718,0.9976747076904247
624.83292,0.9994641136384145
624.952122,0.997235029591447
625.071324,0.9937008235240683
625.190526,0.9935966891345003
625.309728,0.9999415667072914
625.42893,0.9951135775962803
625.548132,0.9939539513582811
625.667334,0.9954045913505069
625.786536,0.9998402327641444
625.905738,0.999158714079602
626.02494,0.9970277259787522
626.144142,0.9965908244804134
626.263344,0.991541575480242
626.382546,0.9964854903972702
626.501748,0.9940072287178944
626.62095,0.99994865031844
626.740152,0.9953923479493303
626.859354,0.9969900390429978
626.978556,0.9922204188081899
627.097758,1.0
627.21696,0.9986133622717458
627.336162,0.996733546505132
627.455364,0.9965888313007576
627.574566,1.0
627.693768,0.996857149128103
627.81297,0.9910073776777418
627.932172,0.9964020880521608
628.051374,0.9965429892688926
628.170576,0.9999066613563222
628.289778,0.9961031126490394
628.40898,0.998184749563623
628.528182,0.9983844064785617
628.647384,1.0
628.766586,0.998918285475406
628.885788,0.9958679604649506
629.00499,0.9960683492570326
629.124192,0.9937834034936534
629.243394,0.9940883430171762
629.362596,0.9999312023666658
629.481798,1.0
629.601,1.0
629.720202,0.9995167368092903
629.839404,0.9960871751267375
629.958606,0.9999347511288001
630.077808,0.9922049402903892
630.19701,0.9998768975777251
630.316212,1.0
630.435414,0.9981347417603759
630.554616,0.9961113803391852
630.673818,0.9998610696517148
630.79302,0.9998416025462016
630.912222,0.9935469111873226
631.031424,0.9959781095525103
631.150626,1.0
631.269828,0.9999988799006273
631.38903,1.0
631.508232,0.999530260362226
631.627434,0.9909756659490465
631.746636,0.9944623894055334
631.865838,0.995802135768294
631.98504,0.9982151946627701
632.104242,0.9997843532551026
632.223444,1.0
632.342646,0.9949971561184907
632.461848,0.9982763871297329
632.58105,0.9906304701636274
632.700252,1.0
632.819454,0.9997954409250612
632.938656,0.996016953456234
633.057858,0.9963651222204144
633.17706,0.999345594216926
633.296262,0.9991023231531463
633.415464,0.9945136055373919
633.534666,0.997776775033677
633.653868,0.997786353736695
633.77307,0.9975837239060069
633.892272,0.998130449790214
634.011474,0.9941503760651914
634.130676,0.9981950309194925
634.249878,0.9990660763783827
634.36908,0.9963459921937167
634.488282,0.9997262574743242
634.607484,1.0
634.726686,0.9990515200916927
634.845888,0.9959374744746018
634.96509,0.998891414934937
635.084292,0.99717420010996
635.203494,0.9989816189023535
635.322696,0.9971306245495482
635.441898,0.9988632465942113
635.5611,0.9981290524085624
635.680302,0.9993960024799841
635.799504,0.9959741256480399
635.918706,0.9999803481930993
636.037908,0.9956449110242764
636.15711,0.9999246618380618
636.276312,0.9999920566315487
636.395514,0.9999492672869477
636.514716,0.9999408867472572
636.633918,1.0
636.75312,0.99761315305994
636.872322,1.0
636.991524,1.0
637.110726,0.9977732828210758
637.229928,0.9995383865762758
637.34913,1.0
637.468332,1.0
637.587534,0.9952928136913312
637.706736,0.9977168104514512
637.825938,1.0
637.94514,0.9992380304463506
638.064342,1.0
638.183544,1.0
638.302746,0.9980534968991073
638.421948,1.0
638.54115,1.0
638.660352,1.0
638.779554,0.9993679698152745
638.898756,0.9982142962694992
639.017958,1.0
639.13716,1.0
639.256362,0.9987740520888844
639.375564,0.998683866863905
639.494766,0.9994290330636935
639.613968,0.9986618960605137
639.73317,0.9991622511077104
639.852372,0.9982767864403677
639.971574,0.9999372959659801
640.090776,0.9989571441525072
640.209978,1.0
640.32918,0.9997704163583586
640.448382,0.9983841069632847
640.567584,0.9999498872556856
640.686786,0.9985972847260378
640.805988,0.9972443039203478
640.92519,0.9983388811876108
641.044392,1.0
641.163594,0.999780914002843
641.282796,1.0
641.401998,0.9986670891158751
641.5212,0.9999984654011775
641.640402,0.9951352713087325
641.759604,1.0
641.878806,0.9997891522315158
641.998008,0.9999395838251306
642.11721,0.999572271501927
642.236412,1.0
642.355614,1.0
642.474816,1.0
642.594018,0.9980109807257402
642.71322,1.0
642.832422,1.0
642.951624,1.0
643.070826,0.9993924046608512
643.190028,0.9994004498020904
643.30923,0.9995311099633084
643.428432,1.0
643.547634,1.0
643.666836,0.9993328726284848
643.786038,1.0
643.90524,1.0
644.024442,1.0
644.143644,0.9996250603074611
644.262846,0.9998155270172335
644.382048,1.0
644.50125,1.0
644.620452,1.0
644.739654,1.0
644.858856,0.9999464124358648
644.978058,0.998295254731748
645.09726,0.9981429264988156
645.216462,0.998768858477317
645.335664,1.0
645.454866,1.0
645.574068,1.0
645.69327,1.0
645.812472,0.9981361391499924
645.931674,0.9979267521534628
646.050876,1.0
646.170078,1.0
646.28928,1.0
646.408482,0.9981374367278167
646.527684,0.997780566592626
646.646886,1.0
646.766088,0.9970788748130512
646.88529,1.0
647.004492,1.0
647.123694,1.0
647.242896,1.0
647.362098,1.0
647.4813,0.9998842566987728
647.600502,0.9996177430788008
647.719704,0.9994522700588412
647.838906,1.0
647.958108,0.9997532804402774
648.07731,0.9997891422336243
648.196512,1.0
648.315714,0.9970487634857153
648.434916,1.0
648.554118,1.0
648.67332,0.999135743684811
648.792522,1.0
648.911724,1.0
649.030926,1.0
649.150128,0.999094250438989
649.26933,0.9995823872245
649.388532,0.9946364355522731
649.507734,1.0
649.626936,1.0
649.746138,1.0
649.86534,1.0
649.984542,0.9997258175948677
650.103744,0.9960010173124682
650.222946,1.0
650.342148,0.9984357247559231
650.46135,1.0
650.580552,1.0
650.699754,0.9989821183932879
650.818956,0.9997764149988527
650.938158,0.9987373977537839
651.05736,1.0
651.176562,0.9992449551898958
651.295764,1.0
651.414966,0.998185647930302
651.534168,1.0
651.65337,0.9990132971117442
651.772572,0.9974365911580377
651.891774,1.0
652.010976,0.9989852152426549
652.130178,1.0
652.24938,0.9998007698489629
652.368582,0.999125033007048
652.487784,0.9957213794897946
652.606986,1.0
652.726188,0.9996391651165712
652.84539,1.0
652.964592,0.9973636812081152
653.083794,0.9994358791760178
653.202996,0.9996510708899266
653.322198,1.0
653.4414,0.9989673335673436
