nu,[0]Hexadecane-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
572.01537,0.9350624130463785
572.134372,1.0
572.253374,0.9732950552102734
572.372376,0.9720694757179327
572.491378,0.9842700288628317
572.61038,0.9892769066963121
572.729382,1.0
572.848384,0.9692855744841733
572.967386,1.0
573.086388,0.9967095255161154
573.20539,1.0
573.324392,0.9902312274938706
573.443394,0.9857357128642403
573.562396,0.9966576979683165
573.681398,0.9955723311558311
573.8004,0.949859690030713
573.919402,1.0
574.038404,1.0
574.157406,0.9962194642874002
574.276408,0.9423929000650747
574.39541,0.9815571890242579
574.514412,1.0
574.633414,0.9702000418845254
574.752416,0.9489131518474424
574.871418,1.0
574.99042,1.0
575.109422,1.0
575.228424,0.9727238986637116
575.347426,1.0
575.466428,0.9838390129895567
575.58543,0.999539176211913
575.704432,1.0
575.823434,1.0
575.942436,1.0
576.061438,0.9860216176751648
576.18044,1.0
576.299442,1.0
576.418444,0.9752816284509978
576.537446,1.0
576.656448,0.9894530136587587
576.77545,1.0
576.894452,0.9981732705050078
577.013454,0.9451534346113644
577.132456,0.9788880444880793
577.251458,1.0
577.37046,1.0
577.489462,1.0
577.608464,1.0
577.727466,0.9951074079112252
577.846468,0.9836845623892067
577.96547,1.0
578.084472,0.9878257136336028
578.203474,0.9481827699536359
578.322476,0.9993152945178552
578.441478,1.0
578.56048,0.9740740027919303
578.679482,1.0
578.798484,1.0
578.917486,1.0
579.036488,1.0
579.15549,1.0
579.274492,1.0
579.393494,1.0
579.512496,0.9726781817148311
579.631498,1.0
579.7505,1.0
579.869502,0.9999812791752368
579.988504,0.9716729522681241
580.107506,1.0
580.226508,1.0
580.34551,1.0
580.464512,0.9946159462527412
580.583514,0.9381804228672125
580.702516,1.0
580.821518,1.0
580.94052,0.959709158804908
581.059522,0.9974844692634787
581.178524,1.0
581.297526,1.0
581.416528,1.0
581.53553,1.0
581.654532,1.0
581.773534,1.0
581.892536,0.9664825841494852
582.011538,0.9942646105060443
582.13054,0.9808105081515175
582.249542,1.0
582.368544,1.0
582.487546,1.0
582.606548,0.9852449386921456
582.72555,1.0
582.844552,1.0
582.963554,1.0
583.082556,0.9879630309511304
583.201558,1.0
583.32056,1.0
583.439562,0.9913781828925219
583.558564,1.0
583.677566,1.0
583.796568,1.0
583.91557,1.0
584.034572,1.0
584.153574,1.0
584.272576,0.9994143115824604
584.391578,1.0
584.51058,0.9999061734019906
584.629582,0.9999135707352241
584.748584,1.0
584.867586,0.9915486154504198
584.986588,0.998291061900483
585.10559,1.0
585.224592,0.9617882181554444
585.343594,0.9995890144776967
585.462596,1.0
585.581598,1.0
585.7006,1.0
585.819602,0.998472967103022
585.938604,1.0
586.057606,1.0
586.176608,1.0
586.29561,0.9609941090994382
586.414612,1.0
586.533614,0.9591219964897144
586.652616,0.9851907517106732
586.771618,0.9945052516581917
586.89062,1.0
587.009622,0.9891117112470977
587.128624,0.9884146332395383
587.247626,1.0
587.366628,1.0
587.48563,0.989278885252104
587.604632,0.9968424954357157
587.723634,1.0
587.842636,0.9980164698012292
587.961638,1.0
588.08064,1.0
588.199642,1.0
588.318644,0.9950175537692664
588.437646,1.0
588.556648,1.0
588.67565,1.0
588.794652,0.932885320948188
588.913654,0.9907541085611793
589.032656,1.0
589.151658,1.0
589.27066,1.0
589.389662,0.9600758377347882
589.508664,0.9979767495361697
589.627666,1.0
589.746668,0.9972134895474412
589.86567,1.0
589.984672,1.0
590.103674,1.0
590.222676,0.9941764231462596
590.341678,1.0
590.46068,1.0
590.579682,0.9854400365040527
590.698684,0.9994694208069484
590.817686,1.0
590.936688,1.0
591.05569,0.992753284986173
591.174692,1.0
591.293694,1.0
591.412696,0.9786658621206333
591.531698,0.9964026858935929
591.6507,0.9817741371349156
591.769702,1.0
591.888704,1.0
592.007706,0.9956475992691654
592.126708,1.0
592.24571,0.9902829189130801
592.364712,0.9935635035592854
592.483714,0.9925372853729703
592.602716,1.0
592.721718,0.9948316023661667
592.84072,0.9921422349196735
592.959722,0.9883276565788424
593.078724,1.0
593.197726,0.99714677819651
593.316728,1.0
593.43573,1.0
593.554732,1.0
593.673734,1.0
593.792736,0.976794487137692
593.911738,1.0
594.03074,1.0
594.149742,1.0
594.268744,1.0
594.387746,1.0
594.506748,0.9756776731837894
594.62575,0.9681240975249489
594.744752,1.0
594.863754,1.0
594.982756,0.9739970539852276
595.101758,0.9984558933612655
595.22076,1.0
595.339762,1.0
595.458764,0.9899745928209946
595.577766,0.9565989934047303
595.696768,0.9842365642507519
595.81577,1.0
595.934772,1.0
596.053774,0.9802045545164387
596.172776,1.0
596.291778,0.9788048425404308
596.41078,1.0
596.529782,1.0
596.648784,0.9925161445539423
596.767786,0.9533272928764556
596.886788,1.0
597.00579,1.0
597.124792,1.0
597.243794,0.9905929259802749
597.362796,0.9992501912471794
597.481798,1.0
597.6008,0.9894065104599504
597.719802,0.9963923233595449
597.838804,0.9708502937226289
597.957806,1.0
598.076808,0.987495834938058
598.19581,0.9962315186158466
598.314812,1.0
598.433814,0.9987221171884949
598.552816,1.0
598.671818,1.0
598.79082,1.0
598.909822,1.0
599.028824,0.9502805710916685
599.147826,0.9551155032530979
599.266828,1.0
599.38583,1.0
599.504832,0.9847465308609828
599.623834,0.9677204739376477
599.742836,1.0
599.861838,1.0
599.98084,0.9345912603306609
600.099842,0.9884986520541127
600.218844,1.0
600.337846,0.9865334957155997
600.456848,1.0
600.57585,1.0
600.694852,0.9721015545399291
600.813854,0.98882293279112
600.932856,0.9897330684875133
601.051858,1.0
601.17086,0.9583655476927766
601.289862,0.9831082920993323
601.408864,0.9845259723415464
601.527866,1.0
601.646868,0.9703785751167858
601.76587,0.9421799433346769
601.884872,1.0
602.003874,0.9984029766012238
602.122876,1.0
602.241878,0.9518774323604319
602.36088,1.0
602.479882,0.97636283937556
602.598884,0.9895381102770354
602.717886,1.0
602.836888,0.9982877675454145
602.95589,0.9428717572777418
603.074892,0.9958082101798492
603.193894,1.0
603.312896,0.9993813114667268
603.431898,0.97597432428512
603.5509,0.9752211628644863
603.669902,0.9993825706879726
603.788904,1.0
603.907906,0.9951845317238475
604.026908,0.9459704000571193
604.14591,0.9989496520020218
604.264912,1.0
604.383914,0.9921479893613239
604.502916,0.9882228993994736
604.621918,0.9725468790234306
604.74092,0.9770426244495295
604.859922,0.9538326902601563
604.978924,1.0
605.097926,0.979749845103885
605.216928,0.9403407212305935
605.33593,0.9625338929361698
605.454932,1.0
605.573934,0.984362554594186
605.692936,0.9356170694966988
605.811938,0.9772429387190528
605.93094,1.0
606.049942,0.9632464316237415
606.168944,0.9488875315382183
606.287946,0.9543183146804289
606.406948,1.0
606.52595,0.9911244225604098
606.644952,0.9798321475475279
606.763954,1.0
606.882956,0.9586885713087712
607.001958,0.9382451595497802
607.12096,0.9722211303849012
607.239962,1.0
607.358964,0.9364435842216134
607.477966,0.9049812986236309
607.596968,0.9378521171760564
607.71597,1.0
607.834972,0.9249052307145272
607.953974,0.9183093156154816
608.072976,0.9931615890785276
608.191978,0.9841784960064912
608.31098,0.9642506575163207
608.429982,0.9429019296567301
608.548984,0.9903727416472249
608.667986,0.9795039587527918
608.786988,0.9969947249071931
608.90599,0.9737633227411424
609.024992,0.9999828471471118
609.143994,0.9587278783459836
609.262996,0.9350156610945347
609.381998,0.9865640787280011
609.501,1.0
609.620002,0.9267958168271258
609.739004,0.9469064275720863
609.858006,0.9748204293229328
609.977008,1.0
610.09601,0.9656401786782716
610.215012,0.9142502029202295
610.334014,0.9823250669472114
610.453016,0.9842345957795919
610.572018,0.975504993518237
610.69102,0.950372752777804
610.810022,0.9818006453944781
610.929024,0.9412617655743206
611.048026,0.9467369464905603
611.167028,1.0
611.28603,0.9772263257303054
611.405032,0.9100106283808964
611.524034,0.9514463295357345
611.643036,1.0
611.762038,0.9718119114356422
611.88104,0.9188476025771082
612.000042,0.907749336151495
612.119044,1.0
612.238046,0.9691838048418522
612.357048,0.940056781209883
612.47605,0.9369971859530865
612.595052,0.9878602881386304
612.714054,0.9671661289410902
612.833056,0.9220811906769382
612.952058,0.9966480304355337
613.07106,0.9628862448174453
613.190062,0.9170465909509983
613.309064,0.9283717813226556
613.428066,1.0
613.547068,0.8991099045324306
613.66607,0.9125585784721693
613.785072,0.9527535625562972
613.904074,1.0
614.023076,0.9385360606365795
614.142078,0.9132286423521284
614.26108,0.9532605623015515
614.380082,0.9919882663930806
614.499084,0.9765122343184062
614.618086,0.9243615462977502
614.737088,0.952439205752379
614.85609,0.9538555825194285
614.975092,0.9474785318124277
615.094094,0.9580704165566153
615.213096,0.9860945859746666
615.332098,0.92743459918017
615.4511,0.9209072072262625
615.570102,0.9626147491790911
615.689104,1.0
615.808106,0.8968021588012491
615.927108,0.8764899857123818
616.04611,0.9595565771792188
616.165112,0.9841883378406603
616.284114,0.9227425599632091
616.403116,0.9513854389191647
616.522118,0.9834121195005069
616.64112,0.9875837259784608
616.760122,0.9432310598600601
616.879124,0.934706222125687
616.998126,0.9661617651904416
617.117128,0.9098395624634609
617.23613,0.9212157628208598
617.355132,0.9656440412467114
617.474134,0.9548605214553141
617.593136,0.9381353912876814
617.712138,0.9183387019837607
617.83114,0.9949559640889083
617.950142,0.9808448371200562
618.069144,0.9050844723724659
618.188146,0.8914820290379095
618.307148,0.9918971068602438
618.42615,0.9376898827934637
618.545152,0.8896296735350695
618.664154,0.8937045852243269
618.783156,0.9543068629293634
618.902158,0.9164763653299791
619.02116,0.9205923108117473
619.140162,0.9617641737505468
619.259164,0.9417673588820874
619.378166,0.9020999100782651
619.497168,0.9181128184478867
619.61617,0.9771168825107582
619.735172,0.9185086103596678
619.854174,0.8787015258465992
619.973176,0.9148300213318957
620.092178,1.0
620.21118,0.9135218358013545
620.330182,0.886991393190316
620.449184,0.9209366767284033
620.568186,1.0
620.687188,0.9364641862070873
620.80619,0.8812005851645341
620.925192,0.908583032650227
621.044194,0.9438585171212833
621.163196,0.9094984365926354
621.282198,0.9035805677382099
621.4012,0.9470588917799648
621.520202,0.9044032002958969
621.639204,0.8862998096562691
621.758206,0.9270878034949122
621.877208,0.9970607281426649
621.99621,0.8779725061651661
622.115212,0.9014055605063966
622.234214,0.9408505240455832
622.353216,0.9834563740416041
622.472218,0.9238477441282481
622.59122,0.871081269946182
622.710222,0.9367629659353204
622.829224,0.9472900023439014
622.948226,0.9226908878266845
623.067228,0.9125959941409026
623.18623,0.9419397180791483
623.305232,0.8986514753904867
623.424234,0.9132943971815232
623.543236,0.9329562229268211
623.662238,0.9454351323057504
623.78124,0.8955654253644444
623.900242,0.8786663784885171
624.019244,0.961685312321662
624.138246,0.9572286426742823
624.257248,0.8979059041207915
