nu,[0]Vinyl2-2-2-trifluoroacetate-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
635.31529,1.0
635.375555,1.0
635.43582,1.0
635.496085,1.0
635.55635,1.0
635.616615,1.0
635.67688,1.0
635.737145,1.0
635.79741,1.0
635.857675,1.0
635.91794,1.0
635.978205,1.0
636.03847,1.0
636.098735,1.0
636.159,1.0
636.219265,1.0
636.27953,1.0
636.339795,1.0
636.40006,1.0
636.460325,1.0
636.52059,1.0
636.580855,1.0
636.64112,1.0
636.701385,1.0
636.76165,1.0
636.821915,1.0
636.88218,1.0
636.942445,1.0
637.00271,1.0
637.062975,1.0
637.12324,1.0
637.183505,1.0
637.24377,1.0
637.304035,1.0
637.3643,1.0
637.424565,1.0
637.48483,1.0
637.545095,1.0
637.60536,1.0
637.665625,1.0
637.72589,1.0
637.786155,1.0
637.84642,1.0
637.906685,1.0
637.96695,1.0
638.027215,1.0
638.08748,1.0
638.147745,1.0
638.20801,1.0
638.268275,1.0
638.32854,1.0
638.388805,1.0
638.44907,1.0
638.509335,1.0
638.5696,1.0
638.629865,1.0
638.69013,1.0
638.750395,1.0
638.81066,1.0
638.870925,1.0
638.93119,1.0
638.991455,1.0
639.05172,1.0
639.111985,1.0
639.17225,1.0
639.232515,1.0
639.29278,1.0
639.353045,1.0
639.41331,1.0
639.473575,1.0
639.53384,1.0
639.594105,1.0
639.65437,1.0
639.714635,1.0
639.7749,1.0
639.835165,1.0
639.89543,1.0
639.955695,1.0
640.01596,1.0
640.076225,1.0
640.13649,1.0
640.196755,1.0
640.25702,1.0
640.317285,1.0
640.37755,1.0
640.437815,1.0
640.49808,1.0
640.558345,1.0
640.61861,1.0
640.678875,1.0
640.73914,1.0
640.799405,1.0
640.85967,1.0
640.919935,1.0
640.9802,1.0
641.040465,1.0
641.10073,1.0
641.160995,1.0
641.22126,1.0
641.281525,1.0
641.34179,1.0
641.402055,1.0
641.46232,1.0
641.522585,1.0
641.58285,1.0
641.643115,1.0
641.70338,1.0
641.763645,1.0
641.82391,1.0
641.884175,1.0
641.94444,1.0
642.004705,1.0
642.06497,1.0
642.125235,1.0
642.1855,1.0
642.245765,1.0
642.30603,1.0
642.366295,1.0
642.42656,1.0
642.486825,1.0
642.54709,1.0
642.607355,1.0
642.66762,1.0
642.727885,1.0
642.78815,1.0
642.848415,1.0
642.90868,1.0
642.968945,1.0
643.02921,1.0
643.089475,1.0
643.14974,1.0
643.210005,1.0
643.27027,1.0
643.330535,1.0
643.3908,1.0
643.451065,1.0
643.51133,1.0
643.571595,1.0
643.63186,1.0
643.692125,1.0
643.75239,1.0
643.812655,1.0
643.87292,1.0
643.933185,1.0
643.99345,1.0
644.053715,1.0
644.11398,1.0
644.174245,1.0
644.23451,1.0
644.294775,1.0
644.35504,1.0
644.415305,1.0
644.47557,1.0
644.535835,1.0
644.5961,1.0
644.656365,1.0
644.71663,1.0
644.776895,1.0
644.83716,1.0
644.897425,1.0
644.95769,1.0
645.017955,1.0
645.07822,1.0
645.138485,1.0
645.19875,1.0
645.259015,1.0
645.31928,1.0
645.379545,1.0
645.43981,1.0
645.500075,1.0
645.56034,1.0
645.620605,1.0
645.68087,1.0
645.741135,1.0
645.8014,1.0
645.861665,1.0
645.92193,1.0
645.982195,1.0
646.04246,1.0
646.102725,1.0
646.16299,1.0
646.223255,1.0
646.28352,1.0
646.343785,1.0
646.40405,1.0
646.464315,1.0
646.52458,1.0
646.584845,1.0
646.64511,1.0
646.705375,1.0
646.76564,1.0
646.825905,1.0
646.88617,1.0
646.946435,1.0
647.0067,1.0
647.066965,1.0
647.12723,1.0
647.187495,1.0
647.24776,1.0
647.308025,1.0
647.36829,1.0
647.428555,1.0
647.48882,1.0
647.549085,1.0
647.60935,1.0
647.669615,1.0
647.72988,1.0
647.790145,1.0
647.85041,1.0
647.910675,1.0
647.97094,1.0
648.031205,1.0
648.09147,1.0
648.151735,1.0
648.212,1.0
648.272265,1.0
648.33253,1.0
648.392795,1.0
648.45306,1.0
648.513325,1.0
648.57359,1.0
648.633855,1.0
648.69412,1.0
648.754385,1.0
648.81465,1.0
648.874915,1.0
648.93518,1.0
648.995445,1.0
649.05571,1.0
649.115975,1.0
649.17624,1.0
649.236505,1.0
649.29677,1.0
649.357035,1.0
649.4173,1.0
649.477565,1.0
649.53783,1.0
649.598095,1.0
649.65836,1.0
649.718625,1.0
649.77889,1.0
649.839155,1.0
649.89942,1.0
649.959685,1.0
650.01995,1.0
650.080215,1.0
650.14048,1.0
650.200745,1.0
650.26101,1.0
650.321275,1.0
650.38154,1.0
650.441805,1.0
650.50207,1.0
650.562335,1.0
650.6226,1.0
650.682865,1.0
650.74313,1.0
650.803395,1.0
650.86366,1.0
650.923925,1.0
650.98419,1.0
651.044455,1.0
651.10472,1.0
651.164985,1.0
651.22525,1.0
651.285515,1.0
651.34578,1.0
651.406045,1.0
651.46631,1.0
651.526575,1.0
651.58684,1.0
651.647105,1.0
651.70737,1.0
651.767635,1.0
651.8279,1.0
651.888165,1.0
651.94843,1.0
652.008695,1.0
652.06896,1.0
652.129225,1.0
652.18949,1.0
652.249755,1.0
652.31002,1.0
652.370285,1.0
652.43055,1.0
652.490815,1.0
652.55108,1.0
652.611345,1.0
652.67161,1.0
652.731875,1.0
652.79214,1.0
652.852405,1.0
652.91267,1.0
652.972935,1.0
653.0332,1.0
653.093465,1.0
653.15373,1.0
653.213995,1.0
653.27426,1.0
653.334525,1.0
653.39479,1.0
653.455055,1.0
653.51532,1.0
653.575585,1.0
653.63585,1.0
653.696115,1.0
653.75638,1.0
653.816645,1.0
653.87691,1.0
653.937175,1.0
653.99744,1.0
654.057705,1.0
654.11797,1.0
654.178235,1.0
654.2385,1.0
654.298765,1.0
654.35903,1.0
654.419295,1.0
654.47956,1.0
654.539825,1.0
654.60009,1.0
654.660355,1.0
654.72062,1.0
654.780885,1.0
654.84115,1.0
654.901415,1.0
654.96168,1.0
655.021945,1.0
655.08221,1.0
655.142475,1.0
655.20274,1.0
655.263005,1.0
655.32327,1.0
655.383535,1.0
655.4438,1.0
655.504065,1.0
655.56433,1.0
655.624595,1.0
655.68486,1.0
655.745125,1.0
655.80539,1.0
655.865655,1.0
655.92592,1.0
655.986185,1.0
656.04645,1.0
656.106715,1.0
656.16698,1.0
656.227245,1.0
656.28751,1.0
656.347775,1.0
656.40804,1.0
656.468305,1.0
656.52857,1.0
656.588835,1.0
656.6491,1.0
656.709365,1.0
656.76963,1.0
656.829895,1.0
656.89016,1.0
656.950425,1.0
657.01069,1.0
657.070955,1.0
657.13122,1.0
657.191485,1.0
657.25175,1.0
657.312015,1.0
657.37228,1.0
657.432545,1.0
657.49281,1.0
657.553075,1.0
657.61334,1.0
657.673605,1.0
657.73387,1.0
657.794135,1.0
657.8544,1.0
657.914665,1.0
657.97493,1.0
658.035195,1.0
658.09546,1.0
658.155725,1.0
658.21599,1.0
658.276255,1.0
658.33652,1.0
658.396785,1.0
658.45705,1.0
658.517315,1.0
658.57758,1.0
658.637845,1.0
658.69811,1.0
658.758375,1.0
658.81864,1.0
658.878905,1.0
658.93917,1.0
658.999435,1.0
659.0597,1.0
659.119965,1.0
659.18023,1.0
659.240495,1.0
659.30076,1.0
659.361025,1.0
659.42129,1.0
659.481555,1.0
659.54182,1.0
659.602085,1.0
659.66235,1.0
659.722615,1.0
659.78288,1.0
659.843145,1.0
659.90341,1.0
659.963675,1.0
660.02394,1.0
660.084205,1.0
660.14447,1.0
660.204735,1.0
660.265,1.0
660.325265,1.0
660.38553,1.0
660.445795,1.0
660.50606,1.0
660.566325,1.0
660.62659,1.0
660.686855,1.0
660.74712,1.0
660.807385,1.0
660.86765,1.0
660.927915,1.0
660.98818,1.0
661.048445,1.0
661.10871,1.0
661.168975,1.0
661.22924,1.0
661.289505,1.0
661.34977,1.0
661.410035,1.0
661.4703,1.0
661.530565,1.0
661.59083,1.0
661.651095,1.0
661.71136,1.0
661.771625,1.0
661.83189,1.0
661.892155,1.0
661.95242,1.0
662.012685,1.0
662.07295,1.0
662.133215,1.0
662.19348,1.0
662.253745,1.0
662.31401,1.0
662.374275,1.0
662.43454,1.0
662.494805,1.0
662.55507,1.0
662.615335,1.0
662.6756,1.0
662.735865,1.0
662.79613,1.0
662.856395,1.0
662.91666,1.0
662.976925,1.0
663.03719,1.0
663.097455,1.0
663.15772,1.0
663.217985,1.0
663.27825,1.0
663.338515,1.0
663.39878,1.0
663.459045,1.0
663.51931,1.0
663.579575,1.0
663.63984,1.0
663.700105,1.0
663.76037,1.0
663.820635,1.0
663.8809,1.0
663.941165,1.0
664.00143,1.0
664.061695,1.0
664.12196,1.0
664.182225,1.0
664.24249,1.0
664.302755,1.0
664.36302,1.0
664.423285,1.0
664.48355,1.0
664.543815,1.0
664.60408,1.0
664.664345,1.0
664.72461,1.0
664.784875,1.0
664.84514,1.0
664.905405,1.0
664.96567,1.0
665.025935,1.0
665.0862,1.0
665.146465,1.0
665.20673,1.0
665.266995,1.0
665.32726,1.0
665.387525,1.0
665.44779,1.0
665.508055,1.0
665.56832,1.0
665.628585,1.0
665.68885,1.0
665.749115,1.0
665.80938,1.0
665.869645,1.0
665.92991,1.0
665.990175,1.0
666.05044,1.0
666.110705,1.0
666.17097,1.0
666.231235,1.0
666.2915,1.0
666.351765,1.0
666.41203,1.0
666.472295,1.0
666.53256,1.0
666.592825,1.0
666.65309,1.0
666.713355,1.0
666.77362,1.0
666.833885,1.0
666.89415,1.0
666.954415,1.0
667.01468,1.0
667.074945,1.0
667.13521,1.0
667.195475,1.0
667.25574,1.0
667.316005,1.0
667.37627,1.0
667.436535,1.0
667.4968,1.0
667.557065,1.0
667.61733,1.0
667.677595,1.0
667.73786,1.0
667.798125,1.0
667.85839,1.0
667.918655,1.0
667.97892,1.0
668.039185,1.0
668.09945,1.0
668.159715,1.0
668.21998,1.0
668.280245,1.0
668.34051,1.0
668.400775,1.0
668.46104,1.0
668.521305,1.0
668.58157,1.0
668.641835,1.0
668.7021,1.0
668.762365,1.0
668.82263,1.0
668.882895,1.0
668.94316,1.0
669.003425,1.0
669.06369,1.0
669.123955,1.0
669.18422,1.0
669.244485,1.0
669.30475,1.0
669.365015,1.0
669.42528,1.0
669.485545,1.0
669.54581,1.0
669.606075,1.0
669.66634,1.0
669.726605,1.0
669.78687,1.0
669.847135,1.0
669.9074,1.0
669.967665,1.0
670.02793,1.0
670.088195,1.0
670.14846,1.0
670.208725,1.0
670.26899,1.0
670.329255,1.0
670.38952,1.0
670.449785,1.0
670.51005,1.0
670.570315,1.0
670.63058,1.0
670.690845,1.0
670.75111,1.0
670.811375,1.0
670.87164,1.0
670.931905,1.0
670.99217,1.0
671.052435,1.0
671.1127,1.0
671.172965,1.0
671.23323,1.0
671.293495,1.0
671.35376,1.0
671.414025,1.0
671.47429,1.0
671.534555,1.0
671.59482,1.0
671.655085,1.0
671.71535,1.0
671.775615,1.0
671.83588,1.0
671.896145,1.0
671.95641,1.0
672.016675,1.0
672.07694,1.0
672.137205,1.0
672.19747,1.0
672.257735,1.0
672.318,1.0
672.378265,1.0
672.43853,1.0
672.498795,1.0
672.55906,1.0
672.619325,1.0
672.67959,1.0
672.739855,1.0
672.80012,1.0
672.860385,1.0
672.92065,1.0
672.980915,1.0
673.04118,1.0
673.101445,1.0
673.16171,1.0
673.221975,1.0
673.28224,1.0
673.342505,1.0
673.40277,1.0
673.463035,1.0
673.5233,1.0
673.583565,1.0
673.64383,1.0
673.704095,1.0
673.76436,1.0
673.824625,1.0
673.88489,1.0
673.945155,1.0
674.00542,1.0
674.065685,1.0
674.12595,1.0
674.186215,1.0
674.24648,1.0
674.306745,1.0
674.36701,1.0
674.427275,1.0
674.48754,1.0
674.547805,1.0
674.60807,1.0
674.668335,1.0
674.7286,1.0
674.788865,1.0
674.84913,1.0
674.909395,1.0
674.96966,1.0
675.029925,1.0
675.09019,1.0
675.150455,1.0
675.21072,1.0
675.270985,1.0
675.33125,1.0
675.391515,1.0
675.45178,1.0
675.512045,1.0
675.57231,1.0
675.632575,1.0
675.69284,1.0
675.753105,1.0
675.81337,1.0
675.873635,1.0
675.9339,1.0
675.994165,1.0
676.05443,1.0
676.114695,1.0
676.17496,1.0
676.235225,1.0
676.29549,1.0
676.355755,1.0
676.41602,1.0
676.476285,1.0
676.53655,1.0
676.596815,1.0
676.65708,1.0
676.717345,1.0
676.77761,1.0
676.837875,1.0
676.89814,1.0
676.958405,1.0
677.01867,1.0
677.078935,1.0
677.1392,1.0
677.199465,1.0
677.25973,1.0
677.319995,1.0
677.38026,1.0
677.440525,1.0
677.50079,1.0
677.561055,1.0
677.62132,1.0
677.681585,1.0
677.74185,1.0
677.802115,1.0
677.86238,1.0
677.922645,1.0
677.98291,1.0
678.043175,1.0
678.10344,1.0
678.163705,1.0
678.22397,1.0
678.284235,1.0
678.3445,1.0
678.404765,1.0
678.46503,1.0
678.525295,1.0
678.58556,1.0
678.645825,1.0
678.70609,1.0
678.766355,1.0
678.82662,1.0
678.886885,1.0
678.94715,1.0
679.007415,1.0
679.06768,1.0
679.127945,1.0
679.18821,1.0
679.248475,1.0
679.30874,1.0
679.369005,1.0
679.42927,1.0
679.489535,1.0
679.5498,1.0
679.610065,1.0
679.67033,1.0
679.730595,1.0
679.79086,1.0
679.851125,1.0
679.91139,1.0
679.971655,1.0
680.03192,1.0
680.092185,1.0
680.15245,1.0
680.212715,1.0
680.27298,1.0
680.333245,1.0
680.39351,1.0
680.453775,1.0
680.51404,1.0
680.574305,1.0
680.63457,1.0
680.694835,1.0
680.7551,1.0
680.815365,1.0
680.87563,1.0
680.935895,1.0
680.99616,1.0
681.056425,1.0
681.11669,1.0
681.176955,1.0
681.23722,1.0
681.297485,1.0
