nu,[0]4-Methyl-1-pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
566.168723,0.9734683171499559
566.303326,0.973724372987233
566.437929,0.9740701065037117
566.572531,0.9732678033302555
566.707134,0.9692865437702324
566.841737,0.9722911328263465
566.97634,0.9719576941557881
567.110942,0.9765659439682954
567.245545,0.9806329975147393
567.380148,0.9768032783276366
567.51475,0.9734556621440906
567.649353,0.9735666424153304
567.783956,0.9759372379654417
567.918558,0.9783860037057277
568.053161,0.9819381071069286
568.187764,0.9755879149667978
568.322366,0.976958602396827
568.456969,0.9780093975956291
568.591572,0.9728416053765624
568.726175,0.9811911364657981
568.860777,0.9776515116532316
568.99538,0.9804055170480703
569.129983,0.9801516248996074
569.264585,0.9757137739255568
569.399188,0.9764897747953023
569.533791,0.9774560009026277
569.668393,0.9821777292377739
569.802996,0.9840446568323045
569.937599,0.9821472822000991
570.072201,0.9809478312350502
570.206804,0.9805976953622714
570.341407,0.9784623207903445
570.47601,0.9841676701025777
570.610612,0.9866874069456951
570.745215,0.983734731581192
570.879818,0.9818163543304755
571.01442,0.9826532183178002
571.149023,0.9774051745120784
571.283626,0.9861596703651021
571.418228,0.9852764670346346
571.552831,0.9853424827694283
571.687434,0.987124606299479
571.822036,0.9808673968107454
571.956639,0.9817270131073188
572.091242,0.9831328701138586
572.225845,0.9854755129839395
572.360447,0.9861862970356604
572.49505,0.9896806140249389
572.629653,0.9845751998708414
572.764255,0.9814178177990077
572.898858,0.9823024737304947
573.033461,0.984714034761653
573.168063,0.9903763069955125
573.302666,0.9897281198345425
573.437269,0.9887487738521556
573.571871,0.9844166960235643
573.706474,0.9835507903854241
573.841077,0.9855819500868419
573.97568,0.9896736862848879
574.110282,0.9898003726244852
574.244885,0.9880104543147676
574.379488,0.9853365707322678
574.51409,0.9871305290648851
574.648693,0.9883325982294794
574.783296,0.9906023366577724
574.917898,0.9904845610418429
575.052501,0.9898092808679257
575.187104,0.9884403323540896
575.321706,0.9870851221049162
575.456309,0.987332911566841
575.590912,0.9895519639075545
575.725515,0.992571627757164
575.860117,0.9936702180100311
575.99472,0.9887181231152551
576.129323,0.9899221255579699
576.263925,0.9871097995414354
576.398528,0.9898191790102251
576.533131,0.9917429780259583
576.667733,0.9951083035082953
576.802336,0.9937302375037693
576.936939,0.9894767608160512
577.071541,0.9908619084723996
577.206144,0.9928112634709715
577.340747,0.9938108322941055
577.47535,0.9929638702897006
577.609952,0.9954143463633015
577.744555,0.9909976658530286
577.879158,0.989621234969487
578.01376,0.991619910358892
578.148363,0.9894213516689161
578.282966,0.9915538706720081
578.417568,0.9967130140055596
578.552171,0.9926806181053524
578.686774,0.9909202719575965
578.821376,0.989720202041255
578.955979,0.9899250953288011
579.090582,0.9942151967828433
579.225185,0.9938004967151947
579.359787,0.9939869511772602
579.49439,0.9927893225844965
579.628993,0.9903198571548495
579.763595,0.9932355823731299
579.898198,0.9917253251580604
580.032801,0.9955089152181555
580.167403,0.9959045094897702
580.302006,0.993852871381432
580.436609,0.993767503086401
580.571211,0.9943294386720245
580.705814,0.9954889056900561
580.840417,0.9959557998927254
580.97502,0.9969575376974997
581.109622,0.9948275235649586
581.244225,0.9934044467752008
581.378828,0.993173109819781
581.51343,0.9947339146993573
581.648033,0.9972051129893106
581.782636,0.9970668102316569
581.917238,0.9962139850954144
582.051841,0.9947957890731247
582.186444,0.9952531023003124
582.321046,0.9935753270353272
582.455649,0.9961063001840998
582.590252,0.9979587861163493
582.724854,0.9966818173764509
582.859457,0.9949625308199415
582.99406,0.9944910303347757
583.128663,0.994902834858989
583.263265,0.9955338032521351
583.397868,0.99808274029498
583.532471,0.9997505811100644
583.667073,0.9982733923050637
583.801676,0.9971458807648135
583.936279,0.9935740353882416
584.070881,0.9939058451512149
584.205484,0.9988952107295258
584.340087,1.0
584.474689,0.9973242861207656
584.609292,0.9958000445860047
584.743895,0.995475665775656
584.878498,0.9958505329281339
585.0131,0.9960896653477881
585.147703,1.0
585.282306,0.9980853353134783
585.416908,0.996096936828886
585.551511,0.9968946316615773
585.686114,0.993851479988386
585.820716,0.9962215563504718
585.955319,0.9997446925964834
586.089922,1.0
586.224524,0.9971040015172917
586.359127,0.9975350430081039
586.49373,0.995716002608863
586.628333,0.9978107000207497
586.762935,0.9978999082848815
586.897538,0.9988261894551769
587.032141,0.999721078905723
587.166743,0.997207905167536
587.301346,0.9951044225934794
587.435949,0.9953561163272845
587.570551,0.9948733861709199
587.705154,1.0
587.839757,1.0
587.974359,0.9980953162167359
588.108962,0.9980775502782245
588.243565,0.9956868285573884
588.378168,0.9972466973095493
588.51277,0.998604175071074
588.647373,1.0
588.781976,1.0
588.916578,0.9972224645092344
589.051181,0.9959906589557517
589.185784,0.996685405437452
589.320386,0.9986335344654022
589.454989,1.0
589.589592,1.0
589.724194,0.9979733564209895
589.858797,0.9971602397688811
589.9934,0.9988334809129737
590.128003,0.9983508613260658
590.262605,1.0
590.397208,1.0
590.531811,1.0
590.666413,0.9968414985937186
590.801016,0.9972873858048391
590.935619,0.9979982062669437
591.070221,0.9997074827915037
591.204824,1.0
591.339427,1.0
591.474029,0.9978920249067454
591.608632,0.996876388656742
591.743235,0.9976960581576184
591.877838,0.9999078362473396
592.01244,0.9999995166001169
592.147043,1.0
592.281646,0.999574030750673
592.416248,0.998076053163022
592.550851,0.9979038998924978
592.685454,0.9996042083461898
592.820056,1.0
592.954659,1.0
593.089262,0.9990077226330992
593.223864,0.9986939536218984
593.358467,0.9966735449516974
593.49307,0.9999390188594254
593.627673,1.0
593.762275,1.0
593.896878,1.0
594.031481,0.9991153215589249
594.166083,0.9979819390287599
594.300686,0.9983551542439992
594.435289,1.0
