nu,[0]Butane-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
616.330674,0.9999244608532251
616.449876,1.0005555142409166
616.569078,1.000145830632253
616.68828,0.9994446342726667
616.807482,1.0002705165830135
616.926684,0.9997754052251835
617.045886,0.9998280747808347
617.165088,1.0006031918470801
617.28429,0.9998745478697767
617.403492,1.0000709285153082
617.522694,1.0000499212460239
617.641896,1.0001278281693242
617.761098,1.0005337323844679
617.8803,1.0000064904210626
617.999502,0.9996413143430867
618.118704,1.0003237123835491
618.237906,1.0001929786179782
618.357108,0.999699915034503
618.47631,0.9999653506003043
618.595512,1.0007109125786469
618.714714,1.0001285082564786
618.833916,1.000245780199005
618.953118,0.9996217115691182
619.07232,0.9999036156452704
619.191522,1.00029572371764
619.310724,0.9997634479828414
619.429926,1.0006213229411836
619.549128,1.0001195271427998
619.66833,1.0000744017676741
619.787532,1.00057386459732
619.906734,1.0004366152887199
620.025936,1.000020430208694
620.145138,0.9995428545228496
620.26434,1.0003179105228428
620.383542,1.000152271592142
620.502744,1.0003552530874371
620.621946,0.9995425546600383
620.741148,0.999939060856865
620.86035,0.9997749653241019
620.979552,0.9997592189924008
621.098754,1.000176605592932
621.217956,1.0006355418712078
621.337158,0.9997365447104414
621.45636,1.0002094819382774
621.575562,1.0002574331302225
621.694764,0.9998823169251964
621.813966,0.9994383977576068
621.933168,1.000394947971421
622.05237,1.0005948568572072
622.171572,0.9999461504499391
622.290774,1.0000746567866792
622.409976,1.0000945634708431
622.529178,1.0002598537561396
622.64838,0.9995452334376743
622.767582,1.0000699194442504
622.886784,1.0000129710841237
623.005986,1.00032218188944
623.125188,0.9996342469039777
623.24439,1.000285420724746
623.363592,1.0000603588215204
623.482794,1.0000807412594
623.601996,1.000035411626977
623.721198,0.999924830825344
623.8404,1.0004158764526436
623.959602,0.999681210824071
624.078804,1.0006404449973756
624.198006,0.9999149546165637
624.317208,1.000200160029346
624.43641,1.0002330971629227
624.555612,1.0002139228782363
624.674814,1.0001758754642762
624.794016,1.0000835564906492
624.913218,0.9999595638175645
625.03242,0.9998708183446687
625.151622,1.0000802442193952
625.270824,1.0000630459873148
625.390026,1.000203880780862
625.509228,0.9996086366026413
625.62843,0.9999129437896118
625.747632,1.0001317386767774
625.866834,1.0000619419183214
625.986036,0.9999774232548585
626.105238,0.999882696880549
626.22444,1.0001590926538941
626.343642,1.000116236754968
626.462844,0.9997696165423454
626.582046,0.999725957556492
626.701248,1.0001522215845298
626.82045,0.9995703623207116
626.939652,1.0001154366622989
627.058854,0.9996059576550851
627.178056,0.9997145007626659
627.297258,1.000463097196413
627.41646,1.0006829430995154
627.535662,0.9995984306505631
627.654864,1.0004040416028286
627.774066,1.0003859544612645
627.893268,1.0004152762032978
628.01247,1.000477704064262
628.131672,0.9996875488230391
628.250874,0.9999578698874981
628.370076,1.000198639726258
628.489278,0.9999087981591408
628.60848,0.9999939613182329
628.727682,1.000069571419979
628.846884,1.0001624631957158
628.966086,0.9997998400346794
629.085288,0.9998749178234279
629.20449,0.9995453034058431
629.323692,1.0001313786294164
629.442894,1.0003164500597594
629.562096,0.9996737032463687
629.681298,1.0000357906404698
629.8005,0.9998220658321622
629.919702,0.9998993450660478
630.038904,1.0001909682321117
630.158106,0.999753770319505
630.277308,0.9999766832718391
630.39651,1.0003264532742762
630.515712,1.0000592607558492
630.634914,1.00013498911021
630.754116,1.0002137628440213
630.873318,1.0000234612752115
630.99252,1.000074772795346
631.111722,1.0001507213573226
631.230924,0.9999178783721655
631.350126,1.0004380559184831
631.469328,0.9997700364456726
631.58853,1.0005179841074594
631.707732,0.9997192894065934
631.826934,1.0001739151214815
631.946136,0.9998679287221792
632.065338,0.9998560003689423
632.18454,0.9995664440125712
632.303742,1.0002077815836035
632.422944,1.000211202300066
632.542146,0.9999859740983639
632.661348,1.0002939031810794
632.78055,1.0002468804699685
632.899752,1.0000500922545752
633.018954,1.0003741599803901
633.138156,1.000194708953328
633.257358,1.0000457680473251
633.37656,0.9998710383162729
633.495762,0.9996716839075277
633.614964,0.9998036892714732
633.734166,0.9993600448586963
633.853368,1.0002798491504696
633.97257,0.9995871552438588
634.091772,1.0000838585159288
634.210974,1.0003020556096114
634.330176,1.0001571523471364
634.449378,0.9997733756831708
634.56858,1.0001394197180256
634.687782,0.999934962115055
634.806984,1.000167704060754
634.926186,1.000225485418016
635.045388,0.9996805310410788
635.16459,1.000341528307517
635.283792,1.0001356892049476
635.402994,0.9997340353748634
635.522196,1.0001593626968857
635.641398,1.0001169068330713
