nu,[0]Propane-PNNL(x-sec)-X=0.01-T=278.12K-P=1.0atm-L=15cm
673.161463,0.99761315305994
673.279466,0.9959075967985349
673.397468,0.9961304062482466
673.51547,0.9965369103751986
673.633473,0.9970566402020598
673.751475,0.9974918506758624
673.869477,0.9974882597116637
673.98748,0.9965088084305654
674.105482,0.9959237306322868
674.223484,0.9950999446336531
674.341487,0.9968535604488257
674.459489,0.9970937313989673
674.577492,0.9977283840335791
674.695494,0.9964592831734992
674.813496,0.9966605882798315
674.931499,0.9960206387257795
675.049501,0.9959992245122505
675.167503,0.9958975381826033
675.285506,0.997642982139159
675.403508,0.9977739812626182
675.52151,0.9968857593388375
675.639513,0.9959055053947776
675.757515,0.9956984781614326
675.875518,0.9956956902095969
675.99352,0.9952545951810855
676.111522,0.9980316397668616
676.229525,0.997878653243202
676.347527,0.9972456003387855
676.465529,0.995465014243018
676.583532,0.9950831275866933
676.701534,0.9959603812999421
676.819536,0.9964103582238127
676.937539,0.9968363150314032
677.055541,0.9971715077432544
677.173543,0.9964944588070416
677.291546,0.9960022125144061
677.409548,0.9962823277189171
677.527551,0.9958613877581015
677.645553,0.9962783425975764
677.763555,0.9963529666400726
677.881558,0.9972361265505829
677.99956,0.9971042009381119
678.117562,0.9962620037667367
678.235565,0.9958723422936167
678.353567,0.9951308927231716
678.471569,0.9954672042684584
678.589572,0.99707548475064
678.707574,0.9969739876325834
678.825577,0.9972504868541991
678.943579,0.9955515239115464
679.061581,0.9951516911761725
679.179584,0.995873238579128
679.297586,0.9958635786555645
679.415588,0.9971782885325617
679.533591,0.9958998287495753
679.651593,0.9964249059212408
679.769595,0.9960054993271307
679.887598,0.9963693069627158
680.0056,0.995068499972231
680.123602,0.9955918445647526
680.241605,0.9960004197120371
680.359607,0.9968667190026699
680.47761,0.9970280250871149
680.595612,0.9966265030705728
680.713614,0.9957647938883674
680.831617,0.9957113227546484
680.949619,0.9948024542272398
681.067621,0.9960319934257826
681.185624,0.9974010830474406
681.303626,0.9962996631822375
681.421628,0.995577607703169
681.539631,0.9950547681216814
681.657633,0.9950765600597241
681.775636,0.9953082408495035
681.893638,0.9961394710761883
682.01164,0.9958293215376846
682.129643,0.9962352046792846
682.247645,0.9947147165200667
682.365647,0.9956383397895487
682.48365,0.9952590738368409
682.601652,0.9948063339643768
682.719654,0.994849608981129
682.837657,0.9970469687995562
682.955659,0.9967392279025391
683.073661,0.9962489528199712
683.191664,0.9949650182293778
683.309666,0.9954355489146854
683.427669,0.9949990466148834
683.545671,0.9957302414495077
683.663673,0.9966547079997075
683.781676,0.9961174566371379
683.899678,0.9958407736407318
684.01768,0.9952317045886392
684.135683,0.9955805944404723
684.253685,0.9943351063659779
684.371687,0.996168558773422
684.48969,0.9961265213472377
684.607692,0.9965484702704063
684.725695,0.9953223743268711
684.843697,0.9954298749482274
684.961699,0.9945390654115787
685.079702,0.9950370563044445
685.197704,0.9952969939299272
685.315706,0.9954500823797936
685.433709,0.9955016480295997
685.551711,0.9954186266541936
685.669713,0.9950432255533181
685.787716,0.9941945173218174
685.905718,0.9952107054212144
686.02372,0.9957144094645333
686.141723,0.9969699000476137
686.259725,0.9950157627392815
686.377728,0.9957387051925309
686.49573,0.9949032328202025
686.613732,0.9945463255732557
686.731735,0.9947242658271819
686.849737,0.9957625036319752
686.967739,0.9945065445158593
687.085742,0.9955724307130692
687.203744,0.9956720925013729
687.321746,0.9950771571058392
687.439749,0.9942380639953412
687.557751,0.9942286187785981
687.675754,0.9951710968233549
687.793756,0.9951559703376448
687.911758,0.9974297088693026
688.029761,0.9947538095765995
688.147763,0.9950701915901188
688.265765,0.9944382242630786
688.383768,0.9951232302447982
688.50177,0.994362252084919
688.619772,0.9959506209360313
688.737775,0.99558477588775
688.855777,0.9957174961839871
688.973779,0.9939457015747215
689.091782,0.9946720441740564
689.209784,0.9950522804878706
689.327787,0.9948987557657283
689.445789,0.9946581188629153
689.563791,0.9963784736025062
689.681794,0.9958451553497755
689.799796,0.9945876995609726
689.917798,0.9954378384190808
690.035801,0.9936770743581897
690.153803,0.9939938097108852
690.271805,0.9951408440818555
690.389808,0.9966065707398353
690.50781,0.9954674033619192
690.625813,0.9949591479530876
690.743815,0.9939989784921345
690.861817,0.9945379714192084
690.97982,0.994519870992843
691.097822,0.9953239668439441
691.215824,0.9949782513521204
691.333827,0.9955881608817425
691.451829,0.994532600928663
691.569831,0.9941190608215631
691.687834,0.9944568204317459
691.805836,0.9934706097145575
691.923838,0.9947296373527205
692.041841,0.9945745710899865
692.159843,0.9962206597514746
692.277846,0.9945866055151048
692.395848,0.9938353797248226
692.51385,0.9931179902417685
692.631853,0.9935475073156481
692.749855,0.994507141219965
692.867857,0.9969443779448567
692.98586,0.9948365765366141
693.103862,0.9949485019471607
693.221864,0.9936280872859651
693.339867,0.994173440621464
693.457869,0.9942635168155742
693.575872,0.9947670398902483
693.693874,0.9947468463243039
693.811876,0.994328245477414
693.929879,0.9947705215809808
694.047881,0.9939448070239926
694.165883,0.9945913795422688
694.283886,0.9936614737505873
694.401888,0.994212015299304
694.51989,0.9947589823098584
694.637893,0.9957602133808506
694.755895,0.9938075527237702
694.873897,0.9940380434196101
694.9919,0.9929541392914537
695.109902,0.9939405330705114
695.227905,0.9942442282904473
695.345907,0.9957833152857821
695.463909,0.9945273299198464
695.581912,0.9947519195461568
695.699914,0.9940732329891988
695.817916,0.9942481058504988
695.935919,0.9938085465318198
696.053921,0.9940373475932233
696.171923,0.9954961727855925
696.289926,0.9948890058056966
696.407928,0.993743255455148
696.525931,0.9930632709480366
696.643933,0.993851380603243
696.761935,0.9933097798423741
696.879938,0.9935293255626279
696.99794,0.9937099656136982
697.115942,0.9954111610424897
697.233945,0.9943734884418529
697.351947,0.993254056726773
697.469949,0.9933950094777837
697.587952,0.993774360105829
697.705954,0.9943655334857652
697.823956,0.9945458283002172
697.941959,0.9949569590453698
698.059961,0.9942009796071823
698.177964,0.9939965928974489
698.295966,0.9932672670935762
698.413968,0.993789465590904
698.531971,0.9939322833983232
698.649973,0.9946933303835633
698.767975,0.9939852614008795
698.885978,0.9946841792470191
699.00398,0.9929504653679351
699.121982,0.9933027273679735
699.239985,0.993139441822034
699.357987,0.9938601265338742
699.47599,0.9941247273163593
699.593992,0.9944285782590864
699.711994,0.9943655334857652
699.829997,0.9937889686962954
699.947999,0.99335527447211
700.066001,0.9924403192170632
700.184004,0.9931604966013804
700.302006,0.9940363535563727
700.420008,0.9949837237475518
700.538011,0.9932946816484671
700.656013,0.9925704366719253
700.774015,0.9918089311269134
700.892018,0.9927354155878684
701.01002,0.99377445948327
701.128023,0.9948060355225213
701.246025,0.9942413449863661
701.364027,0.993259420313161
701.48203,0.9929904820780208
701.600032,0.9926994792162763
701.718034,0.9928330062757244
701.836037,0.9923332406836104
701.954039,0.9930619799666235
702.072041,0.9939357621674029
702.190044,0.9948879114283922
702.308046,0.9924469685894773
702.426049,0.9926698972125697
702.544051,0.9914813907332359
702.662053,0.992567359708341
702.780056,0.993882488638294
702.898058,0.9938874580631608
703.01606,0.992139655353216
703.134063,0.9923428663627295
703.252065,0.9917463499578159
703.370067,0.9929250461613889
703.48807,0.9926114306774803
703.606072,0.9925833401714746
703.724074,0.9932802789800028
703.842077,0.993098128080586
703.960079,0.9930018022340412
704.078082,0.9924342653495802
704.196084,0.9915510943250571
704.314086,0.9925961445791511
704.432089,0.9932043952654835
704.550091,0.9926638419446653
704.668093,0.9937656149299389
704.786096,0.9920231849946214
704.904098,0.9910990500999611
705.0221,0.9904542526779954
705.140103,0.9919505715551641
705.258105,0.9930586035616314
705.376108,0.992612125505725
705.49411,0.9921234836086339
705.612112,0.9923271874693046
705.730115,0.9919115886637209
705.848117,0.9915850059523685
705.966119,0.9914703853508788
706.084122,0.9916890286753893
706.202124,0.9918576301409827
706.320126,0.9923679729548456
706.438129,0.9921685270372678
706.556131,0.9908843022045793
706.674133,0.99059312409888
706.792136,0.9899211356363392
706.910138,0.9915420712511538
707.028141,0.9916501552273898
707.146143,0.9920135624163966
707.264145,0.9913593468859896
707.382148,0.9914526381898185
707.50015,0.9910980590014066
707.618152,0.991335455413623
707.736155,0.9913820492749746
707.854157,0.992408164671627
707.972159,0.9916828802224718
708.090162,0.9914179379547396
708.208164,0.9908764742495124
708.326167,0.9911958852074739
708.444169,0.9914906115530465
708.562171,0.9910222428998958
708.680174,0.9915576385838756
708.798176,0.9916692942600768
708.916178,0.9918266846656741
709.034181,0.9906676195028042
709.152183,0.9918070466917344
709.270185,0.9909308748612318
709.388188,0.9909141282709557
709.50619,0.9914853566667308
709.624192,0.9922113896434614
709.742195,0.991420317360646
709.860197,0.990546666370802
709.9782,0.99049565453105
710.096202,0.9901244863209994
710.214204,0.9916036479257144
710.332207,0.9915380059369955
710.450209,0.9912249276723806
710.568211,0.9911199625105435
710.686214,0.9910400814608147
710.804216,0.9896321208629439
710.922218,0.99042305386042
711.040221,0.9892076597365151
711.158223,0.9909875577283884
711.276226,0.9910275944344566
711.394228,0.9915368160921023
711.51223,0.9903932425751609
711.630233,0.9898300670810785
711.748235,0.9893817756063759
711.866237,0.989839965431241
711.98424,0.9913176115360209
712.102242,0.9908371372343295
712.220244,0.9894282776426186
712.338247,0.9890533553776492
712.456249,0.9897657302176889
712.574251,0.989085005591422
712.692254,0.9902760859845132
712.810256,0.9903114394718389
712.928259,0.9893342864208964
713.046261,0.9900952780794765
713.164263,0.9900151826113853
713.282266,0.9891216024136659
713.400268,0.9892135950002794
713.51827,0.9891671030538837
713.636273,0.9893520945983251
713.754275,0.9904251337510169
713.872277,0.9897182226028304
713.99028,0.9894648871661634
714.108282,0.9884314364311301
714.226285,0.9885253418780291
714.344287,0.9886914280863155
714.462289,0.9900023124976672
714.580292,0.9892145842143689
714.698294,0.9892531643354608
714.816296,0.9889564328981012
714.934299,0.9895509743560854
715.052301,0.9882920774236341
715.170303,0.9888100781765489
715.288306,0.9886825299035046
715.406308,0.9900593382731937
715.52431,0.9888160110548165
715.642313,0.988675609150018
715.760315,0.9878484338862984
715.878318,0.9878049695114306
715.99632,0.9881972059381057
716.114322,0.9879314166399716
716.232325,0.9888862194839712
716.350327,0.9889218200286786
716.468329,0.9884432976795345
716.586332,0.9875461985099001
716.704334,0.9878020061009671
716.822336,0.9882624291060385
716.940339,0.9892274440875527
717.058341,0.9886716544554908
717.176344,0.9880677605829836
717.294346,0.9880272506352593
717.412348,0.9878889365023856
717.530351,0.9870012234352812
717.648353,0.9877071816600275
