nu,[0]Formicacid-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
609.664993,0.43086089086078244
609.798196,0.36483867843158185
609.931399,0.331907155926177
610.064601,0.3149630338185138
610.197804,0.3354440843824345
610.331007,0.3389848035135914
610.464209,0.2993924573097967
610.597412,0.2447544049452679
610.730615,0.2531431854370608
610.863817,0.2794868600040436
610.99702,0.39972438774594465
611.130223,0.4896766517947343
611.263425,0.4523314823056098
611.396628,0.43743375578390664
611.529831,0.4292696511733581
611.663033,0.46014666654617364
611.796236,0.5078698830197105
611.929439,0.4623837985387615
612.062641,0.4836760086654028
612.195844,0.47984123030243053
612.329047,0.4554041557044886
612.462249,0.4212579184436045
612.595452,0.37726779957821954
612.728655,0.40575327546557305
612.861857,0.40876698668296635
612.99506,0.34624799919343474
613.128263,0.3552974333061378
613.261465,0.3454180003923312
613.394668,0.3382060343933058
613.527871,0.3405817820498954
613.661073,0.2844209272214018
613.794276,0.2270011943638088
613.927479,0.23004047667479355
614.060681,0.24480336072167141
614.193884,0.2463997652604429
614.327087,0.26535147792619546
614.460289,0.2777594021250632
614.593492,0.3289662885105835
614.726695,0.37820458485478287
614.859897,0.45207824758785753
614.9931,0.4710080941884028
615.126303,0.470358551306094
615.259505,0.44270130120524953
615.392708,0.445258618704121
615.525911,0.48761944654623496
615.659113,0.4944347935556778
615.792316,0.44694041188485184
615.925519,0.40501142597079043
616.058721,0.4033220115462228
616.191924,0.4413133992658562
616.325127,0.4014950798866678
616.458329,0.36338223853955887
616.591532,0.29665067822499114
616.724734,0.28085970634476254
616.857937,0.3143651722026504
616.99114,0.3433516974975665
617.124342,0.3073709360516377
617.257545,0.26161011349429236
617.390748,0.26265864962247815
617.52395,0.24696713694786612
617.657153,0.27305009567236094
617.790356,0.2540561432426901
617.923558,0.22297402369046182
618.056761,0.22144079863649935
618.189964,0.2784268252775833
618.323166,0.36663077500682073
618.456369,0.43552634100789134
618.589572,0.44362307822752833
618.722774,0.45250792598799067
618.855977,0.4268297744163901
618.98918,0.4631380987180175
619.122382,0.4162954726710345
619.255585,0.4038709026432693
619.388788,0.41450510020799086
619.52199,0.4337226519362012
619.655193,0.40284637225497016
619.788396,0.37127212302535223
619.921598,0.3073709360516377
620.054801,0.33233891581200065
620.188004,0.35039296401057507
620.321206,0.34833173213622864
620.454409,0.3186378778993181
620.587612,0.32219446086230447
620.720814,0.3275220165694986
620.854017,0.33277123735067105
620.98722,0.31499453169676334
621.120422,0.2937870775624026
621.253625,0.29002156404216706
621.386828,0.28493334592888403
621.52003,0.32267811520366874
621.653233,0.308294433413212
621.786436,0.28843082398508063
621.919638,0.3286374866504031
622.052841,0.3924524090261292
622.186044,0.4263178858816379
622.319246,0.4350388245661317
622.452449,0.4477635392876989
622.585652,0.39645212072127756
622.718854,0.323906624731239
622.852057,0.31164205792760546
622.98526,0.3457981692472993
623.118462,0.418331959564214
623.251665,0.43432594561436355
623.384868,0.36204020854348745
623.51807,0.3026434194449819
623.651273,0.3417075584400619
623.784476,0.4147829116815814
623.917678,0.4317493791246684
624.050881,0.41078718362104366
624.184084,0.3910460308370364
624.317286,0.4181103023699901
624.450489,0.40238336520695683
624.583692,0.414766320696936
624.716894,0.3839357723074021
624.850097,0.34833173213622864
624.9833,0.40619172572359785
625.116502,0.42581938563466726
625.249705,0.41737507542731495
625.382908,0.418922223665599
625.51611,0.3662277028846236
625.649313,0.41127219860027636
625.782516,0.45705113571687056
625.915718,0.409659070732254
626.048921,0.38744553302643076
626.182124,0.36721785378461047
626.315326,0.3686011919608555
626.448529,0.41924911046933844
