nu,[0]Furan-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
616.760335,0.7380158335035168
616.879338,0.7554210523121848
616.99834,0.802085554797761
617.117342,0.8222588753428399
617.236345,0.7899465452902116
617.355347,0.7357683144202284
617.474349,0.7609177564171405
617.593352,0.8021096177253471
617.712354,0.8164660070133527
617.831357,0.7799464620902906
617.950359,0.7347463069229466
618.069361,0.7609481937361396
618.188364,0.8000428421984855
618.307366,0.8086088313958695
618.426369,0.7714526368924303
618.545371,0.7389389301105808
618.664373,0.7691032909237429
618.783376,0.8009393921560047
618.902378,0.8029121285315997
619.02138,0.7628453156751612
619.140383,0.7410479099301233
619.259385,0.7717612796716278
619.378388,0.8008272684899427
619.49739,0.7965781800185222
619.616392,0.7580848198968444
619.735395,0.7485928759908377
619.854397,0.7807502208109257
619.973399,0.802815784856912
620.092402,0.7907447943488716
620.211404,0.7538137178896128
620.330407,0.7541303861468054
620.449409,0.7852524661312675
620.568411,0.8041495657916697
620.687414,0.7856451905372529
620.806416,0.7531581851531369
620.925419,0.7637307296821841
621.044421,0.796100376465911
621.163423,0.8058481127123164
621.282426,0.7831429755342677
621.401428,0.7544320986397399
621.52043,0.7713137879145725
621.639433,0.8018369468120025
621.758435,0.806501114113478
621.877438,0.7791591138413763
621.99644,0.760172422289226
622.115442,0.7832996197932782
622.234445,0.809863146927946
622.353447,0.807453347135124
622.472449,0.777672340254706
622.591452,0.7673363860741058
622.710454,0.7913697295533111
622.829457,0.8148835983924052
622.948459,0.8066382309574788
623.067461,0.7794006906091314
623.186464,0.7798606726979638
623.305466,0.8049058217681372
623.424468,0.8199351723162608
623.543471,0.8055500040641137
623.662473,0.7846245153721569
623.781476,0.790025543894605
623.900478,0.8138167997841605
624.01948,0.8228511149137475
624.138483,0.807017440033181
624.257485,0.7923040970025612
624.376488,0.8038681626920577
624.49549,0.8239215169737261
624.614492,0.8255957764515982
624.733495,0.8088838051414319
624.852497,0.8017888380384713
624.971499,0.8152422260680006
625.090502,0.8313203990596868
625.209504,0.8286312796925493
625.328507,0.8126457469528678
625.447509,0.8141423916180999
625.566511,0.8296926068350204
625.685514,0.8388528292493018
625.804516,0.8302818977593963
625.923518,0.8193941936451311
