nu,[0]HFE-263fb1-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
695.735848,0.9834976800767345
695.976902,0.9792179853509846
696.217956,0.9946942256079635
696.45901,0.9851188354107752
696.700064,0.9880519516252864
696.941118,0.9837632603020723
697.182172,0.983639313940059
697.423226,0.9871068382164788
697.66428,0.9872371449191766
697.905334,0.9893431904695423
698.146388,0.9933169316985356
698.387442,0.9876913784715468
698.628496,0.9853493801909486
698.86955,0.9991857316965073
699.110604,0.991480994140759
699.351658,0.9987498820492825
699.592712,0.9855898347739813
699.833766,0.9946075915138827
700.07482,0.9977517311509256
700.315874,0.9938954091946297
700.556928,0.9882308052142921
700.797982,0.9922740001574889
701.039036,0.9908568550895526
701.28009,0.9878583124200297
701.521144,0.9941829847323056
701.762198,0.985889499630503
702.003252,0.9955955282613923
702.244306,0.9923129972919837
702.48536,0.9934205400575938
702.726414,0.9995538095725688
702.967468,0.9971972351000357
703.208522,0.9950594448900819
703.449576,0.9952820645869886
703.69063,0.9948895032503239
703.931684,0.9960028101159129
704.172738,0.9893253824523864
704.413792,0.9948131981517625
704.654846,0.9899528136195246
704.8959,0.9938878556182235
705.136954,0.9888783084258596
705.378008,0.9970436785499881
705.619062,0.9975241699353935
705.860116,0.9956911100199564
706.10117,0.9959115804368893
706.342224,0.9950713856750651
706.583278,0.9995595070455211
706.824332,1.0
707.065386,1.0
707.30644,1.0
707.547494,0.9539175851473558
707.788548,0.9776290259270505
708.029602,0.998717123590393
708.270656,0.9876370569395867
708.51171,0.9907817509864182
708.752764,0.9984189511766457
708.993818,0.9906576138103761
709.234872,0.9960681500433827
709.475926,0.9965045234519019
709.71698,0.9987631655110486
709.958034,0.9993410571982274
710.199088,0.9967775034237759
710.440142,0.9962427760956116
710.681196,0.9970426815068081
710.92225,0.9914727648826591
711.163304,0.996795046862218
711.404358,0.9962409828602286
711.645412,0.9946036130914734
711.886466,0.9995403456734334
712.12752,0.9959988261126405
712.368574,0.9939133988643422
712.609628,0.9983082326544158
712.850682,0.9956323659774314
713.091736,1.0
713.33279,0.9984121619508611
713.573844,0.9980439156315272
713.814898,1.0
714.055952,0.9864447116963261
714.297006,0.9970848573042477
714.53806,0.9959107837079437
714.779114,0.9974745942161145
715.020168,0.9925604117611408
715.261222,1.0
715.502276,1.0
715.74333,1.0
715.984384,1.0
716.225438,0.9975490085964649
716.466492,1.0
716.707546,0.9979576883622883
716.9486,0.998879228534012
717.189654,0.9979836355994983
717.430708,0.9947217790196259
717.671762,0.995460335568446
717.912816,0.9960329894582741
718.15387,0.9983358861754598
718.394924,0.9991511704597879
718.635978,0.9971786874039569
718.877032,0.9976827888882858
719.118086,0.9982261750903036
719.35914,0.9960521134752617
719.600194,0.9927997469271114
719.841248,0.9945499059464724
720.082302,0.9990306701040388
720.323356,0.9923487212029128
720.56441,1.0
720.805464,0.998033136815444
721.046518,0.9965279415833649
721.287572,0.9925295436123373
721.528626,0.991550896014858
721.76968,0.9999452524986991
722.010734,0.9962932868847973
722.251788,0.993331930897448
722.492842,0.9933120644574951
722.733896,0.9988863206017115
722.97495,0.9964433399525146
723.216004,0.999422866605583
723.457058,0.998054894174981
723.698112,0.992816227539699
723.939166,1.0
724.18022,0.9948761718203011
724.421274,0.9974220286901131
724.662328,0.9978200794854133
724.903382,0.9998006298768649
725.144436,0.9945164896310299
725.38549,0.998152009640775
725.626544,1.0
725.867598,0.9959795039228397
726.108652,0.9995685231129371
726.349706,0.9995592171733061
726.59076,0.9995364374783223
726.831814,0.9973474243126056
727.072868,0.9948476192839008
727.313922,1.0
727.554976,0.9901926092290594
727.79603,1.0
728.037084,0.9997408135946013
728.278138,0.999604178358064
728.519192,1.0
728.760246,0.997609960702958
729.0013,0.9954344539361839
729.242354,0.9998230356600364
729.483408,0.9994668821578436
729.724462,0.9978353462494198
729.965516,0.9954908966698585
730.20657,0.9924590765163522
730.447624,1.0
730.688678,0.9981000072757461
730.929732,0.9989817188005203
731.170786,0.9971672199149899
731.41184,1.0
731.652894,0.9936412032632825
731.893948,0.9966463361353222
732.135002,0.9976516616708596
732.376056,0.9936879054973298
732.61711,0.9996540898407192
732.858164,0.99900097935373
733.099218,0.9987044399634646
733.340272,0.9961547121266895
733.581326,1.0
733.82238,1.0
734.063434,1.0
734.304488,1.0
734.545542,0.9989719288276471
734.786596,0.9996986454164171
735.02765,1.0
735.268704,1.0
735.509758,0.9989822182915047
735.750812,1.0
735.991866,0.994152662613686
736.23292,0.9984612850376471
736.473974,0.9996347267285314
736.715028,0.9998041691773593
736.956082,1.0
737.197136,1.0
737.43819,0.998998901433854
737.679244,0.9955434599768617
737.920298,0.9999417596960324
738.161352,1.0
738.402406,0.9998805771314786
738.64346,1.0
738.884514,0.9969825616457452
739.125568,0.9983981842784377
739.366622,0.9976944618452024
739.607676,0.99006062535117
739.84873,0.9993241584838292
740.089784,0.9979152760618006
740.330838,0.9993606544685096
740.571892,0.9981963285738761
740.812946,1.0
741.054,1.0
741.295054,1.0
741.536108,1.0
741.777162,1.0
742.018216,0.9964846932091967
742.25927,1.0
742.500324,0.9995419749255247
742.741378,0.9943621526486988
742.982432,0.999101264105245
743.223486,1.0
743.46454,1.0
743.705594,0.9950155637361489
743.946648,0.9984855479416667
744.187702,0.9972668418962946
744.428756,0.9989128913312286
744.66981,0.9987505811744447
744.910864,1.0
745.151918,1.0
745.392972,1.0
745.634026,1.0
745.87508,1.0
746.116134,0.9990374535453185
746.357188,0.9969749846070695
746.598242,0.9966475321116431
746.839296,0.9975957947420946
747.08035,1.0
