nu,[0]Perfluorodecalin(cis)-HITRAN(x-sec)-X=0.01-T=300.0K-P=0.0atm-L=15cm
595.255025,0.9999729163667682
595.31529,0.9999719013947732
595.375555,0.9999712614129611
595.43582,0.9999703884384309
595.496085,0.9999693484697677
595.55635,0.9999688654846891
595.616615,0.9999677865188653
595.67688,0.9999667125540393
595.737145,0.9999654465969826
595.79741,0.9999647046228964
595.857675,0.9999639466499376
595.91794,0.9999624447052178
595.978205,0.9999617297323253
596.03847,0.9999606767731783
596.098735,0.999959498820195
596.159,0.9999584788620263
596.219265,0.9999570809210501
596.27953,0.9999557369796364
596.339795,0.9999547570234943
596.40006,0.9999533160897277
596.460325,0.9999521801434058
596.52059,0.9999507062149785
596.580855,0.9999492172894855
596.64112,0.999947757364694
596.701385,0.9999469384078161
596.76165,0.9999452285000133
596.821915,0.9999435835914654
596.88218,0.9999424536558544
596.942445,0.9999406097636699
597.00271,0.9999391918488906
597.062975,0.9999375769483998
597.12324,0.9999361260400282
597.183505,0.9999347181309539
597.24377,0.9999330432417038
597.304035,0.9999317383299339
597.3643,0.9999296574741515
597.424565,0.9999282795720329
597.48483,0.9999268176779568
597.545095,0.9999250188112299
597.60536,0.9999232669441316
597.665625,0.9999217870587915
597.72589,0.9999201351893638
597.786155,0.9999183553331072
597.84642,0.9999170204429939
597.906685,0.9999152475916883
597.96695,0.999913333755736
598.027215,0.9999117888908287
598.08748,0.9999108679724952
598.147745,0.999908729165436
598.20801,0.9999075192766058
598.268275,0.9999062903910197
598.32854,0.9999048065311859
598.388805,0.9999041245963403
598.44907,0.9999026117425442
598.509335,0.9999015008513598
598.5696,0.9999001189884404
598.629865,0.9998990550952798
598.69013,0.9998978752150909
598.750395,0.9998972552786004
598.81066,0.9998967653290655
598.870925,0.9998955854515784
598.93119,0.9998947255417447
598.991455,0.9998935056709237
599.05172,0.9998928957360712
599.111985,0.9998916458707328
599.17225,0.9998909559457351
599.232515,0.9998900060497782
599.29278,0.9998889761636023
599.353045,0.9998876663099016
599.41331,0.9998870863752233
599.473575,0.999885776523998
599.53384,0.9998849966133965
599.594105,0.9998837267602572
599.65437,0.9998830668372153
599.714635,0.9998820169605462
599.7749,0.999880637124315
599.835165,0.999879997200912
599.89543,0.9998788073444232
599.955695,0.9998777974673378
600.01596,0.999877417513847
600.076225,0.9998759376963642
600.13649,0.9998755977386031
600.196755,0.9998752377834528
600.25702,0.9998742679049425
600.317285,0.9998733480210391
600.37755,0.9998728580832187
600.437815,0.9998723381494676
600.49808,0.999872308153298
600.558345,0.9998715882454953
600.61861,0.9998714582621973
600.678875,0.9998710383162729
600.73914,0.9998707183575919
600.799405,0.9998710483149834
600.85967,0.9998711483020932
600.919935,0.9998705483795842
600.9802,0.9998706283692312
601.040465,0.9998709483278835
601.10073,0.9998709183317556
601.160995,0.999871248289213
601.22126,0.9998715382519171
601.281525,0.9998718682095792
601.34179,0.9998731080514645
601.402055,0.9998731680438527
601.46232,0.9998735779919357
601.522585,0.9998743178986571
601.58285,0.9998748378334376
601.643115,0.999876107675288
601.70338,0.9998759576938832
601.763645,0.9998769575703408
601.82391,0.9998775574966953
601.884175,0.9998786073686818
601.94444,0.9998795872501972
602.004705,0.9998802471709425
602.06497,0.9998813270421926
602.125235,0.9998818369817994
602.1855,0.999882696880549
602.245765,0.9998839167381833
602.30603,0.9998847066467895
602.366295,0.9998856465388556
602.42656,0.9998859665023137
602.486825,0.9998873363470261
602.54709,0.9998876463121484
602.607355,0.9998887361902769
602.66762,0.999889316125912
602.727885,0.9998905359916218
602.78815,0.9998914858880822
602.848415,0.9998924257865207
602.90868,0.9998933556869091
602.968945,0.9998942155955647
603.02921,0.9998951554965692
603.089475,0.9998963453725122
603.14974,0.9998972852755186
603.210005,0.9998983651651698
603.27027,0.9998994750529712
603.330535,0.9999008249181736
603.3908,0.9999020517972385
603.451065,0.999902982706482
603.51133,0.9999045415564471
603.571595,0.9999056024557286
603.63186,0.9999069043336705
603.692125,0.9999084111945108
603.75239,0.9999096990773738
603.812655,0.999911129949177
603.87292,0.9999122488503573
603.933185,0.9999140246960883
603.99345,0.9999157955453941
604.053715,0.9999170374415834
604.11398,0.9999184303269867
604.174245,0.9999198002161747
604.23451,0.9999218790516002
604.294775,0.9999229719668113
604.35504,0.9999245268482416
604.415305,0.9999263987087079
604.47557,0.9999275566241481
604.535835,0.9999294054919096
604.5961,0.9999308003944032
604.656365,0.9999322122976901
604.71663,0.9999338181901126
604.776895,0.9999350561089458
604.83716,0.9999363800238366
604.897425,0.999938432895332
604.95769,0.999939935803926
605.017955,0.9999411667307446
605.07822,0.9999419606843463
605.138485,0.9999438545762133
605.19875,0.9999454014905529
605.259015,0.9999464054362399
605.31928,0.9999476393708656
605.379545,0.9999490023004269
605.43981,0.9999502992351239
605.500075,0.9999517361647364
605.56034,0.999952758115933
605.620605,0.9999537790682201
605.68087,0.999954921016088
605.741135,0.9999558619741113
605.8014,0.9999570969203635
605.861665,0.9999579888824918
605.92193,0.9999590878369253
605.982195,0.9999602377905376
606.04246,0.9999613147482936
606.102725,0.9999620497201301
606.16299,0.9999628526899784
606.223255,0.9999639496498295
606.28352,0.9999648266185979
606.343785,0.9999653805992653
606.40405,0.99996586858249
606.464315,0.9999669675455836
606.52458,0.9999677135212196
606.584845,0.9999682495040577
606.64511,0.9999691154769367
606.705375,0.999969624461346
606.76564,0.9999701844444925
606.825905,0.999970985420931
606.88617,0.9999716994004695
606.946435,0.9999719413936501
607.0067,0.9999727153722322
607.066965,0.999973364354735
607.12723,0.9999737203453162
607.187495,0.999974099335428
607.24776,0.9999746643209537
607.308025,0.9999751463088581
607.36829,0.999975599297702
607.428555,0.9999758992904267
607.48882,0.9999764812765695
607.549085,0.9999770462634411
607.60935,0.9999771142618825
607.669615,0.9999776632494689
607.72988,0.9999776552496477
607.790145,0.9999782632362468
607.85041,0.999978611228743
607.910675,0.9999789902207085
607.97094,0.9999788912227934
608.031205,0.9999794022121373
608.09147,0.9999794102119726
608.151735,0.9999801021979638
608.212,0.9999804141918045
608.272265,0.9999801981960583
608.33253,0.9999801061978844
608.392795,0.9999808671830347
608.45306,0.9999806671868813
608.513325,0.9999806711868039
608.57359,0.9999809141821365
608.633855,0.9999812221763056
608.69412,0.999981110178415
608.754385,0.9999813361741714
608.81465,0.9999813261743581
608.874915,0.9999814341723471
608.93518,0.999981590169463
608.995445,0.9999814171726629
609.05571,0.9999815241706802
609.115975,0.9999818251651643
609.17624,0.9999814741716053
609.236505,0.9999818191652734
609.29677,0.9999815911694446
609.357035,0.999981310174657
609.4173,0.9999814181726443
609.477565,0.9999816211688928
609.53783,0.999981307174713
609.598095,0.9999811611774528
609.65836,0.9999810901787929
609.718625,0.999980934181755
609.77889,0.9999805201897339
609.839155,0.9999807321856268
609.89942,0.9999804121918436
609.959685,0.9999803961921572
610.01995,0.9999800441991197
610.080215,0.9999800151996988
610.14048,0.999979702206003
610.200745,0.9999793922123433
610.26101,0.9999791842166514
610.321275,0.9999788252241887
610.38154,0.9999786282283796
610.441805,0.9999783232349445
610.50207,0.9999779232436952
610.562335,0.9999777152483088
610.6226,0.9999769402658798
610.682865,0.9999767092712333
610.74313,0.9999759642888624
610.803395,0.9999761072854354
610.86366,0.9999752643059323
610.923925,0.9999748983150526
610.98419,0.9999742293320694
611.044455,0.9999737013458156
611.10472,0.9999732793570028
611.164985,0.999972499378149
611.22525,0.9999721023891456
611.285515,0.9999715054059787
611.34578,0.9999711634157823
611.406045,0.9999702144435985
611.46631,0.9999696554604048
611.526575,0.9999689024835378
611.58684,0.9999683655003814
611.647105,0.9999676335238057
611.70737,0.9999669495461783
611.767635,0.9999659215806825
611.8279,0.999965456596637
611.888165,0.9999645506283438
611.94843,0.9999638336540181
612.008695,0.9999630926810918
612.06896,0.9999623807076233
612.129225,0.9999616677347001
612.18949,0.9999613957451634
612.249755,0.9999599758009896
612.31002,0.999959427823073
612.370285,0.9999584948613621
612.43055,0.9999577758914627
612.490815,0.9999573029115466
612.55108,0.9999565169454154
612.611345,0.9999554569920692
612.67161,0.9999551460059705
612.731875,0.9999543960398922
612.79214,0.9999537290705325
612.852405,0.9999530881003976
612.91267,0.9999523071373407
612.972935,0.999951788162228
613.0332,0.9999513521833434
613.093465,0.9999504972253028
613.15373,0.999950340233087
613.213995,0.9999502022399496
613.27426,0.9999495682717223
613.334525,0.9999488723070651
613.39479,0.9999487193148993
613.455055,0.9999483143357499
613.51532,0.9999478843580673
613.575585,0.9999471933943179
613.63585,0.9999472283924703
613.696115,0.999946924408559
613.75638,0.9999464654330261
613.816645,0.9999460264566241
613.87691,0.999945819467818
613.937175,0.9999454444882061
613.99744,0.9999453934909897
614.057705,0.9999451035068676
614.11797,0.9999445875353273
614.178235,0.9999440195669629
614.2385,0.9999435145953606
614.298765,0.9999431026187174
614.35903,0.9999424016588482
614.419295,0.9999420916767516
614.47956,0.9999412177277455
614.539825,0.9999404957704469
614.60009,0.999940240785653
614.660355,0.999939351839174
614.72062,0.9999385708868452
614.780885,0.9999373129649143
614.84115,0.9999368719926566
614.901415,0.9999359070540407
614.96168,0.9999348131247567
615.021945,0.9999340711734006
615.08221,0.9999336312025061
615.142475,0.9999325002782088
615.20274,0.9999321713004703
615.263005,0.9999316083388163
615.32327,0.9999316463362181
615.383535,0.9999313333576618
615.4438,0.9999314173518974
615.504065,0.9999315443431954
615.56433,0.999931870320932
615.624595,0.9999321673007416
615.68486,0.9999326052711268
615.745125,0.9999331592339435
615.80539,0.999933500211209
615.865655,0.9999342531614182
615.92592,0.9999346371362451
615.986185,0.9999350111118693
616.04645,0.9999354640825319
616.106715,0.9999357160663006
616.16698,0.9999358550573748
616.227245,0.9999365650120839
616.28751,0.9999370639805544
616.347775,0.9999373019656039
616.40804,0.9999377459378646
616.468305,0.999937764936682
616.52857,0.9999379709238827
616.588835,0.9999383019034058
616.6491,0.9999384078968715
616.709365,0.9999386588814434
616.76963,0.9999388228713969
616.829895,0.999938671880646
616.89016,0.9999389288649178
616.950425,0.9999395898247682
617.01069,0.999939396836446
617.070955,0.9999396758195765
617.13122,0.9999397188169835
617.191485,0.9999402367858921
617.25175,0.9999403547788469
617.312015,0.9999404287744359
617.37228,0.9999407237569059
617.432545,0.9999410507375761
617.49281,0.9999413487200536
617.553075,0.9999419226865525
617.61334,0.9999419966822575
617.673605,0.9999425836483818
617.73387,0.9999432146123511
617.794135,0.9999434206006745
617.8544,0.9999440685642211
617.914665,0.9999449105174812
617.97493,0.9999452524986991
618.035195,0.9999457824698235
618.09546,0.9999464624331866
618.155725,0.9999472273925231
618.21599,0.9999479623540053
618.276255,0.999948683316746
618.33652,0.9999493382833481
618.396785,0.9999501812409956
618.45705,0.9999513881815928
618.517315,0.9999520031518856
618.57758,0.9999525061278697
618.637845,0.9999535790774844
618.69811,0.9999544840358829
618.758375,0.9999556519834024
618.81864,0.9999565059458938
618.878905,0.9999571479181767
618.93917,0.9999581728747786
618.999435,0.9999590608380303
619.0597,0.9999599208031925
619.119965,0.9999609717616215
619.18023,0.9999616407357353
619.240495,0.999962567700606
619.30076,0.9999633156728864
619.361025,0.9999643936339218
619.42129,0.9999652026054434
619.481555,0.9999663515661212
619.54182,0.9999669505461453
619.602085,0.9999679825125707
619.66235,0.9999687154893705
619.722615,0.999969549463627
619.78288,0.9999704684360652
619.843145,0.9999711514161284
619.90341,0.999972217385944
619.963675,0.9999727683707875
620.02394,0.9999733703545753
620.084205,0.999974282330705
620.14447,0.999975095310127
620.204735,0.9999756062975312
620.265,0.9999763792789736
620.325265,0.9999771362613793
620.38553,0.9999776892488885
620.445795,0.9999785622297923
620.50606,0.9999788962226879
620.566325,0.9999797252055365
620.62659,0.9999801241975264
620.686855,0.99998083818359
620.74712,0.9999814841714201
620.807385,0.9999817881658375
620.86765,0.9999824631537723
620.927915,0.9999827231492465
620.98818,0.9999835131359098
621.048445,0.9999835621351032
621.10871,0.9999844741205277
621.168975,0.9999850021124694
621.22924,0.9999852701084859
621.289505,0.999985695102316
621.34977,0.9999860720969942
621.410035,0.99998643909195
621.4703,0.9999869110856606
621.530565,0.9999874560786757
621.59083,0.9999876110767434
