nu,[0]Ethylvinylether-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
606.055121,0.978734371128769
606.173723,0.9786521608944725
606.292326,0.9784867826541361
606.410928,0.978695222536901
606.529531,0.9792571548537835
606.648133,0.9792571548537835
606.766735,0.9796793056544881
606.885338,0.9794922047758108
607.00394,0.97915433825049
607.122542,0.9797361287020685
607.241145,0.9804702259475657
607.359747,0.9804064974540776
607.47835,0.9799056377144407
607.596952,0.979742986878973
607.715554,0.9807232199006768
607.834157,0.9804712064182819
607.952759,0.9803584587126611
608.071361,0.980448655839867
608.189964,0.9813942640540266
608.308566,0.9812186102022497
608.427169,0.9812922043577612
608.545771,0.9815473735014454
608.664373,0.9809527359864683
608.782976,0.9810714384488768
608.901578,0.9812588409899935
609.02018,0.9821178182235949
609.138783,0.9822680937455673
609.257385,0.9820687135603106
609.375988,0.9821865688771153
609.49459,0.9822828278774792
609.613192,0.9824498301530097
609.731795,0.9830424260502989
609.850397,0.9829991731351237
609.968999,0.9834691590575692
610.087602,0.983341316376846
610.206204,0.9833452497499782
610.324806,0.9837593252569012
610.443409,0.9836983340694816
610.562011,0.9840672901196934
610.680614,0.9842611704724347
610.799216,0.9851336123041328
610.917818,0.9849572891689218
611.036421,0.9847918302432802
611.155023,0.9848627378076995
611.273625,0.9848509195257557
611.392228,0.9848942539195644
611.51083,0.985222278319151
611.629433,0.9862681538953271
611.748035,0.9860009114386099
611.866637,0.9859624581529077
611.98524,0.9861616426864152
612.103842,0.9865048866590573
612.222444,0.9861212108879226
612.341047,0.9869331227003666
612.459649,0.9866696467322126
612.578252,0.9870486006310497
612.696854,0.9871966690259963
612.815456,0.9873674688234944
612.934059,0.986978522668202
613.052661,0.9874425116027145
613.171263,0.9875452109641953
613.289866,0.9877694091726181
613.408468,0.9883889347931553
613.527071,0.9880875221358102
613.645673,0.9879422839453248
613.764275,0.9882673704305373
613.882878,0.9885184222248548
614.00148,0.9886548471802272
614.120082,0.9892492073307175
614.238685,0.9888417206053267
614.357287,0.9896143076450878
614.47589,0.988915886515559
614.594492,0.9893857331413933
