nu,[0]1-1-Dichloroethane-PNNL(x-sec)-X=0.01-T=278.16K-P=1.0atm-L=15cm
648.686288,0.8306556086920416
648.80549,0.8324351150873666
648.924692,0.8308549899629231
649.043894,0.8323352288668492
649.163096,0.8356378111703093
649.282298,0.835746451147207
649.4015,0.8401792643272846
649.520702,0.8421054795172145
649.639904,0.8437238752005725
649.759106,0.846529693547457
649.878308,0.845801990967966
649.99751,0.847961538297575
650.116712,0.8490221529665143
650.235914,0.8489627234958623
650.355116,0.8500160902253981
650.474318,0.8473935943493842
650.59352,0.8469869430282213
650.712722,0.8461319180760478
650.831924,0.845649760310762
650.951126,0.8455990228472825
651.070328,0.8437154380040065
651.18953,0.84484677451711
651.308732,0.8461319180760478
651.427934,0.8491919743786827
651.547136,0.8541828483271677
651.666338,0.8587220356442159
651.78554,0.8596585529722889
651.904742,0.860389573381976
652.023944,0.8609490084013588
652.143146,0.8588937972269305
652.262348,0.8561839765992169
652.38155,0.852646702146501
652.500752,0.848852365515232
652.619954,0.843791375810577
652.739156,0.8406162711566632
652.858358,0.8373191323324709
652.97756,0.8348777266530519
653.096762,0.8322103879458224
653.215964,0.8295847538067306
653.335166,0.8265622888095211
653.454368,0.8237649867563427
653.57357,0.8225713930900815
653.692772,0.8211742096642287
653.811974,0.8217738856924033
653.931176,0.826049979022904
654.050378,0.8281839395942123
654.16958,0.8270501044513823
654.288782,0.8260747608940009
654.407984,0.8228017453279551
654.527186,0.8176752713386021
654.646388,0.8148510037003677
654.76559,0.810551823248807
654.884792,0.8057675319301514
655.003994,0.7994510294929661
655.123196,0.7978856400579396
655.242398,0.7968490626471659
655.3616,0.7952569571580624
655.480802,0.7925576748838992
655.600004,0.7905629439597677
655.719206,0.7880214253211818
655.838408,0.7845774393135304
655.95761,0.7821099087806211
656.076812,0.7785516066911692
656.196014,0.7749552447546407
656.315216,0.7741574517864537
656.434418,0.775040494520215
656.55362,0.7772058768035824
656.672822,0.7770193697748883
656.792024,0.7771825609770174
656.911226,0.7772680557608518
657.030428,0.7790110876726777
657.14963,0.7792993751050027
657.268832,0.7788553010343263
657.388034,0.7806643430100022
657.507236,0.7804692013179776
657.626438,0.7815001009077599
657.74564,0.7817267688022793
657.864842,0.7820238814222467
657.984044,0.7835503157808309
658.103246,0.7835894942760742
658.222448,0.784899182016396
658.34165,0.7856294777905701
658.460852,0.7860459717749556
658.580054,0.7863132728439658
658.699256,0.7872259254766529
658.818458,0.7883209303651582
658.93766,0.789377988482615
659.056862,0.7897806739328027
659.176064,0.7906578172053237
659.295266,0.7920347593995675
659.414468,0.793445836757576
659.53367,0.7929461233066837
659.652872,0.7942317370924432
659.772074,0.7942079104977312
659.891276,0.7960287306561389
660.010478,0.7973592092767685
660.12968,0.798460324580383
660.248882,0.798811724425495
660.368084,0.7995309785933038
660.487286,0.8010435210452161
660.606488,0.802061492592052
660.72569,0.8032253253311331
660.844892,0.8041415243362191
660.964094,0.8057272445607475
661.083296,0.8070739332312222
661.202498,0.8084794643324872
661.3217,0.8096768998233906
661.440902,0.8105194018243099
661.560104,0.8123532471370907
661.679306,0.8138167997841605
661.798508,0.8143866709756568
661.91771,0.8162211039485452
662.036912,0.8184033262664787
662.156114,0.8199351723162608
662.275316,0.821231693870829
662.394518,0.8230074714789845
662.51372,0.824341824116594
662.632922,0.8265870860501421
662.752124,0.8279438010734984
662.871326,0.8304977991187743
662.990528,0.832127171067941
663.10973,0.8340599472582849
663.228932,0.8351950404749878
663.348134,0.8373023861172869
663.467336,0.8389199401600423
663.586538,0.8416508653151569
663.70574,0.8433021187108812
663.824942,0.8455990228472825
663.944144,0.8471733006542747
664.063346,0.8489627234958623
664.182548,0.8512239704655246
664.30175,0.853363226274306
664.420952,0.8556960907932195
664.540154,0.8571862980955736
664.659356,0.861000666891602
664.778558,0.8624311149420455
664.89776,0.8643478387934935
665.016962,0.8655847403768219
665.136164,0.8677080229498135
665.255366,0.8696886543038733
665.374568,0.8716999572558487
665.49377,0.8735062450302347
665.612972,0.876367285703583
665.732174,0.8776477164276918
665.851376,0.879237697293031
665.970578,0.8806720233978222
666.08978,0.8831943505933276
666.208982,0.884077986688332
666.328184,0.8854582246532663
666.447386,0.8870357438687332
666.566588,0.8876746395791741
666.68579,0.8897809234354478
666.804992,0.8910987741711249
666.924194,0.8924810482567638
667.043396,0.8935884111797243
667.162598,0.8941068427888418
667.2818,0.8952878431100538
667.401002,0.8969815371702484
667.520204,0.8984358249154851
667.639406,0.8993616905540978
667.758608,0.9007567820910888
667.87781,0.9020457857074078
667.997012,0.9032372723527236
668.116214,0.904294678423304
668.235416,0.9055987063814067
668.354618,0.9074207903621839
668.47382,0.9096421486985745
668.593022,0.91099579275862
668.712224,0.9120239757990661
668.831426,0.9132596926538205
668.950628,0.9141286157289686
669.06983,0.9159522907486297
669.189032,0.9180283559539237
669.308234,0.9198441734221142
669.427436,0.9209449651957919
669.546638,0.9220203353266022
669.66584,0.9224168893237917
669.785042,0.9234385702163124
669.904244,0.9245593808361986
670.023446,0.9251337105226084
670.142648,0.9260676415254819
670.26185,0.9268115724899346
670.381052,0.9272556215744228
670.500254,0.9285101190239755
670.619456,0.929246719571878
670.738658,0.9299941343548948
670.85786,0.9312374368595355
670.977062,0.9313594369545959
671.096264,0.9321141437135029
671.215466,0.9327388694495425
671.334668,0.9332436177000056
671.45387,0.9344015575602963
671.573072,0.9345249067067589
671.692274,0.9351877198050921
671.811476,0.9360110472094464
671.930678,0.936114950202196
672.04988,0.9368088684452535
672.169082,0.9372155317337092
672.288284,0.9378464900802346
672.407486,0.9381119381960641
672.526688,0.9385764185548758
672.64589,0.939096533949417
672.765092,0.939325701461
672.884294,0.9402805413502114
673.003496,0.9406924744340827
673.122698,0.9410293026285794
673.2419,0.9414453295155102
673.361102,0.9420216703994955
673.480304,0.9425550055845608
673.599506,0.9424032664439903
673.718708,0.941999062150706
673.83791,0.9423589745313355
673.957112,0.9426879152102567
674.076314,0.9433131245320294
674.195516,0.9438405839798234
674.314718,0.94491434103902
674.43392,0.9446063491692437
674.553122,0.9453103431045544
674.672324,0.9450541987107062
674.791526,0.9457046197185898
674.910728,0.9460545951693513
675.02993,0.9455268439615274
675.149132,0.9460914920180469
675.268334,0.9452195976674671
675.387536,0.9457310998186615
675.506738,0.9467075981001214
675.62594,0.9469528271238171
675.745142,0.94721043332565
675.864344,0.9473439994129368
675.983546,0.9463346687783707
676.102748,0.9470068049733172
676.22195,0.9465457249413959
676.341152,0.9463649519723001
676.460354,0.9468742333008546
676.579556,0.9461851597122309
676.698758,0.9463668447040968
676.81796,0.9459476970399553
676.937162,0.9459382376102821
677.056364,0.9452054194798387
677.175566,0.9452536261854928
677.294768,0.9443267870671218
