nu,[0]HFE-236ea2-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
806.581248,0.9999997326600357
807.063365,0.9999996597500579
807.545482,0.9999996597500579
808.027599,0.9999997569700295
808.509715,0.9999999027870047
808.991832,0.9999999756970003
809.473949,0.9999999513930011
809.956065,0.9999999756970003
810.438182,0.9999999270900026
810.920299,0.9999998541800106
811.402415,0.9999998784800074
811.884532,1.0
812.366649,0.9999999270900026
812.848765,0.9999999756970003
813.330882,0.9999998784800074
813.812999,0.9999997569700295
814.295115,0.9999998055700189
814.777232,1.0
815.259349,0.9999999027870047
815.741466,0.9999999756970003
816.223582,0.9999999027870047
816.705699,0.9999999027870047
817.187816,0.9999999270900026
817.669932,0.9999998298800145
818.152049,0.9999998298800145
818.634166,0.9999998055700189
819.116282,0.9999997326600357
819.598399,0.9999997326600357
820.080516,0.9999997812700239
820.562632,0.9999998541800106
821.044749,0.9999998784800074
821.526866,0.9999999270900026
822.008982,0.9999999513930011
822.491099,0.9999999270900026
822.973216,0.9999998541800106
823.455333,0.9999997569700295
823.937449,0.9999997083600425
824.419566,0.9999998541800106
824.901683,0.9999999756970003
825.383799,0.9999999270900026
825.865916,0.9999998784800074
826.348033,0.9999998298800145
826.830149,0.9999997083600425
827.312266,0.9999995139301181
827.794383,0.9999994410201563
828.276499,0.999999465330143
828.758616,0.9999995139301181
829.240733,0.9999996354500664
829.722849,0.9999998541800106
830.204966,0.9999999513930011
830.687083,0.9999998784800074
831.1692,0.9999998055700189
831.651316,0.9999997569700295
832.133433,0.9999996840600499
832.61555,0.9999996840600499
833.097666,0.9999997812700239
833.579783,0.9999998055700189
834.0619,0.9999996354500664
834.544016,0.9999995139301181
835.026133,0.9999995868400854
835.50825,0.9999996840600499
835.990366,0.9999998298800145
836.472483,0.9999999756970003
836.9546,0.9999999756970003
837.436716,0.9999998541800106
837.918833,0.9999997812700239
838.40095,0.9999998784800074
838.883067,0.9999999756970003
839.365183,0.9999999027870047
839.8473,0.9999999513930011
840.329417,0.9999998784800074
840.811533,0.9999997569700295
841.29365,0.9999998055700189
841.775767,0.9999999513930011
842.257883,0.9999999027870047
842.74,0.9999997326600357
843.222117,0.9999995868400854
843.704233,0.9999995625400957
844.18635,0.9999996597500579
844.668467,0.9999998055700189
845.150583,0.9999998784800074
845.6327,0.9999997326600357
846.114817,0.9999995382401066
846.596933,0.9999995868400854
847.07905,0.9999997812700239
847.561167,0.9999998541800106
848.043284,0.9999998298800145
848.5254,0.9999997569700295
849.007517,0.9999996111500756
849.489634,0.9999995625400957
849.97175,0.9999996111500756
850.453867,0.9999996597500579
850.935984,0.9999996354500664
851.4181,0.9999995382401066
851.900217,0.999999465330143
852.382334,0.9999995382401066
852.86445,0.9999995868400854
853.346567,0.9999994410201563
853.828684,0.9999992709002657
854.3108,0.9999991979903217
854.792917,0.9999991493903617
855.275034,0.9999991493903617
855.757151,0.9999991736903414
856.239267,0.9999991736903414
856.721384,0.9999991979903217
857.203501,0.9999991250803827
857.685617,0.9999990035704964
858.167734,0.9999989307005717
858.649851,0.999998955000546
859.131967,0.999998955000546
859.614084,0.9999989307005717
860.096201,0.999998955000546
860.578317,0.9999989307005717
861.060434,0.9999988334006805
861.542551,0.9999987848007383
862.024667,0.9999987848007383
862.506784,0.9999987605007682
862.988901,0.9999986876008612
863.471018,0.9999986390009261
863.953134,0.9999987119008296
864.435251,0.9999986876008612
864.917368,0.999998566101028
865.399484,0.9999985418010632
865.881601,0.9999986147009595
866.363718,0.9999986633008934
866.845834,0.9999985904009935
867.327951,0.9999985175010989
867.810068,0.9999984689011722
868.292184,0.9999983717013257
868.774301,0.9999983717013257
869.256418,0.9999985418010632
869.738534,0.999998566101028
870.220651,0.9999983960012864
870.702768,0.9999982745014887
871.184885,0.9999982745014887
871.667001,0.9999982988014471
872.149118,0.9999982502015309
872.631235,0.9999979828020346
873.113351,0.9999975697029532
873.595468,0.9999972780037046
874.077585,0.9999969864045409
874.559701,0.9999967434053028
875.041818,0.9999966218057061
875.523935,0.999996548905955
876.006051,0.9999963059068232
876.488168,0.999995819808737
876.970285,0.999995212311461
877.452401,0.9999946047145546
877.934518,0.9999940457177268
878.416635,0.9999935353208961
878.898752,0.9999929034251808
879.380868,0.9999920042319663
879.862985,0.9999911050395603
880.345102,0.9999904002460779
880.827218,0.9999897680523467
881.309335,0.9999890150603349
881.791452,0.9999881160706144
882.273568,0.9999872890807844
882.755685,0.9999865600903164
883.237802,0.9999859040993482
883.719918,0.999985345107384
884.202035,0.9999846891172127
884.684152,0.9999839361290254
885.166268,0.9999832551401967
885.648385,0.9999827201492983
886.130502,0.9999821131599714
886.612619,0.9999812861751058
887.094735,0.9999803391932762
887.576852,0.9999794882103696
888.058969,0.9999789292219919
888.541085,0.9999786862271417
889.023202,0.9999784672318334
889.505319,0.9999779082440264
