nu,[0]HFC-365mfc-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
687.98471,0.5908813754980851
688.225764,0.598618966081589
688.466818,0.5884460677892623
688.707872,0.5854350692760326
688.948926,0.5884284146720268
689.18998,0.5729367226733852
689.431034,0.5721466152955768
689.672088,0.563008811493251
689.913142,0.5616479774427707
690.154196,0.5543882640896308
690.39525,0.5587852767076742
690.636304,0.5599263621836149
690.877358,0.5633861537925059
691.118412,0.5587796888828463
691.359466,0.5729367226733852
691.60052,0.5721523367903372
691.841574,0.5814269141274042
692.082628,0.5938906900730072
692.323682,0.5943184453432779
692.564736,0.6160852082090182
692.80579,0.6294996383509281
693.046844,0.6338201752686108
693.287898,0.6485669774423223
693.528952,0.662688654598866
693.770006,0.6799540885021206
694.01106,0.6986118390016458
694.252114,0.7034067237921182
694.493168,0.7224334311911903
694.734222,0.7408774885100539
694.975276,0.7414555983846327
695.21633,0.758107562782583
695.457384,0.7721549783088794
695.698438,0.7775090462097274
695.939492,0.7937474034695902
696.180546,0.8077844708831792
696.4216,0.8234026098909266
696.662654,0.8360724558299354
696.903708,0.8405994589993622
697.144762,0.8522375299386565
697.385816,0.8574091955084864
697.62687,0.8746862748019043
697.867924,0.8647282355237061
698.108978,0.8801173747557489
698.350032,0.8922936469144594
698.591086,0.9004505768430198
698.83214,0.8964345452820618
699.073194,0.9192758853420431
699.314248,0.9178970872849559
699.555302,0.9130085807678076
699.796356,0.9213217087253569
700.03741,0.9242016455820514
700.278464,0.9165194407314136
700.519518,1.0
700.760572,1.0
701.001626,1.0
701.24268,1.0
701.483734,1.0
701.724788,1.0
701.965842,1.0
702.206896,1.0
702.44795,1.0
702.689004,1.0
702.930058,1.0
703.171112,1.0
703.412166,1.0
703.65322,1.0
703.894274,1.0
704.135328,1.0
704.376382,1.0
704.617436,1.0
704.85849,1.0
705.099544,1.0
705.340598,1.0
705.581652,1.0
705.822706,1.0
706.06376,1.0
706.304814,1.0
706.545868,1.0
706.786922,1.0
707.027976,1.0
707.26903,1.0
707.510084,1.0
707.751138,1.0
707.992192,1.0
708.233246,1.0
708.4743,1.0
708.715354,1.0
708.956408,1.0
709.197462,1.0
709.438516,1.0
709.67957,1.0
709.920624,1.0
710.161678,1.0
710.402732,1.0
710.643786,1.0
710.88484,1.0
711.125894,1.0
711.366948,1.0
711.608002,1.0
711.849056,1.0
712.09011,1.0
712.331164,1.0
712.572218,1.0
712.813272,1.0
713.054326,1.0
713.29538,1.0
713.536434,1.0
713.777488,1.0
714.018542,1.0
714.259596,1.0
714.50065,1.0
714.741704,1.0
714.982758,1.0
715.223812,1.0
715.464866,1.0
715.70592,1.0
715.946974,1.0
716.188028,1.0
716.429082,1.0
716.670136,1.0
716.91119,1.0
717.152244,1.0
717.393298,1.0
717.634352,1.0
717.875406,1.0
718.11646,1.0
718.357514,1.0
718.598568,1.0
718.839622,1.0
719.080676,1.0
719.32173,1.0
719.562784,1.0
719.803838,1.0
720.044892,1.0
720.285946,1.0
720.527,1.0
720.768054,1.0
721.009108,1.0
721.250162,1.0
721.491216,1.0
721.73227,1.0
721.973324,1.0
722.214378,1.0
722.455432,1.0
722.696486,1.0
722.93754,1.0
723.178594,1.0
723.419648,1.0
723.660702,1.0
723.901756,1.0
724.14281,1.0
724.383864,1.0
724.624918,1.0
724.865972,1.0
725.107026,1.0
725.34808,1.0
725.589134,1.0
725.830188,1.0
726.071242,1.0
726.312296,1.0
726.55335,1.0
726.794404,1.0
727.035458,1.0
727.276512,1.0
727.517566,1.0
727.75862,1.0
727.999674,1.0
728.240728,1.0
728.481782,1.0
728.722836,1.0
728.96389,1.0
729.204944,1.0
729.445998,1.0
729.687052,1.0
729.928106,1.0
730.16916,1.0
