nu,[0]3-3-3-Trifluoro-propanal-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
683.641512,0.9999992028503177
684.123629,0.9999993365202201
684.605746,0.9999993875601876
685.087862,0.999999389990186
685.569979,0.9999994726201391
686.052096,0.9999996111500756
686.534212,0.9999997399500338
687.016329,0.9999997909900219
687.498446,0.999999758910029
687.980562,0.9999997577000294
688.462679,0.9999998473800117
688.944796,0.9999999438590016
689.426912,0.9999999443460016
689.909029,0.9999998945200056
690.391146,0.9999999040020046
690.873263,0.9999999674340005
691.355379,0.999999987824
691.837496,0.999999986706
692.319613,0.999999910564004
692.801729,0.9999998408100127
693.283846,0.9999998172400167
693.765963,0.9999998420300125
694.248079,0.999999866580009
694.730196,0.9999998493200114
695.212313,0.9999998413000126
695.694429,0.9999998546700105
696.176546,0.9999998624400095
696.658663,0.9999998719200082
697.140779,0.9999999253890027
697.622896,0.999999995188
698.105013,0.9999999988991
698.58713,0.9999999061890044
699.069246,0.9999999190700033
699.551363,0.9999999804840002
700.03348,0.9999999693780005
700.515596,0.9999999564970009
700.997713,0.9999998899100061
701.47983,0.9999998067900187
701.961946,0.9999997375200345
702.444063,0.9999997769000248
702.92618,0.9999998886900062
703.408296,0.9999999752110003
703.890413,0.999999988893
704.37253,0.9999999696210005
704.854646,0.9999999940943
705.336763,0.999999955282001
705.81888,0.999999955039001
706.300997,0.9999999708360005
706.783113,0.9999999018150049
707.26523,0.9999998021700196
707.747347,0.999999776170025
708.229463,0.9999997863700228
708.71158,0.9999998274500149
709.193697,0.9999999112930039
709.675813,0.9999999375410019
710.15793,0.9999998809100071
710.640047,0.9999998648700091
711.122163,0.9999999353530021
711.60428,0.999999986609
712.086397,0.999999989671
712.568513,0.9999999207710032
713.05063,0.9999998461600118
713.532747,0.9999998850500066
714.014863,0.9999999389990019
714.49698,0.9999999436160016
714.979097,0.9999999516360012
715.461214,0.9999999742390003
715.94333,0.9999999348670021
716.425447,0.9999998755700077
716.907564,0.9999998855300065
717.38968,0.9999999139660037
717.871797,0.9999998920900058
718.353914,0.9999998964700053
718.83603,0.9999999579550009
719.318147,0.9999999947748
719.800264,0.9999999579550009
720.28238,0.9999999166400034
720.764497,0.9999998979300052
721.246614,0.9999998340100138
721.72873,0.9999997107900418
722.210847,0.9999996548900596
722.692964,0.9999997229400384
723.175081,0.999999815300017
723.657197,0.999999810680018
724.139314,0.9999997703300264
724.621431,0.9999997744700254
725.103547,0.9999997936700212
725.585664,0.9999997448200325
726.067781,0.9999996451700629
726.549897,0.9999995455301033
727.032014,0.9999994774801365
727.514131,0.9999995090701205
727.996247,0.9999995844100864
728.478364,0.9999995917100833
728.960481,0.9999995382401066
729.442597,0.9999995333801088
729.924714,0.9999995625400957
730.406831,0.9999995795500883
730.888948,0.9999995990000804
731.371064,0.9999996257300701
731.853181,0.9999996038600785
732.335298,0.9999995917100833
732.817414,0.9999996305900682
733.299531,0.9999996305900682
733.781648,0.9999995431001044
734.263764,0.9999994604701455
734.745881,0.9999994774801365
735.227998,0.9999995260901123
735.710114,0.9999994872001314
736.192231,0.999999370550198
736.674348,0.999999300070245
737.156464,0.9999993632502028
737.638581,0.9999994458901535
738.120698,0.9999994337301603
738.602815,0.9999993875601876
739.084931,0.9999993802701921
739.567048,0.9999993827001905
