nu,[0]Pentane-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
632.384848,0.9952427517218716
632.50345,0.9953673639149477
632.622052,0.9951434314514137
632.740655,0.9950087976533202
632.859257,0.9950241209067927
632.97786,0.9955981168131308
633.096462,0.9954762630612347
633.215064,0.9952935103965447
633.333667,0.9950601414319371
633.452269,0.9954897020814992
633.570871,0.9952663392545986
633.689474,0.996069843360677
633.808076,0.9951908014061468
633.926679,0.9954865165195494
634.045281,0.9952179704858815
634.163883,0.9950168572572224
634.282486,0.9952809697773197
634.401088,0.9952221504101353
634.51969,0.9951355698493586
634.638293,0.9952314060191726
634.756895,0.9958821018903931
634.875498,0.9955393782570433
634.9941,0.9957592176211352
635.112702,0.9949367616241058
635.231305,0.9956165355486647
635.349907,0.9956639280236887
635.468509,0.9959830894555077
635.587112,0.9955529176846555
635.705714,0.9960569941425753
635.824316,0.996030598981968
635.942919,0.9955739240728353
636.061521,0.9952490217709581
636.180124,0.9956437162511
636.298726,0.9963637273102197
636.417328,0.9957533426590823
636.535931,0.996142559113335
636.654533,0.9956179294127901
636.773135,0.9961205446060398
636.891738,0.9955216578138227
637.01034,0.9961484363717718
637.128943,0.9960016149132579
637.247545,0.9963657200396671
637.366147,0.9957757473613441
637.48475,0.9963956114596374
637.603352,0.9962982683636854
637.721954,0.9957945677008209
637.840557,0.9958179691481278
637.959159,0.9963023531949596
638.077762,0.9963741891842812
638.196364,0.9962426764713389
638.314966,0.996175830830444
638.433569,0.9957382073233028
638.552171,0.9962087051752851
638.670773,0.9961709495808321
638.789376,0.9965185742647406
638.907978,0.996141064900617
639.026581,0.9963057406287191
639.145183,0.9959088914792523
639.263785,0.9961156636273297
639.382388,0.9960199415115765
639.50099,0.9960748237223448
639.619592,0.9961739380981636
639.738195,0.9965614254847285
639.856797,0.9965623223904151
639.9754,0.9961724438383771
640.094002,0.9961591948329801
640.212604,0.9961035110903641
640.331207,0.9965751781272932
640.449809,0.9959675522405028
640.568411,0.9967863747830338
640.687014,0.9965768723065361
640.805616,0.9961092885074829
640.924218,0.9956374437154462
641.042821,0.9962668854625153
641.161423,0.9964408488472786
641.280026,0.9962227518170568
641.398628,0.9963598414992606
641.51723,0.9965337214621878
641.635833,0.9965938142573715
641.754435,0.9960040053200021
641.873037,0.996063468534079
641.99164,0.9962273344522551
642.110242,0.9965798620416376
642.228845,0.9963668160425619
642.347447,0.9963816620187232
642.466049,0.9960550020305792
642.584652,0.9963623324019779
642.703254,0.9958204586961626
642.821856,0.9965369103751986
642.940459,0.9967084291362402
643.059061,0.996509605637931
643.177664,0.9965582364932694
643.296266,0.9964181302549178
643.414868,0.9962959768803034
643.533471,0.995928809856265
643.652073,0.9966186297522981
643.770675,0.9964389556114643
643.889278,0.9966891928491888
644.00788,0.9964015898512413
644.126483,0.9966254067820223
644.245085,0.9961357853669639
644.363687,0.996284121028721
644.48229,0.9960986301951179
644.600892,0.996516082971419
644.719494,0.9963455936553994
644.838097,0.9963693069627158
644.956699,0.9963049435844454
645.075302,0.9962924898504866
645.193904,0.9960780111668806
645.312506,0.9960632693214052
645.431109,0.9967975388529501
645.549711,0.9965627210154238
645.668313,0.996381562380562
645.786916,0.9961936625374093
645.905518,0.996102714207874
646.02412,0.9961578002110836
646.142723,0.9965022314941336
646.261325,0.9962151805529138
646.379928,0.9967204893811972
646.49853,0.9967587641828609
646.617132,0.9965932163012623
646.735735,0.9960902630017666
646.854337,0.9962376952704096
646.972939,0.9962485543204698
647.091542,0.996245266705665
647.210144,0.9966025843215252
647.328747,0.9966005911183498
647.447349,0.9966121517522583
647.565951,0.9955615790327162
647.684554,0.9962930876261599
647.803156,0.9961201461579017
647.921758,0.9966167361787005
648.040361,0.9963850497221332
648.158963,0.9970133688828694
648.277566,0.9965608275480526
648.396168,0.996271368673587
648.51477,0.9961319004449766
648.633373,0.99654548062948
648.751975,0.9963418075493372
648.870577,0.9961527198192576
648.98918,0.9966539106762601
649.107782,0.9963816620187232
649.226385,0.9963141096320901
649.344987,0.9954651137895244
649.463589,0.9963998959699784
649.582192,0.9964122514052919
649.700794,0.9965482709607322
649.819396,0.9962824273471549
649.937999,0.996558037181642
650.056601,0.9962216559726325
650.175204,0.9961403676021157
650.293806,0.9960900637837339
650.412408,0.9966831130636558
650.531011,0.9966568009767919
650.649613,0.9959844838328091
650.768215,0.9961634783267275
650.886818,0.9962590149852085
651.00542,0.9964551976988134
651.124022,0.9957909828468299
651.242625,0.9962802355282256
651.361227,0.9963703033325209
651.47983,0.9968462834443955
651.598432,0.9959128751227855
651.717034,0.9963272610651366
651.835637,0.9959752212201807
651.954239,0.9957631010896566
652.072841,0.9960833900026638
652.191444,0.9965696969788868
652.310046,0.996539601028489
652.428649,0.995880110128181
652.547251,0.9957964597122969
652.665853,0.995950421745927
652.784456,0.9966577976340912
652.903058,0.9959750220251563
653.02166,0.9965724873779448
653.140263,0.9964598810492485
653.258865,0.9962265374707063
653.377468,0.995994045329749
653.49607,0.9962513438203272
653.614672,0.9963036483888607
653.733275,0.9959856790149068
653.851877,0.9962539340771884
653.970479,0.9965596316757771
654.089082,0.9963130136871723
654.207684,0.9957439826216535
654.326287,0.9957352201131616
654.444889,0.996049424138186
654.563491,0.9959508201261754
654.682094,0.9960208379299272
654.800696,0.9964388559675738
654.919298,0.9958617861027362
655.037901,0.9960335870782471
655.156503,0.9954279836332618
655.275106,0.9963750859214551
655.393708,0.9964429413752582
655.51231,0.9960956419037098
655.630913,0.9959784083459879
655.749515,0.9960803021489409
655.868117,0.9962287291714996
655.98672,0.9953774171760921
656.105322,0.995971436521531
656.223924,0.9961923674864896
656.342527,0.9962345073148855
656.461129,0.9959389683819339
656.579732,0.9963452947517663
656.698334,0.9960186466864941
656.816936,0.9961920686288243
656.935539,0.9954209161196678
657.054141,0.996140865672424
657.172743,0.9962612067574524
657.291346,0.9960349815262451
657.409948,0.9958385827934396
657.528551,0.9957863026402091
657.647153,0.9957078377711174
657.765755,0.9956486944821269
657.884358,0.9959031152244329
658.00296,0.9960394636937469
658.121562,0.996035778354549
658.240165,0.9956917074348016
658.358767,0.9960480296699683
658.47737,0.9958521262902612
658.595972,0.9957865017974895
658.714574,0.9955114039935545
658.833177,0.9961926663442447
658.951779,0.9959990253124256
659.070381,0.9958914632261491
659.188984,0.9959242285942765
659.307586,0.9959195477614021
659.426189,0.9958044261158402
659.544791,0.995761109565446
659.663393,0.9960443442990764
659.781996,0.9956464044927631
659.900598,0.9961864899688603
660.0192,0.9948427445425093
660.137803,0.9958109984467413
660.256405,0.9955615790327162
660.375008,0.9957852072758786
660.49361,0.9954125546190906
660.612212,0.9961480379124769
660.730815,0.9958819027139926
660.849417,0.995808011018227
660.968019,0.9950818339794683
661.086622,0.9955766121260592
661.205224,0.9958081105990331
661.323826,0.9955298211248864
661.442429,0.9960936497144182
661.561031,0.9959822926693549
661.679634,0.9956433179936932
661.798236,0.9950127776964709
661.916838,0.995495575488068
662.035441,0.9957653913474229
662.154043,0.9957037553773515
662.272645,0.995340091222814
662.391248,0.9958351969480141
662.50985,0.9957134137506217
662.628453,0.9953587042565513
662.747055,0.9954301735772347
662.865657,0.9958167741672818
662.98426,0.9958931562430756
663.102862,0.9950910882835567
663.221464,0.995351935840375
663.340067,0.9955497319204162
663.458669,0.9954698920335384
663.577272,0.9948955720948037
663.695874,0.9955971212155118
663.814476,0.9957817220337523
663.933079,0.9959197469453316
664.051681,0.9952133924937465
664.170283,0.9953920493316707
664.288886,0.9952019476055411
664.407488,0.9954126541603511
664.526091,0.9952405621902263
664.644693,0.9956802570460059
664.763295,0.9959230334859193
664.881898,0.9952615619876356
665.0005,0.9951972701673794
665.119102,0.9952988849960122
665.237705,0.995460534660533
665.356307,0.9950391458844567
665.474909,0.9955187708052012
665.593512,0.9954469964893214
665.712114,0.9955500305853805
665.830717,0.9949451191280049
665.949319,0.9953987184807428
666.067921,0.9949812362913518
666.186524,0.994918156480622
666.305126,0.9953082408495035
666.423728,0.9956034930574775
666.542331,0.9954074780280074
666.660933,0.9948348853158715
666.779536,0.9946444921400301
666.898138,0.9952116011112523
667.01674,0.995279377329042
667.135343,0.9949865097058787
667.253945,0.9954559555526056
667.372547,0.9952090135644532
667.49115,0.9949692965881547
667.609752,0.9945541825202626
667.728355,0.9952709174902891
667.846957,0.995453267825154
667.965559,0.9950723807469484
668.084162,0.9949269117989225
668.202764,0.9954251964388097
668.321366,0.9951429338798223
668.439969,0.9946668718928746
668.558571,0.9946593124533741
668.677174,0.9952358845705764
668.795776,0.9952156814871816
668.914378,0.9952226480213349
669.032981,0.9952140891433652
669.151583,0.9950246184189776
669.270185,0.9947493331945283
669.388788,0.9943212852040566
669.50739,0.9950332751708146
669.625993,0.9954178303196107
669.744595,0.9950739728640313
669.863197,0.994699398031385
669.9818,0.9951539800276944
670.100402,0.9950734753271693
670.219004,0.994504356603868
670.337607,0.9947367994318929
670.456209,0.9951467154301561
670.574811,0.9953682597459783
670.693414,0.9945942638614518
670.812016,0.9946610033756426
670.930619,0.9946678665602439
671.049221,0.9948237432275517
671.167823,0.9943151204311992
671.286426,0.995079346277993
671.405028,0.9951097961718701
671.52363,0.99474475735812
671.642233,0.9942637156682975
671.760835,0.9946879590540818
671.879438,0.9948380687925981
671.99804,0.9945899871153122
672.116642,0.9946321586247956
672.235245,0.9951450236821778
672.353847,0.9946700548319574
