nu,[0]Isobutene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
680.512036,0.9999192092637473
680.75309,1.0
680.994144,0.9999995128301187
681.235198,0.999997080404262
681.476252,0.9999977163026076
681.717306,0.9999708394251778
681.95836,0.9999993454102143
682.199414,0.9997730557557418
682.440468,1.0
682.681522,1.0
682.922576,1.0
683.16363,1.0
683.404684,1.0
683.645738,1.0
683.886792,0.999992622627213
684.127846,0.9999954452103731
684.3689,1.0
684.609954,1.0
684.851008,0.999992373229084
685.092062,0.999959645814252
685.333116,1.0
685.57417,1.0
685.815224,1.0
686.056278,1.0
686.297332,0.99998997805022
686.538386,0.9999995958900817
686.77944,1.0
687.020494,1.0
687.261548,1.0
687.502602,1.0
687.743656,1.0
687.98471,0.9998595998570227
688.225764,1.0
688.466818,0.9999683115020911
688.707872,0.9999980572018873
688.948926,0.9999417536963818
689.18998,1.0
689.431034,1.0
689.672088,0.9999536650734958
689.913142,1.0
690.154196,0.9999996905200479
690.39525,0.9999330572407665
690.636304,0.9998422224481873
690.877358,0.9999419196867267
691.118412,0.9996193724570499
691.359466,0.9999927094265764
691.60052,0.9997687067524084
691.841574,0.9999980854018329
692.082628,0.9999912648381517
692.323682,0.9999957851088827
692.564736,0.9998782274148832
692.80579,0.9999186263110182
693.046844,1.0
693.287898,1.0
693.528952,1.0
693.770006,0.9999993557802075
694.01106,1.0
694.252114,1.0
694.493168,0.999992645427045
694.734222,1.0
694.975276,1.0
695.21633,1.0
695.457384,1.0
695.698438,1.0
695.939492,0.9999992798502593
696.180546,0.9999999245260028
696.4216,1.0
696.662654,1.0
696.903708,0.9998773075273372
697.144762,0.9999627906922834
697.385816,0.9998977452283756
697.62687,1.0
697.867924,1.0
698.108978,1.0
698.350032,0.9999993490002119
698.591086,1.0
698.83214,1.0
699.073194,0.9999608777652946
699.314248,1.0
699.555302,0.9999576448970027
699.796356,1.0
700.03741,1.0
700.278464,1.0
700.519518,1.0
700.760572,1.0
701.001626,1.0
701.24268,1.0
701.483734,0.9999966558055918
701.724788,1.0
701.965842,0.9999755402991434
702.206896,1.0
702.44795,0.9999980592018833
702.689004,0.999999900149005
702.930058,1.0
703.171112,1.0
703.412166,1.0
703.65322,1.0
703.894274,1.0
704.135328,1.0
704.376382,0.999999181520335
704.617436,1.0
704.85849,1.0
705.099544,0.9999704274372768
705.340598,1.0
705.581652,1.0
705.822706,1.0
706.06376,1.0
706.304814,0.9999980565018886
706.545868,1.0
706.786922,1.0
707.027976,1.0
707.26903,1.0
707.510084,1.0
707.751138,1.0
707.992192,1.0
708.233246,1.0
708.4743,1.0
708.715354,1.0
708.956408,0.9999703454397052
709.197462,1.0
709.438516,1.0
709.67957,1.0
709.920624,0.9999979040021966
710.161678,1.0
710.402732,0.9999999034740047
710.643786,1.0
710.88484,1.0
711.125894,0.9999672925349008
711.366948,1.0
711.608002,1.0
711.849056,0.9999977029026383
712.09011,1.0
712.331164,1.0
712.572218,1.0
712.813272,0.9999954830102016
713.054326,1.0
713.29538,1.0
713.536434,0.9999945174150294
713.777488,1.0
714.018542,1.0
714.259596,1.0
714.50065,1.0
714.741704,0.9999966664055564
714.982758,1.0
715.223812,1.0
715.464866,1.0
715.70592,1.0
715.946974,1.0
716.188028,1.0
716.429082,1.0
716.670136,1.0
716.91119,1.0
717.152244,1.0
717.393298,1.0
717.634352,1.0
717.875406,1.0
718.11646,1.0
718.357514,0.9999994678001416
718.598568,1.0
718.839622,1.0
719.080676,1.0
719.32173,1.0
719.562784,1.0
719.803838,1.0
720.044892,1.0
720.285946,1.0
720.527,1.0
720.768054,1.0
721.009108,1.0
721.250162,1.0
721.491216,1.0
721.73227,1.0
721.973324,0.9999985877009973
722.214378,1.0
722.455432,1.0
722.696486,1.0
722.93754,0.9999991439803664
723.178594,1.0
723.419648,1.0
723.660702,1.0
723.901756,1.0
724.14281,1.0
724.383864,1.0
724.624918,1.0
724.865972,1.0
725.107026,1.0
725.34808,1.0
725.589134,1.0
725.830188,1.0
726.071242,1.0
726.312296,1.0
726.55335,1.0
726.794404,0.9999940729175653
727.035458,1.0
727.276512,1.0
727.517566,1.0
727.75862,1.0
727.999674,1.0
728.240728,1.0
728.481782,1.0
728.722836,1.0
728.96389,1.0
729.204944,1.0
729.445998,1.0
729.687052,1.0
729.928106,1.0
730.16916,1.0
730.410214,1.0
730.651268,1.0
730.892322,1.0
731.133376,0.9999988464006654
731.37443,1.0
731.615484,1.0
731.856538,0.9999989224005806
732.097592,1.0
732.338646,0.9999302574321259
732.5797,1.0
732.820754,1.0
733.061808,1.0
733.302862,1.0
733.543916,1.0
733.78497,1.0
734.026024,1.0
734.267078,1.0
734.508132,1.0
734.749186,1.0
734.99024,1.0
735.231294,1.0
735.472348,1.0
735.713402,0.9999261377279519
735.954456,1.0
736.19551,1.0
736.436564,0.9999996507800609
736.677618,1.0
736.918672,1.0
737.159726,1.0
737.40078,0.9999908884415105
737.641834,1.0
737.882888,1.0
738.123942,0.9999952857111123
738.364996,1.0
738.60605,1.0
738.847104,0.9999747983175677
739.088158,1.0
739.329212,0.9999970642043094
739.570266,0.9999618997258339
739.81132,0.9999233819353138
740.052374,0.999998936000566
740.293428,1.0
740.534482,0.9999972912036688
740.775536,0.9998453319623344
741.01659,0.9999919445324454
741.257644,0.9999997476300319
741.498698,0.9999982358015562
741.739752,1.0
741.980806,0.9999973370035458
742.22186,0.9999968224050486
742.462914,0.9999902353476745
742.703968,1.0
742.945022,1.0
743.186076,1.0
743.42713,0.9999206781461446
743.668184,0.9999514801771247
743.909238,0.9999603847847034
744.150292,0.999997046004363
744.391346,0.9999667835516785
744.6324,0.999941616704371
744.873454,1.0
745.114508,0.9999840751268021
745.355562,0.9999738853409936
745.596616,0.9999963341067194
745.83767,0.9999920875313038
746.078724,0.9998911859206814
746.319778,0.9999464374345254
746.560832,0.9999863850926837
746.801886,0.9999022077819707
747.04294,0.9999994851401326
747.283994,0.9998673088042556
747.525048,0.999928663544566
747.766102,0.9999383958976107
748.007156,0.9998412526017019
748.24821,0.9999420396797642
748.489264,0.9999002199783575
748.730318,0.9999238548991853
748.971372,0.9998471416840231
749.212426,0.9999897260527774
749.45348,0.999993825219064
749.694534,0.9999428196348594
749.935588,0.9999449915130223
750.176642,0.9997956708780391
750.417696,0.9999516081709223
750.65875,0.9999545030350183
750.899804,0.9998411726144049
751.140858,0.9998970552991694
751.381912,0.9998371532609699
751.622966,0.9998674687830378
751.86402,0.9998864664454219
752.105074,0.9997362447895229
752.346128,0.9998935756634715
752.587182,0.9999711204170232
752.828236,0.9999090911324615
753.06929,0.9997828135883842
753.310344,0.9997449525301372
753.551398,0.9997861028792517
753.792452,0.9999863090937213
754.033506,0.9998587699738992
754.27456,0.9998455019360553
754.515614,0.9997678569493688
754.756668,0.9997916916991876
754.997722,0.9997782145980193
755.238776,0.9998185364664991
755.47983,0.9999185373182645
755.720884,0.9999568619304733
755.961938,0.9998790473153658
756.202992,0.9998679987129366
756.444046,0.999815617000635
756.6851,0.9999625027030412
756.926154,0.9998728580832187
757.167208,0.9997511009805017
757.408262,0.9998235755646214
757.649316,0.999847421641262
757.89037,0.9997700964318765
758.131424,0.9999002089794552
758.372478,0.99984984127495
758.613532,0.9998254252399471
758.854586,0.9998860564920546
759.09564,0.9996970159089531
759.336694,0.9998244654079996
759.577748,0.9998087282947655
759.818802,0.999620382073126
760.059856,0.9998652890743317
760.30091,0.999850931111871
760.541964,0.9998467817391169
760.783018,0.999771606085862
761.024072,0.9998715182544865
761.265126,0.9998100880355606
761.50618,0.9997394839402035
761.747234,0.9997187395611354
761.988288,0.999811417783862
762.229342,0.9998548905293978
762.470396,0.9997490714878267
762.71145,0.9997568395682911
762.952504,0.9996309581127154
763.193558,0.9997398038568895
763.434612,0.9997642277986349
763.675666,0.9997617783792774
763.91672,0.9996511708550386
764.157774,0.9996684149864661
764.398828,0.9997729557784413
