nu,[0]Methylmethacrylate-PNNL(x-sec)-X=0.01-T=278.2K-P=1.0atm-L=15cm
571.420428,0.950397462790605
571.539431,0.9606731906633612
571.658433,0.9567922459192449
571.777436,0.9566324749554233
571.896438,0.9595105195689057
572.01544,0.958721167274324
572.134443,0.9642930854786598
572.253445,0.9565215120243028
572.372447,0.9620017588420141
572.49145,0.9565320338188048
572.610452,0.9508651733896707
572.729455,0.9562747613064119
572.848457,0.9571367531353541
572.967459,0.9562565922585535
573.086462,0.9601257629763955
573.205464,0.9600095947873925
573.324466,0.9615651091704752
573.443469,0.9637166105967123
573.562471,0.9585831213657804
573.681474,0.961758403182816
573.800476,0.958803620840162
573.919478,0.9589858108356232
574.038481,0.952593513402293
574.157483,0.9610017970830629
574.276486,0.955122189085021
574.395488,0.9571989690463031
574.51449,0.9596659728644528
574.633493,0.9570735841942452
574.752495,0.9524534924476152
574.871497,0.9546132446039917
574.9905,0.959301369073872
575.109502,0.9578021943928348
575.228505,0.9617093547549992
575.347507,0.9526601972821398
575.466509,0.959264916314454
575.585512,0.9603197279703215
575.704514,0.9630008350985652
575.823516,0.9618728592427953
575.942519,0.9662622512392053
576.061521,0.957964076642352
576.180524,0.9635932627649856
576.299526,0.9570094624122077
576.418528,0.9583578807990626
576.537531,0.9603763885057411
576.656533,0.959601677398193
576.775536,0.9658014540542299
576.894538,0.958926355558484
577.01354,0.9627995889549841
577.132543,0.9576748151718865
577.251545,0.9608951318036192
577.370547,0.9609681626087717
577.48955,0.9581394001099854
577.608552,0.9549550573263865
577.727555,0.9578223084501138
577.846557,0.9611738318013887
577.965559,0.9567932027119692
578.084562,0.9578414650878486
578.203564,0.9585773698843066
578.322566,0.9604311315200471
578.441569,0.959625667740006
578.560571,0.955367687032751
578.679574,0.955593180414063
578.798576,0.9526201863940885
578.917578,0.9573837262758281
579.036581,0.9538479517052917
579.155583,0.9561303747189163
579.274585,0.9550066262918318
579.393588,0.9584201760858895
579.51259,0.9520478336712866
579.631593,0.9560443268574035
579.750595,0.9457679840507923
579.869597,0.9541675442978833
579.9886,0.9546590671394648
