nu,[0]Trifluoromethylsulfurpentafluoride-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
569.276186,0.8539180926834313
569.395788,0.8512665327280955
569.51539,0.8577693830046794
569.634993,0.8601486980255526
569.754595,0.8589882807411234
569.874197,0.8642700509885057
569.9938,0.8633716773707324
570.113402,0.8641836283046131
570.233005,0.8636134552877249
570.352607,0.8708548182559914
570.472209,0.8679857339485474
570.591812,0.8729997583034664
570.711414,0.8730172184732335
570.831017,0.8780339663916805
570.950619,0.8726069967901982
571.070221,0.8782535023241266
571.189824,0.8794839183176079
571.309426,0.8827970025455766
571.429029,0.8798797751419561
571.548631,0.8776126112211434
571.668233,0.8862909467024873
571.787836,0.8815531359040472
571.907438,0.888536101721159
572.027041,0.8864416289710567
572.146643,0.8920706013845838
572.266245,0.8881896402058747
572.385848,0.8924542742269286
572.50545,0.889976696772881
572.625053,0.8940174365749481
572.744655,0.8925256734247965
572.864257,0.89574455636202
572.98386,0.8992447811336026
573.103462,0.8953505154525779
573.223064,0.8968918435012896
573.342667,0.8960491612910867
573.462269,0.8985885719888541
573.581872,0.8955564697549689
573.701474,0.8993526969821601
573.821076,0.8977083865496145
573.940679,0.9021901245799229
574.060281,0.8986065439400128
574.179884,0.8994876100049312
574.299486,0.8998204819981542
574.419088,0.8994606257813964
574.538691,0.9010901237648693
574.658293,0.9005946604616968
574.777896,0.9011712255255326
574.897498,0.8982202261903873
575.0171,0.9010270496638251
575.136703,0.9003785436782373
575.256305,0.9006036664533312
575.375908,0.8988581890009805
575.49551,0.8975019373632745
575.615112,0.8997484992389432
575.734715,0.895153560005072
575.854317,0.8967842229374324
575.973919,0.8969366892145981
576.093522,0.8984268406021576
576.213124,0.8939012218623134
576.332727,0.8974391144264876
576.452329,0.8910631309330276
576.571931,0.8932578446261714
576.691534,0.8925435241167713
576.811136,0.8913928852922673
576.930739,0.8903683726818421
577.050341,0.8885627582040558
577.169943,0.8870268735556461
577.289546,0.8843874681397677
577.409148,0.8866544004935711
577.528751,0.8837597758945038
577.648353,0.8822674832157338
577.767955,0.8827881746196908
577.887558,0.8807953261120866
578.00716,0.8790091252073936
578.126763,0.8793256254590953
578.246365,0.8759992887283619
578.365967,0.8741004312772832
578.48557,0.8700365993499648
578.605172,0.8707241998298799
578.724774,0.8720661481325973
578.844377,0.8633112434685277
578.963979,0.8651261020143242
579.083582,0.8633544101098581
579.203184,0.8611212154231672
579.322786,0.8553367738969165
579.442389,0.8606821555730798
579.561991,0.8560384376943525
579.681594,0.8537644012593915
579.801196,0.8499055953159935
579.920798,0.8483262401643249
580.040401,0.8459796280373089
580.160003,0.8430744578744253
580.279606,0.8408348598024565
580.399208,0.839104522850229
580.51881,0.8377965402862414
580.638413,0.8342851738482661
580.758015,0.8353788035970946
580.877618,0.8311957103517147
580.99722,0.8312871469087718
581.116822,0.8271989868691991
581.236425,0.8261738958132844
581.356027,0.8236661408888025
581.47563,0.8178551796874893
581.595232,0.8190091688620296
581.714834,0.8156907326203338
581.834437,0.8143866709756568
581.954039,0.8117604456655431
582.073641,0.8082207922936343
582.193244,0.8055661152253061
582.312846,0.8034181225439527
582.432449,0.7998588535042909
582.552051,0.7997308863253775
582.671653,0.797941494007609
582.791256,0.7927637666701403
582.910858,0.7921931821931987
583.030461,0.7891964524227112
583.150063,0.7885180352348315
583.269665,0.7844832956695444
583.389268,0.7850326262197747
583.50887,0.7839735472135548
583.628473,0.7795331999895132
583.748075,0.7768795188752873
583.867677,0.7770426807056438
583.98728,0.7713137879145725
584.106882,0.7716223751430695
