nu,[0]CFC-13B1-PNNL(x-sec)-X=0.01-T=278.09K-P=1.0atm-L=15cm
523.298066,0.9859033021801155
523.417868,0.9900409233407612
523.537671,0.9816543679962512
523.657473,0.9758650212818826
523.777276,0.9817594106333076
523.897078,0.9819685476600751
524.01688,0.9814374463516485
524.136683,0.9751168197825142
524.256485,0.9865098191958219
524.376288,0.9828753230420284
524.49609,0.9889950029510954
524.615892,0.984635260789873
524.735695,0.9789213272473957
524.855497,0.9763950598808948
524.9753,0.9863776357365392
525.095102,0.9783165407654282
525.214904,0.9840476089707031
525.334707,0.9782666478941282
525.454509,0.9883681788434628
525.574311,0.9905153655906995
525.694114,0.9723115511545276
525.813916,0.9788087577676313
525.933719,0.9874494237244881
526.053521,0.9843212122350886
526.173323,0.9720548947851542
526.293126,0.9735841667726126
526.412928,0.9767759282187467
526.532731,0.9766841155967549
526.652533,0.9855484408701989
526.772335,0.9732454184282063
526.892138,0.975504993518237
527.01194,0.9857820435315071
527.131743,0.9816494597366818
527.251545,0.9806006371597701
527.371347,0.9795245285519077
527.49115,0.9804270862067053
527.610952,0.9784838471981914
527.730755,0.9791572757179109
527.850557,0.981781009577929
527.970359,0.98225532434335
528.090162,0.9819822953159757
528.209964,0.9753577033849007
528.329767,0.9773172120047445
528.449569,0.9769517637105456
528.569371,0.983341316376846
528.689174,0.9744471445870921
528.808976,0.9802300401661682
528.928779,0.977853906463284
529.048581,0.9776603105564315
529.168383,0.980092817566351
529.288186,0.9813599158558817
529.407988,0.9758757558561567
529.527791,0.9781971934277904
529.647593,0.9754269562402883
529.767395,0.972584809091344
529.887198,0.980963526525912
530.007,0.980246704218495
530.126803,0.9777952369889981
530.246605,0.9718031651677975
530.366407,0.9790789462690732
530.48621,0.9740564696176791
530.606012,0.9801545653588928
530.725815,0.9835547245964541
530.845617,0.9787030521299996
530.965419,0.9811450215660928
531.085222,0.9784055716214803
531.205024,0.9761168269389062
531.324826,0.9786071439304694
531.444629,0.9745319251765734
531.564431,0.9747648661420271
531.684234,0.9784065500275412
531.804036,0.975704016836603
531.923838,0.9753001589779777
